C_chinensis	chromosome	D_sublineata	chromosome
anno1.g4863.t1	A	rna-XM_056776901.1	A
anno1.g4864.t1	A	rna-XM_056777281.1	A
anno1.g4865.t2	A	rna-XM_056776886.1	A
anno1.g4866.t1	A	rna-XM_056792739.1	A
anno1.g4868.t1	A	rna-XM_056786299.1	A
anno1.g4870.t1	A	rna-XM_056786038.1	A
anno1.g4836.t1	A	rna-XM_056775445.1	A
anno1.g4839.t1	A	rna-XM_056776115.1	A
anno1.g4840.t1	A	rna-XM_056786106.1	A
anno1.g4841.t1	A	rna-XM_056782843.1	A
anno1.g4842.t1	A	rna-XM_056781778.1	A
anno1.g4843.t1	A	rna-XM_056779009.1	A
anno1.g4844.t1	A	rna-XM_056778708.1	A
anno1.g4845.t1	A	rna-XM_056785493.1	A
anno1.g4846.t2	A	rna-XM_056791554.1	A
anno1.g4847.t1	A	rna-XM_056787154.1	A
anno1.g4848.t2	A	rna-XM_056789985.1	X
anno1.g4850.t1	A	rna-XM_056780060.1	A
anno1.g4851.t1	A	rna-XM_056784134.1	A
anno1.g4852.t1	A	rna-XM_056785416.1	A
anno1.g4854.t1	A	rna-XM_056784170.1	A
anno1.g4858.t2	A	rna-XM_056792449.1	A
anno1.g4826.t1	A	rna-XM_056786134.1	A
anno1.g4827.t2	A	rna-XM_056786133.1	A
anno1.g4832.t1	A	rna-XM_056786148.1	A
anno1.g4810.t1	A	rna-XM_056786549.1	A
anno1.g4811.t1	A	rna-XM_056785686.1	A
anno1.g4812.t1	A	rna-XM_056791645.1	A
anno1.g4813.t1	A	rna-XM_056788554.1	A
anno1.g4814.t1	A	rna-XM_056789248.1	X
anno1.g4815.t1	A	rna-XM_056789249.1	X
anno1.g4816.t1	A	rna-XM_056787530.1	A
anno1.g4817.t1	A	rna-XM_056790661.1	X
anno1.g4818.t3	A	rna-XM_056778347.1	A
anno1.g4821.t1	A	rna-XM_056781570.1	A
anno1.g4823.t2	A	rna-XM_056781938.1	A
anno1.g4774.t1	A	rna-XM_056784681.1	A
anno1.g4776.t1	A	rna-XM_056785914.1	A
anno1.g4777.t1	A	rna-XM_056785922.1	A
anno1.g4778.t1	A	rna-XM_056785921.1	A
anno1.g4780.t1	A	rna-XM_056784133.1	A
anno1.g4781.t1	A	rna-XM_056784130.1	A
anno1.g4782.t1	A	rna-XM_056784132.1	A
anno1.g4783.t2	A	rna-XM_056784131.1	A
anno1.g4784.t1	A	rna-XM_056778443.1	A
anno1.g4786.t3	A	rna-XM_056778441.1	A
anno1.g4787.t1	A	rna-XM_056778444.1	A
anno1.g4788.t1	A	rna-XM_056780043.1	A
anno1.g4789.t1	A	rna-XM_056780035.1	A
anno1.g4790.t1	A	rna-XM_056782333.1	A
anno1.g4791.t1	A	rna-XM_056782337.1	A
anno1.g4792.t2	A	rna-XM_056780089.1	A
anno1.g4793.t1	A	rna-XM_056780659.1	A
anno1.g4795.t1	A	rna-XM_056780627.1	A
anno1.g4797.t1	A	rna-XM_056773812.1	A
anno1.g4798.t1	A	rna-XM_056792844.1	A
anno1.g4801.t1	A	rna-XM_056785842.1	A
anno1.g4802.t1	A	rna-XM_056785841.1	A
anno1.g4803.t1	A	rna-XM_056785829.1	A
anno1.g4752.t2	A	rna-XM_056792652.1	A
anno1.g4753.t1	A	rna-XM_056790752.1	X
anno1.g4755.t1	A	rna-XM_056792035.1	A
anno1.g4757.t1	A	rna-XM_056775293.1	A
anno1.g4758.t1	A	rna-XM_056787517.1	A
anno1.g4759.t1	A	rna-XM_056774127.1	A
anno1.g4760.t1	A	rna-XM_056774128.1	A
anno1.g4761.t1	A	rna-XM_056779654.1	A
anno1.g4762.t2	A	rna-XM_056788896.1	A
anno1.g4763.t2	A	rna-XM_056790745.1	X
anno1.g4764.t1	A	rna-XM_056790305.1	X
anno1.g4765.t1	A	rna-XM_056780090.1	A
anno1.g4767.t1	A	rna-XM_056789508.1	X
anno1.g4768.t1	A	rna-XM_056791370.1	A
anno1.g4769.t1	A	rna-XM_056787899.1	A
anno1.g4771.t1	A	rna-XM_056779277.1	A
anno1.g4721.t1	A	rna-XM_056791462.1	A
anno1.g4722.t1	A	rna-XM_056792979.1	A
anno1.g4723.t1	A	rna-XM_056783024.1	A
anno1.g4725.t1	A	rna-XM_056779500.1	A
anno1.g4726.t1	A	rna-XM_056783987.1	A
anno1.g4727.t1	A	rna-XM_056775660.1	A
anno1.g4728.t1	A	rna-XM_056781522.1	A
anno1.g4731.t1	A	rna-XM_056786816.1	A
anno1.g4733.t1	A	rna-XM_056778508.1	A
anno1.g4734.t1	A	rna-XM_056783306.1	A
anno1.g4736.t1	A	rna-XM_056779902.1	A
anno1.g4737.t1	A	rna-XM_056780887.1	A
anno1.g4738.t2	A	rna-XM_056792960.1	A
anno1.g4739.t2	A	rna-XM_056773574.1	A
anno1.g4740.t2	A	rna-XM_056792958.1	A
anno1.g4741.t1	A	rna-XM_056784678.1	A
anno1.g4742.t1	A	rna-XM_056791705.1	A
anno1.g4743.t3	A	rna-XM_056791706.1	A
anno1.g4744.t1	A	rna-XM_056791708.1	A
anno1.g4745.t1	A	rna-XM_056784426.1	A
anno1.g4746.t1	A	rna-XM_056780238.1	A
anno1.g4711.t1	A	rna-XM_056775245.1	A
anno1.g4712.t1	A	rna-XM_056775526.1	A
anno1.g4715.t1	A	rna-XM_056775888.1	A
anno1.g4716.t2	A	rna-XM_056790536.1	X
anno1.g4717.t1	A	rna-XM_056775889.1	A
anno1.g4699.t2	A	rna-XM_056782790.1	A
anno1.g4700.t1	A	rna-XM_056783210.1	A
anno1.g4702.t1	A	rna-XM_056783317.1	A
anno1.g4703.t1	A	rna-XM_056779292.1	A
anno1.g10306.t1	A	rna-XM_056789463.1	X
anno1.g10302.t1	A	rna-XM_056789400.1	X
anno1.g10299.t1	A	rna-XM_056780428.1	A
anno1.g4689.t1	A	rna-XM_056784752.1	A
anno1.g4691.t2	A	rna-XM_056793066.1	A
anno1.g4694.t1	A	rna-XM_056793057.1	A
anno1.g4695.t1	A	rna-XM_056792761.1	A
anno1.g10285.t1	A	rna-XM_056777550.1	A
anno1.g4664.t1	A	rna-XM_056784215.1	A
anno1.g4665.t2	A	rna-XM_056785520.1	A
anno1.g4666.t1	A	rna-XM_056783514.1	A
anno1.g4667.t2	A	rna-XM_056774288.1	A
anno1.g4668.t1	A	rna-XM_056778209.1	A
anno1.g4669.t2	A	rna-XM_056792657.1	A
anno1.g4670.t1	A	rna-XM_056786721.1	A
anno1.g4671.t1	A	rna-XM_056787646.1	A
anno1.g4677.t2	A	rna-XM_056787800.1	A
anno1.g4678.t2	A	rna-XM_056773620.1	A
anno1.g4679.t1	A	rna-XM_056789082.1	X
anno1.g4681.t1	A	rna-XM_056788314.1	A
anno1.g4682.t1	A	rna-XM_056788184.1	A
anno1.g10279.t1	A	rna-XM_056781982.1	A
anno1.g4657.t1	A	rna-XM_056783122.1	A
anno1.g4658.t1	A	rna-XM_056791638.1	A
anno1.g4661.t1	A	rna-XM_056774389.1	A
anno1.g4662.t1	A	rna-XM_056775605.1	A
anno1.g10207.t1	A	rna-XM_056778965.1	A
anno1.g10199.t1	A	rna-XM_056773725.1	A
anno1.g10194.t1	A	rna-XM_056775185.1	A
anno1.g10196.t2	A	rna-XM_056775443.1	A
anno1.g4649.t1	A	rna-XM_056778974.1	A
anno1.g4650.t1	A	rna-XM_056788655.1	A
anno1.g4651.t1	A	rna-XM_056788593.1	A
anno1.g4648.t1	A	rna-XM_056790793.1	X
anno1.g4606.t1	A	rna-XM_056774248.1	A
anno1.g4607.t1	A	rna-XM_056788450.1	A
anno1.g4608.t2	A	rna-XM_056788441.1	A
anno1.g4609.t1	A	rna-XM_056786716.1	A
anno1.g4610.t1	A	rna-XM_056781051.1	A
anno1.g4611.t1	A	rna-XM_056777393.1	A
anno1.both_agree_g2172.t1	A	rna-XM_056775299.1	A
anno1.g4614.t1	A	rna-XM_056773922.1	A
anno1.g4617.t2	A	rna-XM_056785622.1	A
anno1.g4618.t1	A	rna-XM_056791584.1	A
anno1.g4619.t1	A	rna-XM_056792209.1	A
anno1.g4620.t1	A	rna-XM_056782399.1	A
anno1.g4621.t1	A	rna-XM_056782398.1	A
anno1.g4622.t1	A	rna-XM_056790754.1	X
anno1.g4625.t1	A	rna-XM_056776447.1	A
anno1.g4626.t1	A	rna-XM_056777099.1	A
anno1.g4627.t1	A	rna-XM_056777100.1	A
anno1.g4628.t1	A	rna-XM_056787942.1	A
anno1.g4629.t1	A	rna-XM_056792252.1	A
anno1.g4630.t2	A	rna-XM_056777593.1	A
anno1.g4631.t1	A	rna-XM_056779876.1	A
anno1.g4632.t1	A	rna-XM_056779877.1	A
anno1.g4633.t1	A	rna-XM_056782983.1	A
anno1.g4634.t1	A	rna-XM_056779707.1	A
anno1.g4635.t1	A	rna-XM_056787010.1	A
anno1.both_agree_g2201.t3	A	rna-XM_056788218.1	A
anno1.g4638.t1	A	rna-XM_056778594.1	A
anno1.g4639.t2	A	rna-XM_056779871.1	A
anno1.g4640.t1	A	rna-XM_056779873.1	A
anno1.g4641.t1	A	rna-XM_056779872.1	A
anno1.g4642.t1	A	rna-XM_056778606.1	A
anno1.g4643.t2	A	rna-XM_056792780.1	A
anno1.g4644.t1	A	rna-XM_056774089.1	A
anno1.g10167.t1	A	rna-XM_056778958.1	A
anno1.g4565.t1	A	rna-XM_056780386.1	A
anno1.g4566.t1	A	rna-XM_056782037.1	A
anno1.g4567.t1	A	rna-XM_056782043.1	A
anno1.g4568.t2	A	rna-XM_056779029.1	A
anno1.g4569.t1	A	rna-XM_056792317.1	A
anno1.g4572.t1	A	rna-XM_056773742.1	A
anno1.g4575.t2	A	rna-XM_056779252.1	A
anno1.g4577.t1	A	rna-XM_056779313.1	A
anno1.g4579.t1	A	rna-XM_056777986.1	A
anno1.g4580.t3	A	rna-XM_056777970.1	A
anno1.g4582.t1	A	rna-XM_056777650.1	A
anno1.g4583.t1	A	rna-XM_056777651.1	A
anno1.g4584.t1	A	rna-XM_056777653.1	A
anno1.g4585.t1	A	rna-XM_056779371.1	A
anno1.g4586.t1	A	rna-XM_056780032.1	A
anno1.g4587.t1	A	rna-XM_056780033.1	A
anno1.g4588.t1	A	rna-XM_056779372.1	A
anno1.g4589.t1	A	rna-XM_056779373.1	A
anno1.g4594.t1	A	rna-XM_056779030.1	A
anno1.g4595.t2	A	rna-XM_056780217.1	A
anno1.g4596.t1	A	rna-XM_056776045.1	A
anno1.g4597.t1	A	rna-XM_056789399.1	X
anno1.g4599.t1	A	rna-XM_056792848.1	A
anno1.g4548.t2	A	rna-XM_056793169.1	A
anno1.g4549.t1	A	rna-XM_056793166.1	A
anno1.g4551.t1	A	rna-XM_056793175.1	A
anno1.g4552.t2	A	rna-XM_056774447.1	A
anno1.g4554.t1	A	rna-XM_056781242.1	A
anno1.g4556.t1	A	rna-XM_056793171.1	A
anno1.g4557.t1	A	rna-XM_056793179.1	A
anno1.g4558.t1	A	rna-XM_056793168.1	A
anno1.g4559.t1	A	rna-XM_056793183.1	A
anno1.g4560.t1	A	rna-XM_056793185.1	A
anno1.g4561.t1	A	rna-XM_056778133.1	A
anno1.g4562.t1	A	rna-XM_056781434.1	A
anno1.g4547.t1	A	rna-XM_056792227.1	A
anno1.g4545.t1	A	rna-XM_056787864.1	A
anno1.g4546.t1	A	rna-XM_056778227.1	A
anno1.g4532.t1	A	rna-XM_056778787.1	A
anno1.g4533.t1	A	rna-XM_056779783.1	A
anno1.g4536.t1	A	rna-XM_056779016.1	A
anno1.g4538.t1	A	rna-XM_056792643.1	A
anno1.g4539.t1	A	rna-XM_056783111.1	A
anno1.g4528.t1	A	rna-XM_056792953.1	A
anno1.g4529.t1	A	rna-XM_056773682.1	A
anno1.g10130.t1	A	rna-XM_056785474.1	A
anno1.g10129.t1	A	rna-XM_056776529.1	A
anno1.g10128.t1	A	rna-XM_056787267.1	A
anno1.g4513.t1	A	rna-XM_056789212.1	X
anno1.g4517.t1	A	rna-XM_056783761.1	A
anno1.g4519.t1	A	rna-XM_056775433.1	A
anno1.g4523.t1	A	rna-XM_056776215.1	A
anno1.g10123.t1	A	rna-XM_056785536.1	A
anno1.g10124.t1	A	rna-XM_056782270.1	A
anno1.g4479.t1	A	rna-XM_056788797.1	A
anno1.g4480.t1	A	rna-XM_056780724.1	A
anno1.g4481.t1	A	rna-XM_056780794.1	A
anno1.g4482.t1	A	rna-XM_056781588.1	A
anno1.g4483.t2	A	rna-XM_056780513.1	A
anno1.g4486.t1	A	rna-XM_056781548.1	A
anno1.g4489.t2	A	rna-XM_056781862.1	A
anno1.g4490.t1	A	rna-XM_056781864.1	A
anno1.g4491.t1	A	rna-XM_056778769.1	A
anno1.g4492.t1	A	rna-XM_056778764.1	A
anno1.g4494.t1	A	rna-XM_056782586.1	A
anno1.g4495.t1	A	rna-XM_056774831.1	A
anno1.g4496.t4	A	rna-XM_056786975.1	A
anno1.g4497.t1	A	rna-XM_056786998.1	A
anno1.g4498.t1	A	rna-XM_056791609.1	A
anno1.g4499.t1	A	rna-XM_056789189.1	A
anno1.g4500.t1	A	rna-XM_056789176.1	A
anno1.g4502.t1	A	rna-XM_056776841.1	A
anno1.g4503.t1	A	rna-XM_056785796.1	A
anno1.g4504.t1	A	rna-XM_056774377.1	A
anno1.g4505.t1	A	rna-XM_056774363.1	A
anno1.g4506.t1	A	rna-XM_056792980.1	A
anno1.g4507.t1	A	rna-XM_056775231.1	A
anno1.g4509.t1	A	rna-XM_056785738.1	A
anno1.g4511.t2	A	rna-XM_056786702.1	A
anno1.g4461.t1	A	rna-XM_056779122.1	A
anno1.g4462.t1	A	rna-XM_056779710.1	A
anno1.g4464.t1	A	rna-XM_056779142.1	A
anno1.g4465.t1	A	rna-XM_056779140.1	A
anno1.g4466.t1	A	rna-XM_056779709.1	A
anno1.g4467.t2	A	rna-XM_056778481.1	A
anno1.g4468.t1	A	rna-XM_056778823.1	A
anno1.g4469.t1	A	rna-XM_056782730.1	A
anno1.g4471.t1	A	rna-XM_056778483.1	A
anno1.g4472.t1	A	rna-XM_056778822.1	A
anno1.g4473.t1	A	rna-XM_056779263.1	A
anno1.g4474.t1	A	rna-XM_056786438.1	A
anno1.g4475.t1	A	rna-XM_056778729.1	A
anno1.g4476.t2	A	rna-XM_056775531.1	A
anno1.g10081.t1	A	rna-XM_056781074.1	A
anno1.g10083.t1	A	rna-XM_056781070.1	A
anno1.g10074.t1	A	rna-XM_056776602.1	A
anno1.g10073.t1	A	rna-XM_056780739.1	A
anno1.g10064.t2	A	rna-XM_056782393.1	A
anno1.g10065.t1	A	rna-XM_056784572.1	A
anno1.g10068.t2	A	rna-XM_056775905.1	A
anno1.g10070.t2	A	rna-XM_056778474.1	A
anno1.g10071.t1	A	rna-XM_056779936.1	A
anno1.g4444.t1	A	rna-XM_056788738.1	A
anno1.g10042.t1	A	rna-XM_056778667.1	A
anno1.g10035.t1	A	rna-XM_056792456.1	A
anno1.g10036.t1	A	rna-XM_056792450.1	A
anno1.g4435.t1	A	rna-XM_056779230.1	A
anno1.g4438.t1	A	rna-XM_056780046.1	A
anno1.g10018.t1	A	rna-XM_056782327.1	A
anno1.g10020.t1	A	rna-XM_056788553.1	A
anno1.g4429.t1	A	rna-XM_056778213.1	A
anno1.g4430.t1	A	rna-XM_056787279.1	A
anno1.g4431.t2	A	rna-XM_056779114.1	A
anno1.g4432.t1	A	rna-XM_056785261.1	A
anno1.g4433.t1	A	rna-XM_056783222.1	A
anno1.g4434.t1	A	rna-XM_056783398.1	A
anno1.g10015.t1	A	rna-XM_056788721.1	A
anno1.g10011.t1	A	rna-XM_056777185.1	A
anno1.g4396.t1	A	rna-XM_056785723.1	A
anno1.g4397.t1	A	rna-XM_056785618.1	A
anno1.g4398.t1	A	rna-XM_056773567.1	A
anno1.g4399.t1	A	rna-XM_056787462.1	A
anno1.g4400.t1	A	rna-XM_056773597.1	A
anno1.g4402.t1	A	rna-XM_056783337.1	A
anno1.g4403.t3	A	rna-XM_056774999.1	A
anno1.g4405.t1	A	rna-XM_056775316.1	A
anno1.g4406.t1	A	rna-XM_056775207.1	A
anno1.g4408.t1	A	rna-XM_056781130.1	A
anno1.g4409.t1	A	rna-XM_056781138.1	A
anno1.g4410.t1	A	rna-XM_056781144.1	A
anno1.g4411.t1	A	rna-XM_056781393.1	A
anno1.g4412.t1	A	rna-XM_056786037.1	A
anno1.g4413.t2	A	rna-XM_056786525.1	A
anno1.g4416.t1	A	rna-XM_056786528.1	A
anno1.g4417.t3	A	rna-XM_056784029.1	A
anno1.g4420.t1	A	rna-XM_056784826.1	A
anno1.g4421.t1	A	rna-XM_056784230.1	A
anno1.g4422.t3	A	rna-XM_056784979.1	A
anno1.g4423.t2	A	rna-XM_056784814.1	A
anno1.g4425.t1	A	rna-XM_056784817.1	A
anno1.g4380.t2	A	rna-XM_056776979.1	A
anno1.g4381.t1	A	rna-XM_056787796.1	A
anno1.g4382.t1	A	rna-XM_056784349.1	A
anno1.g4387.t2	A	rna-XM_056778883.1	A
anno1.g4388.t1	A	rna-XM_056775263.1	A
anno1.g4365.t1	A	rna-XM_056780509.1	A
anno1.g4367.t1	A	rna-XM_056780982.1	A
anno1.g4368.t1	A	rna-XM_056782245.1	A
anno1.g4372.t1	A	rna-XM_056780780.1	A
anno1.g9967.t1	A	rna-XM_056792573.1	A
anno1.g9953.t1	A	rna-XM_056782851.1	A
anno1.g9961.t1	A	rna-XM_056784408.1	A
anno1.g9962.t1	A	rna-XM_056791794.1	A
anno1.g4331.t1	A	rna-XM_056791106.1	X
anno1.g4332.t1	A	rna-XM_056784593.1	A
anno1.g4333.t1	A	rna-XM_056781114.1	A
anno1.g4334.t1	A	rna-XM_056792929.1	A
anno1.g4335.t1	A	rna-XM_056787690.1	A
anno1.g4336.t1	A	rna-XM_056787706.1	A
anno1.g4337.t1	A	rna-XM_056787648.1	A
anno1.g4338.t1	A	rna-XM_056789200.1	X
anno1.g4339.t2	A	rna-XM_056789199.1	X
anno1.g4340.t1	A	rna-XM_056789095.1	X
anno1.g4341.t1	A	rna-XM_056791084.1	X
anno1.g4343.t1	A	rna-XM_056775089.1	A
anno1.g4344.t1	A	rna-XM_056774964.1	A
anno1.g4349.t1	A	rna-XM_056776196.1	A
anno1.g4352.t19	A	rna-XM_056778118.1	A
anno1.g4353.t1	A	rna-XM_056778113.1	A
anno1.g4354.t1	A	rna-XM_056790786.1	X
anno1.g4356.t1	A	rna-XM_056789546.1	X
anno1.g4357.t1	A	rna-XM_056782912.1	A
anno1.g4358.t5	A	rna-XM_056776259.1	A
anno1.g9943.t1	A	rna-XM_056786380.1	A
anno1.g9937.t1	A	rna-XM_056784072.1	A
anno1.g4330.t1	A	rna-XM_056779533.1	A
anno1.g9933.t1	A	rna-XM_056784809.1	A
anno1.g9934.t1	A	rna-XM_056784655.1	A
anno1.g9930.t1	A	rna-XM_056781769.1	A
anno1.g4328.t1	A	rna-XM_056789887.1	X
anno1.g4329.t1	A	rna-XM_056779848.1	A
anno1.g9909.t1	A	rna-XM_056788311.1	A
anno1.g9912.t1	A	rna-XM_056775010.1	A
anno1.g9913.t1	A	rna-XM_056782416.1	A
anno1.g9915.t1	A	rna-XM_056779637.1	A
anno1.g9907.t1	A	rna-XM_056782319.1	A
anno1.g4317.t1	A	rna-XM_056779269.1	A
anno1.g4318.t1	A	rna-XM_056779278.1	A
anno1.g4319.t1	A	rna-XM_056774771.1	A
anno1.g4320.t1	A	rna-XM_056775004.1	A
anno1.g4321.t1	A	rna-XM_056774729.1	A
anno1.g4322.t1	A	rna-XM_056790631.1	X
anno1.g4324.t1	A	rna-XM_056775184.1	A
anno1.g4325.t1	A	rna-XM_056774761.1	A
anno1.g4326.t1	A	rna-XM_056790635.1	X
anno1.g9834.t1	A	rna-XM_056774506.1	A
anno1.g9835.t2	A	rna-XM_056774878.1	A
anno1.g9831.t1	A	rna-XM_056792595.1	A
anno1.g4289.t1	A	rna-XM_056779549.1	A
anno1.g4290.t1	A	rna-XM_056787519.1	A
anno1.g4291.t1	A	rna-XM_056775208.1	A
anno1.g4292.t2	A	rna-XM_056775715.1	A
anno1.g4294.t1	A	rna-XM_056775332.1	A
anno1.g4296.t1	A	rna-XM_056775552.1	A
anno1.g4299.t1	A	rna-XM_056791432.1	A
anno1.g4302.t1	A	rna-XM_056775542.1	A
anno1.g4303.t1	A	rna-XM_056785380.1	A
anno1.g4304.t1	A	rna-XM_056785385.1	A
anno1.g4305.t1	A	rna-XM_056785386.1	A
anno1.g4306.t1	A	rna-XM_056785382.1	A
anno1.g4308.t1	A	rna-XM_056785378.1	A
anno1.g9829.t1	A	rna-XM_056775514.1	A
anno1.g4279.t1	A	rna-XM_056775202.1	A
anno1.g4280.t1	A	rna-XM_056776545.1	A
anno1.g4282.t1	A	rna-XM_056776564.1	A
anno1.g4285.t3	A	rna-XM_056775649.1	A
anno1.g4266.t1	A	rna-XM_056785415.1	A
anno1.g4267.t1	A	rna-XM_056781107.1	A
anno1.g4268.t1	A	rna-XM_056785412.1	A
anno1.g4273.t1	A	rna-XM_056784148.1	A
anno1.g4262.t1	A	rna-XM_056780954.1	A
anno1.g4263.t1	A	rna-XM_056781626.1	A
anno1.g4164.t1	A	rna-XM_056781292.1	A
anno1.g4165.t1	A	rna-XM_056784956.1	A
anno1.g4171.t1	A	rna-XM_056777096.1	A
anno1.g4173.t1	A	rna-XM_056785710.1	A
anno1.g4174.t1	A	rna-XM_056785719.1	A
anno1.g4175.t1	A	rna-XM_056786585.1	A
anno1.g4176.t1	A	rna-XM_056783962.1	A
anno1.g4177.t1	A	rna-XM_056777148.1	A
anno1.g4178.t1	A	rna-XM_056777621.1	A
anno1.g4181.t1	A	rna-XM_056779911.1	A
anno1.g4182.t1	A	rna-XM_056792567.1	A
anno1.g4183.t2	A	rna-XM_056784543.1	A
anno1.g4184.t1	A	rna-XM_056784566.1	A
anno1.g4185.t1	A	rna-XM_056773754.1	A
anno1.g4186.t1	A	rna-XM_056780623.1	A
anno1.g4187.t1	A	rna-XM_056785096.1	A
anno1.g4188.t1	A	rna-XM_056777613.1	A
anno1.g4189.t1	A	rna-XM_056782414.1	A
anno1.g4190.t1	A	rna-XM_056783240.1	A
anno1.g4191.t2	A	rna-XM_056781407.1	A
anno1.g4192.t1	A	rna-XM_056781406.1	A
anno1.g4193.t2	A	rna-XM_056781405.1	A
anno1.g4194.t2	A	rna-XM_056781404.1	A
anno1.g4195.t2	A	rna-XM_056780076.1	A
anno1.g4197.t1	A	rna-XM_056780078.1	A
anno1.g4198.t1	A	rna-XM_056788201.1	A
anno1.g4199.t1	A	rna-XM_056774779.1	A
anno1.g4200.t1	A	rna-XM_056785525.1	A
anno1.g4201.t1	A	rna-XM_056783705.1	A
anno1.g4202.t2	A	rna-XM_056791834.1	A
anno1.g4203.t1	A	rna-XM_056785760.1	A
anno1.g4204.t1	A	rna-XM_056778453.1	A
anno1.g4205.t1	A	rna-XM_056778439.1	A
anno1.g4206.t1	A	rna-XM_056792214.1	A
anno1.g4207.t1	A	rna-XM_056779893.1	A
anno1.g4208.t1	A	rna-XM_056786605.1	A
anno1.g4209.t1	A	rna-XM_056786599.1	A
anno1.g4210.t1	A	rna-XM_056786610.1	A
anno1.g4211.t2	A	rna-XM_056786649.1	A
anno1.g4213.t1	A	rna-XM_056786611.1	A
anno1.g4214.t3	A	rna-XM_056786607.1	A
anno1.g4215.t1	A	rna-XM_056786596.1	A
anno1.g4216.t1	A	rna-XM_056786595.1	A
anno1.g4217.t1	A	rna-XM_056779867.1	A
anno1.g4219.t1	A	rna-XM_056788165.1	A
anno1.g4220.t1	A	rna-XM_056779400.1	A
anno1.g4221.t1	A	rna-XM_056787157.1	A
anno1.g4222.t2	A	rna-XM_056787164.1	A
anno1.g4223.t1	A	rna-XM_056787168.1	A
anno1.g4224.t1	A	rna-XM_056779291.1	A
anno1.g4225.t1	A	rna-XM_056779289.1	A
anno1.g4226.t1	A	rna-XM_056779290.1	A
anno1.g4228.t1	A	rna-XM_056779604.1	A
anno1.g4229.t1	A	rna-XM_056779605.1	A
anno1.g4235.t1	A	rna-XM_056788505.1	A
anno1.g4238.t1	A	rna-XM_056788802.1	A
anno1.g4240.t1	A	rna-XM_056788346.1	A
anno1.g4241.t1	A	rna-XM_056788799.1	A
anno1.g4242.t2	A	rna-XM_056788537.1	A
anno1.g4244.t4	A	rna-XM_056788382.1	A
anno1.g4245.t1	A	rna-XM_056782418.1	A
anno1.g4246.t1	A	rna-XM_056780865.1	A
anno1.g4247.t1	A	rna-XM_056792710.1	A
anno1.g4248.t1	A	rna-XM_056783559.1	A
anno1.g4249.t2	A	rna-XM_056788181.1	A
anno1.g4250.t1	A	rna-XM_056788177.1	A
anno1.g4251.t1	A	rna-XM_056788180.1	A
anno1.g4252.t1	A	rna-XM_056782371.1	A
anno1.g4254.t1	A	rna-XM_056790571.1	X
anno1.g4255.t1	A	rna-XM_056786861.1	A
anno1.g4256.t1	A	rna-XM_056788287.1	A
anno1.g4257.t16	A	rna-XM_056788902.1	A
anno1.g4258.t1	A	rna-XM_056788295.1	A
