D_carinulata	chromosome	B_varius	chromosome
rna-XM_057811364.1	X	anno1.g5953.t1	A
rna-XM_057811450.1	X	anno1.g1016.t1	A
rna-XM_057811411.1	X	anno1.g5954.t1	A
rna-XM_057811437.1	X	anno1.g6493.t1	A
rna-XM_057806571.1	X	anno1.g5934.t1	A
rna-XM_057806632.1	X	anno1.g6492.t1	A
rna-XM_057797185.1	X	anno1.g5950.t1	A
rna-XM_057814095.1	X	anno1.g9751.t1	A
rna-XM_057815537.1	X	anno1.g5989.t1	A
rna-XM_057816637.1	X	anno1.g5993.t1	A
rna-XM_057797972.1	X	anno1.g5568.t1	A
rna-XM_057796559.1	X	anno1.g5949.t1	A
rna-XM_057796571.1	X	anno1.g5929.t1	A
rna-XM_057796585.1	X	anno1.g5935.t1	A
rna-XM_057796548.1	X	anno1.g5988.t1	A
rna-XM_057809026.1	X	anno1.g11546.t1	X
rna-XM_057812034.1	X	anno1.g11544.t1	X
rna-XM_057812022.1	X	anno1.g11944.t1	X
rna-XM_057807079.1	X	anno1.g12277.t1	X
rna-XM_057806722.1	X	anno1.g11843.t2	X
rna-XM_057797357.1	X	anno1.g1058.t1	A
rna-XM_057797332.1	X	anno1.g6170.t1	A
rna-XM_057797367.1	X	anno1.g12010.t1	X
rna-XM_057797354.1	X	anno1.g12069.t1	X
rna-XM_057797285.1	X	anno1.g12068.t4	X
rna-XM_057814015.1	X	anno1.g11836.t1	X
rna-XM_057814064.1	X	anno1.g11840.t1	X
rna-XM_057811218.1	X	anno1.g12006.t1	X
rna-XM_057804496.1	X	anno1.g12007.t1	X
rna-XM_057812283.1	X	anno1.g11541.t1	X
rna-XM_057812229.1	X	anno1.g11543.t1	X
rna-XM_057812320.1	X	anno1.g11911.t1	X
rna-XM_057802704.1	X	anno1.g12304.t1	X
rna-XM_057807099.1	X	anno1.g12130.t1	X
rna-XM_057799650.1	X	anno1.g7701.t1	A
rna-XM_057809887.1	X	anno1.g11934.t1	X
rna-XM_057809938.1	X	anno1.g11935.t2	X
rna-XM_057809916.1	X	anno1.g12245.t1	X
rna-XM_057803483.1	X	anno1.g12242.t1	X
rna-XM_057807318.1	X	anno1.g12241.t1	X
rna-XM_057812445.1	X	anno1.g12239.t1	X
rna-XM_057812476.1	X	anno1.g12237.t1	X
rna-XM_057797205.1	X	anno1.g12236.t1	X
rna-XM_057810616.1	X	anno1.g12235.t1	X
rna-XM_057810629.1	X	anno1.g12204.t1	X
rna-XM_057796400.1	X	anno1.g10896.t1	A
rna-XM_057808334.1	X	anno1.g12321.t1	X
rna-XM_057803668.1	X	anno1.g12320.t1	X
rna-XM_057803644.1	X	anno1.g12319.t1	X
rna-XM_057803655.1	X	anno1.g12318.t1	X
rna-XM_057802498.1	X	anno1.g12317.t2	X
rna-XM_057806581.1	X	anno1.g12225.t1	X
rna-XM_057816659.1	X	anno1.g12098.t1	X
rna-XM_057804472.1	X	anno1.g11948.t1	X
rna-XM_057803382.1	X	anno1.g11945.t1	X
rna-XM_057802395.1	X	anno1.g8793.t1	A
rna-XM_057801532.1	X	anno1.g11977.t1	X
rna-XM_057813802.1	X	anno1.g12113.t2	X
rna-XM_057813693.1	X	anno1.g1030.t1	A
rna-XM_057813571.1	X	anno1.g12114.t1	X
rna-XM_057813603.1	X	anno1.g12115.t1	X
rna-XM_057813708.1	X	anno1.g12164.t1	X
rna-XM_057813835.1	X	anno1.g12163.t1	X
rna-XM_057813646.1	X	anno1.g11971.t2	X
rna-XM_057797700.1	X	anno1.g12142.t1	X
rna-XM_057806380.1	X	anno1.g12303.t1	X
rna-XM_057806390.1	X	anno1.g12324.t1	X
rna-XM_057806464.1	X	anno1.g10588.t1	A
rna-XM_057801428.1	X	anno1.g12231.t1	X
rna-XM_057795445.1	X	anno1.g12097.t1	X
rna-XM_057802588.1	X	anno1.g11924.t1	X
rna-XM_057798323.1	X	anno1.g12276.t1	X
rna-XM_057802304.1	X	anno1.g12181.t1	X
rna-XM_057802283.1	X	anno1.g9236.t1	A
rna-XM_057802272.1	X	anno1.g12100.t1	X
rna-XM_057811614.1	X	anno1.g12028.t1	X
rna-XM_057811634.1	X	anno1.g12323.t1	X
rna-XM_057811646.1	X	anno1.g12168.t1	X
rna-XM_057816218.1	X	anno1.g12266.t3	X
rna-XM_057798313.1	X	anno1.g12037.t1	X
rna-XM_057811225.1	X	anno1.g12230.t1	X
rna-XM_057811252.1	X	anno1.g12025.t1	X
rna-XM_057811276.1	X	anno1.g1767.t2	A
rna-XM_057811260.1	X	anno1.g11927.t1	X
rna-XM_057797711.1	X	anno1.g12111.t1	X
rna-XM_057800069.1	X	anno1.g12166.t1	X
rna-XM_057800104.1	X	anno1.g12167.t1	X
rna-XM_057800117.1	X	anno1.g12165.t1	X
rna-XM_057800276.1	X	anno1.g12109.t1	X
rna-XM_057800287.1	X	anno1.g12128.t1	X
rna-XM_057800158.1	X	anno1.g12127.t1	X
rna-XM_057800195.1	X	anno1.g12090.t1	X
rna-XM_057800179.1	X	anno1.g12086.t1	X
rna-XM_057800267.1	X	anno1.g12105.t1	X
rna-XM_057800348.1	X	anno1.g11997.t1	X
rna-XM_057800361.1	X	anno1.g12030.t1	X
rna-XM_057800407.1	X	anno1.g1537.t1	A
rna-XM_057800373.1	X	anno1.g12161.t2	X
rna-XM_057800418.1	X	anno1.g7127.t1	A
rna-XM_057800438.1	X	anno1.g7126.t1	A
rna-XM_057800451.1	X	anno1.g2930.t1	A
rna-XM_057800893.1	X	anno1.g12186.t1	X
rna-XM_057800793.1	X	anno1.g12313.t1	X
rna-XM_057800815.1	X	anno1.g12227.t1	X
rna-XM_057800843.1	X	anno1.g11979.t1	X
rna-XM_057800598.1	X	anno1.g12216.t1	X
rna-XM_057805879.1	X	anno1.g2405.t1	A
rna-XM_057800831.1	X	anno1.g12302.t1	X
rna-XM_057800697.1	X	anno1.g2452.t1	A
rna-XM_057800567.1	X	anno1.g12058.t2	X
rna-XM_057800774.1	X	anno1.g12059.t1	X
rna-XM_057800962.1	X	anno1.g12044.t2	X
rna-XM_057800906.1	X	anno1.g12043.t1	X
rna-XM_057800717.1	X	anno1.g11973.t2	X
rna-XM_057800460.1	X	anno1.g12004.t2	X
rna-XM_057800759.1	X	anno1.g12229.t5	X
rna-XM_057796468.1	X	anno1.g1853.t1	A
rna-XM_057810881.1	X	anno1.g11938.t1	X
rna-XM_057810893.1	X	anno1.g12206.t1	X
rna-XM_057796635.1	X	anno1.g11547.t1	X
rna-XM_057796658.1	X	anno1.g12169.t1	X
rna-XM_057808367.1	X	anno1.g12035.t1	X
rna-XM_057808412.1	X	anno1.g11992.t1	X
rna-XM_057808391.1	X	anno1.g12053.t1	X
rna-XM_057808461.1	X	anno1.g12052.t1	X
rna-XM_057803100.1	X	anno1.g12055.t1	X
rna-XM_057803181.1	X	anno1.g12047.t1	X
rna-XM_057803300.1	X	anno1.g12054.t1	X
rna-XM_057803309.1	X	anno1.g12137.t1	X
rna-XM_057803348.1	X	anno1.g1651.t1	A
rna-XM_057801603.1	X	anno1.g11849.t1	X
rna-XM_057803371.1	X	anno1.g8589.t1	A
rna-XM_057803724.1	X	anno1.g10471.t2	A
rna-XM_057803749.1	X	anno1.g12220.t1	X
rna-XM_057803760.1	X	anno1.g4644.t1	A
rna-XM_057803782.1	X	anno1.g11995.t1	X
rna-XM_057803874.1	X	anno1.g12218.t1	X
rna-XM_057803905.1	X	anno1.g12147.t1	X
rna-XM_057803894.1	X	anno1.g12292.t1	X
rna-XM_057798479.1	X	anno1.g12042.t3	X
rna-XM_057815206.1	X	anno1.g12107.t1	X
rna-XM_057815494.1	X	anno1.g6245.t1	A
rna-XM_057815612.1	X	anno1.g7689.t1	A
rna-XM_057811657.1	X	anno1.g1784.t1	A
rna-XM_057811843.1	X	anno1.g11913.t2	X
rna-XM_057811906.1	X	anno1.g12285.t2	X
rna-XM_057811856.1	X	anno1.g4284.t1	A
rna-XM_057802723.1	X	anno1.g12011.t1	X
rna-XM_057803013.1	X	anno1.g12297.t1	X
rna-XM_057810491.1	X	anno1.g12296.t1	X
rna-XM_057810536.1	X	anno1.g11921.t2	X
rna-XM_057810576.1	X	anno1.g12282.t1	X
rna-XM_057810522.1	X	anno1.g12017.t2	X
rna-XM_057798393.1	X	anno1.g12016.t1	X
rna-XM_057798373.1	X	anno1.g11925.t1	X
rna-XM_057811004.1	X	anno1.g11941.t2	X
rna-XM_057811047.1	X	anno1.g7871.t1	A
rna-XM_057814121.1	X	anno1.g12046.t1	X
rna-XM_057814147.1	X	anno1.g12193.t1	X
rna-XM_057807136.1	X	anno1.g12088.t1	X
rna-XM_057807149.1	X	anno1.g12089.t1	X
rna-XM_057811152.1	X	anno1.g12074.t1	X
rna-XM_057811169.1	X	anno1.g12064.t1	X
rna-XM_057812934.1	X	anno1.g12063.t1	X
rna-XM_057812955.1	X	anno1.g12062.t1	X
rna-XM_057800033.1	X	anno1.g2787.t1	A
rna-XM_057801677.1	X	anno1.g12232.t2	X
rna-XM_057814488.1	X	anno1.g12284.t1	X
rna-XM_057814476.1	X	anno1.g456.t1	A
rna-XM_057804534.1	X	anno1.g6884.t2	A
rna-XM_057806710.1	X	anno1.g12194.t1	X
rna-XM_057801690.1	X	anno1.g12233.t3	X
rna-XM_057796862.1	X	anno1.g8638.t2	A
rna-XM_057796935.1	X	anno1.g12195.t1	X
rna-XM_057796848.1	X	anno1.g11559.t1	X
rna-XM_057796984.1	X	anno1.g12286.t4	X
rna-XM_057796910.1	X	anno1.g12129.t1	X
rna-XM_057796962.1	X	anno1.g10497.t1	A
rna-XM_057796894.1	X	anno1.g9697.t1	A
rna-XM_057797885.1	X	anno1.g11950.t1	X
rna-XM_057801614.1	X	anno1.g12288.t1	X
rna-XM_057809985.1	X	anno1.g11942.t1	X
rna-XM_057815989.1	X	anno1.g12211.t1	X
rna-XM_057798336.1	X	anno1.g12207.t1	X
rna-XM_057816480.1	X	anno1.g8263.t1	A
rna-XM_057806318.1	X	anno1.g11851.t1	X
rna-XM_057797120.1	X	anno1.g12150.t1	X
rna-XM_057797385.1	X	anno1.g12151.t1	X
rna-XM_057797602.1	X	anno1.g12152.t1	X
rna-XM_057802737.1	X	anno1.g12307.t1	X
rna-XM_057810066.1	X	anno1.g12174.t2	X
rna-XM_057810281.1	X	anno1.g12175.t1	X
rna-XM_057810091.1	X	anno1.g12189.t1	X
rna-XM_057810120.1	X	anno1.g12188.t1	X
rna-XM_057794969.1	X	anno1.g12187.t1	X
rna-XM_057794957.1	X	anno1.g12156.t1	X
rna-XM_057794980.1	X	anno1.g12148.t1	X
rna-XM_057801745.1	X	anno1.g12275.t1	X
rna-XM_057816680.1	X	anno1.g12014.t1	X
rna-XM_057797603.1	X	anno1.g12271.t1	X
rna-XM_057799680.1	X	anno1.g11980.t1	X
rna-XM_057796449.1	X	anno1.g12177.t1	X
rna-XM_057813866.1	X	anno1.g12018.t1	X
rna-XM_057813888.1	X	anno1.g12020.t1	X
rna-XM_057813877.1	X	anno1.g9239.t1	A
rna-XM_057813853.1	X	anno1.g11857.t1	X
rna-XM_057813104.1	X	anno1.g12019.t1	X
rna-XM_057815996.1	X	anno1.g5513.t1	A
rna-XM_057805469.1	X	anno1.g11903.t2	X
rna-XM_057805482.1	X	anno1.g11904.t3	X
rna-XM_057805555.1	X	anno1.g12213.t1	X
rna-XM_057805579.1	X	anno1.g12326.t1	X
rna-XM_057805606.1	X	anno1.g12219.t1	X
rna-XM_057805640.1	X	anno1.g12132.t1	X
rna-XM_057805654.1	X	anno1.g3610.t1	A
rna-XM_057805621.1	X	anno1.g12106.t1	X
rna-XM_057805696.1	X	anno1.g12200.t1	X
rna-XM_057805720.1	X	anno1.g11853.t1	X
rna-XM_057805753.1	X	anno1.g12294.t1	X
rna-XM_057801775.1	X	anno1.g12149.t1	X
rna-XM_057805763.1	X	anno1.g12178.t1	X
rna-XM_057805816.1	X	anno1.g11983.t1	X
rna-XM_057805897.1	X	anno1.g11984.t1	X
rna-XM_057805858.1	X	anno1.g11987.t1	X
rna-XM_057805884.1	X	anno1.g11985.t1	X
rna-XM_057805909.1	X	anno1.g12134.t1	X
rna-XM_057805936.1	X	anno1.g12133.t1	X
rna-XM_057805948.1	X	anno1.g4188.t1	A
rna-XM_057805976.1	X	anno1.g11969.t1	X
rna-XM_057805995.1	X	anno1.g12079.t1	X
rna-XM_057806006.1	X	anno1.g12154.t1	X
rna-XM_057806024.1	X	anno1.g12153.t1	X
rna-XM_057806037.1	X	anno1.g10498.t2	A
rna-XM_057806056.1	X	anno1.g12309.t1	X
rna-XM_057801788.1	X	anno1.g12201.t1	X
rna-XM_057806177.1	X	anno1.g11946.t1	X
rna-XM_057816881.1	X	anno1.g11847.t1	X
rna-XM_057816917.1	X	anno1.g11845.t1	X
rna-XM_057795666.1	X	anno1.g12198.t1	X
rna-XM_057810807.1	X	anno1.g11954.t1	X
rna-XM_057807005.1	X	anno1.g11909.t1	X
rna-XM_057806113.1	X	anno1.g11910.t1	X
rna-XM_057804862.1	X	anno1.g11861.t1	X
rna-XM_057796413.1	X	anno1.g12199.t3	X
rna-XM_057816809.1	X	anno1.g9711.t1	A
rna-XM_057810458.1	X	anno1.g12065.t1	X
rna-XM_057810437.1	X	anno1.g12066.t1	X
rna-XM_057806689.1	X	anno1.g12270.t1	X
rna-XM_057815753.1	X	anno1.g12267.t1	X
rna-XM_057803631.1	X	anno1.g12234.t1	X
rna-XM_057797774.1	X	anno1.g12003.t1	X
rna-XM_057806339.1	X	anno1.g11918.t2	X
rna-XM_057807185.1	X	anno1.g11919.t1	X
rna-XM_057807237.1	X	anno1.g12002.t1	X
rna-XM_057807263.1	X	anno1.g11902.t2	X
rna-XM_057807250.1	X	anno1.g12026.t1	X
rna-XM_057804301.1	X	anno1.g7722.t1	A
rna-XM_057798800.1	X	anno1.g11916.t4	X
rna-XM_057798904.1	X	anno1.g11972.t1	X
rna-XM_057799056.1	X	anno1.g12289.t1	X
rna-XM_057799069.1	X	anno1.g12291.t1	X
rna-XM_057799081.1	X	anno1.g11914.t2	X
rna-XM_057799142.1	X	anno1.g12192.t1	X
rna-XM_057799148.1	X	anno1.g12197.t1	X
rna-XM_057799215.1	X	anno1.g12274.t1	X
rna-XM_057799252.1	X	anno1.g1878.t1	A
rna-XM_057799283.1	X	anno1.g11895.t1	X
rna-XM_057799294.1	X	anno1.g3080.t1	A
rna-XM_057801798.1	X	anno1.g12038.t1	X
rna-XM_057799353.1	X	anno1.g12039.t1	X
rna-XM_057799371.1	X	anno1.g11990.t1	X
rna-XM_057799412.1	X	anno1.g11988.t1	X
rna-XM_057799425.1	X	anno1.g11989.t1	X
rna-XM_057799437.1	X	anno1.g11906.t1	X
rna-XM_057799451.1	X	anno1.g11907.t1	X
rna-XM_057799462.1	X	anno1.g11991.t1	X
rna-XM_057799477.1	X	anno1.g12124.t1	X
rna-XM_057799560.1	X	anno1.g11555.t1	X
rna-XM_057799574.1	X	anno1.g11556.t1	X
rna-XM_057799517.1	X	anno1.g11548.t1	X
rna-XM_057799503.1	X	anno1.g7107.t1	A
rna-XM_057799585.1	X	anno1.g11994.t1	X
rna-XM_057797906.1	X	anno1.g12096.t1	X
rna-XM_057797761.1	X	anno1.g12023.t1	X
rna-XM_057813371.1	X	anno1.g11928.t2	X
rna-XM_057807172.1	X	anno1.g11855.t1	X
rna-XM_057809569.1	X	anno1.g12146.t5	X
rna-XM_057811919.1	X	anno1.g12021.t1	X
rna-XM_057798190.1	X	anno1.g12024.t1	X
rna-XM_057799997.1	X	anno1.g11923.t1	X
rna-XM_057800008.1	X	anno1.g4006.t1	A
rna-XM_057795468.1	X	anno1.g12099.t1	X
rna-XM_057803918.1	X	anno1.g12306.t1	X
rna-XM_057796496.1	X	anno1.g12315.t1	X
rna-XM_057806519.1	X	anno1.g12316.t2	X
rna-XM_057816197.1	X	anno1.g12314.t1	X
rna-XM_057816165.1	X	anno1.g11896.t1	X
rna-XM_057816076.1	X	anno1.g2041.t2	A
rna-XM_057816127.1	X	anno1.g2042.t1	A
rna-XM_057816155.1	X	anno1.g12041.t2	X
rna-XM_057816110.1	X	anno1.g11558.t1	X
rna-XM_057816208.1	X	anno1.g12290.t1	X
rna-XM_057816116.1	X	anno1.g11920.t1	X
rna-XM_057816176.1	X	anno1.g12081.t1	X
rna-XM_057795420.1	X	anno1.g12080.t1	X
rna-XM_057795432.1	X	anno1.g12082.t1	X
rna-XM_057805218.1	X	anno1.g12084.t1	X
rna-XM_057803588.1	X	anno1.g12083.t1	X
rna-XM_057808359.1	X	anno1.g12085.t1	X
rna-XM_057808559.1	X	anno1.g11976.t1	X
rna-XM_057808852.1	X	anno1.g12265.t1	X
rna-XM_057815961.1	X	anno1.g12263.t1	X
rna-XM_057799549.1	X	anno1.g12256.t1	X
rna-XM_057804134.1	X	anno1.g12257.t1	X
rna-XM_057804190.1	X	anno1.g12258.t1	X
rna-XM_057804178.1	X	anno1.g12259.t1	X
rna-XM_057804156.1	X	anno1.g12260.t1	X
rna-XM_057804217.1	X	anno1.g12261.t3	X
rna-XM_057795479.1	X	anno1.g12255.t1	X
rna-XM_057802525.1	X	anno1.g12253.t1	X
rna-XM_057816547.1	X	anno1.g11943.t1	X
rna-XM_057795349.1	X	anno1.g5810.t1	A
rna-XM_057795401.1	X	anno1.g12190.t1	X
rna-XM_057816597.1	X	anno1.g12160.t1	X
rna-XM_057815893.1	X	anno1.g12027.t1	X
rna-XM_057798125.1	X	anno1.g6761.t1	A
rna-XM_057798137.1	X	anno1.g12102.t1	X
rna-XM_057804339.1	X	anno1.g12101.t1	X
rna-XM_057802665.1	X	anno1.g11890.t2	X
rna-XM_057803462.1	X	anno1.g12287.t1	X
rna-XM_057807029.1	X	anno1.g324.t1	A
rna-XM_057815786.1	X	anno1.g3490.t1	A
rna-XM_057815850.1	X	anno1.g12112.t1	X
rna-XM_057815808.1	X	anno1.g12116.t1	X
rna-XM_057802951.1	X	anno1.g12117.t1	X
rna-XM_057802969.1	X	anno1.g12118.t1	X
rna-XM_057805423.1	X	anno1.g11929.t1	X
rna-XM_057796697.1	X	anno1.g11931.t2	X
rna-XM_057803061.1	X	anno1.g11949.t1	X
rna-XM_057804422.1	X	anno1.g10131.t1	A
rna-XM_057816341.1	X	anno1.g11852.t1	X
rna-XM_057799806.1	X	anno1.g12031.t2	X
rna-XM_057799844.1	X	anno1.g12252.t1	X
rna-XM_057799831.1	X	anno1.g9462.t1	A
rna-XM_057799877.1	X	anno1.g11901.t1	X
rna-XM_057799863.1	X	anno1.g11898.t1	X
rna-XM_057801892.1	X	anno1.g11850.t1	X
rna-XM_057806536.1	X	anno1.g11951.t2	X
rna-XM_057816370.1	X	anno1.g12299.t1	X
rna-XM_057807952.1	X	anno1.g12170.t1	X
rna-XM_057805148.1	X	anno1.g12251.t1	X
rna-XM_057804672.1	X	anno1.g12143.t1	X
rna-XM_057804781.1	X	anno1.g11982.t1	X
rna-XM_057809804.1	X	anno1.g7699.t1	A
rna-XM_057809833.1	X	anno1.g12295.t1	X
rna-XM_057809864.1	X	anno1.g11952.t2	X
rna-XM_057802490.1	X	anno1.g11915.t1	X
rna-XM_057799914.1	X	anno1.g12095.t1	X
rna-XM_057799805.1	X	anno1.g12094.t1	X
rna-XM_057815904.1	X	anno1.g12093.t1	X
rna-XM_057807197.1	X	anno1.g12092.t2	X
rna-XM_057802439.1	X	anno1.g7431.t1	A
rna-XM_057814390.1	X	anno1.g12312.t1	X
rna-XM_057814403.1	X	anno1.g2587.t1	A
rna-XM_057811079.1	X	anno1.g11970.t1	X
rna-XM_057811003.1	X	anno1.g12125.t1	X
rna-XM_057811583.1	X	anno1.g12126.t1	X
rna-XM_057811883.1	X	anno1.g11905.t1	X
rna-XM_057812014.1	X	anno1.g12226.t1	X
rna-XM_057813184.1	X	anno1.g12283.t1	X
rna-XM_057814055.1	X	anno1.g11891.t1	X
rna-XM_057814266.1	X	anno1.g12191.t1	X
rna-XM_057815146.1	X	anno1.g12212.t1	X
rna-XM_057815013.1	X	anno1.g1775.t1	A
rna-XM_057815259.1	X	anno1.g12205.t1	X
rna-XM_057815321.1	X	anno1.g12057.t2	X
rna-XM_057815440.1	X	anno1.g12056.t1	X
rna-XM_057801009.1	X	anno1.g11936.t2	X
rna-XM_057795183.1	X	anno1.g12247.t1	X
rna-XM_057815480.1	X	anno1.g12248.t1	X
rna-XM_057815495.1	X	anno1.g12249.t1	X
rna-XM_057815459.1	X	anno1.g12250.t1	X
rna-XM_057795471.1	X	anno1.g12078.t1	X
rna-XM_057802544.1	X	anno1.g12076.t2	X
rna-XM_057794913.1	X	anno1.g11834.t3	X
rna-XM_057803514.1	X	anno1.g12075.t2	X
rna-XM_057803539.1	X	anno1.g11939.t1	X
rna-XM_057803553.1	X	anno1.g11940.t1	X
rna-XM_057801078.1	X	anno1.g12110.t1	X
rna-XM_057806291.1	X	anno1.g11998.t1	X
rna-XM_057795182.1	X	anno1.g12005.t1	X
rna-XM_057795469.1	X	anno1.g11859.t1	X
rna-XM_057801925.1	X	anno1.g9669.t1	A
rna-XM_057802121.1	X	anno1.g12184.t1	X
rna-XM_057795085.1	X	anno1.g11974.t2	X
rna-XM_057810935.1	X	anno1.g4567.t1	A
rna-XM_057810970.1	X	anno1.g12008.t1	X
rna-XM_057810957.1	X	anno1.g3284.t1	A
rna-XM_057810917.1	X	anno1.g11892.t1	X
rna-XM_057812967.1	X	anno1.g12070.t2	X
rna-XM_057816426.1	X	anno1.g12072.t3	X
rna-XM_057801962.1	X	anno1.g4522.t1	A
rna-XM_057799772.1	X	anno1.g11953.t1	X
rna-XM_057797261.1	X	anno1.g12278.t1	X
rna-XM_057797274.1	X	anno1.g12033.t1	X
rna-XM_057803709.1	X	anno1.g12269.t1	X
rna-XM_057811115.1	X	anno1.g2922.t1	A
rna-XM_057811126.1	X	anno1.g12173.t1	X
rna-XM_057807177.1	X	anno1.g12141.t3	X
rna-XM_057802611.1	X	anno1.g12281.t1	X
rna-XM_057802638.1	X	anno1.g11557.t1	X
rna-XM_057806484.1	X	anno1.g12322.t1	X
rna-XM_057816048.1	X	anno1.g12121.t1	X
rna-XM_057816168.1	X	anno1.g12119.t3	X
rna-XM_057816454.1	X	anno1.g4240.t1	A
rna-XM_057812630.1	X	anno1.g12091.t1	X
rna-XM_057812596.1	X	anno1.g1269.t2	A
rna-XM_057804230.1	X	anno1.g12108.t1	X
rna-XM_057813383.1	X	anno1.g15.t1	A
rna-XM_057801984.1	X	anno1.g12012.t1	X
rna-XM_057801165.1	X	anno1.g12293.t1	X
rna-XM_057806191.1	X	anno1.g12224.t1	X
rna-XM_057806209.1	X	anno1.g12157.t1	X
rna-XM_057799733.1	X	anno1.g10877.t1	A
rna-XM_057810640.1	X	anno1.g12136.t1	X
rna-XM_057810662.1	X	anno1.g12135.t2	X
rna-XM_057810822.1	X	anno1.g2017.t2	A
rna-XM_057811322.1	X	anno1.g11908.t1	X
rna-XM_057816869.1	X	anno1.g12325.t1	X
rna-XM_057810880.1	X	anno1.g12305.t1	X
rna-XM_057794999.1	X	anno1.g12032.t1	X
rna-XM_057804374.1	X	anno1.g12036.t2	X
rna-XM_057803025.1	X	anno1.g12221.t1	X
rna-XM_057806400.1	X	anno1.g12045.t1	X
rna-XM_057812493.1	X	anno1.g12013.t1	X
rna-XM_057812521.1	X	anno1.g12051.t1	X
rna-XM_057803493.1	X	anno1.g12185.t1	X
rna-XM_057802024.1	X	anno1.g6231.t1	A
rna-XM_057802757.1	X	anno1.g12171.t2	X
rna-XM_057802854.1	X	anno1.g1050.t2	A
rna-XM_057802866.1	X	anno1.g12001.t2	X
rna-XM_057796611.1	X	anno1.g7108.t1	A
rna-XM_057798757.1	X	anno1.g4889.t1	A
rna-XM_057795159.1	X	anno1.g7738.t1	A
rna-XM_057805387.1	X	anno1.g7736.t1	A
rna-XM_057809584.1	X	anno1.g7647.t1	A
