D_carinulata	chromosome	C_maculatus	chromosome
rna-XM_057810629.1	X	g1516.t1	X
rna-XM_057796400.1	X	g10054.t1	A
rna-XM_057808334.1	X	g1473.t1	X
rna-XM_057803668.1	X	g1474.t1	X
rna-XM_057803644.1	X	g1475.t1	X
rna-XM_057803655.1	X	g1476.t1	X
rna-XM_057802498.1	X	g1477.t1	X
rna-XM_057806581.1	X	g1498.t1	X
rna-XM_057816659.1	X	g1722.t1	X
rna-XM_057804472.1	X	g7262.t1	X
rna-XM_057803382.1	X	g7461.t1	X
rna-XM_057802395.1	X	g6996.t1	A
rna-XM_057801532.1	X	g7270.t1	X
rna-XM_057813802.1	X	g1563.t1	X
rna-XM_057813693.1	X	g5153.t2	A
rna-XM_057813571.1	X	g1562.t1	X
rna-XM_057813603.1	X	g1561.t1	X
rna-XM_057813708.1	X	g2880.t1	X
rna-XM_057813824.1	X	g2879.t1	X
rna-XM_057813835.1	X	g2878.t1	X
rna-XM_057813646.1	X	g7456.t1	X
rna-XM_057797700.1	X	g1422.t1	X
rna-XM_057806380.1	X	g1459.t1	X
rna-XM_057806390.1	X	g1470.t1	X
rna-XM_057806464.1	X	g10712.t1	A
rna-XM_057801428.1	X	g7436.t1	X
rna-XM_057795445.1	X	g1721.t1	X
rna-XM_057802588.1	X	g1671.t1	X
rna-XM_057798323.1	X	g2892.t1	X
rna-XM_057802283.1	X	g3989.t2	A
rna-XM_057802272.1	X	g1724.t1	X
rna-XM_057811614.1	X	g1612.t1	X
rna-XM_057811646.1	X	g2871.t1	X
rna-XM_057816218.1	X	g2901.t4	X
rna-XM_057798313.1	X	g1603.t1	X
rna-XM_057811225.1	X	g7437.t2	X
rna-XM_057811252.1	X	g1615.t1	X
rna-XM_057811276.1	X	g2153.t2	A
rna-XM_057811260.1	X	g1668.t1	X
rna-XM_057797711.1	X	g1566.t1	X
rna-XM_057800069.1	X	g2882.t2	X
rna-XM_057800104.1	X	g2883.t1	X
rna-XM_057800117.1	X	g2881.t2	X
rna-XM_057800276.1	X	g1735.t1	X
rna-XM_057800287.1	X	g1546.t1	X
rna-XM_057800158.1	X	g1547.t1	X
rna-XM_057800195.1	X	g1714.t1	X
rna-XM_057800179.1	X	g1711.t1	X
rna-XM_057800267.1	X	g1731.t1	X
rna-XM_057800348.1	X	g1572.t1	X
rna-XM_057800361.1	X	g1610.t1	X
rna-XM_057800407.1	X	g3311.t1	A
rna-XM_057800373.1	X	g7462.t2	X
rna-XM_057800418.1	X	g11874.t1	A
rna-XM_057800438.1	X	g11873.t2	A
rna-XM_057800451.1	X	g406.t1	A
rna-XM_057800893.1	X	g1494.t1	X
rna-XM_057800793.1	X	g1481.t1	X
rna-XM_057800815.1	X	g1496.t1	X
rna-XM_057800843.1	X	g7272.t4	X
rna-XM_057805612.1	X	g9375.t1	A
rna-XM_057800598.1	X	g1509.t1	X
rna-XM_057805879.1	X	g618.t1	A
rna-XM_057800831.1	X	g1458.t1	X
rna-XM_057800697.1	X	g1135.t1	A
rna-XM_057800567.1	X	g1624.t1	X
rna-XM_057800774.1	X	g1625.t1	X
rna-XM_057800962.1	X	g1595.t2	X
rna-XM_057800906.1	X	g1596.t1	X
rna-XM_057800717.1	X	g7458.t7	X
rna-XM_057800460.1	X	g1578.t1	X
rna-XM_057800759.1	X	g7438.t4	X
rna-XM_057796468.1	X	g14655.t1	A
rna-XM_057810881.1	X	g1530.t1	X
rna-XM_057810893.1	X	g1514.t2	X
rna-XM_057796635.1	X	g7468.t1	X
rna-XM_057796658.1	X	g2870.t1	X
rna-XM_057808367.1	X	g1605.t1	X
rna-XM_057808412.1	X	g1736.t1	X
rna-XM_057808391.1	X	g1619.t1	X
rna-XM_057808461.1	X	g1616.t1	X
rna-XM_057803100.1	X	g1621.t1	X
rna-XM_057803181.1	X	g1590.t1	X
rna-XM_057803300.1	X	g1620.t1	X
rna-XM_057803309.1	X	g1413.t1	X
rna-XM_057803359.1	X	g12145.t1	A
rna-XM_057803348.1	X	g14474.t1	A
rna-XM_057801603.1	X	g1394.t1	X
rna-XM_057803371.1	X	g6400.t1	A
rna-XM_057803724.1	X	g10613.t1	A
rna-XM_057803749.1	X	g1505.t1	X
rna-XM_057803760.1	X	g8875.t1	A
rna-XM_057803782.1	X	g1570.t1	X
rna-XM_057803874.1	X	g1507.t1	X
rna-XM_057803894.1	X	g7419.t1	A
rna-XM_057798492.1	X	g1457.t1	X
rna-XM_057798479.1	X	g1597.t1	X
rna-XM_057815206.1	X	g1733.t1	X
rna-XM_057815494.1	X	g2618.t1	A
rna-XM_057815612.1	X	g5652.t1	A
rna-XM_057811657.1	X	g2128.t2	A
rna-XM_057811843.1	X	g1684.t1	X
rna-XM_057811906.1	X	g1694.t2	X
rna-XM_057811856.1	X	g8562.t1	A
rna-XM_057794892.1	X	g1674.t1	X
rna-XM_057802723.1	X	g1650.t2	X
rna-XM_057810536.1	X	g1676.t1	X
rna-XM_057810576.1	X	g1536.t1	X
rna-XM_057810522.1	X	g1659.t1	X
rna-XM_057798393.1	X	g1658.t1	X
rna-XM_057798373.1	X	g1670.t1	X
rna-XM_057811004.1	X	g1533.t2	X
rna-XM_057811047.1	X	g5744.t1	A
rna-XM_057814100.1	X	g1591.t3	X
rna-XM_057814121.1	X	g1592.t1	X
rna-XM_057814147.1	X	g1487.t1	X
rna-XM_057807136.1	X	g1713.t1	X
rna-XM_057811152.1	X	g1644.t1	X
rna-XM_057811169.1	X	g1630.t1	X
rna-XM_057812921.1	X	g1629.t1	X
rna-XM_057812934.1	X	g1628.t1	X
rna-XM_057812955.1	X	g1627.t2	X
rna-XM_057800033.1	X	g10.t1	A
rna-XM_057801677.1	X	g7434.t1	X
rna-XM_057814488.1	X	g1703.t2	X
rna-XM_057814476.1	X	g14115.t1	A
rna-XM_057804534.1	X	g11594.t1	A
rna-XM_057806710.1	X	g1485.t1	X
rna-XM_057801690.1	X	g7432.t1	X
rna-XM_057796935.1	X	g1396.t2	X
rna-XM_057796848.1	X	g7478.t1	X
rna-XM_057796984.1	X	g1695.t3	X
rna-XM_057796910.1	X	g1545.t1	X
rna-XM_057796962.1	X	g10643.t1	A
rna-XM_057796894.1	X	g4244.t1	A
rna-XM_057797885.1	X	g7259.t1	X
rna-XM_057801614.1	X	g1448.t1	X
rna-XM_057809985.1	X	g1534.t1	X
rna-XM_057815989.1	X	g1512.t1	X
rna-XM_057798336.1	X	g1513.t1	X
rna-XM_057806318.1	X	g1700.t1	X
rna-XM_057797120.1	X	g1429.t1	X
rna-XM_057797385.1	X	g1430.t1	X
rna-XM_057797602.1	X	g1431.t1	X
rna-XM_057802737.1	X	g1464.t1	X
rna-XM_057810066.1	X	g2863.t2	X
rna-XM_057810281.1	X	g2862.t1	X
rna-XM_057810091.1	X	g1491.t1	X
rna-XM_057810120.1	X	g1492.t1	X
rna-XM_057794969.1	X	g1493.t1	X
rna-XM_057794957.1	X	g2889.t2	X
rna-XM_057794980.1	X	g1428.t1	X
rna-XM_057802650.1	X	g1426.t2	X
rna-XM_057816680.1	X	g1655.t1	X
rna-XM_057797603.1	X	g2897.t7	X
rna-XM_057799680.1	X	g7268.t1	X
rna-XM_057796449.1	X	g2857.t1	X
rna-XM_057813866.1	X	g1660.t1	X
rna-XM_057813888.1	X	g1662.t1	X
rna-XM_057813877.1	X	g3986.t1	A
rna-XM_057813853.1	X	g1692.t1	X
rna-XM_057813104.1	X	g1661.t2	X
rna-XM_057815996.1	X	g13320.t1	A
rna-XM_057805469.1	X	g1399.t2	X
rna-XM_057805482.1	X	g1400.t1	X
rna-XM_057805555.1	X	g1510.t1	X
rna-XM_057805579.1	X	g1482.t2	X
rna-XM_057805606.1	X	g1506.t1	X
rna-XM_057805640.1	X	g1542.t1	X
rna-XM_057805696.1	X	g1518.t1	X
rna-XM_057805720.1	X	g1393.t1	X
rna-XM_057801775.1	X	g2851.t1	X
rna-XM_057805763.1	X	g2852.t3	X
rna-XM_057805816.1	X	g1441.t1	X
rna-XM_057805897.1	X	g1440.t1	X
rna-XM_057805858.1	X	g1539.t2	X
rna-XM_057805884.1	X	g1538.t1	X
rna-XM_057805909.1	X	g1540.t1	X
rna-XM_057805936.1	X	g1541.t1	X
rna-XM_057805948.1	X	g8483.t1	A
rna-XM_057805976.1	X	g7454.t2	X
rna-XM_057805995.1	X	g1649.t1	X
rna-XM_057806006.1	X	g1433.t1	X
rna-XM_057806024.1	X	g1432.t1	X
rna-XM_057806037.1	X	g10644.t1	A
rna-XM_057806056.1	X	g1466.t1	X
rna-XM_057806089.1	X	g907.t1	A
rna-XM_057806128.1	X	g1517.t1	X
rna-XM_057806177.1	X	g2130.t2	A
rna-XM_057816881.1	X	g5203.t1	X
rna-XM_057816917.1	X	g1696.t1	X
rna-XM_057795666.1	X	g1520.t1	X
rna-XM_057810807.1	X	g7257.t1	X
rna-XM_057807005.1	X	g1738.t1	X
rna-XM_057806113.1	X	g1686.t1	X
rna-XM_057804862.1	X	g1392.t1	X
rna-XM_057796413.1	X	g1519.t3	X
rna-XM_057816809.1	X	g4258.t1	A
rna-XM_057810458.1	X	g1631.t1	X
rna-XM_057810437.1	X	g1632.t1	X
rna-XM_057806689.1	X	g2898.t1	X
rna-XM_057803631.1	X	g7430.t1	X
rna-XM_057806339.1	X	g1679.t2	X
rna-XM_057807185.1	X	g1678.t1	X
rna-XM_057807237.1	X	g1576.t1	X
rna-XM_057807263.1	X	g1398.t1	X
rna-XM_057807250.1	X	g1614.t1	X
rna-XM_057804301.1	X	g5693.t1	A
rna-XM_057798800.1	X	g1681.t5	X
rna-XM_057798904.1	X	g7457.t1	X
rna-XM_057798916.1	X	g1502.t1	X
rna-XM_057799056.1	X	g1449.t1	X
rna-XM_057799069.1	X	g7420.t1	A
rna-XM_057799081.1	X	g1683.t3	X
rna-XM_057799142.1	X	g1488.t1	X
rna-XM_057799148.1	X	g1521.t1	X
rna-XM_057799215.1	X	g2894.t1	X
rna-XM_057799252.1	X	g14669.t1	A
rna-XM_057799283.1	X	g2885.t2	X
rna-XM_057799294.1	X	g268.t1	A
rna-XM_057801798.1	X	g1602.t1	X
rna-XM_057799353.1	X	g1601.t2	X
rna-XM_057799371.1	X	g1405.t2	X
rna-XM_057799412.1	X	g1407.t2	X
rna-XM_057799425.1	X	g1406.t1	X
rna-XM_057799437.1	X	g1402.t1	X
rna-XM_057799451.1	X	g1403.t1	X
rna-XM_057799462.1	X	g1404.t2	X
rna-XM_057799477.1	X	g1551.t1	X
rna-XM_057799560.1	X	g7472.t2	X
rna-XM_057799574.1	X	g7471.t1	X
rna-XM_057799517.1	X	g7467.t1	X
rna-XM_057799503.1	X	g11854.t1	A
rna-XM_057799585.1	X	g1569.t1	X
rna-XM_057797906.1	X	g1720.t1	X
rna-XM_057797761.1	X	g1665.t1	X
rna-XM_057813371.1	X	g1667.t2	X
rna-XM_057807172.1	X	g1702.t1	X
rna-XM_057811919.1	X	g1663.t1	X
rna-XM_057798190.1	X	g1666.t1	X
rna-XM_057799997.1	X	g1672.t1	X
rna-XM_057800008.1	X	g8085.t1	A
rna-XM_057795468.1	X	g1723.t1	X
rna-XM_057803918.1	X	g1463.t1	X
rna-XM_057796496.1	X	g1478.t1	X
rna-XM_057816197.1	X	g1480.t1	X
rna-XM_057816165.1	X	g2884.t1	X
rna-XM_057816127.1	X	g1368.t1	A
rna-XM_057816155.1	X	g1598.t1	X
rna-XM_057816110.1	X	g7469.t1	X
rna-XM_057816208.1	X	g1450.t1	X
rna-XM_057816116.1	X	g1677.t1	X
rna-XM_057816140.1	X	g1577.t1	X
rna-XM_057816176.1	X	g1705.t1	X
rna-XM_057795432.1	X	g1707.t3	X
rna-XM_057805218.1	X	g1709.t3	X
rna-XM_057803588.1	X	g1708.t1	X
rna-XM_057808359.1	X	g1710.t1	X
rna-XM_057808559.1	X	g7460.t1	X
rna-XM_057808852.1	X	g7441.t1	X
rna-XM_057801869.1	X	g8773.t1	A
rna-XM_057815961.1	X	g7440.t1	X
rna-XM_057798461.1	X	g7439.t1	X
rna-XM_057799549.1	X	g2913.t1	X
rna-XM_057804134.1	X	g2912.t1	X
rna-XM_057804190.1	X	g2911.t2	X
rna-XM_057804178.1	X	g2910.t1	X
rna-XM_057804156.1	X	g2908.t1	X
rna-XM_057804201.1	X	g2905.t1	X
rna-XM_057804217.1	X	g2903.t1	X
rna-XM_057795479.1	X	g2914.t1	X
rna-XM_057802525.1	X	g2916.t1	X
rna-XM_057801880.1	X	g2865.t1	X
rna-XM_057816547.1	X	g2876.t1	X
rna-XM_057795349.1	X	g13019.t2	A
rna-XM_057795401.1	X	g1490.t1	X
rna-XM_057816597.1	X	g7463.t1	X
rna-XM_057815893.1	X	g1613.t1	X
rna-XM_057798125.1	X	g11173.t1	A
rna-XM_057798137.1	X	g1727.t1	X
rna-XM_057804339.1	X	g1726.t1	X
rna-XM_057804327.1	X	g1725.t1	X
rna-XM_057802665.1	X	g1436.t1	X
rna-XM_057803462.1	X	g1687.t2	X
rna-XM_057807029.1	X	g5508.t1	A
rna-XM_057815786.1	X	g8190.t1	A
rna-XM_057815850.1	X	g1565.t1	X
rna-XM_057815808.1	X	g1560.t1	X
rna-XM_057802951.1	X	g3722.t1	A
rna-XM_057802969.1	X	g1558.t1	X
rna-XM_057805423.1	X	g1522.t2	X
rna-XM_057796697.1	X	g1524.t1	X
rna-XM_057803061.1	X	g7264.t4	X
rna-XM_057804422.1	X	g4651.t1	A
rna-XM_057816341.1	X	g1697.t1	X
rna-XM_057799806.1	X	g1609.t1	X
rna-XM_057799844.1	X	g2917.t1	X
rna-XM_057799831.1	X	g3695.t1	A
rna-XM_057799915.1	X	g2875.t1	X
rna-XM_057799877.1	X	g1397.t1	X
rna-XM_057799863.1	X	g2873.t1	X
rna-XM_057801892.1	X	g1701.t2	X
rna-XM_057806536.1	X	g7258.t2	X
rna-XM_057816370.1	X	g1451.t1	X
rna-XM_057807952.1	X	g2869.t2	X
rna-XM_057805148.1	X	g2918.t1	X
rna-XM_057804672.1	X	g1423.t1	X
rna-XM_057804781.1	X	g1442.t1	X
rna-XM_057809833.1	X	g1453.t1	X
rna-XM_057809864.1	X	g7255.t2	X
rna-XM_057802490.1	X	g1682.t1	X
rna-XM_057799914.1	X	g1719.t1	X
rna-XM_057799805.1	X	g1718.t1	X
rna-XM_057815904.1	X	g1717.t1	X
rna-XM_057807197.1	X	g1716.t1	X
rna-XM_057802439.1	X	g12160.t3	A
rna-XM_057814390.1	X	g1469.t1	X
rna-XM_057814403.1	X	g1255.t1	A
rna-XM_057811079.1	X	g7455.t1	X
rna-XM_057811003.1	X	g1549.t1	X
rna-XM_057811583.1	X	g1548.t1	X
rna-XM_057811883.1	X	g1401.t1	X
rna-XM_057813025.1	X	g7545.t1	A
rna-XM_057814055.1	X	g1435.t1	X
rna-XM_057814266.1	X	g1489.t1	X
rna-XM_057815146.1	X	g1511.t2	X
rna-XM_057815013.1	X	g2143.t1	A
rna-XM_057815259.1	X	g1515.t1	X
rna-XM_057815321.1	X	g1623.t2	X
rna-XM_057815440.1	X	g1622.t1	X
rna-XM_057801009.1	X	g1529.t2	X
rna-XM_057795183.1	X	g2922.t1	X
rna-XM_057815480.1	X	g2921.t1	X
rna-XM_057815495.1	X	g2920.t1	X
rna-XM_057815459.1	X	g2919.t1	X
rna-XM_057795471.1	X	g1648.t1	X
rna-XM_057802544.1	X	g1646.t2	X
rna-XM_057794913.1	X	g1690.t1	X
rna-XM_057803514.1	X	g1645.t1	X
rna-XM_057803539.1	X	g1531.t2	X
rna-XM_057803553.1	X	g1532.t1	X
rna-XM_057801078.1	X	g1567.t2	X
rna-XM_057806291.1	X	g1573.t1	X
rna-XM_057795182.1	X	g1579.t1	X
rna-XM_057795469.1	X	g1390.t1	X
rna-XM_057801925.1	X	g4236.t2	A
rna-XM_057802121.1	X	g2844.t1	X
rna-XM_057795085.1	X	g7459.t3	X
rna-XM_057810935.1	X	g8799.t1	A
rna-XM_057810970.1	X	g1582.t1	X
rna-XM_057810957.1	X	g3160.t1	A
rna-XM_057810917.1	X	g1434.t1	X
rna-XM_057812967.1	X	g1640.t1	X
rna-XM_057816426.1	X	g1643.t3	X
rna-XM_057799772.1	X	g7256.t1	X
rna-XM_057797261.1	X	g2890.t1	X
rna-XM_057797274.1	X	g1607.t1	X
rna-XM_057803709.1	X	g2899.t1	X
rna-XM_057811115.1	X	g419.t1	A
rna-XM_057811126.1	X	g2866.t1	X
rna-XM_057816397.1	X	g7453.t3	X
rna-XM_057807177.1	X	g1421.t3	X
rna-XM_057802611.1	X	g1537.t1	X
rna-XM_057802638.1	X	g7470.t1	X
rna-XM_057806484.1	X	g1472.t1	X
rna-XM_057816048.1	X	g1554.t1	X
rna-XM_057816168.1	X	g1555.t1	X
rna-XM_057816454.1	X	g8513.t1	A
rna-XM_057812630.1	X	g1715.t1	X
rna-XM_057812596.1	X	g14578.t2	A
rna-XM_057804230.1	X	g1734.t1	X
rna-XM_057813395.1	X	g1652.t1	X
rna-XM_057813383.1	X	g6826.t2	A
rna-XM_057801984.1	X	g1651.t1	X
rna-XM_057801165.1	X	g7418.t1	A
rna-XM_057806191.1	X	g1499.t2	X
rna-XM_057806209.1	X	g1439.t1	X
rna-XM_057799733.1	X	g10072.t1	A
rna-XM_057810640.1	X	g1410.t1	X
rna-XM_057810662.1	X	g1408.t2	X
rna-XM_057810822.1	X	g1484.t1	X
rna-XM_057811322.1	X	g1737.t1	X
rna-XM_057816869.1	X	g1483.t1	X
rna-XM_057810880.1	X	g1461.t1	X
rna-XM_057794999.1	X	g1608.t2	X
rna-XM_057804374.1	X	g1604.t1	X
rna-XM_057803025.1	X	g1504.t1	X
rna-XM_057806400.1	X	g1594.t1	X
rna-XM_057812493.1	X	g1654.t1	X
rna-XM_057812521.1	X	g1586.t1	X
rna-XM_057803493.1	X	g1495.t1	X
rna-XM_057802024.1	X	g12598.t1	A
rna-XM_057802757.1	X	g2867.t5	X
rna-XM_057802854.1	X	g5146.t1	A
rna-XM_057802866.1	X	g1575.t2	X
rna-XM_057796611.1	X	g11855.t1	A
rna-XM_057795159.1	X	g7659.t1	A
rna-XM_057805387.1	X	g7658.t1	A
rna-XM_057809584.1	X	g12488.t1	A
rna-XM_057809737.1	X	g1656.t3	X
rna-XM_057808490.1	X	g1585.t1	X
rna-XM_057808502.1	X	g1500.t1	X
rna-XM_057808528.1	X	g7660.t1	A
rna-XM_057808564.1	X	g7661.t1	A
rna-XM_057808549.1	X	g7662.t1	A
rna-XM_057808577.1	X	g7665.t1	A
rna-XM_057808589.1	X	g5676.t1	A
rna-XM_057808602.1	X	g5677.t1	A
rna-XM_057808642.1	X	g5678.t1	A
rna-XM_057808654.1	X	g12780.t1	A
rna-XM_057808667.1	X	g12774.t2	A
rna-XM_057808680.1	X	g12775.t2	A
rna-XM_057808763.1	X	g4976.t1	A
rna-XM_057802033.1	X	g9457.t1	A
rna-XM_057808853.1	X	g6149.t1	A
rna-XM_057808886.1	X	g5051.t1	A
rna-XM_057808909.1	X	g471.t1	A
rna-XM_057809337.1	X	g402.t1	A
rna-XM_057809326.1	X	g403.t1	A
rna-XM_057808922.1	X	g382.t1	A
rna-XM_057809266.1	X	g7745.t1	A
rna-XM_057809371.1	X	g6245.t1	A
rna-XM_057809349.1	X	g6246.t1	A
rna-XM_057808945.1	X	g6247.t2	A
rna-XM_057809382.1	X	g4703.t1	A
rna-XM_057809360.1	X	g7793.t1	A
rna-XM_057809277.1	X	g10838.t3	A
rna-XM_057809314.1	X	g10213.t1	A
rna-XM_057802888.1	X	g3955.t1	A
rna-XM_057809958.1	X	g2253.t1	A
rna-XM_057809959.1	X	g8004.t1	A
rna-XM_057809960.1	X	g3348.t1	A
rna-XM_057809972.1	X	g8008.t1	A
rna-XM_057809993.1	X	g8007.t1	A
rna-XM_057810005.1	X	g8005.t1	A
rna-XM_057810026.1	X	g8001.t1	A
rna-XM_057810039.1	X	g8000.t1	A
rna-XM_057810071.1	X	g8003.t2	A
rna-XM_057810059.1	X	g10915.t1	A
rna-XM_057800048.1	X	g3960.t1	A
rna-XM_057804109.1	X	g5108.t1	A
rna-XM_057802330.1	X	g11834.t1	A
rna-XM_057804121.1	X	g11836.t1	A
rna-XM_057794867.1	X	g5675.t1	A
rna-XM_057816935.1	X	g10842.t1	A
rna-XM_057796599.1	X	g10828.t3	A
rna-XM_057807626.1	X	g8416.t2	A
rna-XM_057795052.1	X	g9929.t1	A
rna-XM_057796523.1	X	g2704.t1	A
rna-XM_057802408.1	X	g2635.t1	A
rna-XM_057802399.1	X	g2634.t1	A
rna-XM_057794903.1	X	g2101.t1	A
rna-XM_057806968.1	X	g2145.t1	A
rna-XM_057806907.1	X	g2144.t1	A
rna-XM_057806938.1	X	g12666.t1	A
rna-XM_057806840.1	X	g1845.t1	A
rna-XM_057806926.1	X	g2102.t1	A
rna-XM_057806949.1	X	g2103.t2	A
rna-XM_057806859.1	X	g5050.t1	A
rna-XM_057813941.1	X	g9928.t1	A
rna-XM_057813953.1	X	g9927.t1	A
rna-XM_057813977.1	X	g9926.t1	A
rna-XM_057807526.1	X	g11350.t1	A
rna-XM_057807562.1	X	g11351.t2	A
rna-XM_057797916.1	X	g9923.t1	A
rna-XM_057806352.1	X	g9931.t1	A
rna-XM_057813229.1	X	g8015.t2	A
rna-XM_057813241.1	X	g11349.t1	A
rna-XM_057813252.1	X	g12749.t1	A
rna-XM_057813271.1	X	g12873.t1	A
rna-XM_057796488.1	X	g8484.t1	A
rna-XM_057796074.1	X	g11660.t1	A
rna-XM_057796363.1	X	g11352.t1	A
rna-XM_057796130.1	X	g5622.t2	A
rna-XM_057796196.1	X	g5624.t1	A
rna-XM_057796262.1	X	g5625.t1	A
rna-XM_057796336.1	X	g13667.t1	A
rna-XM_057796118.1	X	g13227.t1	A
rna-XM_057796274.1	X	g14826.t1	A
rna-XM_057796357.1	X	g3331.t1	A
rna-XM_057796350.1	X	g12491.t1	A
rna-XM_057796303.1	X	g5629.t1	A
rna-XM_057796394.1	X	g5631.t1	A
rna-XM_057816017.1	X	g5630.t1	A
rna-XM_057816031.1	X	g5632.t1	A
rna-XM_057807054.1	X	g5628.t1	A
rna-XM_057796423.1	X	g5679.t2	A
rna-XM_057805411.1	X	g5627.t1	A
rna-XM_057806591.1	X	g5626.t1	A
