C_chinensis	chromosome	C_maculatus	chromosome
anno1.g4816.t1	A	g10090.t1	A
anno1.g4817.t1	A	g10089.t1	A
anno1.g4818.t3	A	g10088.t1	A
anno1.g4819.t1	A	g10087.t1	A
anno1.g4820.t1	A	g10086.t1	A
anno1.g4821.t1	A	g10085.t1	A
anno1.g4823.t2	A	g10083.t4	A
anno1.g4772.t1	A	g1358.t1	A
anno1.g4773.t1	A	g1357.t2	A
anno1.g4774.t1	A	g1356.t1	A
anno1.g4776.t1	A	g1355.t1	A
anno1.g4777.t1	A	g1354.t1	A
anno1.g4778.t1	A	g1353.t2	A
anno1.g4779.t1	A	g1352.t1	A
anno1.g4780.t1	A	g1351.t1	A
anno1.g4781.t1	A	g1350.t1	A
anno1.g4782.t1	A	g1349.t1	A
anno1.g4783.t2	A	g1348.t1	A
anno1.g4784.t1	A	g1347.t1	A
anno1.g4785.t1	A	g1346.t1	A
anno1.g4786.t3	A	g1344.t1	A
anno1.g4787.t1	A	g11093.t1	A
anno1.g4788.t1	A	g1343.t1	A
anno1.g4789.t1	A	g1341.t1	A
anno1.g4790.t1	A	g1339.t1	A
anno1.g4791.t1	A	g1340.t1	A
anno1.g4792.t2	A	g1338.t2	A
anno1.g4793.t1	A	g1337.t1	A
anno1.g4794.t2	A	g1336.t2	A
anno1.g4795.t1	A	g1335.t1	A
anno1.g4796.t1	A	g1334.t1	A
anno1.g4797.t1	A	g1333.t1	A
anno1.g4798.t1	A	g1332.t1	A
anno1.g4800.t1	A	g1331.t1	A
anno1.g4801.t1	A	g1330.t1	A
anno1.g4802.t1	A	g1329.t1	A
anno1.g4803.t1	A	g1327.t1	A
anno1.g4804.t1	A	g1326.t1	A
anno1.g4805.t1	A	g1325.t1	A
anno1.g10342.t1	A	g5211.t1	X
anno1.g4752.t2	A	g2688.t1	A
anno1.g4753.t1	A	g2689.t2	A
anno1.g4754.t1	A	g2691.t2	A
anno1.g4755.t1	A	g2692.t1	A
anno1.g4756.t1	A	g2693.t1	A
anno1.g4757.t1	A	g2694.t1	A
anno1.g4758.t1	A	g2695.t1	A
anno1.g4759.t1	A	g2696.t1	A
anno1.g4760.t1	A	g2697.t1	A
anno1.g4761.t1	A	g2698.t1	A
anno1.g4762.t2	A	g2699.t1	A
anno1.g4763.t2	A	g2700.t1	A
anno1.g4764.t1	A	g2701.t1	A
anno1.g4765.t1	A	g2702.t1	A
anno1.g4766.t1	A	g2703.t1	A
anno1.g4767.t1	A	g2704.t1	A
anno1.g4768.t1	A	g2705.t1	A
anno1.g4769.t1	A	g8548.t1	A
anno1.g4770.t1	A	g8544.t1	A
anno1.g4771.t1	A	g8543.t2	A
anno1.g4721.t1	A	g13110.t1	A
anno1.g4722.t1	A	g8171.t1	A
anno1.g4723.t1	A	g8170.t1	A
anno1.g4724.t1	A	g13189.t1	A
anno1.g4725.t1	A	g8169.t1	A
anno1.g4726.t1	A	g8168.t1	A
anno1.g4727.t1	A	g8167.t1	A
anno1.g4729.t1	A	g8165.t1	A
anno1.g4731.t1	A	g8163.t1	A
anno1.g4732.t1	A	g8164.t1	A
anno1.g4733.t1	A	g8160.t1	A
anno1.g4734.t1	A	g8159.t1	A
anno1.g4735.t1	A	g8158.t1	A
anno1.g4736.t1	A	g8157.t1	A
anno1.g4737.t1	A	g8156.t1	A
anno1.g4738.t2	A	g8155.t2	A
anno1.g4739.t2	A	g8154.t1	A
anno1.g4740.t2	A	g8152.t2	A
anno1.g4741.t1	A	g8151.t1	A
anno1.g4742.t1	A	g8150.t2	A
anno1.g4743.t3	A	g8149.t1	A
anno1.g4744.t1	A	g8148.t1	A
anno1.g4745.t1	A	g8147.t1	A
anno1.g4746.t1	A	g8146.t1	A
anno1.g4748.t1	A	g8140.t1	A
anno1.g4710.t1	A	g1144.t1	A
anno1.g4711.t1	A	g1142.t2	A
anno1.g4712.t1	A	g1141.t1	A
anno1.g4713.t1	A	g1137.t1	A
anno1.g4714.t1	A	g1140.t1	A
anno1.g4715.t1	A	g1136.t2	A
anno1.g4716.t2	A	g1135.t1	A
anno1.g4717.t1	A	g1134.t1	A
anno1.g4699.t2	A	g1308.t3	A
anno1.g4701.t1	A	g1309.t1	A
anno1.g4702.t1	A	g1310.t1	A
anno1.g4703.t1	A	g1311.t1	A
anno1.g4704.t1	A	g1313.t1	A
anno1.g4705.t1	A	g13773.t1	A
anno1.g10306.t1	A	g4118.t1	A
anno1.g10302.t1	A	g4116.t1	A
anno1.g4696.t1	A	g8900.t1	A
anno1.g10296.t1	A	g7547.t1	A
anno1.g10299.t1	A	g7346.t1	A
anno1.g10300.t1	A	g7347.t1	A
anno1.g10289.t1	A	g14370.t1	A
anno1.g4685.t1	A	g8797.t1	A
anno1.g4689.t1	A	g8497.t2	A
anno1.g4691.t2	A	g8494.t1	A
anno1.g4694.t1	A	g12286.t1	A
anno1.g4695.t1	A	g8492.t1	A
anno1.g10285.t1	A	g3497.t1	A
anno1.g4664.t1	A	g9664.t1	A
anno1.g4665.t2	A	g9663.t2	A
anno1.g4666.t1	A	g9662.t2	A
anno1.g4667.t2	A	g14745.t2	A
anno1.g4669.t2	A	g14746.t1	A
anno1.g4670.t1	A	g14748.t1	A
anno1.g4671.t1	A	g14749.t1	A
anno1.g4673.t1	A	g1191.t1	A
anno1.g4674.t1	A	g14751.t1	A
anno1.g4675.t1	A	g1953.t1	A
anno1.g4677.t2	A	g14752.t2	A
anno1.g4678.t2	A	g14753.t2	A
anno1.g4679.t1	A	g14754.t1	A
anno1.g4680.t1	A	g14761.t1	A
anno1.g4682.t1	A	g14760.t1	A
anno1.g10279.t1	A	g587.t1	A
anno1.g10275.t1	A	g11119.t1	A
anno1.g4657.t1	A	g5157.t1	A
anno1.g4658.t1	A	g5158.t1	A
anno1.g4659.t1	A	g5159.t1	A
anno1.g4660.t1	A	g5160.t1	A
anno1.g4661.t1	A	g5161.t1	A
anno1.g4662.t1	A	g5163.t1	A
anno1.g10207.t1	A	g4107.t1	A
anno1.g10202.t1	A	g7886.t1	A
anno1.g10194.t1	A	g8321.t1	A
anno1.g10196.t2	A	g8319.t1	A
anno1.g4649.t1	A	g6659.t1	A
anno1.g4650.t1	A	g6557.t1	A
anno1.g4651.t1	A	g6661.t1	A
anno1.g4606.t1	A	g6735.t2	A
anno1.g4607.t1	A	g6736.t1	A
anno1.g4608.t2	A	g6737.t2	A
anno1.g4609.t1	A	g6738.t1	A
anno1.g4610.t1	A	g6739.t1	A
anno1.g4611.t1	A	g6740.t1	A
anno1.g4612.t1	A	g6741.t1	A
anno1.both_agree_g2172.t1	A	g6743.t1	A
anno1.g4614.t1	A	g6744.t1	A
anno1.g4615.t2	A	g6745.t1	A
anno1.g4616.t1	A	g6746.t1	A
anno1.g4617.t2	A	g6747.t2	A
anno1.g4618.t1	A	g6748.t1	A
anno1.g4619.t1	A	g6749.t1	A
anno1.g4620.t1	A	g6750.t1	A
anno1.g4621.t1	A	g6751.t1	A
anno1.g4622.t1	A	g6752.t1	A
anno1.g4623.t1	A	g6753.t1	A
anno1.g4624.t1	A	g6754.t1	A
anno1.g4625.t1	A	g6755.t2	A
anno1.g4626.t1	A	g6756.t1	A
anno1.g4627.t1	A	g6757.t1	A
anno1.g4628.t1	A	g6758.t1	A
anno1.g4629.t1	A	g6759.t1	A
anno1.g4630.t2	A	g6760.t1	A
anno1.g4631.t1	A	g6761.t1	A
anno1.g4632.t1	A	g6762.t1	A
anno1.g4633.t1	A	g6763.t1	A
anno1.g4634.t1	A	g6764.t1	A
anno1.g4635.t1	A	g6765.t1	A
anno1.g4636.t1	A	g6766.t1	A
anno1.both_agree_g2201.t3	A	g6767.t1	A
anno1.g4638.t1	A	g6768.t1	A
anno1.g4639.t2	A	g6769.t1	A
anno1.g4640.t1	A	g6770.t1	A
anno1.g4641.t1	A	g6771.t2	A
anno1.g4642.t1	A	g6772.t1	A
anno1.g4643.t2	A	g6773.t1	A
anno1.g4644.t1	A	g6774.t1	A
anno1.g10167.t1	A	g11140.t1	A
anno1.g4563.t1	A	g8503.t1	A
anno1.g4565.t1	A	g453.t1	A
anno1.g4566.t1	A	g452.t1	A
anno1.g4567.t1	A	g451.t3	A
anno1.g4568.t2	A	g450.t2	A
anno1.g4569.t1	A	g449.t1	A
anno1.g4571.t1	A	g448.t1	A
anno1.g4572.t1	A	g447.t1	A
anno1.g4573.t1	A	g444.t1	A
anno1.g4575.t2	A	g442.t1	A
anno1.g4577.t1	A	g441.t1	A
anno1.g4579.t1	A	g439.t2	A
anno1.g4580.t3	A	g438.t1	A
anno1.g4582.t1	A	g437.t1	A
anno1.g4583.t1	A	g436.t1	A
anno1.g4584.t1	A	g435.t1	A
anno1.g4585.t1	A	g434.t1	A
anno1.g4586.t1	A	g433.t1	A
anno1.g4587.t1	A	g432.t1	A
anno1.g4588.t1	A	g472.t1	A
anno1.g4589.t1	A	g473.t1	A
anno1.g4592.t1	A	g12181.t1	A
anno1.g4593.t2	A	g474.t1	A
anno1.g4594.t1	A	g475.t2	A
anno1.g4595.t2	A	g476.t1	A
anno1.g4596.t1	A	g477.t1	A
anno1.g4597.t1	A	g478.t1	A
anno1.g4600.t1	A	g2970.t1	A
anno1.g4548.t2	A	g4030.t1	A
anno1.g4549.t1	A	g4029.t2	A
anno1.g4551.t1	A	g4027.t2	A
anno1.g4552.t2	A	g4026.t1	A
anno1.g4554.t1	A	g4025.t1	A
anno1.g4555.t1	A	g4024.t1	A
anno1.g4556.t1	A	g4023.t2	A
anno1.g4557.t1	A	g4022.t2	A
anno1.g4558.t1	A	g4021.t1	A
anno1.g4559.t1	A	g4020.t1	A
anno1.g4560.t1	A	g4019.t1	A
anno1.g4561.t1	A	g4017.t1	A
anno1.g4547.t1	A	g1956.t1	A
anno1.g4545.t1	A	g3062.t1	A
anno1.g4546.t1	A	g12094.t1	A
anno1.g4533.t1	A	g4649.t1	A
anno1.g4534.t1	A	g4648.t1	A
anno1.g4536.t1	A	g4645.t1	A
anno1.g4538.t1	A	g4543.t1	A
anno1.g4539.t1	A	g4544.t1	A
anno1.g4540.t1	A	g4545.t2	A
anno1.g4528.t1	A	g3459.t1	A
anno1.g4529.t1	A	g14851.t1	A
anno1.g10130.t1	A	g6444.t1	A
anno1.g10128.t1	A	g2718.t1	A
anno1.g4517.t1	A	g4670.t1	A
anno1.g4519.t1	A	g4672.t1	A
anno1.g4523.t1	A	g4674.t1	A
anno1.g10124.t1	A	g9680.t1	A
anno1.g4478.t1	A	g6808.t1	A
anno1.g4479.t1	A	g6807.t1	A
anno1.g4480.t1	A	g6806.t1	A
anno1.g4481.t1	A	g6805.t2	A
anno1.g4482.t1	A	g6804.t1	A
anno1.g4483.t2	A	g6801.t1	A
anno1.g4484.t1	A	g6803.t1	A
anno1.g4485.t1	A	g6802.t1	A
anno1.g4486.t1	A	g6800.t1	A
anno1.g4487.t1	A	g6799.t1	A
anno1.g4489.t2	A	g6798.t1	A
anno1.g4490.t1	A	g6797.t1	A
anno1.g4491.t1	A	g6796.t1	A
anno1.g4492.t1	A	g6795.t2	A
anno1.g4493.t1	A	g6794.t1	A
anno1.g4494.t1	A	g6792.t1	A
anno1.g4495.t1	A	g6791.t1	A
anno1.g4496.t4	A	g6790.t3	A
anno1.g4497.t1	A	g6789.t1	A
anno1.g4498.t1	A	g6788.t1	A
anno1.g4499.t1	A	g6787.t1	A
anno1.g4500.t1	A	g6786.t1	A
anno1.g4501.t1	A	g6785.t1	A
anno1.g4502.t1	A	g6784.t1	A
anno1.g4503.t1	A	g6783.t1	A
anno1.g4504.t1	A	g6782.t1	A
anno1.g4505.t1	A	g6781.t1	A
anno1.g4506.t1	A	g6780.t1	A
anno1.g4507.t1	A	g6779.t1	A
anno1.g4508.t1	A	g6777.t1	A
anno1.g4509.t1	A	g6778.t1	A
anno1.g4510.t1	A	g6776.t1	A
anno1.g4511.t2	A	g6775.t1	A
anno1.g4461.t1	A	g1106.t2	A
anno1.g4462.t1	A	g1108.t1	A
anno1.g4463.t1	A	g1109.t1	A
anno1.g4464.t1	A	g1110.t1	A
anno1.g4465.t1	A	g1111.t2	A
anno1.g4466.t1	A	g1112.t1	A
anno1.g4467.t2	A	g1113.t2	A
anno1.g4468.t1	A	g1114.t1	A
anno1.g4469.t1	A	g1115.t1	A
anno1.g4470.t1	A	g1116.t1	A
anno1.g4471.t1	A	g1117.t1	A
anno1.g4472.t1	A	g1118.t1	A
anno1.g4473.t1	A	g1119.t1	A
anno1.g4474.t1	A	g1120.t1	A
anno1.g4475.t1	A	g1121.t1	A
anno1.g4476.t2	A	g1122.t2	A
anno1.g10081.t1	A	g13930.t2	A
anno1.g10082.t2	A	g13929.t1	A
anno1.g10084.t1	A	g13928.t1	A
anno1.g10091.t1	A	g13920.t1	A
anno1.g10074.t1	A	g10755.t1	A
anno1.g4456.t2	A	g14595.t1	A
anno1.g4457.t1	A	g14596.t1	A
anno1.g10064.t2	A	g5646.t1	A
anno1.g10067.t1	A	g5643.t2	A
anno1.g10069.t3	A	g5641.t1	A
anno1.g10071.t1	A	g5638.t1	A
anno1.g4440.t1	A	g6071.t1	A
anno1.g4443.t1	A	g6066.t1	A
anno1.g4444.t1	A	g6065.t1	A
anno1.g4446.t1	A	g6062.t1	A
anno1.g4447.t1	A	g6060.t1	A
anno1.g4448.t1	A	g6058.t1	A
anno1.g4450.t1	A	g6057.t1	A
anno1.g4453.t1	A	g6053.t1	A
anno1.g10042.t1	A	g10060.t1	A
anno1.g10043.t1	A	g10061.t1	A
anno1.g10035.t1	A	g10050.t2	A
anno1.g10036.t1	A	g10052.t1	A
anno1.g4435.t1	A	g12284.t1	A
anno1.g4438.t1	A	g12285.t1	A
anno1.g10025.t2	A	g5383.t2	A
anno1.g10017.t1	A	g2288.t2	A
anno1.g10020.t1	A	g2291.t2	A
anno1.g4429.t1	A	g12096.t1	A
anno1.g4430.t1	A	g12098.t2	A
anno1.g4431.t2	A	g12099.t4	A
anno1.g4432.t1	A	g12101.t1	A
anno1.g4433.t1	A	g12102.t1	A
anno1.g10015.t1	A	g14674.t3	A
anno1.g10011.t1	A	g2723.t2	A
anno1.g4396.t1	A	g12187.t1	A
anno1.g4397.t1	A	g12186.t1	A
anno1.g4398.t1	A	g12239.t1	A
anno1.g4399.t1	A	g12240.t1	A
anno1.g4400.t1	A	g12241.t1	A
anno1.g4401.t1	A	g12242.t1	A
anno1.g4402.t1	A	g12243.t1	A
anno1.g4403.t3	A	g12248.t1	A
anno1.g4404.t1	A	g12247.t1	A
anno1.g4405.t1	A	g12249.t1	A
anno1.g4406.t1	A	g12250.t1	A
anno1.g4407.t2	A	g12251.t1	A
anno1.g4408.t1	A	g12252.t1	A
anno1.g4409.t1	A	g12253.t1	A
anno1.g4410.t1	A	g12254.t1	A
anno1.g4411.t1	A	g12255.t1	A
anno1.g4412.t1	A	g12256.t1	A
anno1.g4414.t1	A	g12263.t1	A
anno1.g4415.t1	A	g12265.t1	A
anno1.g4416.t1	A	g12266.t1	A
anno1.g4417.t3	A	g12267.t2	A
anno1.g4418.t1	A	g12268.t1	A
anno1.g4421.t1	A	g12269.t1	A
anno1.g4422.t3	A	g12270.t1	A
anno1.g4423.t2	A	g12271.t1	A
anno1.g4378.t1	A	g10115.t1	A
anno1.g4379.t1	A	g10114.t1	A
anno1.g4380.t2	A	g10112.t1	A
anno1.g4381.t1	A	g10113.t1	A
anno1.g4382.t1	A	g10110.t1	A
anno1.g4383.t1	A	g10109.t2	A
anno1.g4386.t1	A	g10106.t2	A
anno1.g4387.t2	A	g10105.t1	A
anno1.g4388.t1	A	g10102.t1	A
anno1.g4389.t1	A	g10101.t2	A
anno1.g4393.t1	A	g10099.t1	A
anno1.g9968.t1	A	g187.t1	A
anno1.g9971.t1	A	g8772.t1	A
anno1.g4363.t1	A	g12312.t1	A
anno1.g4364.t2	A	g12315.t1	A
anno1.g4365.t1	A	g12321.t1	A
anno1.g4367.t1	A	g12322.t1	A
anno1.g4368.t1	A	g12323.t1	A
anno1.g4372.t1	A	g12327.t1	A
anno1.g9967.t1	A	g2709.t1	A
anno1.g9966.t1	A	g13969.t1	A
anno1.g9946.t1	A	g7866.t1	A
anno1.g9947.t1	A	g7865.t1	A
anno1.g9949.t2	A	g7864.t1	A
anno1.g9950.t1	A	g7863.t1	A
anno1.g9953.t1	A	g7861.t1	A
anno1.g9958.t1	A	g7856.t1	A
anno1.g9959.t1	A	g7855.t1	A
anno1.g9961.t1	A	g7854.t1	A
anno1.g9962.t1	A	g7851.t1	A
anno1.g4331.t1	A	g2153.t2	A
anno1.g4332.t1	A	g2151.t1	A
anno1.g4333.t1	A	g2150.t1	A
anno1.g4334.t1	A	g2149.t2	A
anno1.g4335.t1	A	g2148.t1	A
anno1.g4336.t1	A	g2147.t1	A
anno1.g4337.t1	A	g2146.t1	A
anno1.g4338.t1	A	g2145.t1	A
anno1.g4339.t2	A	g2144.t1	A
anno1.g4340.t1	A	g2143.t1	A
anno1.g4341.t1	A	g2142.t1	A
anno1.g4342.t1	A	g2141.t1	A
anno1.g4343.t1	A	g2140.t2	A
anno1.g4344.t1	A	g2139.t3	A
anno1.g4346.t1	A	g2138.t1	A
anno1.g4347.t1	A	g2137.t1	A
anno1.g4348.t1	A	g2136.t1	A
anno1.g4349.t1	A	g2134.t1	A
anno1.g4351.t2	A	g2133.t1	A
anno1.g4352.t19	A	g2132.t10	A
anno1.g4353.t1	A	g2131.t1	A
anno1.g4354.t1	A	g2130.t2	A
anno1.g4355.t1	A	g2129.t1	A
anno1.g4356.t1	A	g2128.t2	A
anno1.g4358.t5	A	g2127.t1	A
anno1.g4359.t1	A	g2126.t1	A
anno1.g9937.t1	A	g12634.t1	A
anno1.g4330.t1	A	g14198.t1	A
anno1.g9933.t1	A	g12625.t1	A
anno1.g9934.t1	A	g12626.t1	A
anno1.g9930.t1	A	g12631.t1	A
anno1.g9917.t1	A	g6455.t1	A
anno1.g4328.t1	A	g12598.t1	A
anno1.g4329.t1	A	g12600.t1	A
anno1.g9909.t1	A	g6460.t1	A
anno1.g9912.t1	A	g6463.t1	A
anno1.g9915.t1	A	g6464.t1	A
anno1.g9907.t1	A	g8453.t1	A
anno1.g4313.t1	A	g7638.t1	A
anno1.g4314.t1	A	g7641.t1	A
anno1.g4315.t1	A	g7643.t1	A
anno1.g4316.t1	A	g7644.t1	A
anno1.g4318.t1	A	g7645.t1	A
anno1.g4319.t1	A	g7646.t1	A
anno1.g4320.t1	A	g7647.t1	A
anno1.g4321.t1	A	g7648.t1	A
anno1.g4322.t1	A	g7649.t1	A
anno1.g4323.t1	A	g7650.t1	A
anno1.g4324.t1	A	g7651.t1	A
anno1.g4325.t1	A	g7652.t1	A
anno1.g4326.t1	A	g7653.t1	A
anno1.g4311.t1	A	g12751.t1	A
anno1.g9840.t1	A	g10320.t1	A
anno1.g9834.t1	A	g973.t1	A
anno1.g9835.t2	A	g974.t1	A
anno1.g4288.t1	A	g11610.t1	A
anno1.g4289.t1	A	g11612.t1	A
anno1.g4290.t1	A	g11614.t1	A
anno1.g4291.t1	A	g11615.t1	A
anno1.g4292.t2	A	g11617.t1	A
anno1.g4293.t1	A	g11618.t1	A
anno1.g4294.t1	A	g11621.t1	A
anno1.g4296.t1	A	g11622.t1	A
anno1.g4303.t1	A	g11624.t1	A
anno1.g4304.t1	A	g11625.t1	A
anno1.g4305.t1	A	g11626.t1	A
anno1.g4306.t1	A	g11627.t1	A
anno1.g4307.t1	A	g11629.t1	A
anno1.g4308.t1	A	g11630.t1	A
anno1.g9827.t1	A	g13972.t1	A
anno1.g9830.t1	A	g1074.t1	A
anno1.g4278.t1	A	g12195.t1	A
anno1.g4279.t1	A	g12194.t1	A
anno1.g4280.t1	A	g12193.t1	A
anno1.g4282.t1	A	g12192.t1	A
anno1.g4285.t3	A	g12189.t3	A
anno1.g9806.t1	A	g5286.t1	A
anno1.g9795.t1	A	g12310.t1	A
anno1.g4266.t1	A	g8466.t1	A
anno1.g4267.t1	A	g8467.t1	A
anno1.g4273.t1	A	g8469.t1	A
anno1.g4274.t1	A	g8472.t1	A
anno1.g9793.t1	A	g12343.t1	A
anno1.g4262.t1	A	g7818.t1	A
anno1.g4263.t1	A	g7817.t1	A
anno1.g4164.t1	A	g13573.t1	A
anno1.g4165.t1	A	g13574.t1	A
anno1.g4166.t1	A	g13766.t1	A
anno1.g4169.t1	A	g13576.t1	A
anno1.g4171.t1	A	g13577.t1	A
anno1.g4172.t1	A	g13579.t1	A
anno1.g4173.t1	A	g13580.t1	A
anno1.g4174.t1	A	g13581.t1	A
anno1.g4175.t1	A	g13582.t1	A
anno1.g4176.t1	A	g13583.t1	A
anno1.g4177.t1	A	g13584.t1	A
anno1.g4178.t1	A	g13585.t1	A
anno1.g4181.t1	A	g13540.t2	A
anno1.g4182.t1	A	g13541.t1	A
anno1.g4183.t2	A	g13542.t2	A
anno1.g4184.t1	A	g13543.t1	A
anno1.g4185.t1	A	g13544.t2	A
anno1.g4186.t1	A	g13545.t1	A
anno1.g4187.t1	A	g13546.t1	A
anno1.g4188.t1	A	g13547.t1	A
anno1.g4189.t1	A	g13548.t2	A
anno1.g4190.t1	A	g13549.t1	A
anno1.g4192.t1	A	g13550.t2	A
anno1.g4193.t2	A	g13551.t2	A
anno1.g4195.t2	A	g13552.t1	A
anno1.g4196.t1	A	g13454.t1	A
anno1.g4197.t1	A	g13453.t1	A
anno1.g4198.t1	A	g13452.t1	A
anno1.g4199.t1	A	g13451.t1	A
anno1.g4200.t1	A	g13450.t1	A
anno1.g4201.t1	A	g13449.t2	A
anno1.g4202.t2	A	g13448.t4	A
anno1.g4204.t1	A	g13447.t1	A
anno1.g4205.t1	A	g13446.t1	A
anno1.g4206.t1	A	g13445.t1	A
anno1.g4207.t1	A	g13444.t2	A
anno1.g4208.t1	A	g13443.t1	A
anno1.g4209.t1	A	g13442.t1	A
anno1.g4210.t1	A	g13441.t3	A
anno1.g4211.t2	A	g13439.t1	A
anno1.g4212.t2	A	g13440.t5	A
anno1.g4213.t1	A	g13438.t1	A
anno1.g4214.t3	A	g13437.t1	A
anno1.g4216.t1	A	g13436.t1	A
anno1.g4217.t1	A	g13435.t1	A
anno1.g4218.t1	A	g13434.t1	A
anno1.g4219.t1	A	g13433.t1	A
anno1.g4220.t1	A	g13432.t1	A
anno1.g4221.t1	A	g13431.t1	A
anno1.g4222.t2	A	g13430.t2	A
anno1.g4223.t1	A	g13429.t1	A
anno1.g4224.t1	A	g13428.t2	A
anno1.g4225.t1	A	g13427.t1	A
anno1.g4226.t1	A	g13426.t1	A
anno1.g4227.t2	A	g13425.t1	A
anno1.g4228.t1	A	g13424.t1	A
anno1.g4229.t1	A	g13423.t1	A
anno1.g4231.t1	A	g12424.t1	A
anno1.g4234.t1	A	g12426.t1	A
anno1.g4236.t1	A	g12427.t1	A
anno1.g4237.t1	A	g12428.t1	A
anno1.g4239.t1	A	g12432.t1	A
anno1.g4240.t1	A	g12434.t1	A
anno1.g4241.t1	A	g12435.t1	A
anno1.g4242.t2	A	g12436.t1	A
anno1.g4243.t1	A	g12437.t1	A
anno1.g4244.t4	A	g12438.t1	A
anno1.g4245.t1	A	g12439.t1	A
anno1.g4246.t1	A	g12441.t1	A
anno1.g4247.t1	A	g12442.t1	A
anno1.g4248.t1	A	g12443.t1	A
anno1.g4249.t2	A	g12444.t2	A
anno1.g4250.t1	A	g13347.t1	A
anno1.g4251.t1	A	g12446.t1	A
anno1.g4252.t1	A	g3253.t1	A
anno1.g4254.t1	A	g2750.t1	A
anno1.g4255.t1	A	g2751.t1	A
anno1.g4256.t1	A	g2752.t1	A
anno1.g4257.t16	A	g13352.t1	A
anno1.g4258.t1	A	g13353.t1	A
