C_maculatus	chromosome	B_varius	chromosome
g205.t1	A	anno1.g3150.t1	A
g206.t2	A	anno1.g3147.t1	A
g208.t1	A	anno1.g3146.t1	A
g211.t2	A	anno1.g3145.t2	A
g212.t3	A	anno1.g3144.t1	A
g214.t1	A	anno1.g3143.t2	A
g215.t2	A	anno1.g3142.t2	A
g216.t1	A	anno1.g3141.t1	A
g217.t1	A	anno1.g3140.t1	A
g218.t1	A	anno1.g3139.t1	A
g219.t1	A	anno1.g3138.t1	A
g220.t1	A	anno1.g3137.t1	A
g221.t1	A	anno1.g3136.t2	A
g222.t1	A	anno1.g3135.t1	A
g224.t1	A	anno1.g3131.t1	A
g225.t1	A	anno1.g3130.t1	A
g226.t1	A	anno1.g3129.t1	A
g227.t1	A	anno1.g3128.t1	A
g228.t1	A	anno1.g3127.t1	A
g229.t1	A	anno1.g3126.t1	A
g230.t1	A	anno1.g3125.t1	A
g231.t1	A	anno1.g3124.t1	A
g232.t1	A	anno1.g3123.t1	A
g233.t1	A	anno1.g3120.t1	A
g237.t1	A	anno1.g3118.t1	A
g239.t1	A	anno1.g3116.t1	A
g240.t1	A	anno1.g3115.t1	A
g242.t1	A	anno1.g3112.t1	A
g243.t1	A	anno1.g3111.t1	A
g244.t1	A	anno1.g3099.t1	A
g245.t1	A	anno1.g3098.t1	A
g247.t1	A	anno1.g3097.t1	A
g248.t3	A	anno1.g3096.t1	A
g249.t1	A	anno1.g3095.t1	A
g250.t1	A	anno1.g3093.t1	A
g252.t1	A	anno1.g3092.t1	A
g255.t1	A	anno1.g3091.t1	A
g256.t1	A	anno1.g3090.t1	A
g257.t1	A	anno1.g3089.t1	A
g258.t1	A	anno1.g3087.t1	A
g259.t1	A	anno1.g3086.t1	A
g260.t1	A	anno1.g3085.t1	A
g261.t1	A	anno1.g3084.t1	A
g263.t1	A	anno1.g3083.t1	A
g264.t1	A	anno1.g3082.t1	A
g267.t1	A	anno1.g3049.t1	A
g268.t1	A	anno1.g3080.t1	A
g269.t1	A	anno1.g3079.t2	A
g270.t1	A	anno1.g3077.t1	A
g274.t1	A	anno1.g3074.t1	A
g275.t1	A	anno1.g3073.t1	A
g276.t1	A	anno1.g3072.t1	A
g277.t1	A	anno1.g3071.t1	A
g278.t2	A	anno1.g3070.t1	A
g279.t1	A	anno1.g3069.t1	A
g280.t1	A	anno1.g3068.t1	A
g281.t1	A	anno1.g3067.t1	A
g282.t1	A	anno1.g3066.t1	A
g283.t2	A	anno1.g3065.t1	A
g285.t2	A	anno1.g3064.t1	A
g286.t1	A	anno1.g3063.t1	A
g287.t1	A	anno1.g3014.t1	A
g288.t1	A	anno1.g3013.t1	A
g289.t1	A	anno1.g3012.t1	A
g290.t1	A	anno1.g3011.t1	A
g291.t2	A	anno1.both_agree_g6056.t1	A
g295.t1	A	anno1.g2529.t1	A
g298.t1	A	anno1.g2998.t2	A
g299.t1	A	anno1.g2997.t1	A
g300.t1	A	anno1.g3041.t1	A
g301.t1	A	anno1.g3043.t1	A
g302.t1	A	anno1.g3044.t1	A
g304.t1	A	anno1.g3045.t1	A
g309.t1	A	anno1.g3055.t1	A
g310.t3	A	anno1.g3058.t1	A
g312.t1	A	anno1.g3059.t1	A
g313.t1	A	anno1.g3061.t1	A
g314.t1	A	anno1.g3062.t1	A
g315.t1	A	anno1.g2983.t1	A
g316.t1	A	anno1.g2982.t1	A
g317.t3	A	anno1.g2981.t2	A
g319.t2	A	anno1.g2980.t1	A
g320.t1	A	anno1.g2979.t1	A
g321.t1	A	anno1.g2978.t1	A
g323.t1	A	anno1.g2977.t1	A
g324.t1	A	anno1.g2976.t1	A
g326.t1	A	anno1.g2975.t1	A
g327.t2	A	anno1.g2973.t2	A
g328.t1	A	anno1.g2972.t1	A
g329.t1	A	anno1.g2969.t1	A
g330.t1	A	anno1.g2967.t1	A
g334.t1	A	anno1.g2407.t1	A
g335.t1	A	anno1.g2964.t1	A
g336.t1	A	anno1.g2963.t1	A
g337.t2	A	anno1.g2962.t2	A
g339.t1	A	anno1.g2960.t1	A
g341.t1	A	anno1.g2959.t1	A
g342.t1	A	anno1.g2958.t1	A
g344.t3	A	anno1.g2955.t2	A
g345.t1	A	anno1.g2954.t1	A
g349.t1	A	anno1.g2953.t1	A
g350.t1	A	anno1.g2951.t1	A
g352.t1	A	anno1.g2950.t1	A
g358.t1	A	anno1.g2947.t1	A
g359.t1	A	anno1.g3040.t1	A
g360.t2	A	anno1.g3039.t2	A
g361.t1	A	anno1.g3038.t1	A
g362.t1	A	anno1.g3037.t1	A
g363.t1	A	anno1.g3035.t1	A
g364.t1	A	anno1.g3034.t1	A
g365.t2	A	anno1.g3033.t1	A
g368.t1	A	anno1.g3032.t1	A
g369.t1	A	anno1.g3031.t1	A
g370.t1	A	anno1.g3030.t1	A
g371.t3	A	anno1.g3028.t3	A
g373.t1	A	anno1.g3027.t1	A
g374.t1	A	anno1.g3025.t1	A
g376.t1	A	anno1.g3026.t1	A
g377.t2	A	anno1.g3024.t2	A
g378.t1	A	anno1.g3023.t1	A
g379.t1	A	anno1.g3022.t1	A
g381.t1	A	anno1.g3021.t1	A
g382.t1	A	anno1.g3015.t1	A
g384.t1	A	anno1.g3018.t1	A
g393.t1	A	anno1.g2995.t1	A
g394.t1	A	anno1.g2996.t1	A
g395.t1	A	anno1.g2940.t1	A
g399.t1	A	anno1.g2942.t1	A
g400.t1	A	anno1.g2941.t1	A
g402.t1	A	anno1.g2938.t1	A
g403.t1	A	anno1.g2937.t1	A
g404.t1	A	anno1.g2936.t1	A
g405.t1	A	anno1.g2932.t1	A
g406.t1	A	anno1.g2930.t1	A
g407.t1	A	anno1.g2929.t1	A
g409.t2	A	anno1.g2928.t3	A
g411.t1	A	anno1.g2926.t1	A
g412.t1	A	anno1.g2925.t1	A
g413.t1	A	anno1.g2924.t1	A
g415.t1	A	anno1.g2923.t1	A
g416.t1	A	anno1.g7899.t1	A
g419.t1	A	anno1.g2922.t1	A
g420.t1	A	anno1.g2921.t2	A
g421.t1	A	anno1.g2920.t1	A
g422.t1	A	anno1.g2919.t1	A
g423.t1	A	anno1.g2918.t1	A
g425.t1	A	anno1.g2917.t1	A
g426.t1	A	anno1.g2916.t1	A
g427.t4	A	anno1.g2915.t4	A
g428.t1	A	anno1.g2914.t1	A
g429.t1	A	anno1.g2912.t1	A
g430.t1	A	anno1.g2911.t1	A
g431.t1	A	anno1.g2910.t1	A
g432.t1	A	anno1.g3378.t1	A
g433.t1	A	anno1.g3379.t1	A
g434.t1	A	anno1.g3380.t1	A
g435.t1	A	anno1.g3381.t1	A
g436.t1	A	anno1.g3382.t1	A
g437.t1	A	anno1.g3383.t1	A
g438.t1	A	anno1.g3384.t2	A
g439.t2	A	anno1.g3387.t1	A
g441.t1	A	anno1.g3388.t1	A
g442.t1	A	anno1.g3389.t1	A
g444.t1	A	anno1.g3391.t1	A
g446.t1	A	anno1.g3392.t1	A
g447.t1	A	anno1.g3393.t1	A
g449.t1	A	anno1.g3394.t1	A
g450.t2	A	anno1.g3395.t1	A
g451.t3	A	anno1.g3396.t2	A
g452.t1	A	anno1.g3397.t1	A
g453.t1	A	anno1.g3398.t1	A
g454.t1	A	anno1.g3404.t1	A
g455.t1	A	anno1.g3405.t1	A
g456.t1	A	anno1.g3406.t2	A
g457.t1	A	anno1.g3408.t1	A
g458.t1	A	anno1.g3407.t1	A
g459.t1	A	anno1.g3409.t1	A
g460.t1	A	anno1.g3410.t1	A
g462.t1	A	anno1.g3412.t1	A
g461.t6	A	anno1.g3411.t3	A
g463.t1	A	anno1.g3413.t2	A
g464.t1	A	anno1.g2902.t1	A
g465.t1	A	anno1.g2903.t1	A
g466.t1	A	anno1.g2904.t1	A
g467.t1	A	anno1.g2905.t1	A
g468.t1	A	anno1.g2906.t2	A
g469.t1	A	anno1.g2907.t1	A
g470.t1	A	anno1.g2908.t1	A
g471.t1	A	anno1.g2909.t1	A
g472.t1	A	anno1.g3377.t1	A
g473.t1	A	anno1.g3376.t1	A
g475.t2	A	anno1.g3371.t1	A
g477.t1	A	anno1.g3369.t1	A
g478.t1	A	anno1.g3370.t1	A
g479.t1	A	anno1.g8298.t1	A
g480.t2	A	anno1.g3367.t1	A
g481.t1	A	anno1.g3365.t1	A
g482.t1	A	anno1.g3364.t1	A
g483.t1	A	anno1.g3363.t1	A
g484.t1	A	anno1.g3362.t1	A
g487.t1	A	anno1.g3360.t1	A
g489.t2	A	anno1.g3361.t1	A
g490.t1	A	anno1.g2869.t1	A
g494.t2	A	anno1.g2882.t2	A
g495.t1	A	anno1.g2883.t1	A
g496.t1	A	anno1.g2884.t1	A
g497.t2	A	anno1.g2885.t1	A
g498.t1	A	anno1.g2886.t1	A
g501.t1	A	anno1.g2888.t1	A
g502.t1	A	anno1.g2889.t1	A
g503.t1	A	anno1.g2890.t2	A
g504.t1	A	anno1.g2891.t1	A
g505.t1	A	anno1.g2892.t1	A
g507.t1	A	anno1.g2893.t1	A
g508.t1	A	anno1.g2894.t2	A
g509.t1	A	anno1.g2895.t1	A
g510.t2	A	anno1.g2897.t2	A
g511.t1	A	anno1.g2898.t1	A
g512.t1	A	anno1.g2899.t1	A
g513.t1	A	anno1.g2900.t1	A
g514.t1	A	anno1.g2901.t1	A
g515.t1	A	anno1.g3417.t2	A
g516.t1	A	anno1.g12196.t1	X
g518.t1	A	anno1.g3419.t1	A
g519.t1	A	anno1.g3421.t1	A
g520.t1	A	anno1.g3422.t1	A
g521.t1	A	anno1.g3423.t1	A
g525.t1	A	anno1.g3424.t1	A
g529.t1	A	anno1.g3425.t1	A
g530.t1	A	anno1.g3426.t1	A
g531.t1	A	anno1.g3427.t1	A
g532.t1	A	anno1.g3428.t1	A
g533.t1	A	anno1.g3429.t1	A
g534.t1	A	anno1.g3430.t1	A
g535.t1	A	anno1.g3432.t1	A
g537.t1	A	anno1.g3431.t1	A
g538.t2	A	anno1.g10802.t1	A
g539.t3	A	anno1.g3438.t1	A
g540.t1	A	anno1.g3439.t1	A
g542.t2	A	anno1.g3437.t1	A
g543.t1	A	anno1.g3440.t1	A
g544.t2	A	anno1.g3442.t1	A
g545.t1	A	anno1.g2785.t1	A
g546.t1	A	anno1.g2784.t1	A
g547.t1	A	anno1.g2783.t1	A
g548.t2	A	anno1.g2782.t2	A
g549.t1	A	anno1.g2774.t1	A
g550.t2	A	anno1.g2773.t3	A
g551.t1	A	anno1.g2772.t1	A
g552.t1	A	anno1.g2771.t1	A
g553.t2	A	anno1.g2770.t1	A
g554.t1	A	anno1.g2769.t1	A
g555.t1	A	anno1.g2768.t1	A
g556.t1	A	anno1.g2767.t1	A
g559.t1	A	anno1.g2766.t1	A
g561.t1	A	anno1.g2765.t1	A
g562.t1	A	anno1.g2764.t1	A
g571.t1	A	anno1.g2762.t1	A
g576.t1	A	anno1.g2759.t1	A
g578.t1	A	anno1.g2757.t1	A
g579.t1	A	anno1.g11828.t1	X
g585.t1	A	anno1.g5922.t1	A
g587.t1	A	anno1.g2746.t1	A
g588.t1	A	anno1.g2744.t3	A
g590.t1	A	anno1.g2741.t1	A
g591.t1	A	anno1.g2740.t1	A
g592.t2	A	anno1.g2739.t1	A
g593.t1	A	anno1.g2736.t1	A
g594.t2	A	anno1.g2734.t2	A
g595.t1	A	anno1.g2718.t1	A
g596.t1	A	anno1.g2710.t1	A
g598.t1	A	anno1.g2708.t1	A
g601.t1	A	anno1.g2713.t1	A
g602.t2	A	anno1.g2706.t1	A
g604.t1	A	anno1.g4144.t1	A
g606.t1	A	anno1.g7570.t1	A
g611.t1	A	anno1.g2399.t1	A
g613.t1	A	anno1.g2401.t2	A
g614.t1	A	anno1.g2402.t1	A
g617.t1	A	anno1.g2403.t1	A
g618.t1	A	anno1.g2405.t1	A
g619.t1	A	anno1.g2410.t1	A
g620.t1	A	anno1.g2411.t2	A
g621.t1	A	anno1.g2412.t1	A
g622.t1	A	anno1.g2413.t1	A
g623.t1	A	anno1.g2229.t1	A
g625.t2	A	anno1.g2228.t2	A
g629.t1	A	anno1.g2226.t2	A
g630.t1	A	anno1.g1664.t1	A
g632.t1	A	anno1.g2224.t1	A
g634.t1	A	anno1.g2223.t1	A
g635.t1	A	anno1.g2222.t1	A
g636.t1	A	anno1.g2221.t1	A
g637.t1	A	anno1.g2220.t1	A
g642.t1	A	anno1.g2218.t1	A
g643.t2	A	anno1.g2217.t2	A
g644.t2	A	anno1.g2216.t1	A
g645.t1	A	anno1.g2213.t1	A
g646.t2	A	anno1.g2214.t1	A
g648.t1	A	anno1.g2215.t1	A
g649.t2	A	anno1.g2212.t1	A
g651.t2	A	anno1.g2211.t3	A
g653.t1	A	anno1.g2210.t1	A
g654.t1	A	anno1.g2209.t1	A
g655.t1	A	anno1.g2208.t1	A
g656.t1	A	anno1.g2207.t1	A
g657.t1	A	anno1.g2204.t2	A
g658.t1	A	anno1.g2203.t1	A
g659.t1	A	anno1.g2239.t1	A
g660.t1	A	anno1.g2240.t1	A
g661.t2	A	anno1.g2241.t1	A
g662.t1	A	anno1.g2242.t1	A
g664.t1	A	anno1.g2243.t1	A
g665.t1	A	anno1.g2244.t1	A
g666.t1	A	anno1.g2245.t1	A
g667.t1	A	anno1.g2246.t1	A
g668.t1	A	anno1.g2247.t1	A
g669.t1	A	anno1.g2248.t1	A
g672.t1	A	anno1.g2249.t1	A
g673.t1	A	anno1.g2250.t3	A
g674.t1	A	anno1.g2256.t1	A
g675.t1	A	anno1.g2255.t1	A
g676.t1	A	anno1.g2254.t1	A
g677.t1	A	anno1.g2253.t1	A
g678.t2	A	anno1.g2252.t2	A
g679.t1	A	anno1.g2251.t1	A
g680.t1	A	anno1.g2257.t1	A
g681.t1	A	anno1.g2258.t1	A
g682.t1	A	anno1.g2259.t1	A
g683.t1	A	anno1.g2260.t1	A
g684.t1	A	anno1.g2261.t1	A
g685.t1	A	anno1.g2262.t1	A
g686.t1	A	anno1.g2263.t1	A
g687.t1	A	anno1.g2264.t1	A
g688.t1	A	anno1.g2265.t1	A
g689.t1	A	anno1.g2266.t1	A
g692.t1	A	anno1.g11566.t1	X
g695.t1	A	anno1.g6055.t1	A
g697.t1	A	anno1.g11814.t1	X
g700.t1	A	anno1.g2274.t1	A
g701.t1	A	anno1.g2275.t1	A
g702.t1	A	anno1.g2276.t1	A
g703.t1	A	anno1.g2277.t1	A
g704.t2	A	anno1.g7322.t1	A
g705.t2	A	anno1.g2278.t1	A
g706.t2	A	anno1.g2280.t1	A
g707.t1	A	anno1.g2281.t1	A
g708.t1	A	anno1.g2282.t1	A
g709.t1	A	anno1.g2283.t1	A
g710.t1	A	anno1.g2284.t1	A
g711.t1	A	anno1.g2285.t4	A
g712.t1	A	anno1.g2286.t1	A
g713.t3	A	anno1.g2287.t2	A
g714.t1	A	anno1.g2288.t1	A
g715.t1	A	anno1.g2289.t1	A
g716.t1	A	anno1.g2238.t1	A
g717.t2	A	anno1.g2237.t2	A
g718.t1	A	anno1.g2236.t2	A
g719.t1	A	anno1.g2235.t2	A
g721.t1	A	anno1.g2233.t1	A
g722.t1	A	anno1.g2232.t1	A
g724.t1	A	anno1.g2231.t1	A
g725.t2	A	anno1.g2230.t2	A
g726.t1	A	anno1.g2197.t1	A
g727.t1	A	anno1.g2201.t1	A
g732.t1	A	anno1.g7633.t1	A
g734.t1	A	anno1.g2200.t1	A
g738.t1	A	anno1.g2199.t1	A
g740.t1	A	anno1.g2198.t1	A
g741.t1	A	anno1.g2185.t2	A
g742.t2	A	anno1.g2186.t1	A
g743.t1	A	anno1.g2187.t1	A
g744.t1	A	anno1.g2188.t1	A
g745.t1	A	anno1.g2190.t1	A
g747.t1	A	anno1.g2191.t1	A
g749.t2	A	anno1.g2195.t2	A
g750.t1	A	anno1.g2196.t1	A
g753.t1	A	anno1.g2184.t1	A
g755.t1	A	anno1.g2183.t1	A
g756.t1	A	anno1.g2182.t3	A
g759.t1	A	anno1.g2180.t1	A
g760.t1	A	anno1.g2178.t1	A
g761.t1	A	anno1.g2176.t1	A
g762.t1	A	anno1.g2177.t1	A
g763.t2	A	anno1.g2175.t2	A
g764.t1	A	anno1.g2174.t1	A
g765.t1	A	anno1.g2173.t1	A
g766.t2	A	anno1.g2172.t1	A
g767.t2	A	anno1.g2171.t1	A
g768.t1	A	anno1.g2170.t2	A
g769.t1	A	anno1.g2169.t1	A
g770.t1	A	anno1.g2167.t1	A
g771.t1	A	anno1.g2166.t1	A
g772.t1	A	anno1.g2165.t1	A
g773.t1	A	anno1.g2164.t1	A
g775.t1	A	anno1.g2162.t1	A
g780.t1	A	anno1.g2159.t1	A
g792.t1	A	anno1.g2154.t1	A
g796.t1	A	anno1.g2148.t1	A
g797.t1	A	anno1.g2147.t1	A
g798.t1	A	anno1.g2146.t1	A
g800.t1	A	anno1.g2144.t1	A
g801.t1	A	anno1.g2143.t1	A
g804.t1	A	anno1.g2163.t3	A
g806.t1	A	anno1.g2161.t1	A
g807.t1	A	anno1.g2160.t1	A
g811.t1	A	anno1.g2158.t1	A
g812.t1	A	anno1.g2157.t1	A
g817.t1	A	anno1.g2156.t1	A
g816.t1	A	anno1.g2155.t1	A
g819.t1	A	anno1.g2153.t1	A
g820.t1	A	anno1.g2152.t1	A
g821.t1	A	anno1.g2150.t1	A
g822.t1	A	anno1.g2149.t1	A
g825.t1	A	anno1.g2145.t1	A
g828.t1	A	anno1.g2142.t1	A
g829.t1	A	anno1.g2141.t1	A
g830.t1	A	anno1.g2140.t1	A
g831.t2	A	anno1.g2139.t1	A
g833.t2	A	anno1.g2138.t1	A
g834.t1	A	anno1.g2136.t1	A
g836.t1	A	anno1.g2133.t1	A
g838.t1	A	anno1.g2132.t1	A
g839.t1	A	anno1.g2130.t1	A
g841.t1	A	anno1.g2128.t1	A
g842.t1	A	anno1.g2127.t1	A
g843.t1	A	anno1.g2126.t1	A
g844.t1	A	anno1.g4338.t1	A
g845.t1	A	anno1.g2125.t1	A
g847.t1	A	anno1.g2124.t1	A
g848.t1	A	anno1.g2123.t1	A
g849.t1	A	anno1.g2122.t1	A
g850.t2	A	anno1.g2121.t2	A
g851.t1	A	anno1.g2120.t1	A
g857.t2	A	anno1.g2119.t3	A
g858.t1	A	anno1.g2117.t1	A
g859.t1	A	anno1.g2106.t1	A
g860.t1	A	anno1.g2105.t1	A
g865.t1	A	anno1.g2104.t1	A
g866.t1	A	anno1.g2103.t1	A
g867.t1	A	anno1.g2102.t1	A
g868.t1	A	anno1.g2101.t1	A
g870.t1	A	anno1.g2100.t1	A
g872.t1	A	anno1.g2097.t2	A
g873.t1	A	anno1.g2096.t1	A
g875.t1	A	anno1.g2115.t1	A
g876.t2	A	anno1.g2093.t1	A
g877.t2	A	anno1.g2094.t1	A
g879.t1	A	anno1.g2116.t1	A
g881.t1	A	anno1.g2108.t1	A
g883.t1	A	anno1.g2109.t1	A
g886.t1	A	anno1.g2110.t1	A
g888.t1	A	anno1.g2111.t1	A
g890.t1	A	anno1.g2061.t1	A
g891.t2	A	anno1.g2062.t1	A
g892.t1	A	anno1.g2063.t1	A
g893.t1	A	anno1.g2064.t1	A
g894.t1	A	anno1.g2065.t1	A
g895.t1	A	anno1.g2066.t1	A
g898.t1	A	anno1.g2069.t1	A
g899.t1	A	anno1.g5773.t1	A
g900.t1	A	anno1.g2071.t1	A
g901.t1	A	anno1.g2072.t1	A
g902.t1	A	anno1.g2073.t1	A
g904.t1	A	anno1.g2074.t1	A
g909.t1	A	anno1.g2075.t1	A
g910.t1	A	anno1.g2076.t1	A
g911.t1	A	anno1.g2077.t1	A
g912.t1	A	anno1.g2078.t2	A
g913.t1	A	anno1.g2079.t1	A
g914.t1	A	anno1.g2080.t1	A
g915.t2	A	anno1.g2083.t1	A
g917.t1	A	anno1.g2084.t1	A
g918.t1	A	anno1.g2085.t1	A
g919.t1	A	anno1.g2086.t1	A
g920.t2	A	anno1.g2087.t1	A
g921.t1	A	anno1.g2088.t1	A
g922.t1	A	anno1.g2089.t1	A
g923.t1	A	anno1.g2090.t1	A
g924.t1	A	anno1.g2091.t3	A
g926.t1	A	anno1.g2114.t1	A
g927.t2	A	anno1.g2113.t2	A
g930.t2	A	anno1.g2688.t1	A
g931.t1	A	anno1.g2689.t1	A
g932.t1	A	anno1.g2690.t1	A
g933.t1	A	anno1.g5579.t1	A
g934.t1	A	anno1.g2691.t2	A
g935.t2	A	anno1.g2692.t1	A
g936.t1	A	anno1.g2398.t1	A
g939.t1	A	anno1.g2395.t1	A
g940.t1	A	anno1.g2394.t1	A
g941.t1	A	anno1.g2393.t1	A
g943.t1	A	anno1.g1386.t1	A
g944.t1	A	anno1.g2392.t1	A
g946.t1	A	anno1.g12360.t1	Y
g947.t1	A	anno1.g2389.t2	A
g948.t1	A	anno1.g2388.t1	A
g949.t1	A	anno1.g2387.t1	A
g950.t2	A	anno1.g2386.t1	A
g952.t3	A	anno1.g2385.t2	A
g954.t1	A	anno1.g2383.t1	A
g955.t2	A	anno1.g2382.t2	A
g957.t1	A	anno1.g2381.t2	A
g958.t1	A	anno1.g2380.t1	A
g959.t1	A	anno1.g2720.t1	A
g960.t1	A	anno1.g2379.t1	A
g961.t1	A	anno1.g2378.t1	A
g962.t1	A	anno1.g2377.t1	A
g964.t1	A	anno1.g2374.t4	A
g965.t3	A	anno1.g2373.t2	A
g966.t1	A	anno1.g2372.t1	A
g967.t1	A	anno1.g2371.t1	A
g968.t1	A	anno1.g2370.t1	A
g969.t1	A	anno1.g2369.t1	A
g971.t3	A	anno1.g2368.t1	A
g973.t1	A	anno1.g2367.t1	A
g975.t1	A	anno1.g5762.t1	A
g976.t1	A	anno1.g2359.t1	A
g984.t1	A	anno1.g2350.t1	A
g985.t1	A	anno1.g2349.t1	A
g986.t1	A	anno1.g2348.t1	A
g988.t1	A	anno1.g2347.t1	A
g989.t1	A	anno1.g2346.t1	A
g990.t4	A	anno1.g2345.t3	A
g991.t1	A	anno1.g2344.t1	A
g992.t2	A	anno1.g2342.t1	A
g993.t1	A	anno1.g2343.t1	A
g994.t1	A	anno1.g2341.t1	A
g995.t1	A	anno1.g2340.t1	A
g996.t1	A	anno1.g2339.t1	A
g997.t1	A	anno1.g2338.t1	A
g999.t1	A	anno1.g2337.t1	A
g1000.t1	A	anno1.g2336.t1	A
g1001.t2	A	anno1.g2335.t1	A
g1002.t1	A	anno1.g2334.t1	A
g1003.t1	A	anno1.g2333.t1	A
g1004.t1	A	anno1.g2332.t1	A
g1006.t2	A	anno1.g2330.t1	A
g1007.t2	A	anno1.g2331.t1	A
g1008.t1	A	anno1.g2329.t1	A
g1009.t1	A	anno1.g2328.t1	A
g1010.t1	A	anno1.g2327.t1	A
g1011.t1	A	anno1.g2326.t1	A
g1012.t1	A	anno1.g2325.t1	A
g1013.t1	A	anno1.g2324.t2	A
g1014.t1	A	anno1.g2322.t1	A
g1015.t1	A	anno1.g2323.t1	A
