B_varius	chromosome	A_obtectus	chromosome
anno1.g220.t1	A	anno1.g12363.t2	A
anno1.g221.t1	A	anno1.g12364.t1	A
anno1.g222.t1	A	anno1.g12365.t1	A
anno1.g226.t1	A	anno1.g12369.t1	A
anno1.g227.t1	A	anno1.g12370.t1	A
anno1.g228.t1	A	anno1.g12371.t2	A
anno1.g229.t1	A	anno1.g12377.t1	A
anno1.g230.t1	A	anno1.g12378.t1	A
anno1.g231.t1	A	anno1.g12379.t1	A
anno1.g232.t2	A	anno1.g12381.t1	A
anno1.g235.t1	A	anno1.g12382.t1	A
anno1.g236.t1	A	anno1.g12383.t1	A
anno1.g237.t1	A	anno1.g12384.t1	A
anno1.g238.t1	A	anno1.g12385.t1	A
anno1.g239.t1	A	anno1.g12386.t1	A
anno1.g240.t1	A	anno1.g12389.t1	A
anno1.g242.t4	A	anno1.g12390.t1	A
anno1.g243.t1	A	anno1.g12391.t1	A
anno1.g244.t1	A	anno1.g12393.t1	A
anno1.g245.t1	A	anno1.g12394.t1	A
anno1.g246.t2	A	anno1.g14281.t1	A
anno1.g247.t1	A	anno1.g14282.t1	A
anno1.g248.t1	A	anno1.g14292.t1	A
anno1.g249.t1	A	anno1.g13218.t1	A
anno1.g250.t1	A	anno1.g14286.t1	A
anno1.g251.t1	A	anno1.g14431.t1	A
anno1.g252.t1	A	anno1.g14430.t1	A
anno1.g253.t1	A	anno1.g14429.t1	A
anno1.g254.t2	A	anno1.g14428.t1	A
anno1.g255.t1	A	anno1.g14427.t1	A
anno1.g256.t1	A	anno1.g14426.t1	A
anno1.g257.t2	A	anno1.g14425.t1	A
anno1.g258.t1	A	anno1.g14423.t1	A
anno1.g259.t1	A	anno1.g14422.t1	A
anno1.g260.t2	A	anno1.g14421.t1	A
anno1.g261.t1	A	anno1.g14419.t1	A
anno1.g262.t1	A	anno1.g14418.t1	A
anno1.g263.t1	A	anno1.g14417.t1	A
anno1.g265.t1	A	anno1.g14415.t1	A
anno1.g266.t1	A	anno1.g14414.t1	A
anno1.g267.t1	A	anno1.g14413.t1	A
anno1.g268.t1	A	anno1.g14412.t1	A
anno1.g269.t1	A	anno1.g14411.t2	A
anno1.g271.t1	A	anno1.g12829.t1	A
anno1.g272.t1	A	anno1.g12827.t1	A
anno1.g273.t1	A	anno1.g12824.t1	A
anno1.g274.t1	A	anno1.g12943.t1	A
anno1.g275.t1	A	anno1.g12944.t1	A
anno1.g283.t2	A	anno1.g5962.t1	A
anno1.g284.t3	A	anno1.g12950.t1	A
anno1.g285.t1	A	anno1.g12952.t1	A
anno1.g287.t1	A	anno1.g12953.t1	A
anno1.g291.t1	A	anno1.g12961.t1	A
anno1.g292.t1	A	anno1.g12963.t1	A
anno1.g293.t1	A	anno1.g12964.t1	A
anno1.g294.t1	A	anno1.g12965.t1	A
anno1.g295.t2	A	anno1.g12966.t1	A
anno1.g296.t1	A	anno1.g12968.t1	A
anno1.g297.t1	A	anno1.g12969.t1	A
anno1.g299.t1	A	anno1.g13888.t1	A
anno1.g306.t1	A	anno1.g12971.t1	A
anno1.g307.t1	A	anno1.g12972.t1	A
anno1.g308.t1	A	anno1.g12973.t1	A
anno1.g309.t2	A	anno1.g12974.t1	A
anno1.g310.t2	A	anno1.g12975.t1	A
anno1.g312.t2	A	anno1.g12976.t1	A
anno1.g314.t1	A	anno1.g12977.t1	A
anno1.g315.t2	A	anno1.g12979.t2	A
anno1.g316.t1	A	anno1.g12980.t1	A
anno1.g318.t1	A	anno1.g8977.t1	A
anno1.g320.t1	A	anno1.g13001.t1	A
anno1.g321.t1	A	anno1.g13002.t1	A
anno1.g322.t2	A	anno1.g13003.t2	A
anno1.g323.t2	A	anno1.g13004.t2	A
anno1.g324.t1	A	anno1.g13005.t2	A
anno1.g329.t1	A	anno1.g12840.t1	A
anno1.g330.t1	A	anno1.g12038.t1	A
anno1.g332.t1	A	anno1.g12372.t1	A
anno1.g335.t1	A	anno1.g12040.t1	A
anno1.g336.t1	A	anno1.g12041.t1	A
anno1.g337.t1	A	anno1.g12047.t1	A
anno1.g338.t1	A	anno1.g12045.t1	A
anno1.g339.t1	A	anno1.g12044.t2	A
anno1.g340.t1	A	anno1.g12042.t1	A
anno1.g341.t1	A	anno1.g12048.t1	A
anno1.g342.t1	A	anno1.g12049.t1	A
anno1.g343.t1	A	anno1.g12050.t1	A
anno1.g344.t1	A	anno1.g12051.t1	A
anno1.g346.t1	A	anno1.g12052.t1	A
anno1.g347.t1	A	anno1.g12053.t1	A
anno1.g348.t1	A	anno1.g12054.t1	A
anno1.g350.t1	A	anno1.g14410.t1	A
anno1.g351.t1	A	anno1.g14408.t1	A
anno1.g352.t1	A	anno1.g14616.t1	A
anno1.g353.t1	A	anno1.g14403.t1	A
anno1.g354.t1	A	anno1.g14401.t1	A
anno1.g355.t1	A	anno1.g14400.t2	A
anno1.g359.t2	A	anno1.g12690.t2	A
anno1.g360.t1	A	anno1.g12691.t2	A
anno1.g361.t1	A	anno1.g12692.t1	A
anno1.g362.t2	A	anno1.g12693.t3	A
anno1.g364.t1	A	anno1.g12697.t1	A
anno1.g365.t1	A	anno1.g12698.t1	A
anno1.g366.t1	A	anno1.g12699.t1	A
anno1.g367.t1	A	anno1.g12700.t1	A
anno1.g368.t1	A	anno1.g12701.t1	A
anno1.g369.t1	A	anno1.g12703.t1	A
anno1.g370.t1	A	anno1.g12704.t1	A
anno1.g371.t1	A	anno1.g12705.t1	A
anno1.g374.t1	A	anno1.g12706.t1	A
anno1.g375.t1	A	anno1.g12707.t1	A
anno1.g376.t1	A	anno1.g12708.t1	A
anno1.g378.t1	A	anno1.g12709.t1	A
anno1.g379.t1	A	anno1.g12711.t1	A
anno1.g381.t1	A	anno1.g12712.t1	A
anno1.g382.t1	A	anno1.g12713.t1	A
anno1.g383.t1	A	anno1.g12714.t1	A
anno1.g384.t1	A	anno1.g12715.t1	A
anno1.g385.t2	A	anno1.g12716.t2	A
anno1.g386.t1	A	anno1.g12717.t1	A
anno1.g387.t1	A	anno1.g12718.t1	A
anno1.g388.t1	A	anno1.g12719.t1	A
anno1.g389.t1	A	anno1.g12720.t2	A
anno1.g391.t1	A	anno1.g12721.t1	A
anno1.g392.t1	A	anno1.g12722.t1	A
anno1.g395.t2	A	anno1.g12724.t3	A
anno1.g396.t1	A	anno1.g12725.t1	A
anno1.g397.t1	A	anno1.g12728.t1	A
anno1.g398.t1	A	anno1.g12729.t1	A
anno1.g399.t1	A	anno1.g12730.t1	A
anno1.g400.t1	A	anno1.g12731.t3	A
anno1.g401.t3	A	anno1.g12732.t2	A
anno1.g402.t1	A	anno1.g12734.t1	A
anno1.g403.t1	A	anno1.g12735.t1	A
anno1.g404.t2	A	anno1.g12736.t2	A
anno1.g405.t1	A	anno1.g12737.t1	A
anno1.g406.t2	A	anno1.g12738.t1	A
anno1.g407.t1	A	anno1.g12739.t1	A
anno1.g408.t1	A	anno1.g12740.t1	A
anno1.g409.t1	A	anno1.g12742.t3	A
anno1.g410.t1	A	anno1.g12743.t1	A
anno1.g411.t1	A	anno1.g12744.t1	A
anno1.g412.t1	A	anno1.g12745.t2	A
anno1.g413.t1	A	anno1.g12746.t1	A
anno1.g415.t1	A	anno1.g12747.t1	A
anno1.g416.t2	A	anno1.g12748.t1	A
anno1.g417.t1	A	anno1.g12749.t1	A
anno1.g418.t1	A	anno1.g12750.t1	A
anno1.g419.t1	A	anno1.g12751.t1	A
anno1.g420.t1	A	anno1.g12752.t1	A
anno1.g421.t1	A	anno1.g12753.t2	A
anno1.g422.t1	A	anno1.g12754.t1	A
anno1.g423.t3	A	anno1.g12755.t2	A
anno1.g425.t2	A	anno1.g12756.t1	A
anno1.g426.t2	A	anno1.g12758.t2	A
anno1.g427.t1	A	anno1.g12760.t1	A
anno1.g429.t1	A	anno1.g12761.t1	A
anno1.g430.t2	A	anno1.g12763.t1	A
anno1.g431.t1	A	anno1.g12764.t1	A
anno1.g432.t1	A	anno1.g12765.t2	A
anno1.g433.t1	A	anno1.g12767.t2	A
anno1.g434.t2	A	anno1.g12768.t1	A
anno1.g435.t1	A	anno1.g12769.t1	A
anno1.g441.t1	A	anno1.g12770.t1	A
anno1.g442.t1	A	anno1.g12771.t2	A
anno1.g443.t2	A	anno1.g12772.t2	A
anno1.g445.t1	A	anno1.g12775.t1	A
anno1.g446.t1	A	anno1.g12776.t1	A
anno1.g447.t1	A	anno1.g12777.t3	A
anno1.g448.t1	A	anno1.g12778.t1	A
anno1.g449.t1	A	anno1.g12779.t1	A
anno1.g450.t1	A	anno1.g12780.t1	A
anno1.g451.t1	A	anno1.g12781.t1	A
anno1.g452.t1	A	anno1.g12782.t1	A
anno1.g453.t1	A	anno1.g12783.t2	A
anno1.g454.t1	A	anno1.g12786.t1	A
anno1.g455.t1	A	anno1.g12796.t1	A
anno1.g456.t1	A	anno1.g12798.t1	A
anno1.g457.t1	A	anno1.g12800.t1	A
anno1.g458.t1	A	anno1.g12801.t1	A
anno1.g459.t1	A	anno1.g12802.t1	A
anno1.g460.t1	A	anno1.g12804.t1	A
anno1.g461.t1	A	anno1.g12805.t1	A
anno1.g462.t1	A	anno1.g12806.t1	A
anno1.g463.t1	A	anno1.g12807.t1	A
anno1.g464.t2	A	anno1.g12808.t2	A
anno1.g465.t1	A	anno1.g12809.t1	A
anno1.g466.t1	A	anno1.g12810.t1	A
anno1.g467.t1	A	anno1.g146.t2	A
anno1.g472.t1	A	anno1.g12816.t1	A
anno1.g473.t1	A	anno1.g12817.t2	A
anno1.g474.t3	A	anno1.g12818.t2	A
anno1.g475.t4	A	anno1.g12819.t4	A
anno1.g476.t1	A	anno1.g12820.t1	A
anno1.g477.t3	A	anno1.g12821.t1	A
anno1.g478.t2	A	anno1.g12822.t1	A
anno1.g479.t1	A	anno1.g13040.t2	A
anno1.g480.t1	A	anno1.g13039.t1	A
anno1.g481.t1	A	anno1.g13038.t1	A
anno1.g482.t1	A	anno1.g13037.t1	A
anno1.g483.t2	A	anno1.g13036.t2	A
anno1.g484.t1	A	anno1.g13035.t1	A
anno1.g485.t1	A	anno1.g13032.t1	A
anno1.g486.t1	A	anno1.g13033.t1	A
anno1.g487.t1	A	anno1.g13034.t1	A
anno1.g488.t1	A	anno1.g13030.t1	A
anno1.g489.t1	A	anno1.g13029.t1	A
anno1.g490.t1	A	anno1.g13025.t1	A
anno1.g492.t1	A	anno1.g13024.t1	A
anno1.g493.t1	A	anno1.g13023.t1	A
anno1.g494.t2	A	anno1.g13022.t1	A
anno1.g495.t1	A	anno1.g13021.t1	A
anno1.g496.t1	A	anno1.g13020.t1	A
anno1.g497.t1	A	anno1.g13019.t1	A
anno1.g498.t1	A	anno1.g13018.t1	A
anno1.g499.t1	A	anno1.g13016.t1	A
anno1.g500.t2	A	anno1.g13015.t2	A
anno1.g501.t1	A	anno1.g13014.t1	A
anno1.g503.t1	A	anno1.g13013.t1	A
anno1.g505.t1	A	anno1.g12360.t1	A
anno1.g506.t2	A	anno1.g12359.t1	A
anno1.g507.t1	A	anno1.g12358.t1	A
anno1.g509.t1	A	anno1.g12357.t1	A
anno1.g510.t1	A	anno1.g3330.t1	A
anno1.g511.t1	A	anno1.g12355.t1	A
anno1.g513.t1	A	anno1.g12354.t1	A
anno1.g514.t1	A	anno1.g12353.t1	A
anno1.g515.t1	A	anno1.g12351.t3	A
anno1.g516.t1	A	anno1.g12349.t1	A
anno1.g517.t1	A	anno1.g12348.t1	A
anno1.g518.t1	A	anno1.g12347.t1	A
anno1.g519.t1	A	anno1.g12346.t1	A
anno1.g520.t1	A	anno1.g12345.t1	A
anno1.g521.t1	A	anno1.g12344.t2	A
anno1.g522.t1	A	anno1.g12343.t1	A
anno1.g523.t1	A	anno1.g12342.t1	A
anno1.g524.t1	A	anno1.g12341.t1	A
anno1.g525.t1	A	anno1.g12340.t1	A
anno1.g526.t1	A	anno1.g12339.t1	A
anno1.g527.t1	A	anno1.g12338.t1	A
anno1.g528.t1	A	anno1.g12337.t1	A
anno1.g530.t1	A	anno1.g12336.t1	A
anno1.g531.t1	A	anno1.g12335.t1	A
anno1.g532.t2	A	anno1.g12333.t2	A
anno1.g533.t1	A	anno1.g12332.t1	A
anno1.g534.t1	A	anno1.g12329.t1	A
anno1.g536.t1	A	anno1.g12328.t1	A
anno1.g537.t1	A	anno1.g12327.t1	A
anno1.g538.t1	A	anno1.g12326.t1	A
anno1.g539.t1	A	anno1.g12325.t1	A
anno1.g540.t1	A	anno1.g12324.t1	A
anno1.g541.t1	A	anno1.g12323.t1	A
anno1.g542.t1	A	anno1.g14718.t1	A
anno1.g543.t1	A	anno1.g12321.t1	A
anno1.g544.t1	A	anno1.g12320.t1	A
anno1.g545.t1	A	anno1.g12319.t1	A
anno1.g546.t1	A	anno1.g12318.t1	A
anno1.g548.t1	A	anno1.g12317.t1	A
anno1.g549.t1	A	anno1.g12316.t1	A
anno1.g550.t1	A	anno1.g12315.t1	A
anno1.g552.t1	A	anno1.g4265.t1	A
anno1.g553.t1	A	anno1.g12314.t1	A
anno1.g554.t1	A	anno1.g12313.t1	A
anno1.g555.t1	A	anno1.g12311.t3	A
anno1.g557.t1	A	anno1.g12308.t1	A
anno1.g563.t2	A	anno1.g12306.t3	A
anno1.g564.t3	A	anno1.g12305.t2	A
anno1.g565.t1	A	anno1.g12304.t1	A
anno1.g566.t1	A	anno1.g12303.t1	A
anno1.g567.t1	A	anno1.g12302.t1	A
anno1.g568.t1	A	anno1.g12301.t1	A
anno1.g569.t1	A	anno1.g12300.t1	A
anno1.g570.t1	A	anno1.g12299.t1	A
anno1.g571.t1	A	anno1.g12298.t3	A
anno1.g572.t1	A	anno1.g12297.t1	A
anno1.g573.t1	A	anno1.g12296.t1	A
anno1.g574.t1	A	anno1.g12292.t1	A
anno1.g575.t1	A	anno1.g12291.t2	A
anno1.g576.t1	A	anno1.g12290.t1	A
anno1.g577.t1	A	anno1.g12289.t1	A
anno1.g581.t1	A	anno1.g12242.t1	A
anno1.g587.t1	A	anno1.g13085.t1	A
anno1.g591.t1	A	anno1.g12228.t1	A
anno1.g592.t1	A	anno1.g12226.t1	A
anno1.g593.t1	A	anno1.g12224.t1	A
anno1.g594.t1	A	anno1.g12223.t1	A
anno1.g595.t4	A	anno1.g12222.t1	A
anno1.g596.t1	A	anno1.g12221.t1	A
anno1.g597.t2	A	anno1.g12215.t1	A
anno1.g598.t1	A	anno1.g12216.t2	A
anno1.g599.t1	A	anno1.g12217.t1	A
anno1.g600.t2	A	anno1.g12218.t1	A
anno1.g601.t1	A	anno1.g12219.t1	A
anno1.g605.t1	A	anno1.g12210.t2	A
anno1.g606.t1	A	anno1.g12209.t2	A
anno1.g609.t1	A	anno1.g12208.t1	A
anno1.g610.t3	A	anno1.g12207.t2	A
anno1.g611.t1	A	anno1.g12206.t1	A
anno1.g612.t1	A	anno1.g12205.t1	A
anno1.g613.t1	A	anno1.g6729.t1	A
anno1.g616.t2	A	anno1.g12200.t2	A
anno1.g617.t1	A	anno1.g12199.t1	A
anno1.g618.t1	A	anno1.g12198.t1	A
anno1.g619.t1	A	anno1.g12185.t1	A
anno1.g620.t1	A	anno1.g12184.t1	A
anno1.g621.t1	A	anno1.g12132.t1	A
anno1.g622.t1	A	anno1.g12136.t1	A
anno1.g624.t1	A	anno1.g12133.t2	A
anno1.g625.t1	A	anno1.g12134.t1	A
anno1.g629.t1	A	anno1.g11949.t1	A
anno1.g630.t1	A	anno1.g11987.t1	A
anno1.g632.t2	A	anno1.g11988.t1	A
anno1.g633.t1	A	anno1.g11981.t1	A
anno1.g634.t1	A	anno1.g11978.t1	A
anno1.g635.t1	A	anno1.g11977.t1	A
anno1.g640.t1	A	anno1.g11973.t1	A
anno1.g643.t1	A	anno1.g12001.t1	A
anno1.g645.t1	A	anno1.g12022.t1	A
anno1.g646.t1	A	anno1.g12023.t1	A
anno1.g647.t1	A	anno1.g12024.t1	A
anno1.g648.t1	A	anno1.g12025.t1	A
anno1.g649.t1	A	anno1.g12026.t1	A
anno1.g650.t1	A	anno1.g12027.t1	A
anno1.g651.t1	A	anno1.g12028.t2	A
anno1.g652.t1	A	anno1.g12029.t2	A
anno1.g653.t1	A	anno1.g12030.t1	A
anno1.g654.t1	A	anno1.g12031.t1	A
anno1.g655.t1	A	anno1.g12032.t1	A
anno1.g656.t1	A	anno1.g12033.t1	A
anno1.g657.t1	A	anno1.g12034.t1	A
anno1.g658.t1	A	anno1.g12035.t1	A
anno1.g660.t1	A	anno1.g12056.t1	A
anno1.g661.t1	A	anno1.g12057.t1	A
anno1.g662.t1	A	anno1.g12058.t1	A
anno1.g663.t1	A	anno1.g12059.t1	A
anno1.g664.t1	A	anno1.g12064.t1	A
anno1.g665.t1	A	anno1.g12065.t1	A
anno1.g669.t1	A	anno1.g12066.t1	A
anno1.g675.t1	A	anno1.g12067.t1	A
anno1.g676.t1	A	anno1.g12068.t1	A
anno1.g677.t1	A	anno1.g12071.t2	A
anno1.g678.t1	A	anno1.g12072.t1	A
anno1.g680.t1	A	anno1.g12073.t1	A
anno1.g681.t2	A	anno1.g12074.t2	A
anno1.g682.t1	A	anno1.g12075.t1	A
anno1.g683.t1	A	anno1.g12076.t1	A
anno1.g684.t1	A	anno1.g12086.t1	A
anno1.g685.t2	A	anno1.g12080.t1	A
anno1.g686.t1	A	anno1.g12092.t1	A
anno1.g687.t1	A	anno1.g12093.t1	A
anno1.g688.t2	A	anno1.g12094.t1	A
anno1.g689.t1	A	anno1.g12095.t1	A
anno1.g690.t2	A	anno1.g12096.t2	A
anno1.g691.t1	A	anno1.g12089.t1	A
anno1.g692.t1	A	anno1.g12106.t1	A
anno1.g693.t1	A	anno1.g12116.t1	A
anno1.g694.t1	A	anno1.g12117.t1	A
anno1.g695.t1	A	anno1.g12120.t1	A
anno1.g696.t1	A	anno1.g12121.t1	A
anno1.g697.t1	A	anno1.g12122.t1	A
anno1.g699.t2	A	anno1.g12123.t2	A
anno1.g700.t1	A	anno1.g12126.t1	A
anno1.g702.t1	A	anno1.g12181.t2	A
anno1.g703.t1	A	anno1.g12178.t1	A
anno1.g704.t1	A	anno1.g12174.t1	A
anno1.g705.t1	A	anno1.g12173.t1	A
anno1.g706.t1	A	anno1.g12172.t1	A
anno1.g707.t1	A	anno1.g12171.t1	A
anno1.g708.t1	A	anno1.g12170.t1	A
anno1.g709.t2	A	anno1.g12169.t3	A
anno1.g710.t1	A	anno1.g12166.t1	A
anno1.g711.t1	A	anno1.g12165.t1	A
anno1.g712.t1	A	anno1.g12164.t1	A
anno1.g713.t1	A	anno1.g12162.t1	A
anno1.g714.t1	A	anno1.g12163.t1	A
anno1.g715.t1	A	anno1.g12158.t1	A
anno1.g717.t1	A	anno1.g13481.t1	A
anno1.g722.t1	A	anno1.g12143.t1	A
anno1.g723.t1	A	anno1.g12142.t1	A
anno1.g724.t1	A	anno1.g12141.t1	A
anno1.g725.t2	A	anno1.g11948.t1	A
anno1.g726.t1	A	anno1.g11947.t1	A
anno1.g727.t1	A	anno1.g11946.t1	A
anno1.g728.t1	A	anno1.g11944.t1	A
anno1.g729.t1	A	anno1.g11943.t1	A
anno1.g730.t1	A	anno1.g11942.t2	A
anno1.g733.t1	A	anno1.g11939.t1	A
anno1.g734.t1	A	anno1.g11938.t1	A
anno1.g735.t1	A	anno1.g11936.t1	A
anno1.g736.t1	A	anno1.g11935.t1	A
anno1.g737.t1	A	anno1.g11934.t1	A
anno1.g738.t2	A	anno1.g11933.t2	A
anno1.g741.t1	A	anno1.g11931.t1	A
anno1.g742.t4	A	anno1.g11930.t2	A
anno1.g743.t1	A	anno1.g11927.t1	A
anno1.g744.t1	A	anno1.g11926.t1	A
anno1.g745.t1	A	anno1.g11925.t1	A
anno1.g746.t1	A	anno1.g11924.t1	A
anno1.g747.t1	A	anno1.g14196.t1	A
anno1.g748.t1	A	anno1.g13333.t1	A
anno1.g749.t1	A	anno1.g13332.t1	A
anno1.g750.t1	A	anno1.g13331.t1	A
anno1.g751.t1	A	anno1.g14157.t1	A
anno1.g752.t1	A	anno1.g14156.t2	A
anno1.g753.t1	A	anno1.g14155.t1	A
anno1.g754.t1	A	anno1.g14154.t2	A
anno1.g755.t2	A	anno1.g14153.t1	A
anno1.g756.t1	A	anno1.g14152.t1	A
anno1.g759.t1	A	anno1.g14145.t1	A
anno1.g760.t1	A	anno1.g14143.t1	A
anno1.g761.t1	A	anno1.g14141.t1	A
anno1.g762.t1	A	anno1.g14140.t1	A
anno1.g763.t1	A	anno1.g14139.t2	A
anno1.g764.t1	A	anno1.g14130.t1	A
anno1.g765.t2	A	anno1.g14137.t2	A
anno1.g766.t1	A	anno1.g14136.t1	A
anno1.g767.t2	A	anno1.g14135.t1	A
anno1.g768.t1	A	anno1.g14134.t1	A
anno1.g769.t1	A	anno1.g14133.t1	A
anno1.g771.t1	A	anno1.g14127.t2	A
anno1.g772.t1	A	anno1.g14126.t1	A
anno1.g773.t2	A	anno1.g14124.t2	A
anno1.g774.t1	A	anno1.g14273.t1	A
anno1.g777.t1	A	anno1.g14272.t1	A
anno1.g778.t1	A	anno1.g14271.t1	A
anno1.g779.t1	A	anno1.g14270.t1	A
anno1.g780.t1	A	anno1.g14269.t1	A
anno1.g781.t1	A	anno1.g14268.t1	A
anno1.g782.t1	A	anno1.g9690.t1	A
anno1.g788.t2	A	anno1.g14266.t2	A
anno1.g789.t1	A	anno1.g14265.t1	A
anno1.g790.t1	A	anno1.g14264.t1	A
anno1.g791.t1	A	anno1.g14263.t1	A
anno1.g792.t1	A	anno1.g14262.t1	A
