A_obtectus	chromosome	B_siliquastri	chromosome
anno1.g68.t1	A	BRAKERILHT00000017142	X
anno1.g71.t1	A	BRAKERILHT00000011586	A
anno1.g73.t1	A	BRAKERILHT00000011508	A
anno1.g75.t1	A	BRAKERILHT00000011085	A
anno1.g76.t1	A	BRAKERILHT00000011960	A
anno1.g78.t3	A	BRAKERILHT00000011294	A
anno1.g80.t1	A	BRAKERILHT00000011857	A
anno1.g81.t1	A	BRAKERILHT00000012317	A
anno1.g82.t1	A	BRAKERILHT00000010801	A
anno1.g83.t1	A	BRAKERILHT00000010989	A
anno1.g85.t1	A	BRAKERILHT00000012093	A
anno1.g86.t1	A	BRAKERILHT00000011176	A
anno1.g87.t1	A	BRAKERILHT00000012061	A
anno1.g88.t1	A	BRAKERILHT00000010863	A
anno1.g89.t2	A	BRAKERILHT00000011706	A
anno1.g90.t1	A	BRAKERILHT00000010595	A
anno1.g91.t1	A	BRAKERILHT00000010810	A
anno1.g92.t2	A	BRAKERILHT00000012063	A
anno1.g93.t1	A	BRAKERILHT00000011380	A
anno1.g94.t1	A	BRAKERILHT00000011206	A
anno1.g95.t1	A	BRAKERILHT00000010598	A
anno1.g96.t1	A	BRAKERILHT00000010528	A
anno1.g97.t1	A	BRAKERILHT00000011957	A
anno1.g98.t1	A	BRAKERILHT00000011506	A
anno1.g99.t1	A	BRAKERILHT00000012201	A
anno1.g100.t1	A	BRAKERILHT00000011093	A
anno1.g101.t1	A	BRAKERILHT00000012347	A
anno1.g102.t1	A	BRAKERILHT00000014793	A
anno1.g105.t1	A	BRAKERILHT00000012123	A
anno1.g106.t1	A	BRAKERILHT00000010893	A
anno1.g107.t1	A	BRAKERILHT00000011043	A
anno1.g109.t1	A	BRAKERILHT00000011705	A
anno1.g110.t1	A	BRAKERILHT00000011873	A
anno1.g111.t1	A	BRAKERILHT00000011881	A
anno1.g112.t1	A	BRAKERILHT00000012150	A
anno1.g113.t1	A	BRAKERILHT00000010920	A
anno1.g114.t1	A	BRAKERILHT00000011607	A
anno1.g115.t1	A	BRAKERILHT00000011982	A
anno1.g116.t1	A	BRAKERILHT00000011754	A
anno1.g117.t1	A	BRAKERILHT00000012265	A
anno1.g118.t1	A	BRAKERILHT00000010509	A
anno1.g119.t3	A	BRAKERILHT00000011450	A
anno1.g121.t1	A	BRAKERILHT00000012117	A
anno1.g123.t1	A	BRAKERILHT00000010615	A
anno1.g126.t1	A	BRAKERILHT00000012146	A
anno1.g130.t1	A	BRAKERILHT00000011625	A
anno1.g131.t3	A	BRAKERILHT00000011684	A
anno1.g135.t1	A	BRAKERILHT00000012320	A
anno1.g136.t1	A	BRAKERILHT00000011086	A
anno1.g146.t2	A	BRAKERILHT00000011014	A
anno1.g149.t1	A	BRAKERILHT00000011861	A
anno1.g152.t1	A	BRAKERILHT00000011951	A
anno1.g158.t1	A	BRAKERILHT00000011221	A
anno1.g159.t1	A	BRAKERILHT00000011566	A
anno1.g161.t1	A	BRAKERILHT00000010454	A
anno1.g165.t1	A	BRAKERILHT00000010666	A
anno1.g166.t1	A	BRAKERILHT00000012309	A
anno1.g168.t1	A	BRAKERILHT00000011773	A
anno1.g169.t1	A	BRAKERILHT00000011472	A
anno1.g173.t1	A	BRAKERILHT00000012346	A
anno1.g174.t1	A	BRAKERILHT00000011389	A
anno1.g175.t1	A	BRAKERILHT00000011335	A
anno1.g178.t1	A	BRAKERILHT00000012222	A
anno1.g179.t1	A	BRAKERILHT00000010681	A
anno1.g180.t1	A	BRAKERILHT00000011590	A
anno1.g181.t1	A	BRAKERILHT00000010457	A
anno1.g182.t1	A	BRAKERILHT00000011112	A
anno1.g183.t1	A	BRAKERILHT00000011548	A
anno1.g184.t1	A	BRAKERILHT00000010427	A
anno1.g185.t1	A	BRAKERILHT00000011358	A
anno1.g186.t1	A	BRAKERILHT00000012191	A
anno1.g187.t1	A	BRAKERILHT00000011398	A
anno1.g188.t2	A	BRAKERILHT00000012050	A
anno1.g189.t1	A	BRAKERILHT00000011672	A
anno1.g190.t1	A	BRAKERILHT00000012229	A
anno1.g191.t1	A	BRAKERILHT00000010594	A
anno1.g192.t1	A	BRAKERILHT00000011123	A
anno1.g193.t1	A	BRAKERILHT00000011408	A
anno1.g194.t1	A	BRAKERILHT00000011258	A
anno1.g197.t2	A	BRAKERILHT00000010501	A
anno1.g198.t1	A	BRAKERILHT00000011848	A
anno1.g199.t1	A	BRAKERILHT00000010682	A
anno1.g200.t1	A	BRAKERILHT00000012296	A
anno1.g202.t1	A	BRAKERILHT00000011691	A
anno1.g204.t1	A	BRAKERILHT00000011154	A
anno1.g205.t1	A	BRAKERILHT00000011414	A
anno1.g206.t1	A	BRAKERILHT00000011726	A
anno1.g207.t2	A	BRAKERILHT00000011876	A
anno1.g208.t1	A	BRAKERILHT00000010519	A
anno1.g209.t1	A	BRAKERILHT00000011019	A
anno1.g210.t1	A	BRAKERILHT00000011567	A
anno1.g211.t1	A	BRAKERILHT00000012065	A
anno1.g212.t2	A	BRAKERILHT00000011166	A
anno1.g213.t2	A	BRAKERILHT00000011860	A
anno1.g214.t1	A	BRAKERILHT00000012202	A
anno1.g215.t1	A	BRAKERILHT00000012300	A
anno1.g216.t1	A	BRAKERILHT00000010572	A
anno1.g217.t2	A	BRAKERILHT00000010577	A
anno1.g218.t1	A	BRAKERILHT00000011411	A
anno1.g219.t1	A	BRAKERILHT00000011006	A
anno1.g220.t1	A	BRAKERILHT00000012076	A
anno1.g222.t1	A	BRAKERILHT00000011300	A
anno1.g224.t1	A	BRAKERILHT00000010640	A
anno1.g225.t1	A	BRAKERILHT00000012187	A
anno1.g226.t1	A	BRAKERILHT00000010921	A
anno1.g227.t1	A	BRAKERILHT00000011546	A
anno1.g228.t2	A	BRAKERILHT00000011989	A
anno1.g229.t1	A	BRAKERILHT00000010716	A
anno1.g230.t1	A	BRAKERILHT00000011120	A
anno1.g231.t1	A	BRAKERILHT00000010579	A
anno1.g233.t1	A	BRAKERILHT00000011423	A
anno1.g234.t1	A	BRAKERILHT00000011723	A
anno1.g235.t1	A	BRAKERILHT00000010513	A
anno1.g236.t1	A	BRAKERILHT00000012267	A
anno1.g237.t1	A	BRAKERILHT00000011400	A
anno1.g238.t1	A	BRAKERILHT00000010756	A
anno1.g239.t1	A	BRAKERILHT00000010706	A
anno1.g240.t1	A	BRAKERILHT00000011812	A
anno1.g241.t1	A	BRAKERILHT00000012082	A
anno1.g242.t1	A	BRAKERILHT00000011755	A
anno1.g244.t2	A	BRAKERILHT00000012302	A
anno1.g250.t2	A	BRAKERILHT00000012282	A
anno1.g252.t3	A	BRAKERILHT00000011269	A
anno1.g253.t1	A	BRAKERILHT00000012032	A
anno1.g257.t1	A	BRAKERILHT00000012102	A
anno1.g267.t1	A	BRAKERILHT00000010620	A
anno1.g268.t1	A	BRAKERILHT00000012090	A
anno1.g269.t1	A	BRAKERILHT00000011433	A
anno1.g271.t2	A	BRAKERILHT00000012022	A
anno1.g273.t1	A	BRAKERILHT00000010916	A
anno1.g276.t2	A	BRAKERILHT00000011936	A
anno1.g278.t2	A	BRAKERILHT00000011089	A
anno1.g283.t1	A	BRAKERILHT00000011214	A
anno1.g286.t1	A	BRAKERILHT00000010812	A
anno1.g290.t1	A	BRAKERILHT00000010553	A
anno1.g292.t1	A	BRAKERILHT00000010744	A
anno1.g297.t1	A	BRAKERILHT00000011887	A
anno1.g299.t1	A	BRAKERILHT00000012151	A
anno1.g300.t1	A	BRAKERILHT00000007640	A
anno1.g307.t1	A	BRAKERILHT00000010737	A
anno1.g308.t1	A	BRAKERILHT00000011141	A
anno1.g309.t1	A	BRAKERILHT00000011752	A
anno1.g314.t1	A	BRAKERILHT00000011998	A
anno1.g315.t1	A	BRAKERILHT00000010502	A
anno1.g316.t1	A	BRAKERILHT00000011181	A
anno1.g317.t1	A	BRAKERILHT00000011574	A
anno1.g319.t1	A	BRAKERILHT00000012294	A
anno1.g320.t1	A	BRAKERILHT00000011956	A
anno1.g321.t1	A	BRAKERILHT00000010650	A
anno1.g322.t2	A	BRAKERILHT00000011256	A
anno1.g325.t1	A	BRAKERILHT00000010795	A
anno1.g326.t1	A	BRAKERILHT00000011474	A
anno1.g327.t1	A	BRAKERILHT00000011537	A
anno1.g328.t1	A	BRAKERILHT00000008298	A
anno1.g330.t1	A	BRAKERILHT00000010693	A
anno1.g331.t1	A	BRAKERILHT00000010467	A
anno1.g333.t1	A	BRAKERILHT00000011664	A
anno1.g334.t1	A	BRAKERILHT00000011131	A
anno1.g336.t1	A	BRAKERILHT00000011544	A
anno1.g337.t1	A	BRAKERILHT00000011702	A
anno1.g338.t1	A	BRAKERILHT00000011430	A
anno1.g339.t1	A	BRAKERILHT00000010622	A
anno1.g340.t2	A	BRAKERILHT00000010912	A
anno1.g342.t1	A	BRAKERILHT00000012013	A
anno1.g346.t1	A	BRAKERILHT00000011568	A
anno1.g354.t1	A	BRAKERILHT00000010844	A
anno1.g359.t1	A	BRAKERILHT00000010601	A
anno1.g360.t2	A	BRAKERILHT00000011132	A
anno1.g361.t1	A	BRAKERILHT00000012024	A
anno1.g364.t1	A	BRAKERILHT00000010674	A
anno1.g365.t1	A	BRAKERILHT00000011323	A
anno1.g366.t1	A	BRAKERILHT00000011016	A
anno1.g368.t1	A	BRAKERILHT00000012070	A
anno1.g370.t2	A	BRAKERILHT00000010578	A
anno1.g371.t1	A	BRAKERILHT00000011218	A
anno1.g372.t1	A	BRAKERILHT00000012041	A
anno1.g373.t1	A	BRAKERILHT00000011507	A
anno1.g375.t2	A	BRAKERILHT00000010969	A
anno1.g377.t2	A	BRAKERILHT00000010511	A
anno1.g379.t1	A	BRAKERILHT00000011263	A
anno1.g380.t1	A	BRAKERILHT00000010858	A
anno1.g382.t1	A	BRAKERILHT00000011612	A
anno1.g383.t1	A	BRAKERILHT00000012035	A
anno1.g384.t1	A	BRAKERILHT00000011859	A
anno1.g385.t1	A	BRAKERILHT00000010896	A
anno1.g386.t1	A	BRAKERILHT00000011034	A
anno1.g387.t3	A	BRAKERILHT00000012306	A
anno1.g389.t1	A	BRAKERILHT00000011833	A
anno1.g390.t2	A	BRAKERILHT00000011542	A
anno1.g391.t1	A	BRAKERILHT00000010498	A
anno1.g392.t1	A	BRAKERILHT00000010735	A
anno1.g393.t1	A	BRAKERILHT00000012298	A
anno1.g401.t1	A	BRAKERILHT00000011690	A
anno1.g405.t2	A	BRAKERILHT00000011762	A
anno1.g407.t1	A	BRAKERILHT00000011997	A
anno1.g408.t1	A	BRAKERILHT00000011168	A
anno1.g409.t1	A	BRAKERILHT00000011479	A
anno1.g410.t1	A	BRAKERILHT00000012220	A
anno1.g411.t1	A	BRAKERILHT00000010843	A
anno1.g412.t1	A	BRAKERILHT00000011142	A
anno1.g414.t1	A	BRAKERILHT00000012281	A
anno1.g415.t1	A	BRAKERILHT00000011634	A
anno1.g416.t1	A	BRAKERILHT00000012012	A
anno1.g417.t1	A	BRAKERILHT00000012193	A
anno1.g418.t2	A	BRAKERILHT00000010691	A
anno1.g419.t1	A	BRAKERILHT00000011370	A
anno1.g420.t1	A	BRAKERILHT00000012069	A
anno1.g421.t1	A	BRAKERILHT00000010807	A
anno1.g422.t1	A	BRAKERILHT00000011015	A
anno1.g424.t1	A	BRAKERILHT00000012141	A
anno1.g425.t2	A	BRAKERILHT00000011718	A
anno1.g427.t3	A	BRAKERILHT00000011996	A
anno1.g435.t1	A	BRAKERILHT00000010903	A
anno1.g436.t2	A	BRAKERILHT00000010490	A
anno1.g441.t1	A	BRAKERILHT00000011247	A
anno1.g443.t1	A	BRAKERILHT00000011798	A
anno1.g444.t1	A	BRAKERILHT00000010539	A
anno1.g445.t1	A	BRAKERILHT00000011923	A
anno1.g446.t1	A	BRAKERILHT00000010983	A
anno1.g447.t1	A	BRAKERILHT00000011461	A
anno1.g448.t1	A	BRAKERILHT00000012334	A
anno1.g449.t1	A	BRAKERILHT00000010815	A
anno1.g452.t1	A	BRAKERILHT00000012016	A
anno1.g457.t2	A	BRAKERILHT00000011058	A
anno1.g458.t1	A	BRAKERILHT00000011594	A
anno1.g460.t1	A	BRAKERILHT00000011647	A
anno1.g461.t2	A	BRAKERILHT00000012241	A
anno1.g466.t2	A	BRAKERILHT00000012197	A
anno1.g469.t1	A	BRAKERILHT00000011087	A
anno1.g470.t1	A	BRAKERILHT00000011382	A
anno1.g471.t1	A	BRAKERILHT00000010967	A
anno1.g472.t1	A	BRAKERILHT00000011516	A
anno1.g473.t2	A	BRAKERILHT00000011104	A
anno1.g475.t1	A	BRAKERILHT00000010725	A
anno1.g476.t1	A	BRAKERILHT00000010826	A
anno1.g477.t1	A	BRAKERILHT00000011985	A
anno1.g478.t1	A	BRAKERILHT00000010833	A
anno1.g484.t1	A	BRAKERILHT00000011200	A
anno1.g485.t1	A	BRAKERILHT00000011004	A
anno1.g487.t1	A	BRAKERILHT00000010452	A
anno1.g493.t2	A	BRAKERILHT00000010950	A
anno1.g494.t1	A	BRAKERILHT00000011174	A
anno1.g498.t1	A	BRAKERILHT00000011399	A
anno1.g499.t2	A	BRAKERILHT00000011383	A
anno1.g501.t1	A	BRAKERILHT00000010766	A
anno1.g502.t1	A	BRAKERILHT00000012310	A
anno1.g511.t1	A	BRAKERILHT00000011208	A
anno1.g512.t1	A	BRAKERILHT00000010671	A
anno1.g514.t1	A	BRAKERILHT00000010699	A
anno1.g515.t2	A	BRAKERILHT00000012214	A
anno1.g518.t1	A	BRAKERILHT00000010570	A
anno1.g519.t1	A	BRAKERILHT00000010820	A
anno1.both_agree_g3233.t2	A	BRAKERILHT00000012053	A
anno1.g521.t1	A	BRAKERILHT00000011633	A
anno1.g522.t1	A	BRAKERILHT00000010683	A
anno1.g523.t1	A	BRAKERILHT00000012185	A
anno1.g524.t2	A	BRAKERILHT00000011939	A
anno1.g525.t1	A	BRAKERILHT00000011376	A
anno1.g526.t1	A	BRAKERILHT00000010956	A
anno1.g528.t1	A	BRAKERILHT00000011489	A
anno1.g531.t1	A	BRAKERILHT00000011346	A
anno1.g532.t1	A	BRAKERILHT00000011310	A
anno1.g533.t1	A	BRAKERILHT00000012272	A
anno1.g536.t1	A	BRAKERILHT00000010722	A
anno1.g537.t1	A	BRAKERILHT00000011901	A
anno1.g538.t1	A	BRAKERILHT00000011317	A
anno1.g540.t2	A	BRAKERILHT00000011795	A
anno1.g541.t1	A	BRAKERILHT00000011964	A
anno1.g542.t1	A	BRAKERILHT00000012120	A
anno1.g545.t2	A	BRAKERILHT00000011329	A
anno1.g547.t1	A	BRAKERILHT00000010677	A
anno1.g548.t1	A	BRAKERILHT00000012162	A
anno1.g549.t2	A	BRAKERILHT00000012158	A
anno1.g550.t1	A	BRAKERILHT00000011545	A
anno1.g551.t1	A	BRAKERILHT00000011391	A
anno1.g552.t1	A	BRAKERILHT00000010981	A
anno1.g553.t1	A	BRAKERILHT00000010805	A
anno1.g554.t1	A	BRAKERILHT00000012339	A
anno1.g555.t2	A	BRAKERILHT00000011092	A
anno1.g556.t1	A	BRAKERILHT00000010434	A
anno1.g558.t1	A	BRAKERILHT00000011385	A
anno1.g559.t1	A	BRAKERILHT00000011021	A
anno1.g560.t2	A	BRAKERILHT00000010590	A
anno1.g561.t1	A	BRAKERILHT00000011893	A
anno1.g563.t2	A	BRAKERILHT00000012338	A
anno1.g564.t1	A	BRAKERILHT00000012148	A
anno1.g566.t1	A	BRAKERILHT00000011682	A
anno1.g572.t1	A	BRAKERILHT00000011826	A
anno1.g573.t1	A	BRAKERILHT00000012031	A
anno1.g574.t1	A	BRAKERILHT00000012084	A
anno1.g575.t1	A	BRAKERILHT00000014694	A
anno1.g582.t1	A	BRAKERILHT00000011144	A
anno1.g584.t1	A	BRAKERILHT00000010966	A
anno1.g585.t2	A	BRAKERILHT00000010564	A
anno1.g586.t1	A	BRAKERILHT00000015997	A
anno1.g590.t2	A	BRAKERILHT00000011324	A
anno1.g592.t2	A	BRAKERILHT00000011751	A
anno1.g594.t2	A	BRAKERILHT00000010679	A
anno1.g595.t1	A	BRAKERILHT00000012057	A
anno1.g596.t1	A	BRAKERILHT00000011403	A
anno1.g597.t2	A	BRAKERILHT00000012066	A
anno1.g598.t1	A	BRAKERILHT00000012312	A
anno1.g599.t1	A	BRAKERILHT00000010909	A
anno1.g600.t1	A	BRAKERILHT00000010667	A
anno1.g601.t1	A	BRAKERILHT00000011211	A
anno1.g602.t1	A	BRAKERILHT00000011595	A
anno1.g603.t1	A	BRAKERILHT00000012138	A
anno1.g604.t1	A	BRAKERILHT00000014637	A
anno1.g605.t1	A	BRAKERILHT00000010929	A
anno1.g606.t1	A	BRAKERILHT00000010878	A
anno1.g607.t2	A	BRAKERILHT00000012131	A
anno1.g608.t1	A	BRAKERILHT00000011022	A
anno1.g609.t1	A	BRAKERILHT00000011451	A
anno1.g610.t1	A	BRAKERILHT00000011884	A
anno1.g611.t2	A	BRAKERILHT00000010829	A
anno1.g612.t1	A	BRAKERILHT00000011345	A
anno1.g613.t1	A	BRAKERILHT00000011904	A
anno1.g614.t1	A	BRAKERILHT00000012181	A
anno1.g617.t1	A	BRAKERILHT00000011496	A
anno1.g618.t1	A	BRAKERILHT00000011051	A
anno1.g620.t1	A	BRAKERILHT00000010520	A
anno1.g623.t1	A	BRAKERILHT00000011285	A
anno1.g624.t1	A	BRAKERILHT00000012106	A
anno1.g626.t1	A	BRAKERILHT00000011447	A
anno1.g627.t1	A	BRAKERILHT00000010559	A
anno1.g628.t1	A	BRAKERILHT00000011102	A
anno1.g629.t2	A	BRAKERILHT00000011585	A
anno1.g630.t1	A	BRAKERILHT00000012137	A
anno1.g631.t1	A	BRAKERILHT00000012297	A
anno1.g633.t1	A	BRAKERILHT00000010834	A
anno1.g634.t1	A	BRAKERILHT00000011390	A
anno1.g635.t1	A	BRAKERILHT00000010838	A
anno1.g636.t1	A	BRAKERILHT00000012240	A
anno1.g637.t1	A	BRAKERILHT00000011710	A
anno1.g639.t1	A	BRAKERILHT00000011495	A
anno1.g640.t2	A	BRAKERILHT00000010723	A
anno1.g641.t1	A	BRAKERILHT00000010721	A
anno1.g642.t1	A	BRAKERILHT00000011242	A
anno1.g644.t1	A	BRAKERILHT00000011772	A
anno1.g645.t1	A	BRAKERILHT00000012336	A
anno1.g646.t1	A	BRAKERILHT00000010968	A
anno1.g649.t1	A	BRAKERILHT00000012108	A
anno1.g650.t2	A	BRAKERILHT00000012213	A
anno1.g651.t5	A	BRAKERILHT00000011640	A
anno1.g652.t2	A	BRAKERILHT00000011645	A
anno1.g654.t1	A	BRAKERILHT00000012247	A
anno1.g656.t2	A	BRAKERILHT00000011902	A
anno1.g660.t2	A	BRAKERILHT00000010942	A
anno1.g661.t1	A	BRAKERILHT00000011737	A
anno1.g666.t1	A	BRAKERILHT00000010512	A
anno1.g688.t2	A	BRAKERILHT00000010794	A
anno1.g691.t1	A	BRAKERILHT00000011903	A
anno1.g693.t4	A	BRAKERILHT00000011872	A
anno1.g694.t2	A	BRAKERILHT00000011295	A
anno1.g697.t1	A	BRAKERILHT00000012130	A
anno1.g699.t1	A	BRAKERILHT00000011046	A
anno1.g700.t1	A	BRAKERILHT00000011427	A
anno1.g701.t1	A	BRAKERILHT00000011429	A
anno1.g703.t1	A	BRAKERILHT00000011871	A
anno1.g704.t1	A	BRAKERILHT00000011626	A
anno1.g705.t1	A	BRAKERILHT00000010440	A
anno1.g707.t1	A	BRAKERILHT00000011890	A
anno1.g708.t1	A	BRAKERILHT00000011569	A
anno1.g709.t1	A	BRAKERILHT00000011874	A
anno1.g710.t1	A	BRAKERILHT00000010485	A
anno1.g711.t1	A	BRAKERILHT00000011204	A
anno1.g712.t3	A	BRAKERILHT00000011721	A
anno1.g713.t1	A	BRAKERILHT00000012139	A
anno1.g715.t2	A	BRAKERILHT00000010764	A
anno1.g717.t1	A	BRAKERILHT00000011393	A
anno1.g718.t1	A	BRAKERILHT00000011070	A
anno1.g719.t1	A	BRAKERILHT00000012198	A
anno1.g720.t2	A	BRAKERILHT00000011927	A
anno1.g721.t1	A	BRAKERILHT00000010654	A
anno1.g722.t1	A	BRAKERILHT00000011811	A
anno1.g723.t1	A	BRAKERILHT00000011963	A
anno1.g724.t2	A	BRAKERILHT00000011062	A
anno1.g725.t1	A	BRAKERILHT00000011845	A
anno1.g726.t4	A	BRAKERILHT00000010420	A
anno1.g727.t1	A	BRAKERILHT00000010538	A
anno1.g728.t1	A	BRAKERILHT00000012006	A
anno1.g729.t1	A	BRAKERILHT00000016841	A
anno1.g730.t1	A	BRAKERILHT00000010926	A
anno1.g731.t1	A	BRAKERILHT00000011644	A
anno1.g733.t1	A	BRAKERILHT00000012210	A
anno1.g734.t2	A	BRAKERILHT00000011361	A
anno1.g735.t1	A	BRAKERILHT00000010626	A
anno1.g737.t1	A	BRAKERILHT00000012003	A
anno1.g738.t1	A	BRAKERILHT00000011216	A
anno1.g739.t1	A	BRAKERILHT00000010703	A
anno1.g740.t1	A	BRAKERILHT00000011038	A
anno1.g741.t2	A	BRAKERILHT00000011856	A
anno1.g742.t1	A	BRAKERILHT00000011010	A
anno1.g743.t1	A	BRAKERILHT00000011788	A
anno1.g747.t1	A	BRAKERILHT00000012121	A
anno1.g748.t1	A	BRAKERILHT00000012020	A
anno1.g752.t1	A	BRAKERILHT00000010639	A
anno1.g753.t1	A	BRAKERILHT00000010939	A
anno1.g754.t1	A	BRAKERILHT00000011490	A
anno1.g755.t1	A	BRAKERILHT00000011831	A
anno1.g756.t1	A	BRAKERILHT00000012128	A
anno1.g757.t1	A	BRAKERILHT00000010988	A
anno1.g758.t1	A	BRAKERILHT00000010535	A
anno1.g759.t1	A	BRAKERILHT00000011630	A
anno1.g760.t1	A	BRAKERILHT00000010609	A
anno1.g761.t1	A	BRAKERILHT00000012271	A
anno1.g762.t1	A	BRAKERILHT00000010948	A
anno1.g763.t1	A	BRAKERILHT00000010867	A
anno1.g764.t1	A	BRAKERILHT00000010484	A
anno1.g765.t1	A	BRAKERILHT00000011564	A
anno1.g768.t1	A	BRAKERILHT00000011336	A
anno1.g769.t1	A	BRAKERILHT00000012325	A
anno1.g771.t1	A	BRAKERILHT00000011077	A
anno1.g772.t1	A	BRAKERILHT00000012326	A
anno1.g773.t1	A	BRAKERILHT00000012167	A
anno1.g774.t1	A	BRAKERILHT00000010894	A
anno1.g781.t1	A	BRAKERILHT00000012256	A
anno1.g782.t2	A	BRAKERILHT00000011453	A
anno1.g784.t1	A	BRAKERILHT00000011151	A
anno1.g785.t1	A	BRAKERILHT00000010831	A
anno1.g786.t1	A	BRAKERILHT00000010729	A
anno1.g787.t1	A	BRAKERILHT00000011809	A
anno1.g790.t1	A	BRAKERILHT00000012251	A
anno1.g793.t1	A	BRAKERILHT00000011846	A
anno1.g794.t1	A	BRAKERILHT00000011148	A
anno1.g797.t1	A	BRAKERILHT00000011222	A
anno1.g799.t1	A	BRAKERILHT00000012030	A
anno1.g802.t2	A	BRAKERILHT00000011108	A
anno1.g803.t1	A	BRAKERILHT00000010947	A
anno1.g804.t2	A	BRAKERILHT00000011759	A
anno1.g805.t1	A	BRAKERILHT00000010446	A
anno1.g806.t1	A	BRAKERILHT00000011708	A
anno1.g807.t1	A	BRAKERILHT00000010724	A
anno1.g808.t1	A	BRAKERILHT00000012046	A
anno1.g809.t1	A	BRAKERILHT00000011248	A
anno1.g810.t1	A	BRAKERILHT00000011744	A
anno1.g811.t1	A	BRAKERILHT00000012331	A
anno1.g812.t1	A	BRAKERILHT00000010979	A
anno1.g813.t1	A	BRAKERILHT00000011896	A
anno1.g814.t1	A	BRAKERILHT00000010783	A
anno1.g815.t1	A	BRAKERILHT00000011478	A
anno1.g816.t1	A	BRAKERILHT00000010775	A
anno1.g820.t1	A	BRAKERILHT00000011815	A
anno1.g821.t1	A	BRAKERILHT00000011325	A
anno1.g822.t4	A	BRAKERILHT00000011841	A
anno1.g823.t1	A	BRAKERILHT00000012260	A
anno1.g826.t1	A	BRAKERILHT00000012002	A
anno1.g827.t2	A	BRAKERILHT00000010495	A
anno1.g828.t1	A	BRAKERILHT00000010907	A
anno1.g829.t1	A	BRAKERILHT00000011943	A
anno1.g830.t1	A	BRAKERILHT00000010444	A
anno1.g833.t4	A	BRAKERILHT00000011947	A
anno1.g837.t1	A	BRAKERILHT00000000233	A
anno1.g841.t1	A	BRAKERILHT00000010540	A
anno1.g842.t1	A	BRAKERILHT00000011922	A
anno1.g843.t1	A	BRAKERILHT00000011514	A
anno1.g844.t1	A	BRAKERILHT00000011823	A
anno1.g845.t2	A	BRAKERILHT00000011194	A
anno1.g846.t1	A	BRAKERILHT00000012049	A
anno1.g847.t2	A	BRAKERILHT00000010917	A
anno1.g848.t1	A	BRAKERILHT00000010522	A
anno1.g849.t1	A	BRAKERILHT00000012253	A
anno1.g850.t1	A	BRAKERILHT00000011843	A
anno1.g853.t1	A	BRAKERILHT00000011201	A
anno1.g854.t1	A	BRAKERILHT00000012092	A
anno1.g855.t3	A	BRAKERILHT00000011003	A
anno1.g857.t2	A	BRAKERILHT00000011689	A
anno1.g864.t1	A	BRAKERILHT00000010612	A
anno1.g868.t1	A	BRAKERILHT00000011125	A
anno1.g869.t1	A	BRAKERILHT00000011975	A
anno1.g873.t1	A	BRAKERILHT00000011110	A
anno1.g875.t1	A	BRAKERILHT00000011532	A
anno1.g876.t2	A	BRAKERILHT00000012174	A
anno1.g879.t1	A	BRAKERILHT00000010689	A
anno1.g881.t1	A	BRAKERILHT00000011628	A
anno1.g882.t1	A	BRAKERILHT00000012244	A
