D_carinulata	chromosome	D_sublineata	chromosome
rna-XM_057806380.1	X	rna-XM_056790069.1	X
rna-XM_057806390.1	X	rna-XM_056790070.1	X
rna-XM_057806464.1	X	rna-XM_056789446.1	X
rna-XM_057801428.1	X	rna-XM_056790306.1	X
rna-XM_057795445.1	X	rna-XM_056789749.1	X
rna-XM_057802588.1	X	rna-XM_056791178.1	X
rna-XM_057798323.1	X	rna-XM_056790316.1	X
rna-XM_057802304.1	X	rna-XM_056789653.1	X
rna-XM_057802283.1	X	rna-XM_056789808.1	X
rna-XM_057802272.1	X	rna-XM_056789807.1	X
rna-XM_057811614.1	X	rna-XM_056790226.1	X
rna-XM_057811634.1	X	rna-XM_056790917.1	X
rna-XM_057811646.1	X	rna-XM_056790916.1	X
rna-XM_057816218.1	X	rna-XM_056790905.1	X
rna-XM_057798313.1	X	rna-XM_056790356.1	X
rna-XM_057811225.1	X	rna-XM_056791107.1	X
rna-XM_057811252.1	X	rna-XM_056791103.1	X
rna-XM_057811276.1	X	rna-XM_056791106.1	X
rna-XM_057811260.1	X	rna-XM_056791105.1	X
rna-XM_057811237.1	X	rna-XM_056791176.1	X
rna-XM_057816580.1	X	rna-XM_056789252.1	X
rna-XM_057797711.1	X	rna-XM_056789907.1	X
rna-XM_057801806.1	X	rna-XM_056791175.1	X
rna-XM_057800069.1	X	rna-XM_056790009.1	X
rna-XM_057800104.1	X	rna-XM_056790012.1	X
rna-XM_057800117.1	X	rna-XM_056790106.1	X
rna-XM_057800276.1	X	rna-XM_056790105.1	X
rna-XM_057800287.1	X	rna-XM_056790104.1	X
rna-XM_057800158.1	X	rna-XM_056790378.1	X
rna-XM_057800195.1	X	rna-XM_056790220.1	X
rna-XM_057800179.1	X	rna-XM_056790187.1	X
rna-XM_057800267.1	X	rna-XM_056791174.1	X
rna-XM_057800348.1	X	rna-XM_056789507.1	X
rna-XM_057800361.1	X	rna-XM_056789751.1	X
rna-XM_057800407.1	X	rna-XM_056790299.1	X
rna-XM_057800373.1	X	rna-XM_056790294.1	X
rna-XM_057800418.1	X	rna-XM_056790300.1	X
rna-XM_057800438.1	X	rna-XM_056790235.1	X
rna-XM_057800451.1	X	rna-XM_056790238.1	X
rna-XM_057800481.1	X	rna-XM_056789742.1	X
rna-XM_057800893.1	X	rna-XM_056789772.1	X
rna-XM_057800793.1	X	rna-XM_056789594.1	X
rna-XM_057805612.1	X	rna-XM_056781702.1	A
rna-XM_057800598.1	X	rna-XM_056790280.1	X
rna-XM_057805879.1	X	rna-XM_056789367.1	X
rna-XM_057800939.1	X	rna-XM_056789368.1	X
rna-XM_057800831.1	X	rna-XM_056789633.1	X
rna-XM_057800697.1	X	rna-XM_056790536.1	X
rna-XM_057800567.1	X	rna-XM_056790535.1	X
rna-XM_057800774.1	X	rna-XM_056790534.1	X
rna-XM_057800962.1	X	rna-XM_056790074.1	X
rna-XM_057800906.1	X	rna-XM_056790508.1	X
rna-XM_057800717.1	X	rna-XM_056791017.1	X
rna-XM_057800460.1	X	rna-XM_056791015.1	X
rna-XM_057800784.1	X	rna-XM_056790005.1	X
rna-XM_057800759.1	X	rna-XM_056789385.1	X
rna-XM_057796468.1	X	rna-XM_056789361.1	X
rna-XM_057810881.1	X	rna-XM_056789356.1	X
rna-XM_057810893.1	X	rna-XM_056789357.1	X
rna-XM_057796635.1	X	rna-XM_056790502.1	X
rna-XM_057807074.1	X	rna-XM_056779978.1	A
rna-XM_057796658.1	X	rna-XM_056789766.1	X
rna-XM_057808367.1	X	rna-XM_056789112.1	X
rna-XM_057808347.1	X	rna-XM_056789106.1	X
rna-XM_057808377.1	X	rna-XM_056789105.1	X
rna-XM_057808412.1	X	rna-XM_056790288.1	X
rna-XM_057808391.1	X	rna-XM_056790545.1	X
rna-XM_057808461.1	X	rna-XM_056790544.1	X
rna-XM_057803100.1	X	rna-XM_056790547.1	X
rna-XM_057803181.1	X	rna-XM_056790050.1	X
rna-XM_057803300.1	X	rna-XM_056789435.1	X
rna-XM_057803309.1	X	rna-XM_056789300.1	X
rna-XM_057801591.1	X	rna-XM_056790002.1	X
rna-XM_057803348.1	X	rna-XM_056789584.1	X
rna-XM_057801603.1	X	rna-XM_056789850.1	X
rna-XM_057803371.1	X	rna-XM_056789116.1	X
rna-XM_057803724.1	X	rna-XM_056790570.1	X
rna-XM_057803749.1	X	rna-XM_056789740.1	X
rna-XM_057803760.1	X	rna-XM_056789738.1	X
rna-XM_057803782.1	X	rna-XM_056789068.1	X
rna-XM_057803874.1	X	rna-XM_056789522.1	X
rna-XM_057803894.1	X	rna-XM_056790384.1	X
rna-XM_057798492.1	X	rna-XM_056789920.1	X
rna-XM_057798479.1	X	rna-XM_056790694.1	X
rna-XM_057815206.1	X	rna-XM_056789582.1	X
rna-XM_057815494.1	X	rna-XM_056789991.1	X
rna-XM_057815612.1	X	rna-XM_056789992.1	X
rna-XM_057811657.1	X	rna-XM_056789546.1	X
rna-XM_057811843.1	X	rna-XM_056789570.1	X
rna-XM_057811906.1	X	rna-XM_056790353.1	X
rna-XM_057794892.1	X	rna-XM_056789394.1	X
rna-XM_057802723.1	X	rna-XM_056789396.1	X
rna-XM_057803013.1	X	rna-XM_056790368.1	X
rna-XM_057810491.1	X	rna-XM_056790421.1	X
rna-XM_057810536.1	X	rna-XM_056790427.1	X
rna-XM_057810547.1	X	rna-XM_056789731.1	X
rna-XM_057810576.1	X	rna-XM_056790434.1	X
rna-XM_057810522.1	X	rna-XM_056790428.1	X
rna-XM_057798393.1	X	rna-XM_056790437.1	X
rna-XM_057798373.1	X	rna-XM_056790438.1	X
rna-XM_057811004.1	X	rna-XM_056790339.1	X
rna-XM_057811047.1	X	rna-XM_056789730.1	X
rna-XM_057814100.1	X	rna-XM_056790506.1	X
rna-XM_057814121.1	X	rna-XM_056790318.1	X
rna-XM_057814147.1	X	rna-XM_056790254.1	X
rna-XM_057807136.1	X	rna-XM_056789596.1	X
rna-XM_057811139.1	X	rna-XM_056790218.1	X
rna-XM_057811152.1	X	rna-XM_056791144.1	X
rna-XM_057811169.1	X	rna-XM_056790003.1	X
rna-XM_057812921.1	X	rna-XM_056789678.1	X
rna-XM_057812934.1	X	rna-XM_056789734.1	X
rna-XM_057812955.1	X	rna-XM_056790225.1	X
rna-XM_057800033.1	X	rna-XM_056790036.1	X
rna-XM_057801677.1	X	rna-XM_056789859.1	X
rna-XM_057814488.1	X	rna-XM_056789538.1	X
rna-XM_057814476.1	X	rna-XM_056789534.1	X
rna-XM_057804534.1	X	rna-XM_056790042.1	X
rna-XM_057806710.1	X	rna-XM_056790043.1	X
rna-XM_057801690.1	X	rna-XM_056789689.1	X
rna-XM_057796922.1	X	rna-XM_056789262.1	X
rna-XM_057796862.1	X	rna-XM_056789258.1	X
rna-XM_057801702.1	X	rna-XM_056789287.1	X
rna-XM_057796935.1	X	rna-XM_056789263.1	X
rna-XM_057796848.1	X	rna-XM_056789257.1	X
rna-XM_057796984.1	X	rna-XM_056789267.1	X
rna-XM_057797173.1	X	rna-XM_056789289.1	X
rna-XM_057796910.1	X	rna-XM_056789288.1	X
rna-XM_057796962.1	X	rna-XM_056789291.1	X
rna-XM_057796894.1	X	rna-XM_056789290.1	X
rna-XM_057797885.1	X	rna-XM_056789294.1	X
rna-XM_057801614.1	X	rna-XM_056789862.1	X
rna-XM_057809985.1	X	rna-XM_056789297.1	X
rna-XM_057815989.1	X	rna-XM_056789299.1	X
rna-XM_057798336.1	X	rna-XM_056789956.1	X
rna-XM_057816480.1	X	rna-XM_056789958.1	X
rna-XM_057806318.1	X	rna-XM_056790063.1	X
rna-XM_057796776.1	X	rna-XM_056790184.1	X
rna-XM_057796909.1	X	rna-XM_056790186.1	X
rna-XM_057797120.1	X	rna-XM_056789416.1	X
rna-XM_057797385.1	X	rna-XM_056789419.1	X
rna-XM_057797602.1	X	rna-XM_056790338.1	X
rna-XM_057802737.1	X	rna-XM_056790361.1	X
rna-XM_057810066.1	X	rna-XM_056789529.1	X
rna-XM_057810281.1	X	rna-XM_056790170.1	X
rna-XM_057815515.1	X	rna-XM_056789307.1	X
rna-XM_057810091.1	X	rna-XM_056790473.1	X
rna-XM_057810120.1	X	rna-XM_056790478.1	X
rna-XM_057794969.1	X	rna-XM_056790480.1	X
rna-XM_057794957.1	X	rna-XM_056790474.1	X
rna-XM_057794980.1	X	rna-XM_056790479.1	X
rna-XM_057802650.1	X	rna-XM_056790413.1	X
rna-XM_057801745.1	X	rna-XM_056789863.1	X
rna-XM_057816680.1	X	rna-XM_056789349.1	X
rna-XM_057797603.1	X	rna-XM_056790409.1	X
rna-XM_057799680.1	X	rna-XM_056790113.1	X
rna-XM_057796449.1	X	rna-XM_056790111.1	X
rna-XM_057813866.1	X	rna-XM_056790114.1	X
rna-XM_057813888.1	X	rna-XM_056790116.1	X
rna-XM_057813877.1	X	rna-XM_056790118.1	X
rna-XM_057813853.1	X	rna-XM_056790117.1	X
rna-XM_057813104.1	X	rna-XM_056790120.1	X
rna-XM_057815996.1	X	rna-XM_056790122.1	X
rna-XM_057805469.1	X	rna-XM_056790125.1	X
rna-XM_057805482.1	X	rna-XM_056790127.1	X
rna-XM_057805555.1	X	rna-XM_056790132.1	X
rna-XM_057805579.1	X	rna-XM_056790134.1	X
rna-XM_057805667.1	X	rna-XM_056790136.1	X
rna-XM_057805606.1	X	rna-XM_056790137.1	X
rna-XM_057805640.1	X	rna-XM_056790138.1	X
rna-XM_057805654.1	X	rna-XM_056790141.1	X
rna-XM_057805621.1	X	rna-XM_056790142.1	X
rna-XM_057805684.1	X	rna-XM_056790145.1	X
rna-XM_057805696.1	X	rna-XM_056790143.1	X
rna-XM_057805720.1	X	rna-XM_056790146.1	X
rna-XM_057805753.1	X	rna-XM_056790150.1	X
rna-XM_057801775.1	X	rna-XM_056789865.1	X
rna-XM_057805763.1	X	rna-XM_056790151.1	X
rna-XM_057805816.1	X	rna-XM_056790159.1	X
rna-XM_057805897.1	X	rna-XM_056790163.1	X
rna-XM_057805858.1	X	rna-XM_056790156.1	X
rna-XM_057805884.1	X	rna-XM_056790216.1	X
rna-XM_057805909.1	X	rna-XM_056790445.1	X
rna-XM_057805936.1	X	rna-XM_056790465.1	X
rna-XM_057805948.1	X	rna-XM_056789076.1	X
rna-XM_057805976.1	X	rna-XM_056790988.1	X
rna-XM_057805995.1	X	rna-XM_056789412.1	X
rna-XM_057806006.1	X	rna-XM_056789941.1	X
rna-XM_057806024.1	X	rna-XM_056789940.1	X
rna-XM_057806037.1	X	rna-XM_056790777.1	X
rna-XM_057806056.1	X	rna-XM_056790774.1	X
rna-XM_057806089.1	X	rna-XM_056790782.1	X
rna-XM_057801788.1	X	rna-XM_056789867.1	X
rna-XM_057806128.1	X	rna-XM_056790784.1	X
rna-XM_057806177.1	X	rna-XM_056790786.1	X
rna-XM_057816881.1	X	rna-XM_056790792.1	X
rna-XM_057816894.1	X	rna-XM_056790787.1	X
rna-XM_057816917.1	X	rna-XM_056790789.1	X
rna-XM_057795666.1	X	rna-XM_056790793.1	X
rna-XM_057810807.1	X	rna-XM_056790797.1	X
rna-XM_057806993.1	X	rna-XM_056790800.1	X
rna-XM_057807005.1	X	rna-XM_056790801.1	X
rna-XM_057806113.1	X	rna-XM_056790803.1	X
rna-XM_057804862.1	X	rna-XM_056790802.1	X
rna-XM_057796413.1	X	rna-XM_056789868.1	X
rna-XM_057816809.1	X	rna-XM_056789194.1	X
rna-XM_057796685.1	X	rna-XM_056789771.1	X
rna-XM_057810458.1	X	rna-XM_056789916.1	X
rna-XM_057810437.1	X	rna-XM_056790966.1	X
rna-XM_057806689.1	X	rna-XM_056790968.1	X
rna-XM_057815741.1	X	rna-XM_056790455.1	X
rna-XM_057815753.1	X	rna-XM_056790459.1	X
rna-XM_057803631.1	X	rna-XM_056790366.1	X
rna-XM_057797774.1	X	rna-XM_056789903.1	X
rna-XM_057806339.1	X	rna-XM_056789574.1	X
rna-XM_057807185.1	X	rna-XM_056790179.1	X
rna-XM_057807237.1	X	rna-XM_056790344.1	X
rna-XM_057807263.1	X	rna-XM_056789382.1	X
rna-XM_057807250.1	X	rna-XM_056789389.1	X
rna-XM_057804301.1	X	rna-XM_056790469.1	X
rna-XM_057798800.1	X	rna-XM_056790192.1	X
rna-XM_057798904.1	X	rna-XM_056790215.1	X
rna-XM_057798916.1	X	rna-XM_056789215.1	X
rna-XM_057799056.1	X	rna-XM_056789928.1	X
rna-XM_057799069.1	X	rna-XM_056789924.1	X
rna-XM_057799081.1	X	rna-XM_056789597.1	X
rna-XM_057799142.1	X	rna-XM_056789190.1	X
rna-XM_057799148.1	X	rna-XM_056790183.1	X
rna-XM_057799159.1	X	rna-XM_056789758.1	X
rna-XM_057799201.1	X	rna-XM_056789870.1	X
rna-XM_057799215.1	X	rna-XM_056789180.1	X
rna-XM_057799252.1	X	rna-XM_056789185.1	X
rna-XM_057799283.1	X	rna-XM_056790342.1	X
rna-XM_057799294.1	X	rna-XM_056789142.1	X
rna-XM_057801798.1	X	rna-XM_056789871.1	X
rna-XM_057801811.1	X	rna-XM_056779969.1	A
rna-XM_057799326.1	X	rna-XM_056789381.1	X
rna-XM_057799353.1	X	rna-XM_056791167.1	X
rna-XM_057799371.1	X	rna-XM_056791169.1	X
rna-XM_057799412.1	X	rna-XM_056790972.1	X
rna-XM_057799425.1	X	rna-XM_056790973.1	X
rna-XM_057799437.1	X	rna-XM_056790807.1	X
rna-XM_057799451.1	X	rna-XM_056790806.1	X
rna-XM_057799462.1	X	rna-XM_056790805.1	X
rna-XM_057799477.1	X	rna-XM_056790808.1	X
rna-XM_057799490.1	X	rna-XM_056789787.1	X
rna-XM_057799560.1	X	rna-XM_056789873.1	X
rna-XM_057799574.1	X	rna-XM_056790569.1	X
rna-XM_057799517.1	X	rna-XM_056790568.1	X
rna-XM_057799503.1	X	rna-XM_056790566.1	X
rna-XM_057799585.1	X	rna-XM_056790560.1	X
rna-XM_057802531.1	X	rna-XM_056790096.1	X
rna-XM_057797906.1	X	rna-XM_056789709.1	X
rna-XM_057797761.1	X	rna-XM_056789059.1	X
rna-XM_057813371.1	X	rna-XM_056790809.1	X
rna-XM_057807172.1	X	rna-XM_056789483.1	X
rna-XM_057809569.1	X	rna-XM_056789377.1	X
rna-XM_057801464.1	X	rna-XM_056790357.1	X
rna-XM_057811919.1	X	rna-XM_056790971.1	X
rna-XM_057798190.1	X	rna-XM_056790970.1	X
rna-XM_057799997.1	X	rna-XM_056789341.1	X
rna-XM_057800008.1	X	rna-XM_056789345.1	X
rna-XM_057795468.1	X	rna-XM_056789759.1	X
rna-XM_057803918.1	X	rna-XM_056789760.1	X
rna-XM_057796496.1	X	rna-XM_056789763.1	X
rna-XM_057806519.1	X	rna-XM_056790412.1	X
rna-XM_057816197.1	X	rna-XM_056790001.1	X
rna-XM_057816165.1	X	rna-XM_056789397.1	X
rna-XM_057801834.1	X	rna-XM_056789874.1	X
rna-XM_057816188.1	X	rna-XM_056790543.1	X
rna-XM_057816076.1	X	rna-XM_056790933.1	X
rna-XM_057816127.1	X	rna-XM_056790942.1	X
rna-XM_057816155.1	X	rna-XM_056790944.1	X
rna-XM_057816110.1	X	rna-XM_056790943.1	X
rna-XM_057816208.1	X	rna-XM_056789369.1	X
rna-XM_057816116.1	X	rna-XM_056789426.1	X
rna-XM_057816140.1	X	rna-XM_056789387.1	X
rna-XM_057816176.1	X	rna-XM_056790466.1	X
rna-XM_057795420.1	X	rna-XM_056789585.1	X
rna-XM_057795432.1	X	rna-XM_056789586.1	X
rna-XM_057805218.1	X	rna-XM_056789080.1	X
rna-XM_057803588.1	X	rna-XM_056790038.1	X
rna-XM_057801857.1	X	rna-XM_056790040.1	X
rna-XM_057808359.1	X	rna-XM_056789908.1	X
rna-XM_057808559.1	X	rna-XM_056789909.1	X
rna-XM_057808852.1	X	rna-XM_056789915.1	X
rna-XM_057815961.1	X	rna-XM_056789391.1	X
rna-XM_057798461.1	X	rna-XM_056789132.1	X
rna-XM_057799549.1	X	rna-XM_056789138.1	X
rna-XM_057804134.1	X	rna-XM_056790870.1	X
rna-XM_057804190.1	X	rna-XM_056790874.1	X
rna-XM_057804167.1	X	rna-XM_056790877.1	X
rna-XM_057804178.1	X	rna-XM_056790873.1	X
rna-XM_057804156.1	X	rna-XM_056790875.1	X
rna-XM_057804201.1	X	rna-XM_056790879.1	X
rna-XM_057804217.1	X	rna-XM_056790880.1	X
rna-XM_057795479.1	X	rna-XM_056790881.1	X
rna-XM_057802525.1	X	rna-XM_056790884.1	X
rna-XM_057803957.1	X	rna-XM_056790885.1	X
rna-XM_057801880.1	X	rna-XM_056789876.1	X
rna-XM_057816691.1	X	rna-XM_056790886.1	X
rna-XM_057816547.1	X	rna-XM_056790887.1	X
rna-XM_057795290.1	X	rna-XM_056790888.1	X
rna-XM_057795349.1	X	rna-XM_056790892.1	X
rna-XM_057795335.1	X	rna-XM_056790893.1	X
rna-XM_057795362.1	X	rna-XM_056790894.1	X
rna-XM_057795401.1	X	rna-XM_056790895.1	X
rna-XM_057798179.1	X	rna-XM_056789877.1	X
rna-XM_057816597.1	X	rna-XM_056790897.1	X
rna-XM_057815882.1	X	rna-XM_056790898.1	X
rna-XM_057815893.1	X	rna-XM_056790901.1	X
rna-XM_057798125.1	X	rna-XM_056790902.1	X
rna-XM_057798137.1	X	rna-XM_056790904.1	X
rna-XM_057804339.1	X	rna-XM_056789856.1	X
rna-XM_057804327.1	X	rna-XM_056789855.1	X
rna-XM_057802665.1	X	rna-XM_056789667.1	X
rna-XM_057803462.1	X	rna-XM_056789675.1	X
rna-XM_057807029.1	X	rna-XM_056789610.1	X
rna-XM_057798092.1	X	rna-XM_056790362.1	X
rna-XM_057815786.1	X	rna-XM_056790829.1	X
rna-XM_057815850.1	X	rna-XM_056790838.1	X
rna-XM_057815808.1	X	rna-XM_056790832.1	X
rna-XM_057802951.1	X	rna-XM_056790841.1	X
rna-XM_057802969.1	X	rna-XM_056790844.1	X
rna-XM_057805423.1	X	rna-XM_056789680.1	X
rna-XM_057796697.1	X	rna-XM_056790370.1	X
