C_chinensis	chromosome	B_siliquastri	chromosome
anno1.g4776.t1	A	BRAKERILHT00000001583	A
anno1.g4777.t1	A	BRAKERILHT00000000891	A
anno1.g4778.t1	A	BRAKERILHT00000001875	A
anno1.g4779.t1	A	BRAKERILHT00000001273	A
anno1.g4780.t1	A	BRAKERILHT00000001736	A
anno1.g4781.t1	A	BRAKERILHT00000000007	A
anno1.g4782.t1	A	BRAKERILHT00000001077	A
anno1.g4784.t1	A	BRAKERILHT00000001028	A
anno1.g4786.t3	A	BRAKERILHT00000001505	A
anno1.g4787.t1	A	BRAKERILHT00000001988	A
anno1.g4788.t1	A	BRAKERILHT00000000021	A
anno1.g4789.t1	A	BRAKERILHT00000001278	A
anno1.g4790.t1	A	BRAKERILHT00000001453	A
anno1.g4791.t1	A	BRAKERILHT00000001937	A
anno1.g4792.t2	A	BRAKERILHT00000001066	A
anno1.g4793.t1	A	BRAKERILHT00000001550	A
anno1.g4794.t2	A	BRAKERILHT00000001695	A
anno1.g4795.t1	A	BRAKERILHT00000000011	A
anno1.g4797.t1	A	BRAKERILHT00000000434	A
anno1.g4798.t1	A	BRAKERILHT00000001643	A
anno1.g4800.t1	A	BRAKERILHT00000001694	A
anno1.g4801.t1	A	BRAKERILHT00000001089	A
anno1.g4802.t1	A	BRAKERILHT00000000760	A
anno1.g4803.t1	A	BRAKERILHT00000001386	A
anno1.g4804.t1	A	BRAKERILHT00000001409	A
anno1.g4805.t1	A	BRAKERILHT00000002072	A
anno1.g4752.t2	A	BRAKERILHT00000008303	A
anno1.g4754.t1	A	BRAKERILHT00000006833	A
anno1.g4755.t1	A	BRAKERILHT00000008218	A
anno1.g4756.t1	A	BRAKERILHT00000007692	A
anno1.g4757.t1	A	BRAKERILHT00000006993	A
anno1.g4758.t1	A	BRAKERILHT00000006550	A
anno1.g4759.t1	A	BRAKERILHT00000008227	A
anno1.g4760.t1	A	BRAKERILHT00000006650	A
anno1.g4761.t1	A	BRAKERILHT00000007176	A
anno1.g4762.t2	A	BRAKERILHT00000007634	A
anno1.g4763.t2	A	BRAKERILHT00000008051	A
anno1.g4764.t1	A	BRAKERILHT00000007908	A
anno1.g4765.t1	A	BRAKERILHT00000008307	A
anno1.g4767.t1	A	BRAKERILHT00000007559	A
anno1.g4768.t1	A	BRAKERILHT00000008002	A
anno1.g4769.t1	A	BRAKERILHT00000006208	A
anno1.g4770.t1	A	BRAKERILHT00000006411	A
anno1.g4771.t1	A	BRAKERILHT00000005014	A
anno1.g4721.t1	A	BRAKERILHT00000017927	X
anno1.g4722.t1	A	BRAKERILHT00000005982	A
anno1.g4723.t1	A	BRAKERILHT00000006396	A
anno1.g4725.t1	A	BRAKERILHT00000004707	A
anno1.g4726.t1	A	BRAKERILHT00000006300	A
anno1.g4727.t1	A	BRAKERILHT00000005022	A
anno1.g4728.t1	A	BRAKERILHT00000004871	A
anno1.g4729.t1	A	BRAKERILHT00000006445	A
anno1.g4730.t1	A	BRAKERILHT00000006254	A
anno1.g4731.t1	A	BRAKERILHT00000006298	A
anno1.g4733.t1	A	BRAKERILHT00000005884	A
anno1.g4734.t1	A	BRAKERILHT00000006020	A
anno1.g4735.t1	A	BRAKERILHT00000005029	A
anno1.g4736.t1	A	BRAKERILHT00000004661	A
anno1.g4737.t1	A	BRAKERILHT00000006148	A
anno1.g4738.t2	A	BRAKERILHT00000005588	A
anno1.g4740.t2	A	BRAKERILHT00000004677	A
anno1.g4741.t1	A	BRAKERILHT00000006149	A
anno1.g4742.t1	A	BRAKERILHT00000005776	A
anno1.g4743.t3	A	BRAKERILHT00000005195	A
anno1.g4744.t1	A	BRAKERILHT00000006024	A
anno1.g4745.t1	A	BRAKERILHT00000005457	A
anno1.g4746.t1	A	BRAKERILHT00000005571	A
anno1.g4748.t1	A	BRAKERILHT00000005913	A
anno1.g4710.t1	A	BRAKERILHT00000002682	A
anno1.g4711.t1	A	BRAKERILHT00000002119	A
anno1.g4712.t1	A	BRAKERILHT00000000066	A
anno1.g4713.t1	A	BRAKERILHT00000000203	A
anno1.g4714.t1	A	BRAKERILHT00000001895	A
anno1.g4715.t1	A	BRAKERILHT00000001441	A
anno1.g4716.t2	A	BRAKERILHT00000000248	A
anno1.g4717.t1	A	BRAKERILHT00000000739	A
anno1.g4699.t2	A	BRAKERILHT00000000015	A
anno1.g4700.t1	A	BRAKERILHT00000001161	A
anno1.g4701.t1	A	BRAKERILHT00000000214	A
anno1.g4702.t1	A	BRAKERILHT00000001469	A
anno1.g4703.t1	A	BRAKERILHT00000000955	A
anno1.g10305.t1	A	BRAKERILHT00000017607	X
anno1.g10306.t1	A	BRAKERILHT00000013879	A
anno1.g10302.t1	A	BRAKERILHT00000012766	A
anno1.g4696.t1	A	BRAKERILHT00000004670	A
anno1.g10296.t1	A	BRAKERILHT00000015421	A
anno1.g10299.t1	A	BRAKERILHT00000015093	A
anno1.g10289.t1	A	BRAKERILHT00000014533	A
anno1.g4684.t1	A	BRAKERILHT00000017986	X
anno1.g4689.t1	A	BRAKERILHT00000004687	A
anno1.g4691.t2	A	BRAKERILHT00000005442	A
anno1.g4692.t1	A	BRAKERILHT00000005524	A
anno1.g4693.t1	A	BRAKERILHT00000005724	A
anno1.g4695.t1	A	BRAKERILHT00000005726	A
anno1.g10285.t1	A	BRAKERILHT00000014716	A
anno1.g4664.t1	A	BRAKERILHT00000016104	A
anno1.g4665.t2	A	BRAKERILHT00000016432	A
anno1.g4666.t1	A	BRAKERILHT00000016517	A
anno1.g4667.t2	A	BRAKERILHT00000015945	A
anno1.g4668.t1	A	BRAKERILHT00000015871	A
anno1.g4669.t2	A	BRAKERILHT00000015924	A
anno1.g4670.t1	A	BRAKERILHT00000016263	A
anno1.g4671.t1	A	BRAKERILHT00000016635	A
anno1.g4672.t2	A	BRAKERILHT00000015681	A
anno1.g4673.t1	A	BRAKERILHT00000015944	A
anno1.g4674.t1	A	BRAKERILHT00000016857	A
anno1.g4675.t1	A	BRAKERILHT00000016645	A
anno1.g4676.t1	A	BRAKERILHT00000016544	A
anno1.g4677.t2	A	BRAKERILHT00000015826	A
anno1.g4678.t2	A	BRAKERILHT00000016974	A
anno1.g4679.t1	A	BRAKERILHT00000016381	A
anno1.g4680.t1	A	BRAKERILHT00000016665	A
anno1.g4681.t1	A	BRAKERILHT00000016307	A
anno1.g10279.t1	A	BRAKERILHT00000000986	A
anno1.g4654.t1	A	BRAKERILHT00000014839	A
anno1.g4655.t1	A	BRAKERILHT00000014261	A
anno1.g4657.t1	A	BRAKERILHT00000015254	A
anno1.g4658.t1	A	BRAKERILHT00000015099	A
anno1.g4659.t1	A	BRAKERILHT00000014652	A
anno1.g4660.t1	A	BRAKERILHT00000015503	A
anno1.g4661.t1	A	BRAKERILHT00000014403	A
anno1.g4662.t1	A	BRAKERILHT00000014740	A
anno1.g10207.t1	A	BRAKERILHT00000012895	A
anno1.g10202.t1	A	BRAKERILHT00000005072	A
anno1.g10196.t2	A	BRAKERILHT00000006454	A
anno1.g4649.t1	A	BRAKERILHT00000009674	A
anno1.g4650.t1	A	BRAKERILHT00000009850	A
anno1.g4651.t1	A	BRAKERILHT00000009897	A
anno1.g4652.t1	A	BRAKERILHT00000008814	A
anno1.g10186.t1	A	BRAKERILHT00000013749	A
anno1.g4606.t1	A	BRAKERILHT00000008805	A
anno1.g4607.t1	A	BRAKERILHT00000009061	A
anno1.g4608.t2	A	BRAKERILHT00000009490	A
anno1.g4609.t1	A	BRAKERILHT00000009818	A
anno1.g4610.t1	A	BRAKERILHT00000008540	A
anno1.g4611.t1	A	BRAKERILHT00000010204	A
anno1.g4612.t1	A	BRAKERILHT00000009582	A
anno1.both_agree_g2172.t1	A	BRAKERILHT00000009092	A
anno1.g4614.t1	A	BRAKERILHT00000008694	A
anno1.g4615.t2	A	BRAKERILHT00000009059	A
anno1.g4616.t1	A	BRAKERILHT00000010296	A
anno1.g4617.t2	A	BRAKERILHT00000008494	A
anno1.g4618.t1	A	BRAKERILHT00000009369	A
anno1.g4619.t1	A	BRAKERILHT00000009764	A
anno1.g4620.t1	A	BRAKERILHT00000010176	A
anno1.g4621.t1	A	BRAKERILHT00000008750	A
anno1.g4622.t1	A	BRAKERILHT00000009658	A
anno1.g4624.t1	A	BRAKERILHT00000010139	A
anno1.g4625.t1	A	BRAKERILHT00000008626	A
anno1.g4626.t1	A	BRAKERILHT00000008734	A
anno1.g4628.t1	A	BRAKERILHT00000010246	A
anno1.g4629.t1	A	BRAKERILHT00000010113	A
anno1.g4630.t2	A	BRAKERILHT00000008602	A
anno1.g4631.t1	A	BRAKERILHT00000009030	A
anno1.g4632.t1	A	BRAKERILHT00000009453	A
anno1.g4633.t1	A	BRAKERILHT00000010400	A
anno1.g4634.t1	A	BRAKERILHT00000008874	A
anno1.g4635.t1	A	BRAKERILHT00000009302	A
anno1.g4636.t1	A	BRAKERILHT00000009415	A
anno1.both_agree_g2201.t3	A	BRAKERILHT00000009121	A
anno1.g4638.t1	A	BRAKERILHT00000009970	A
anno1.g4639.t2	A	BRAKERILHT00000009884	A
anno1.g4640.t1	A	BRAKERILHT00000009326	A
anno1.g4641.t1	A	BRAKERILHT00000008780	A
anno1.g4642.t1	A	BRAKERILHT00000009384	A
anno1.g4643.t2	A	BRAKERILHT00000008853	A
anno1.g4644.t1	A	BRAKERILHT00000009179	A
anno1.g10167.t1	A	BRAKERILHT00000002549	A
anno1.g4565.t1	A	BRAKERILHT00000001144	A
anno1.g4566.t1	A	BRAKERILHT00000000561	A
anno1.g4567.t1	A	BRAKERILHT00000001789	A
anno1.g4568.t2	A	BRAKERILHT00000000738	A
anno1.g4569.t1	A	BRAKERILHT00000001219	A
anno1.g4571.t1	A	BRAKERILHT00000001689	A
anno1.g4572.t1	A	BRAKERILHT00000000026	A
anno1.g4573.t1	A	BRAKERILHT00000002151	A
anno1.g4575.t2	A	BRAKERILHT00000000958	A
anno1.g4577.t1	A	BRAKERILHT00000000054	A
anno1.g4579.t1	A	BRAKERILHT00000000803	A
anno1.g4580.t3	A	BRAKERILHT00000001051	A
anno1.g4582.t1	A	BRAKERILHT00000000232	A
anno1.g4583.t1	A	BRAKERILHT00000001778	A
anno1.g4584.t1	A	BRAKERILHT00000001088	A
anno1.g4585.t1	A	BRAKERILHT00000000769	A
anno1.g4586.t1	A	BRAKERILHT00000001210	A
anno1.g4587.t1	A	BRAKERILHT00000000754	A
anno1.g4588.t1	A	BRAKERILHT00000000338	A
anno1.g4593.t2	A	BRAKERILHT00000001101	A
anno1.g4594.t1	A	BRAKERILHT00000000844	A
anno1.g4595.t2	A	BRAKERILHT00000000642	A
anno1.g4596.t1	A	BRAKERILHT00000000004	A
anno1.g4597.t1	A	BRAKERILHT00000000996	A
anno1.g4601.t1	A	BRAKERILHT00000000549	A
anno1.g4548.t2	A	BRAKERILHT00000013921	A
anno1.g4549.t1	A	BRAKERILHT00000012645	A
anno1.g4551.t1	A	BRAKERILHT00000012943	A
anno1.g4552.t2	A	BRAKERILHT00000012572	A
anno1.g4555.t1	A	BRAKERILHT00000013390	A
anno1.g4556.t1	A	BRAKERILHT00000013481	A
anno1.g4557.t1	A	BRAKERILHT00000012999	A
anno1.g4558.t1	A	BRAKERILHT00000012778	A
anno1.g4559.t1	A	BRAKERILHT00000013968	A
anno1.g4560.t1	A	BRAKERILHT00000013361	A
anno1.g4561.t1	A	BRAKERILHT00000012360	A
anno1.g4562.t1	A	BRAKERILHT00000016868	A
anno1.g4547.t1	A	BRAKERILHT00000012311	A
anno1.g4545.t1	A	BRAKERILHT00000007764	A
anno1.g4546.t1	A	BRAKERILHT00000003142	A
anno1.g4532.t1	A	BRAKERILHT00000012796	A
anno1.g4533.t1	A	BRAKERILHT00000013396	A
anno1.g4536.t1	A	BRAKERILHT00000013180	A
anno1.g4538.t1	A	BRAKERILHT00000012609	A
anno1.g4539.t1	A	BRAKERILHT00000013758	A
anno1.g4528.t1	A	BRAKERILHT00000014945	A
anno1.g10141.t1	A	BRAKERILHT00000015754	A
anno1.g4525.t1	A	BRAKERILHT00000003225	A
anno1.g10130.t1	A	BRAKERILHT00000010248	A
anno1.g4517.t1	A	BRAKERILHT00000013539	A
anno1.g4523.t1	A	BRAKERILHT00000013456	A
anno1.g10124.t1	A	BRAKERILHT00000014793	A
anno1.g4478.t1	A	BRAKERILHT00000009774	A
anno1.g4479.t1	A	BRAKERILHT00000009229	A
anno1.g4480.t1	A	BRAKERILHT00000009966	A
anno1.g4481.t1	A	BRAKERILHT00000009617	A
anno1.g4482.t1	A	BRAKERILHT00000008894	A
anno1.g4483.t2	A	BRAKERILHT00000009257	A
anno1.g4484.t1	A	BRAKERILHT00000008610	A
anno1.g4485.t1	A	BRAKERILHT00000008723	A
anno1.g4486.t1	A	BRAKERILHT00000009829	A
anno1.g4488.t1	A	BRAKERILHT00000009047	A
anno1.g4489.t2	A	BRAKERILHT00000009729	A
anno1.g4490.t1	A	BRAKERILHT00000010193	A
anno1.g4491.t1	A	BRAKERILHT00000008790	A
anno1.g4492.t1	A	BRAKERILHT00000009311	A
anno1.g4493.t1	A	BRAKERILHT00000009858	A
anno1.g4494.t1	A	BRAKERILHT00000008980	A
anno1.g4495.t1	A	BRAKERILHT00000008708	A
anno1.g4496.t4	A	BRAKERILHT00000010099	A
anno1.g4497.t1	A	BRAKERILHT00000009560	A
anno1.g4498.t1	A	BRAKERILHT00000009260	A
anno1.g4499.t1	A	BRAKERILHT00000008742	A
anno1.g4500.t1	A	BRAKERILHT00000010367	A
anno1.g4501.t1	A	BRAKERILHT00000009855	A
anno1.g4502.t1	A	BRAKERILHT00000008587	A
anno1.g4503.t1	A	BRAKERILHT00000008653	A
anno1.g4506.t1	A	BRAKERILHT00000009088	A
anno1.g4507.t1	A	BRAKERILHT00000009643	A
anno1.g4508.t1	A	BRAKERILHT00000009428	A
anno1.g4509.t1	A	BRAKERILHT00000008854	A
anno1.g4511.t2	A	BRAKERILHT00000008633	A
anno1.g4461.t1	A	BRAKERILHT00000002020	A
anno1.g4462.t1	A	BRAKERILHT00000001060	A
anno1.g4463.t1	A	BRAKERILHT00000000114	A
anno1.g4464.t1	A	BRAKERILHT00000001204	A
anno1.g4465.t1	A	BRAKERILHT00000000751	A
anno1.g4466.t1	A	BRAKERILHT00000001935	A
anno1.g4467.t2	A	BRAKERILHT00000001584	A
anno1.g4468.t1	A	BRAKERILHT00000000981	A
anno1.g4469.t1	A	BRAKERILHT00000000546	A
anno1.g4470.t1	A	BRAKERILHT00000000207	A
anno1.g4471.t1	A	BRAKERILHT00000001477	A
anno1.g4472.t1	A	BRAKERILHT00000000858	A
anno1.g4473.t1	A	BRAKERILHT00000000723	A
anno1.g4474.t1	A	BRAKERILHT00000000153	A
anno1.g4475.t1	A	BRAKERILHT00000002012	A
anno1.g4476.t2	A	BRAKERILHT00000001676	A
anno1.g10081.t1	A	BRAKERILHT00000014659	A
anno1.g10082.t2	A	BRAKERILHT00000014114	A
anno1.g10083.t1	A	BRAKERILHT00000015544	A
anno1.g10092.t1	A	BRAKERILHT00000014341	A
anno1.g10074.t1	A	BRAKERILHT00000012247	A
anno1.g10073.t1	A	BRAKERILHT00000011645	A
anno1.g4456.t2	A	BRAKERILHT00000016379	A
anno1.g4457.t1	A	BRAKERILHT00000016314	A
anno1.g4458.t1	A	BRAKERILHT00000010098	A
anno1.g10064.t2	A	BRAKERILHT00000002598	A
anno1.g10065.t1	A	BRAKERILHT00000004247	A
anno1.g10069.t3	A	BRAKERILHT00000004128	A
anno1.g10070.t2	A	BRAKERILHT00000003604	A
anno1.g10071.t1	A	BRAKERILHT00000003144	A
anno1.g4455.t1	A	BRAKERILHT00000005036	A
anno1.g4441.t1	A	BRAKERILHT00000009865	A
anno1.g4443.t1	A	BRAKERILHT00000008998	A
anno1.g4444.t1	A	BRAKERILHT00000010300	A
anno1.g4447.t1	A	BRAKERILHT00000010223	A
anno1.g4449.t1	A	BRAKERILHT00000010534	A
anno1.g4451.t1	A	BRAKERILHT00000010059	A
anno1.g10042.t1	A	BRAKERILHT00000011628	A
anno1.g10043.t1	A	BRAKERILHT00000012244	A
anno1.g10035.t1	A	BRAKERILHT00000010612	A
anno1.g10036.t1	A	BRAKERILHT00000011975	A
anno1.g4435.t1	A	BRAKERILHT00000002204	A
anno1.g4438.t1	A	BRAKERILHT00000003635	A
anno1.g4439.t1	A	BRAKERILHT00000002674	A
anno1.g10025.t2	A	BRAKERILHT00000015037	A
anno1.g10018.t1	A	BRAKERILHT00000015472	A
anno1.g10020.t1	A	BRAKERILHT00000014628	A
anno1.g4429.t1	A	BRAKERILHT00000003751	A
anno1.g4430.t1	A	BRAKERILHT00000004408	A
anno1.g4431.t2	A	BRAKERILHT00000003119	A
anno1.g4432.t1	A	BRAKERILHT00000003391	A
anno1.g4433.t1	A	BRAKERILHT00000004217	A
anno1.g4434.t1	A	BRAKERILHT00000002501	A
anno1.g10015.t1	A	BRAKERILHT00000015642	A
anno1.g10011.t1	A	BRAKERILHT00000007088	A
anno1.g4396.t1	A	BRAKERILHT00000004050	A
anno1.g4397.t1	A	BRAKERILHT00000003779	A
anno1.g4398.t1	A	BRAKERILHT00000004397	A
anno1.g4399.t1	A	BRAKERILHT00000002200	A
anno1.g4400.t1	A	BRAKERILHT00000002860	A
anno1.g4401.t1	A	BRAKERILHT00000003752	A
anno1.g4402.t1	A	BRAKERILHT00000002290	A
anno1.g4403.t3	A	BRAKERILHT00000002513	A
anno1.g4404.t1	A	BRAKERILHT00000003303	A
anno1.g4405.t1	A	BRAKERILHT00000003169	A
anno1.g4407.t2	A	BRAKERILHT00000002855	A
anno1.g4408.t1	A	BRAKERILHT00000003159	A
anno1.g4409.t1	A	BRAKERILHT00000003388	A
anno1.g4410.t1	A	BRAKERILHT00000003687	A
anno1.g4411.t1	A	BRAKERILHT00000004383	A
anno1.g4412.t1	A	BRAKERILHT00000003109	A
anno1.g4413.t2	A	BRAKERILHT00000003709	A
anno1.g4414.t1	A	BRAKERILHT00000002713	A
anno1.g4415.t1	A	BRAKERILHT00000004311	A
anno1.g4416.t1	A	BRAKERILHT00000003788	A
anno1.g4417.t3	A	BRAKERILHT00000003988	A
anno1.g4418.t1	A	BRAKERILHT00000002187	A
anno1.g4419.t1	A	BRAKERILHT00000002984	A
anno1.g4420.t1	A	BRAKERILHT00000003451	A
anno1.g4421.t1	A	BRAKERILHT00000003632	A
anno1.g4423.t2	A	BRAKERILHT00000004216	A
anno1.g4424.t1	A	BRAKERILHT00000002776	A
anno1.g4425.t1	A	BRAKERILHT00000003137	A
anno1.g4426.t1	A	BRAKERILHT00000004061	A
anno1.g4378.t1	A	BRAKERILHT00000011233	A
anno1.g4380.t2	A	BRAKERILHT00000010526	A
anno1.g4381.t1	A	BRAKERILHT00000011907	A
anno1.g4382.t1	A	BRAKERILHT00000010749	A
anno1.g4383.t1	A	BRAKERILHT00000011651	A
anno1.g4386.t1	A	BRAKERILHT00000011196	A
anno1.g4388.t1	A	BRAKERILHT00000010769	A
anno1.g4391.t1	A	BRAKERILHT00000011170	A
anno1.g4394.t1	A	BRAKERILHT00000012304	A
anno1.g9968.t1	A	BRAKERILHT00000000100	A
anno1.g9969.t1	A	BRAKERILHT00000001262	A
anno1.g4363.t1	A	BRAKERILHT00000002934	A
anno1.g4365.t1	A	BRAKERILHT00000002490	A
anno1.g4367.t1	A	BRAKERILHT00000003229	A
anno1.g4368.t1	A	BRAKERILHT00000002645	A
anno1.g4372.t1	A	BRAKERILHT00000003400	A
anno1.g9967.t1	A	BRAKERILHT00000007156	A
anno1.g9966.t1	A	BRAKERILHT00000014078	A
anno1.g9947.t1	A	BRAKERILHT00000006326	A
anno1.g9948.t1	A	BRAKERILHT00000004826	A
anno1.g9949.t2	A	BRAKERILHT00000004660	A
anno1.g9950.t1	A	BRAKERILHT00000005730	A
anno1.g9953.t1	A	BRAKERILHT00000005690	A
anno1.g9958.t1	A	BRAKERILHT00000006051	A
anno1.g9959.t1	A	BRAKERILHT00000005425	A
anno1.g9961.t1	A	BRAKERILHT00000006336	A
anno1.g4360.t1	A	BRAKERILHT00000004148	A
anno1.g4331.t1	A	BRAKERILHT00000016088	A
anno1.g4332.t1	A	BRAKERILHT00000016874	A
anno1.g4333.t1	A	BRAKERILHT00000016552	A
anno1.g4334.t1	A	BRAKERILHT00000016246	A
anno1.g4335.t1	A	BRAKERILHT00000015936	A
anno1.g4336.t1	A	BRAKERILHT00000016511	A
anno1.g4337.t1	A	BRAKERILHT00000016214	A
anno1.g4338.t1	A	BRAKERILHT00000015743	A
anno1.g4339.t2	A	BRAKERILHT00000016797	A
anno1.g4340.t1	A	BRAKERILHT00000016477	A
anno1.g4341.t1	A	BRAKERILHT00000016642	A
anno1.g4342.t1	A	BRAKERILHT00000016427	A
anno1.g4343.t1	A	BRAKERILHT00000016112	A
anno1.g4344.t1	A	BRAKERILHT00000016152	A
anno1.g4346.t1	A	BRAKERILHT00000016940	A
anno1.g4347.t1	A	BRAKERILHT00000016269	A
anno1.g4348.t1	A	BRAKERILHT00000016889	A
anno1.g4349.t1	A	BRAKERILHT00000016071	A
anno1.g4351.t2	A	BRAKERILHT00000016455	A
anno1.g4352.t19	A	BRAKERILHT00000016929	A
anno1.g4353.t1	A	BRAKERILHT00000016177	A
anno1.g4354.t1	A	BRAKERILHT00000016742	A
anno1.g4355.t1	A	BRAKERILHT00000016891	A
anno1.g4356.t1	A	BRAKERILHT00000015883	A
anno1.g4357.t1	A	BRAKERILHT00000016111	A
anno1.g4358.t5	A	BRAKERILHT00000016498	A
anno1.g9943.t1	A	BRAKERILHT00000007129	A
anno1.g9937.t1	A	BRAKERILHT00000006758	A
anno1.g4330.t1	A	BRAKERILHT00000015315	A
anno1.g9933.t1	A	BRAKERILHT00000007293	A
anno1.g9934.t1	A	BRAKERILHT00000008209	A
anno1.g9930.t1	A	BRAKERILHT00000008428	A
anno1.g9931.t1	A	BRAKERILHT00000014043	A
anno1.g9917.t1	A	BRAKERILHT00000009726	A
anno1.g4328.t1	A	BRAKERILHT00000007817	A
anno1.g4329.t1	A	BRAKERILHT00000007451	A
