A_obtectus	chromosome	D_carinulata	chromosome
anno1.g150.t1	A	rna-XM_057811716.1	A
anno1.g152.t1	A	rna-XM_057802026.1	A
anno1.g153.t1	A	rna-XM_057802167.1	A
anno1.g158.t1	A	rna-XM_057812962.1	A
anno1.g159.t1	A	rna-XM_057800828.1	A
anno1.g161.t1	A	rna-XM_057804330.1	A
anno1.g163.t4	A	rna-XM_057813405.1	A
anno1.g165.t1	A	rna-XM_057812961.1	A
anno1.g166.t1	A	rna-XM_057797544.1	A
anno1.g168.t1	A	rna-XM_057799051.1	A
anno1.g174.t1	A	rna-XM_057802092.1	A
anno1.g175.t1	A	rna-XM_057802018.1	A
anno1.g177.t1	A	rna-XM_057808844.1	A
anno1.g178.t1	A	rna-XM_057808834.1	A
anno1.g179.t1	A	rna-XM_057814937.1	A
anno1.g180.t1	A	rna-XM_057794886.1	A
anno1.g181.t1	A	rna-XM_057796811.1	A
anno1.g183.t1	A	rna-XM_057808842.1	A
anno1.g184.t1	A	rna-XM_057808841.1	A
anno1.g188.t2	A	rna-XM_057805130.1	A
anno1.g189.t1	A	rna-XM_057794938.1	A
anno1.g190.t1	A	rna-XM_057794939.1	A
anno1.g191.t1	A	rna-XM_057794967.1	A
anno1.g192.t1	A	rna-XM_057794966.1	A
anno1.g193.t1	A	rna-XM_057808387.1	A
anno1.g194.t1	A	rna-XM_057799875.1	A
anno1.g197.t2	A	rna-XM_057797003.1	A
anno1.g198.t1	A	rna-XM_057816321.1	A
anno1.g199.t1	A	rna-XM_057802554.1	A
anno1.g200.t1	A	rna-XM_057802558.1	A
anno1.g201.t1	A	rna-XM_057802355.1	A
anno1.g202.t1	A	rna-XM_057802109.1	A
anno1.g204.t1	A	rna-XM_057811085.1	A
anno1.g205.t1	A	rna-XM_057802022.1	A
anno1.g206.t1	A	rna-XM_057812005.1	A
anno1.g207.t2	A	rna-XM_057806141.1	A
anno1.g208.t1	A	rna-XM_057806139.1	A
anno1.g209.t1	A	rna-XM_057806142.1	A
anno1.g210.t1	A	rna-XM_057811619.1	A
anno1.g211.t1	A	rna-XM_057806122.1	A
anno1.g212.t2	A	rna-XM_057812010.1	A
anno1.g213.t2	A	rna-XM_057796630.1	A
anno1.g214.t1	A	rna-XM_057796638.1	A
anno1.g215.t1	A	rna-XM_057796629.1	A
anno1.g216.t1	A	rna-XM_057795503.1	A
anno1.g218.t1	A	rna-XM_057797303.1	A
anno1.g219.t1	A	rna-XM_057797322.1	A
anno1.g220.t1	A	rna-XM_057814661.1	A
anno1.g222.t1	A	rna-XM_057801725.1	A
anno1.g225.t1	A	rna-XM_057799690.1	A
anno1.g226.t1	A	rna-XM_057812006.1	A
anno1.g227.t1	A	rna-XM_057814553.1	A
anno1.g228.t2	A	rna-XM_057813214.1	A
anno1.g229.t1	A	rna-XM_057814547.1	A
anno1.g230.t1	A	rna-XM_057814959.1	A
anno1.g231.t1	A	rna-XM_057795126.1	A
anno1.g232.t1	A	rna-XM_057812009.1	A
anno1.g233.t1	A	rna-XM_057814961.1	A
anno1.g234.t1	A	rna-XM_057812008.1	A
anno1.g235.t1	A	rna-XM_057812963.1	A
anno1.g236.t1	A	rna-XM_057812964.1	A
anno1.g237.t1	A	rna-XM_057816471.1	A
anno1.g238.t1	A	rna-XM_057815583.1	A
anno1.g239.t1	A	rna-XM_057815388.1	A
anno1.g240.t1	A	rna-XM_057800215.1	A
anno1.g241.t1	A	rna-XM_057794997.1	A
anno1.g243.t1	A	rna-XM_057795756.1	A
anno1.g244.t2	A	rna-XM_057798387.1	A
anno1.g250.t2	A	rna-XM_057797276.1	A
anno1.g252.t3	A	rna-XM_057797264.1	A
anno1.g253.t1	A	rna-XM_057796330.1	A
anno1.g255.t1	A	rna-XM_057808064.1	A
anno1.g256.t1	A	rna-XM_057808157.1	A
anno1.g257.t1	A	rna-XM_057797282.1	A
anno1.g267.t1	A	rna-XM_057800560.1	A
anno1.g268.t1	A	rna-XM_057807855.1	A
anno1.g269.t1	A	rna-XM_057808162.1	A
anno1.g273.t1	A	rna-XM_057802963.1	A
anno1.g278.t2	A	rna-XM_057812706.1	A
anno1.g283.t1	A	rna-XM_057811340.1	A
anno1.g286.t1	A	rna-XM_057813491.1	A
anno1.g290.t1	A	rna-XM_057811734.1	A
anno1.g291.t1	A	rna-XM_057811511.1	A
anno1.g297.t1	A	rna-XM_057799050.1	A
anno1.g299.t1	A	rna-XM_057795835.1	A
anno1.g315.t1	A	rna-XM_057800000.1	A
anno1.g316.t1	A	rna-XM_057801031.1	A
anno1.g317.t1	A	rna-XM_057798633.1	A
anno1.g318.t1	A	rna-XM_057798785.1	A
anno1.g319.t1	A	rna-XM_057807234.1	A
anno1.g320.t1	A	rna-XM_057807240.1	A
anno1.g321.t1	A	rna-XM_057807233.1	A
anno1.g323.t1	A	rna-XM_057802965.1	A
anno1.g325.t1	A	rna-XM_057800062.1	A
anno1.g326.t1	A	rna-XM_057799078.1	A
anno1.g327.t1	A	rna-XM_057799076.1	A
anno1.g328.t1	A	rna-XM_057801415.1	A
anno1.g330.t1	A	rna-XM_057814571.1	A
anno1.g331.t1	A	rna-XM_057811726.1	A
anno1.g333.t1	A	rna-XM_057811334.1	A
anno1.g334.t1	A	rna-XM_057811332.1	A
anno1.g336.t1	A	rna-XM_057811342.1	A
anno1.g337.t1	A	rna-XM_057812528.1	A
anno1.g338.t1	A	rna-XM_057812535.1	A
anno1.g340.t2	A	rna-XM_057814458.1	A
anno1.g342.t1	A	rna-XM_057814530.1	A
anno1.g359.t1	A	rna-XM_057798112.1	A
anno1.g360.t2	A	rna-XM_057799774.1	A
anno1.g361.t1	A	rna-XM_057800440.1	A
anno1.g362.t1	A	rna-XM_057805748.1	A
anno1.g365.t1	A	rna-XM_057813989.1	A
anno1.g366.t1	A	rna-XM_057800758.1	A
anno1.g368.t1	A	rna-XM_057814420.1	A
anno1.g370.t2	A	rna-XM_057801026.1	A
anno1.g371.t1	A	rna-XM_057800757.1	A
anno1.g373.t1	A	rna-XM_057811476.1	A
anno1.g375.t2	A	rna-XM_057813064.1	A
anno1.g377.t2	A	rna-XM_057811484.1	A
anno1.g379.t1	A	rna-XM_057800486.1	A
anno1.g380.t1	A	rna-XM_057811467.1	X
anno1.g382.t1	A	rna-XM_057811502.1	X
anno1.g383.t1	A	rna-XM_057796599.1	X
anno1.g384.t1	A	rna-XM_057816872.1	A
anno1.g385.t1	A	rna-XM_057816873.1	A
anno1.g386.t1	A	rna-XM_057816874.1	A
anno1.g387.t3	A	rna-XM_057816876.1	A
anno1.g389.t1	A	rna-XM_057816505.1	A
anno1.g390.t2	A	rna-XM_057815781.1	A
anno1.g392.t1	A	rna-XM_057815891.1	A
anno1.g398.t1	A	rna-XM_057811307.1	A
anno1.g401.t1	A	rna-XM_057811338.1	A
anno1.g405.t2	A	rna-XM_057802214.1	A
anno1.g407.t1	A	rna-XM_057814333.1	A
anno1.g408.t1	A	rna-XM_057814364.1	A
anno1.g409.t1	A	rna-XM_057814362.1	A
anno1.g411.t1	A	rna-XM_057811310.1	A
anno1.g412.t1	A	rna-XM_057811534.1	A
anno1.g414.t1	A	rna-XM_057800795.1	A
anno1.g415.t1	A	rna-XM_057799200.1	A
anno1.g416.t1	A	rna-XM_057813521.1	A
anno1.g417.t1	A	rna-XM_057806911.1	A
anno1.g418.t2	A	rna-XM_057809526.1	A
anno1.g419.t1	A	rna-XM_057812623.1	A
anno1.g420.t1	A	rna-XM_057812622.1	A
anno1.g421.t1	A	rna-XM_057803724.1	X
anno1.g424.t1	A	rna-XM_057801000.1	A
anno1.g428.t1	A	rna-XM_057806153.1	A
anno1.g429.t1	A	rna-XM_057810296.1	A
anno1.g438.t2	A	rna-XM_057811616.1	A
anno1.g444.t1	A	rna-XM_057804709.1	A
anno1.g445.t1	A	rna-XM_057814867.1	A
anno1.g446.t1	A	rna-XM_057806652.1	A
anno1.g447.t1	A	rna-XM_057810783.1	A
anno1.g448.t1	A	rna-XM_057811615.1	A
anno1.g449.t1	A	rna-XM_057811609.1	A
anno1.g450.t1	A	rna-XM_057811618.1	A
anno1.g453.t2	A	rna-XM_057813828.1	A
anno1.g458.t1	A	rna-XM_057806914.1	A
anno1.g459.t1	A	rna-XM_057812912.1	A
anno1.g461.t2	A	rna-XM_057805176.1	A
anno1.g464.t1	A	rna-XM_057802201.1	A
anno1.g466.t2	A	rna-XM_057804517.1	A
anno1.g469.t1	A	rna-XM_057804563.1	A
anno1.g470.t1	A	rna-XM_057800665.1	A
anno1.g471.t1	A	rna-XM_057801416.1	A
anno1.g472.t1	A	rna-XM_057799910.1	A
anno1.g473.t2	A	rna-XM_057799922.1	A
anno1.g475.t1	A	rna-XM_057800286.1	A
anno1.g476.t1	A	rna-XM_057810059.1	X
anno1.g478.t1	A	rna-XM_057810188.1	A
anno1.g479.t1	A	rna-XM_057805755.1	A
anno1.g482.t4	A	rna-XM_057800477.1	A
anno1.g483.t1	A	rna-XM_057805738.1	X
anno1.g485.t1	A	rna-XM_057806464.1	X
anno1.g487.t1	A	rna-XM_057798850.1	A
anno1.g491.t1	A	rna-XM_057814812.1	A
anno1.g493.t2	A	rna-XM_057796429.1	A
anno1.g494.t1	A	rna-XM_057800587.1	A
anno1.g496.t1	A	rna-XM_057800109.1	A
anno1.g499.t2	A	rna-XM_057804930.1	A
anno1.g511.t1	A	rna-XM_057799853.1	A
anno1.g512.t1	A	rna-XM_057804456.1	A
anno1.g515.t2	A	rna-XM_057815563.1	A
anno1.g518.t1	A	rna-XM_057800818.1	A
anno1.g519.t1	A	rna-XM_057800544.1	A
anno1.both_agree_g3233.t2	A	rna-XM_057795478.1	A
anno1.g521.t1	A	rna-XM_057800399.1	A
anno1.g522.t1	A	rna-XM_057801372.1	A
anno1.g523.t1	A	rna-XM_057797931.1	A
anno1.g524.t2	A	rna-XM_057797404.1	A
anno1.g525.t1	A	rna-XM_057797406.1	A
anno1.g526.t1	A	rna-XM_057804489.1	A
anno1.g528.t1	A	rna-XM_057810097.1	A
anno1.g531.t1	A	rna-XM_057804384.1	A
anno1.g533.t1	A	rna-XM_057813230.1	A
anno1.g536.t1	A	rna-XM_057813228.1	A
anno1.g537.t1	A	rna-XM_057812496.1	A
anno1.g538.t1	A	rna-XM_057806596.1	A
anno1.g540.t2	A	rna-XM_057805935.1	A
anno1.g542.t1	A	rna-XM_057806018.1	A
anno1.g544.t2	A	rna-XM_057800871.1	A
anno1.g545.t2	A	rna-XM_057797881.1	A
anno1.g547.t1	A	rna-XM_057806910.1	A
anno1.g548.t1	A	rna-XM_057809494.1	A
anno1.g549.t2	A	rna-XM_057804902.1	A
anno1.g550.t1	A	rna-XM_057797424.1	A
anno1.g553.t1	A	rna-XM_057814326.1	A
anno1.g554.t1	A	rna-XM_057814327.1	A
anno1.g555.t2	A	rna-XM_057797422.1	A
anno1.g558.t1	A	rna-XM_057795875.1	X
anno1.g559.t1	A	rna-XM_057795839.1	X
anno1.g560.t2	A	rna-XM_057795919.1	X
anno1.g561.t1	A	rna-XM_057795909.1	X
anno1.g563.t2	A	rna-XM_057795511.1	X
anno1.g566.t1	A	rna-XM_057804621.1	A
anno1.g573.t1	A	rna-XM_057811110.1	A
anno1.g574.t1	A	rna-XM_057811102.1	A
anno1.g575.t1	A	rna-XM_057800128.1	A
anno1.g582.t1	A	rna-XM_057813411.1	A
anno1.g584.t1	A	rna-XM_057815132.1	A
anno1.g588.t1	A	rna-XM_057812147.1	A
anno1.g590.t2	A	rna-XM_057812150.1	A
anno1.g592.t2	A	rna-XM_057812148.1	A
anno1.g594.t2	A	rna-XM_057812146.1	A
anno1.g595.t1	A	rna-XM_057812141.1	A
anno1.g596.t1	A	rna-XM_057814582.1	A
anno1.g598.t1	A	rna-XM_057811329.1	A
anno1.g599.t1	A	rna-XM_057814367.1	A
anno1.g600.t1	A	rna-XM_057814365.1	A
anno1.g601.t1	A	rna-XM_057814093.1	A
anno1.g602.t1	A	rna-XM_057814092.1	A
anno1.g603.t1	A	rna-XM_057800820.1	A
anno1.g604.t1	A	rna-XM_057811203.1	A
anno1.g605.t1	A	rna-XM_057800093.1	A
anno1.g606.t1	A	rna-XM_057813715.1	A
anno1.g607.t2	A	rna-XM_057800654.1	A
anno1.g608.t1	A	rna-XM_057813328.1	A
anno1.g609.t1	A	rna-XM_057813387.1	A
anno1.g610.t1	A	rna-XM_057813386.1	A
anno1.g611.t2	A	rna-XM_057811457.1	A
anno1.g612.t1	A	rna-XM_057812897.1	A
anno1.g614.t1	A	rna-XM_057795045.1	A
anno1.g618.t1	A	rna-XM_057812874.1	A
anno1.g619.t1	A	rna-XM_057812865.1	A
anno1.g623.t1	A	rna-XM_057812889.1	A
anno1.g624.t1	A	rna-XM_057812890.1	A
anno1.g626.t1	A	rna-XM_057811455.1	A
anno1.g627.t1	A	rna-XM_057815942.1	A
anno1.g628.t1	A	rna-XM_057811114.1	A
anno1.g629.t2	A	rna-XM_057809280.1	A
anno1.g630.t1	A	rna-XM_057813643.1	A
anno1.g633.t1	A	rna-XM_057811452.1	A
anno1.g634.t1	A	rna-XM_057813724.1	A
anno1.g635.t1	A	rna-XM_057797933.1	A
anno1.g636.t1	A	rna-XM_057797491.1	A
anno1.g637.t1	A	rna-XM_057800824.1	A
anno1.g638.t2	A	rna-XM_057800829.1	A
anno1.g639.t1	A	rna-XM_057800825.1	A
anno1.g640.t2	A	rna-XM_057797131.1	A
anno1.g641.t1	A	rna-XM_057797633.1	A
anno1.g642.t1	A	rna-XM_057811645.1	A
anno1.g644.t1	A	rna-XM_057811648.1	A
anno1.g646.t1	A	rna-XM_057811644.1	A
anno1.g649.t1	A	rna-XM_057812094.1	A
anno1.g650.t2	A	rna-XM_057813446.1	A
anno1.g651.t5	A	rna-XM_057813443.1	A
anno1.g652.t2	A	rna-XM_057812085.1	A
anno1.g654.t1	A	rna-XM_057810969.1	A
anno1.g656.t2	A	rna-XM_057806439.1	A
anno1.g660.t2	A	rna-XM_057812858.1	A
anno1.g661.t1	A	rna-XM_057801699.1	A
anno1.g666.t1	A	rna-XM_057810972.1	A
anno1.g676.t1	A	rna-XM_057803324.1	A
anno1.g685.t2	A	rna-XM_057814113.1	A
anno1.g691.t1	A	rna-XM_057811119.1	A
anno1.g693.t4	A	rna-XM_057810320.1	A
anno1.g694.t2	A	rna-XM_057810302.1	A
anno1.g697.t1	A	rna-XM_057810297.1	A
anno1.g699.t1	A	rna-XM_057801350.1	X
anno1.g700.t1	A	rna-XM_057801419.1	X
anno1.g701.t1	A	rna-XM_057812448.1	A
anno1.g703.t1	A	rna-XM_057813316.1	A
anno1.g704.t1	A	rna-XM_057814560.1	A
anno1.g705.t1	A	rna-XM_057816115.1	A
anno1.g707.t1	A	rna-XM_057811095.1	A
anno1.g708.t1	A	rna-XM_057811097.1	A
anno1.g709.t1	A	rna-XM_057806674.1	A
anno1.g710.t1	A	rna-XM_057806668.1	A
anno1.g711.t1	A	rna-XM_057796161.1	A
anno1.g712.t3	A	rna-XM_057813165.1	A
anno1.g713.t1	A	rna-XM_057813477.1	A
anno1.g715.t2	A	rna-XM_057810368.1	A
anno1.g717.t1	A	rna-XM_057815034.1	A
anno1.g718.t1	A	rna-XM_057813834.1	A
anno1.g719.t1	A	rna-XM_057806414.1	A
anno1.g721.t1	A	rna-XM_057803297.1	A
anno1.g722.t1	A	rna-XM_057812651.1	A
anno1.g723.t1	A	rna-XM_057812257.1	A
anno1.g724.t2	A	rna-XM_057799389.1	A
anno1.g725.t1	A	rna-XM_057795306.1	A
anno1.g726.t4	A	rna-XM_057811333.1	X
anno1.g727.t1	A	rna-XM_057800772.1	A
anno1.g728.t1	A	rna-XM_057811488.1	X
anno1.g729.t1	A	rna-XM_057814993.1	A
anno1.g730.t1	A	rna-XM_057816538.1	A
anno1.g731.t1	A	rna-XM_057807303.1	A
anno1.g733.t1	A	rna-XM_057807460.1	A
anno1.g734.t2	A	rna-XM_057807342.1	A
anno1.g735.t1	A	rna-XM_057801807.1	A
anno1.g737.t1	A	rna-XM_057815557.1	A
anno1.g738.t1	A	rna-XM_057807306.1	A
anno1.g739.t1	A	rna-XM_057806855.1	A
anno1.g741.t2	A	rna-XM_057797317.1	A
anno1.g742.t1	A	rna-XM_057798420.1	A
anno1.g743.t1	A	rna-XM_057802701.1	A
anno1.g747.t1	A	rna-XM_057802702.1	A
anno1.g748.t1	A	rna-XM_057802708.1	A
anno1.g752.t1	A	rna-XM_057795969.1	X
anno1.g753.t1	A	rna-XM_057813519.1	X
anno1.g754.t1	A	rna-XM_057813539.1	X
anno1.g757.t1	A	rna-XM_057797557.1	A
anno1.g758.t1	A	rna-XM_057807114.1	A
anno1.g759.t1	A	rna-XM_057813928.1	A
anno1.g760.t1	A	rna-XM_057814020.1	A
anno1.g761.t1	A	rna-XM_057813926.1	A
anno1.g762.t1	A	rna-XM_057800780.1	A
anno1.g764.t1	A	rna-XM_057800775.1	A
anno1.g765.t1	A	rna-XM_057800781.1	A
anno1.g766.t1	A	rna-XM_057809315.1	A
anno1.g769.t1	A	rna-XM_057802041.1	A
anno1.g770.t1	A	rna-XM_057812339.1	A
anno1.g771.t1	A	rna-XM_057813617.1	A
anno1.g772.t1	A	rna-XM_057801486.1	X
anno1.g773.t1	A	rna-XM_057809100.1	A
anno1.g774.t1	A	rna-XM_057810418.1	X
anno1.g781.t1	A	rna-XM_057809093.1	A
anno1.g782.t2	A	rna-XM_057809094.1	A
anno1.g784.t1	A	rna-XM_057806443.1	A
anno1.g785.t1	A	rna-XM_057809274.1	A
anno1.g786.t1	A	rna-XM_057809276.1	A
anno1.g790.t1	A	rna-XM_057811325.1	A
anno1.g793.t1	A	rna-XM_057812993.1	A
anno1.g794.t1	A	rna-XM_057812809.1	A
anno1.g797.t1	A	rna-XM_057812859.1	A
anno1.g799.t1	A	rna-XM_057812860.1	A
anno1.g802.t2	A	rna-XM_057812855.1	A
anno1.g803.t1	A	rna-XM_057812875.1	A
anno1.g804.t2	A	rna-XM_057799068.1	A
anno1.g805.t1	A	rna-XM_057799067.1	A
anno1.g806.t1	A	rna-XM_057798520.1	A
anno1.g807.t1	A	rna-XM_057802016.1	A
anno1.g808.t1	A	rna-XM_057802427.1	A
anno1.g809.t1	A	rna-XM_057802429.1	A
anno1.g810.t1	A	rna-XM_057802413.1	A
anno1.g811.t1	A	rna-XM_057802388.1	A
anno1.g813.t1	A	rna-XM_057805756.1	A
anno1.g814.t1	A	rna-XM_057800402.1	A
anno1.g815.t1	A	rna-XM_057811297.1	A
anno1.g816.t1	A	rna-XM_057812896.1	A
anno1.g820.t1	A	rna-XM_057814109.1	A
anno1.g821.t1	A	rna-XM_057811755.1	A
anno1.g822.t4	A	rna-XM_057795443.1	A
anno1.g823.t1	A	rna-XM_057809103.1	A
anno1.g825.t1	A	rna-XM_057806945.1	A
anno1.g826.t1	A	rna-XM_057816629.1	A
anno1.g828.t1	A	rna-XM_057816755.1	A
anno1.g829.t1	A	rna-XM_057816747.1	A
anno1.g830.t1	A	rna-XM_057797408.1	A
anno1.g833.t4	A	rna-XM_057800060.1	A
anno1.g841.t1	A	rna-XM_057806650.1	A
anno1.g842.t1	A	rna-XM_057814970.1	A
anno1.g843.t1	A	rna-XM_057811462.1	A
anno1.g844.t1	A	rna-XM_057810073.1	A
anno1.g845.t2	A	rna-XM_057795862.1	X
anno1.g846.t1	A	rna-XM_057807042.1	X
anno1.g847.t2	A	rna-XM_057808967.1	A
anno1.g848.t1	A	rna-XM_057803979.1	X
anno1.g849.t1	A	rna-XM_057805074.1	A
anno1.g853.t1	A	rna-XM_057798473.1	A
anno1.g854.t1	A	rna-XM_057798818.1	A
anno1.g857.t2	A	rna-XM_057795749.1	A
anno1.g860.t1	A	rna-XM_057795768.1	A
anno1.g869.t1	A	rna-XM_057816568.1	A
anno1.g873.t1	A	rna-XM_057796400.1	X
anno1.g875.t1	A	rna-XM_057816566.1	A
anno1.g879.t1	A	rna-XM_057795765.1	A
anno1.g881.t1	A	rna-XM_057795752.1	A
anno1.g884.t1	A	rna-XM_057795763.1	A
anno1.g885.t2	A	rna-XM_057795767.1	A
anno1.g886.t1	A	rna-XM_057795851.1	A
anno1.g887.t2	A	rna-XM_057795916.1	A
anno1.g888.t1	A	rna-XM_057799340.1	A
anno1.g889.t1	A	rna-XM_057799576.1	A
anno1.g890.t1	A	rna-XM_057812472.1	A
anno1.g891.t1	A	rna-XM_057799575.1	A
anno1.g892.t2	A	rna-XM_057798120.1	A
anno1.g894.t1	A	rna-XM_057799733.1	X
anno1.g895.t2	A	rna-XM_057797469.1	A
anno1.g896.t1	A	rna-XM_057797466.1	A
anno1.g898.t1	A	rna-XM_057797468.1	A
anno1.g899.t1	A	rna-XM_057797971.1	A
anno1.g901.t1	A	rna-XM_057813467.1	A
anno1.g906.t1	A	rna-XM_057807018.1	A
anno1.g909.t1	A	rna-XM_057805067.1	A
anno1.g910.t1	A	rna-XM_057797448.1	A
anno1.g911.t1	A	rna-XM_057796703.1	A
anno1.g912.t2	A	rna-XM_057807487.1	A
anno1.g914.t1	A	rna-XM_057807489.1	A
anno1.g915.t1	A	rna-XM_057802328.1	A
anno1.g916.t3	A	rna-XM_057801259.1	A
anno1.g917.t1	A	rna-XM_057816035.1	A
anno1.g918.t1	A	rna-XM_057807001.1	A
anno1.g920.t1	A	rna-XM_057796471.1	A
anno1.g921.t2	A	rna-XM_057795945.1	A
anno1.g922.t1	A	rna-XM_057802975.1	A
anno1.g924.t1	A	rna-XM_057801720.1	A
anno1.g925.t1	A	rna-XM_057811317.1	A
anno1.g926.t1	A	rna-XM_057802168.1	A
anno1.g927.t1	A	rna-XM_057800003.1	A
anno1.g928.t1	A	rna-XM_057801258.1	A
anno1.g929.t1	A	rna-XM_057795036.1	A
anno1.g937.t1	A	rna-XM_057815760.1	A
anno1.g938.t1	A	rna-XM_057815561.1	A
anno1.g941.t1	A	rna-XM_057815606.1	A
anno1.g944.t1	A	rna-XM_057805500.1	A
anno1.g945.t1	A	rna-XM_057815943.1	A
anno1.g947.t1	A	rna-XM_057795009.1	A
anno1.g949.t1	A	rna-XM_057795559.1	A
anno1.g950.t2	A	rna-XM_057795789.1	A
anno1.g951.t1	A	rna-XM_057795561.1	A
anno1.g952.t2	A	rna-XM_057813345.1	A
anno1.g953.t1	A	rna-XM_057807770.1	A
anno1.g954.t1	A	rna-XM_057806440.1	A
anno1.g956.t2	A	rna-XM_057801246.1	A
anno1.g957.t1	A	rna-XM_057801250.1	A
anno1.g960.t1	A	rna-XM_057795038.1	A
anno1.g961.t1	A	rna-XM_057795023.1	A
anno1.g967.t1	A	rna-XM_057813177.1	A
anno1.g968.t1	A	rna-XM_057804753.1	A
anno1.g969.t1	A	rna-XM_057814844.1	A
anno1.g970.t2	A	rna-XM_057806614.1	A
anno1.g972.t1	A	rna-XM_057807547.1	A
anno1.g973.t1	A	rna-XM_057807554.1	A
anno1.g974.t1	A	rna-XM_057802983.1	A
anno1.g977.t5	A	rna-XM_057802987.1	A
anno1.g978.t1	A	rna-XM_057801718.1	A
anno1.g979.t1	A	rna-XM_057801719.1	A
anno1.g984.t1	A	rna-XM_057801721.1	A
anno1.g985.t1	A	rna-XM_057795522.1	A
anno1.g986.t1	A	rna-XM_057803897.1	A
