D_sublineata	chromosome	B_siliquastri	chromosome
rna-XM_056782096.1	A	BRAKERILHT00000010284	A
rna-XM_056784969.1	A	BRAKERILHT00000008793	A
rna-XM_056791351.1	A	BRAKERILHT00000009723	A
rna-XM_056791327.1	A	BRAKERILHT00000010399	A
rna-XM_056791364.1	A	BRAKERILHT00000009212	A
rna-XM_056791359.1	A	BRAKERILHT00000010024	A
rna-XM_056785464.1	A	BRAKERILHT00000010023	A
rna-XM_056774202.1	A	BRAKERILHT00000001391	A
rna-XM_056784202.1	A	BRAKERILHT00000001785	A
rna-XM_056780869.1	A	BRAKERILHT00000009826	A
rna-XM_056776368.1	A	BRAKERILHT00000009352	A
rna-XM_056791731.1	A	BRAKERILHT00000000746	A
rna-XM_056774351.1	A	BRAKERILHT00000008781	A
rna-XM_056791378.1	A	BRAKERILHT00000006317	A
rna-XM_056780476.1	A	BRAKERILHT00000005076	A
rna-XM_056777151.1	A	BRAKERILHT00000006329	A
rna-XM_056777161.1	A	BRAKERILHT00000006380	A
rna-XM_056775443.1	A	BRAKERILHT00000006454	A
rna-XM_056775478.1	A	BRAKERILHT00000013625	A
rna-XM_056785167.1	A	BRAKERILHT00000006088	A
rna-XM_056785126.1	A	BRAKERILHT00000013415	A
rna-XM_056784776.1	A	BRAKERILHT00000012292	A
rna-XM_056791430.1	A	BRAKERILHT00000001181	A
rna-XM_056791424.1	A	BRAKERILHT00000001787	A
rna-XM_056791436.1	A	BRAKERILHT00000007972	A
rna-XM_056791471.1	A	BRAKERILHT00000014527	A
rna-XM_056791454.1	A	BRAKERILHT00000005881	A
rna-XM_056779944.1	A	BRAKERILHT00000001029	A
rna-XM_056778312.1	A	BRAKERILHT00000011794	A
rna-XM_056784918.1	A	BRAKERILHT00000010969	A
rna-XM_056782840.1	A	BRAKERILHT00000004651	A
rna-XM_056784633.1	A	BRAKERILHT00000006112	A
rna-XM_056784746.1	A	BRAKERILHT00000006150	A
rna-XM_056792970.1	A	BRAKERILHT00000004896	A
rna-XM_056785940.1	A	BRAKERILHT00000012925	A
rna-XM_056774653.1	A	BRAKERILHT00000014221	A
rna-XM_056792896.1	A	BRAKERILHT00000000213	A
rna-XM_056791706.1	A	BRAKERILHT00000005195	A
rna-XM_056791708.1	A	BRAKERILHT00000006024	A
rna-XM_056791705.1	A	BRAKERILHT00000005776	A
rna-XM_056785658.1	A	BRAKERILHT00000011077	A
rna-XM_056777583.1	A	BRAKERILHT00000010662	A
rna-XM_056777636.1	A	BRAKERILHT00000005623	A
rna-XM_056777595.1	A	BRAKERILHT00000015586	A
rna-XM_056777719.1	A	BRAKERILHT00000003871	A
rna-XM_056777683.1	A	BRAKERILHT00000003716	A
rna-XM_056777766.1	A	BRAKERILHT00000003356	A
rna-XM_056777737.1	A	BRAKERILHT00000003673	A
rna-XM_056792073.1	A	BRAKERILHT00000002504	A
rna-XM_056792101.1	A	BRAKERILHT00000002242	A
rna-XM_056791768.1	A	BRAKERILHT00000003715	A
rna-XM_056791776.1	A	BRAKERILHT00000002240	A
rna-XM_056791772.1	A	BRAKERILHT00000014054	A
rna-XM_056791774.1	A	BRAKERILHT00000004368	A
rna-XM_056791771.1	A	BRAKERILHT00000004006	A
rna-XM_056791777.1	A	BRAKERILHT00000003690	A
rna-XM_056791775.1	A	BRAKERILHT00000004017	A
rna-XM_056791633.1	A	BRAKERILHT00000003860	A
rna-XM_056791632.1	A	BRAKERILHT00000006347	A
rna-XM_056775028.1	A	BRAKERILHT00000002576	A
rna-XM_056773784.1	A	BRAKERILHT00000014281	A
rna-XM_056777559.1	A	BRAKERILHT00000003339	A
rna-XM_056775630.1	A	BRAKERILHT00000003250	A
rna-XM_056781748.1	A	BRAKERILHT00000016089	A
rna-XM_056781769.1	A	BRAKERILHT00000008428	A
rna-XM_056781759.1	A	BRAKERILHT00000000961	A
rna-XM_056790785.1	A	BRAKERILHT00000001416	A
rna-XM_056778669.1	A	BRAKERILHT00000002040	A
rna-XM_056778639.1	A	BRAKERILHT00000000487	A
rna-XM_056779300.1	A	BRAKERILHT00000009234	A
rna-XM_056778935.1	A	BRAKERILHT00000001426	A
rna-XM_056789474.1	A	BRAKERILHT00000000850	A
rna-XM_056776490.1	A	BRAKERILHT00000007831	A
rna-XM_056776477.1	A	BRAKERILHT00000007649	A
rna-XM_056788855.1	A	BRAKERILHT00000014874	A
rna-XM_056788994.1	A	BRAKERILHT00000014720	A
rna-XM_056790798.1	A	BRAKERILHT00000007135	A
rna-XM_056789005.1	A	BRAKERILHT00000012856	A
rna-XM_056788907.1	A	BRAKERILHT00000001737	A
rna-XM_056788941.1	A	BRAKERILHT00000000551	A
rna-XM_056788981.1	A	BRAKERILHT00000000522	A
rna-XM_056788954.1	A	BRAKERILHT00000014451	A
rna-XM_056788877.1	A	BRAKERILHT00000014987	A
rna-XM_056789023.1	A	BRAKERILHT00000005380	A
rna-XM_056784426.1	A	BRAKERILHT00000005457	A
rna-XM_056784191.1	A	BRAKERILHT00000002523	A
rna-XM_056791999.1	A	BRAKERILHT00000005664	A
rna-XM_056791975.1	A	BRAKERILHT00000013124	A
rna-XM_056791987.1	A	BRAKERILHT00000012664	A
rna-XM_056792019.1	A	BRAKERILHT00000004134	A
rna-XM_056786861.1	A	BRAKERILHT00000007526	A
rna-XM_056786811.1	A	BRAKERILHT00000002336	A
rna-XM_056786864.1	A	BRAKERILHT00000002165	A
rna-XM_056791611.1	A	BRAKERILHT00000004252	A
rna-XM_056791613.1	A	BRAKERILHT00000003822	A
rna-XM_056791612.1	A	BRAKERILHT00000002365	A
rna-XM_056791616.1	A	BRAKERILHT00000004000	A
rna-XM_056791609.1	A	BRAKERILHT00000009260	A
rna-XM_056779548.1	A	BRAKERILHT00000008506	A
rna-XM_056779515.1	A	BRAKERILHT00000009746	A
rna-XM_056779536.1	A	BRAKERILHT00000007581	A
rna-XM_056779528.1	A	BRAKERILHT00000007520	A
rna-XM_056785941.1	A	BRAKERILHT00000015877	A
rna-XM_056791811.1	A	BRAKERILHT00000006204	A
rna-XM_056791813.1	A	BRAKERILHT00000009353	A
rna-XM_056791814.1	A	BRAKERILHT00000002247	A
rna-XM_056784906.1	A	BRAKERILHT00000003954	A
rna-XM_056790987.1	A	BRAKERILHT00000016235	A
rna-XM_056790999.1	A	BRAKERILHT00000016372	A
rna-XM_056783902.1	A	BRAKERILHT00000000914	A
rna-XM_056789395.1	A	BRAKERILHT00000000470	A
rna-XM_056789370.1	A	BRAKERILHT00000000141	A
rna-XM_056789351.1	A	BRAKERILHT00000000670	A
rna-XM_056789384.1	A	BRAKERILHT00000001372	A
rna-XM_056789414.1	A	BRAKERILHT00000000446	A
rna-XM_056779449.1	A	BRAKERILHT00000009738	A
rna-XM_056784551.1	A	BRAKERILHT00000008773	A
rna-XM_056792842.1	A	BRAKERILHT00000009207	A
rna-XM_056792806.1	A	BRAKERILHT00000006973	A
rna-XM_056791013.1	A	BRAKERILHT00000008156	A
rna-XM_056792853.1	A	BRAKERILHT00000007168	A
rna-XM_056790075.1	A	BRAKERILHT00000002340	A
rna-XM_056790102.1	A	BRAKERILHT00000001012	A
rna-XM_056791875.1	A	BRAKERILHT00000006635	A
rna-XM_056791874.1	A	BRAKERILHT00000008195	A
rna-XM_056775694.1	A	BRAKERILHT00000010001	A
rna-XM_056775663.1	A	BRAKERILHT00000009138	A
rna-XM_056775681.1	A	BRAKERILHT00000009993	A
rna-XM_056775712.1	A	BRAKERILHT00000008499	A
rna-XM_056775942.1	A	BRAKERILHT00000009015	A
rna-XM_056775914.1	A	BRAKERILHT00000009183	A
rna-XM_056775954.1	A	BRAKERILHT00000012652	A
rna-XM_056774190.1	A	BRAKERILHT00000010313	A
rna-XM_056774105.1	A	BRAKERILHT00000008564	A
rna-XM_056780670.1	A	BRAKERILHT00000009380	A
rna-XM_056781677.1	A	BRAKERILHT00000009691	A
rna-XM_056783774.1	A	BRAKERILHT00000009427	A
rna-XM_056779787.1	A	BRAKERILHT00000009684	A
rna-XM_056783840.1	A	BRAKERILHT00000002186	A
rna-XM_056791037.1	A	BRAKERILHT00000008535	A
rna-XM_056774316.1	A	BRAKERILHT00000009776	A
rna-XM_056792451.1	A	BRAKERILHT00000002188	A
rna-XM_056792429.1	A	BRAKERILHT00000008731	A
rna-XM_056785564.1	A	BRAKERILHT00000009112	A
rna-XM_056785573.1	A	BRAKERILHT00000006541	A
rna-XM_056791047.1	A	BRAKERILHT00000009837	A
rna-XM_056790436.1	A	BRAKERILHT00000007253	A
rna-XM_056787057.1	A	BRAKERILHT00000010255	A
rna-XM_056787044.1	A	BRAKERILHT00000009589	A
rna-XM_056788232.1	A	BRAKERILHT00000009159	A
rna-XM_056787007.1	A	BRAKERILHT00000010388	A
rna-XM_056786969.1	A	BRAKERILHT00000009284	A
rna-XM_056786982.1	A	BRAKERILHT00000009720	A
rna-XM_056786927.1	A	BRAKERILHT00000009378	A
rna-XM_056787105.1	A	BRAKERILHT00000010363	A
rna-XM_056787117.1	A	BRAKERILHT00000009437	A
rna-XM_056787150.1	A	BRAKERILHT00000005843	A
rna-XM_056787175.1	A	BRAKERILHT00000009813	A
rna-XM_056787207.1	A	BRAKERILHT00000013579	A
rna-XM_056787227.1	A	BRAKERILHT00000013749	A
rna-XM_056777376.1	A	BRAKERILHT00000005327	A
rna-XM_056791919.1	A	BRAKERILHT00000005409	A
rna-XM_056791917.1	A	BRAKERILHT00000013937	A
rna-XM_056783100.1	A	BRAKERILHT00000013468	A
rna-XM_056783111.1	A	BRAKERILHT00000013758	A
rna-XM_056792643.1	A	BRAKERILHT00000012609	A
rna-XM_056779112.1	A	BRAKERILHT00000012557	A
rna-XM_056779154.1	A	BRAKERILHT00000001873	A
rna-XM_056777778.1	A	BRAKERILHT00000013690	A
rna-XM_056773903.1	A	BRAKERILHT00000005220	A
rna-XM_056773887.1	A	BRAKERILHT00000007432	A
rna-XM_056785093.1	A	BRAKERILHT00000016366	A
rna-XM_056776597.1	A	BRAKERILHT00000015895	A
rna-XM_056776978.1	A	BRAKERILHT00000012936	A
rna-XM_056791293.1	A	BRAKERILHT00000012626	A
rna-XM_056792703.1	A	BRAKERILHT00000013834	A
rna-XM_056792941.1	A	BRAKERILHT00000012538	A
rna-XM_056791298.1	A	BRAKERILHT00000001687	A
rna-XM_056775094.1	A	BRAKERILHT00000006584	A
rna-XM_056775320.1	A	BRAKERILHT00000008590	A
rna-XM_056783805.1	A	BRAKERILHT00000007474	A
rna-XM_056783791.1	A	BRAKERILHT00000006892	A
rna-XM_056791323.1	A	BRAKERILHT00000015076	A
rna-XM_056777573.1	A	BRAKERILHT00000015045	A
rna-XM_056792630.1	A	BRAKERILHT00000011167	A
rna-XM_056791584.1	A	BRAKERILHT00000009369	A
rna-XM_056785622.1	A	BRAKERILHT00000008494	A
rna-XM_056774288.1	A	BRAKERILHT00000015945	A
rna-XM_056774301.1	A	BRAKERILHT00000005254	A
rna-XM_056780052.1	A	BRAKERILHT00000008492	A
rna-XM_056791859.1	A	BRAKERILHT00000013773	A
rna-XM_056791858.1	A	BRAKERILHT00000006907	A
rna-XM_056791857.1	A	BRAKERILHT00000005655	A
rna-XM_056791843.1	A	BRAKERILHT00000000518	A
rna-XM_056791834.1	A	BRAKERILHT00000007954	A
rna-XM_056791832.1	A	BRAKERILHT00000011445	A
rna-XM_056791845.1	A	BRAKERILHT00000000190	A
rna-XM_056775041.1	A	BRAKERILHT00000014119	A
rna-XM_056792476.1	A	BRAKERILHT00000010676	A
rna-XM_056774722.1	A	BRAKERILHT00000001333	A
rna-XM_056791701.1	A	BRAKERILHT00000000805	A
rna-XM_056782649.1	A	BRAKERILHT00000001478	A
rna-XM_056776699.1	A	BRAKERILHT00000015468	A
rna-XM_056785362.1	A	BRAKERILHT00000003044	A
rna-XM_056777272.1	A	BRAKERILHT00000014001	A
rna-XM_056782263.1	A	BRAKERILHT00000002435	A
rna-XM_056780307.1	A	BRAKERILHT00000004422	A
rna-XM_056780280.1	A	BRAKERILHT00000004363	A
rna-XM_056778346.1	A	BRAKERILHT00000009771	A
rna-XM_056778359.1	A	BRAKERILHT00000008685	A
rna-XM_056778334.1	A	BRAKERILHT00000008954	A
rna-XM_056778383.1	A	BRAKERILHT00000015193	A
