C_chinensis	chromosome	A_obtectus	chromosome
anno1.g4868.t1	A	anno1.g7512.t1	A
anno1.g4870.t1	A	anno1.g7511.t2	A
anno1.g4861.t1	A	anno1.g2166.t1	X
anno1.g4835.t1	A	anno1.g5032.t1	A
anno1.g4837.t1	A	anno1.g14298.t1	A
anno1.g4839.t1	A	anno1.g13337.t6	A
anno1.g4840.t1	A	anno1.g13336.t1	A
anno1.g4841.t1	A	anno1.g13334.t1	A
anno1.g4842.t1	A	anno1.g13906.t2	A
anno1.g4843.t1	A	anno1.g13907.t1	A
anno1.g4844.t1	A	anno1.g13909.t1	A
anno1.g4845.t1	A	anno1.g13910.t1	A
anno1.g4846.t2	A	anno1.g13911.t1	A
anno1.g4847.t1	A	anno1.g13912.t1	A
anno1.g4848.t2	A	anno1.g13913.t1	A
anno1.g4849.t1	A	anno1.g13915.t1	A
anno1.g4850.t1	A	anno1.g13916.t1	A
anno1.g4851.t1	A	anno1.g13917.t2	A
anno1.g4852.t1	A	anno1.g13918.t1	A
anno1.g4854.t1	A	anno1.g13872.t1	A
anno1.g4855.t1	A	anno1.g13902.t1	A
anno1.g4858.t2	A	anno1.g13899.t2	A
anno1.g4826.t1	A	anno1.g12638.t1	A
anno1.g4827.t2	A	anno1.g12639.t1	A
anno1.g4832.t1	A	anno1.g12641.t1	A
anno1.g4833.t1	A	anno1.g12642.t1	A
anno1.g4834.t1	A	anno1.g12643.t1	A
anno1.g4825.t1	A	anno1.g7969.t1	A
anno1.g4809.t1	A	anno1.g840.t1	A
anno1.g4810.t1	A	anno1.g841.t1	A
anno1.g4811.t1	A	anno1.g842.t1	A
anno1.g4812.t1	A	anno1.g843.t1	A
anno1.g4813.t1	A	anno1.g844.t1	A
anno1.g4814.t1	A	anno1.g845.t2	A
anno1.g4815.t1	A	anno1.g846.t1	A
anno1.g4816.t1	A	anno1.g847.t2	A
anno1.g4817.t1	A	anno1.g848.t1	A
anno1.g4818.t3	A	anno1.g849.t1	A
anno1.g4819.t1	A	anno1.g850.t1	A
anno1.g4820.t1	A	anno1.g852.t1	A
anno1.g4821.t1	A	anno1.g853.t1	A
anno1.g4822.t1	A	anno1.g854.t1	A
anno1.g4823.t2	A	anno1.g855.t3	A
anno1.g4772.t1	A	anno1.g6549.t1	A
anno1.g4773.t1	A	anno1.g6548.t1	A
anno1.g4774.t1	A	anno1.g6547.t1	A
anno1.g4776.t1	A	anno1.g6546.t1	A
anno1.g4777.t1	A	anno1.g6545.t1	A
anno1.g4778.t1	A	anno1.g6544.t1	A
anno1.g4780.t1	A	anno1.g6596.t1	A
anno1.g4781.t1	A	anno1.g6542.t1	A
anno1.g4782.t1	A	anno1.g6541.t1	A
anno1.g4783.t2	A	anno1.g6540.t1	A
anno1.g4784.t1	A	anno1.g6539.t2	A
anno1.g4785.t1	A	anno1.g6538.t1	A
anno1.g4786.t3	A	anno1.g6537.t1	A
anno1.g4787.t1	A	anno1.g6536.t1	A
anno1.g4788.t1	A	anno1.g6535.t1	A
anno1.g4789.t1	A	anno1.g6534.t1	A
anno1.g4790.t1	A	anno1.g6533.t1	A
anno1.g4791.t1	A	anno1.g6532.t1	A
anno1.g4792.t2	A	anno1.g6531.t1	A
anno1.g4793.t1	A	anno1.g6530.t1	A
anno1.g4794.t2	A	anno1.g6529.t1	A
anno1.g4795.t1	A	anno1.g6528.t3	A
anno1.g4796.t1	A	anno1.g6527.t1	A
anno1.g4797.t1	A	anno1.g6526.t1	A
anno1.g4798.t1	A	anno1.g6525.t1	A
anno1.g4800.t1	A	anno1.g6524.t1	A
anno1.g4801.t1	A	anno1.g6523.t1	A
anno1.g4802.t1	A	anno1.g6522.t2	A
anno1.g4803.t1	A	anno1.g6520.t4	A
anno1.g4805.t1	A	anno1.g6519.t1	A
anno1.g4752.t2	A	anno1.g5532.t1	A
anno1.g4753.t1	A	anno1.g5533.t1	A
anno1.g4755.t1	A	anno1.g5536.t1	A
anno1.g4756.t1	A	anno1.g5537.t2	A
anno1.g4757.t1	A	anno1.g5541.t1	A
anno1.g4758.t1	A	anno1.g5542.t1	A
anno1.g4759.t1	A	anno1.g5543.t1	A
anno1.g4760.t1	A	anno1.g5544.t1	A
anno1.g4761.t1	A	anno1.g5545.t1	A
anno1.g4762.t2	A	anno1.g5546.t1	A
anno1.g4763.t2	A	anno1.g5547.t1	A
anno1.g4764.t1	A	anno1.g5548.t2	A
anno1.g4765.t1	A	anno1.g5549.t1	A
anno1.g4767.t1	A	anno1.g5551.t1	A
anno1.g4768.t1	A	anno1.g5552.t2	A
anno1.g4769.t1	A	anno1.g14536.t1	A
anno1.g4770.t1	A	anno1.g14535.t1	A
anno1.g4771.t1	A	anno1.g11566.t2	A
anno1.g4719.t1	A	anno1.g5614.t1	A
anno1.g4721.t1	A	anno1.g8128.t1	A
anno1.g4722.t1	A	anno1.g11124.t1	A
anno1.g4723.t1	A	anno1.g9775.t1	A
anno1.g4724.t1	A	anno1.g14345.t1	A
anno1.g4725.t1	A	anno1.g11127.t2	A
anno1.g4726.t1	A	anno1.g9773.t1	A
anno1.g4727.t1	A	anno1.g11129.t1	A
anno1.g4728.t1	A	anno1.g11130.t2	A
anno1.g4729.t1	A	anno1.g11131.t1	A
anno1.g4730.t1	A	anno1.g11132.t1	A
anno1.g4731.t1	A	anno1.g11134.t1	A
anno1.g4733.t1	A	anno1.g11136.t1	A
anno1.g4734.t1	A	anno1.g11137.t1	A
anno1.g4735.t1	A	anno1.g11138.t1	A
anno1.g4737.t1	A	anno1.g11144.t1	A
anno1.g4738.t2	A	anno1.g11145.t2	A
anno1.g4739.t2	A	anno1.g11146.t1	A
anno1.g4740.t2	A	anno1.g11140.t3	A
anno1.g4741.t1	A	anno1.g11333.t1	A
anno1.g4742.t1	A	anno1.g11332.t2	A
anno1.g4743.t3	A	anno1.g11330.t2	A
anno1.g4744.t1	A	anno1.g11329.t1	A
anno1.g4745.t1	A	anno1.g11328.t1	A
anno1.g4746.t1	A	anno1.g11326.t1	A
anno1.g4748.t1	A	anno1.g11301.t1	A
anno1.g4710.t1	A	anno1.g6101.t1	A
anno1.g4711.t1	A	anno1.g6100.t1	A
anno1.g4712.t1	A	anno1.g6099.t1	A
anno1.g4713.t1	A	anno1.both_agree_g15325.t1	A
anno1.g4715.t1	A	anno1.g6097.t1	A
anno1.g4716.t2	A	anno1.g6096.t1	A
anno1.g4717.t1	A	anno1.g6095.t1	A
anno1.g4699.t2	A	anno1.g6493.t1	A
anno1.g4700.t1	A	anno1.g6494.t1	A
anno1.g4701.t1	A	anno1.g6495.t1	A
anno1.g4702.t1	A	anno1.g6497.t1	A
anno1.g4703.t1	A	anno1.g6498.t1	A
anno1.g4705.t1	A	anno1.g3269.t1	A
anno1.g10306.t1	A	anno1.g7426.t1	A
anno1.g10302.t1	A	anno1.g7428.t2	A
anno1.g10296.t1	A	anno1.g13088.t1	A
anno1.g10299.t1	A	anno1.g13116.t2	A
anno1.g4683.t1	A	anno1.g7277.t1	A
anno1.g4689.t1	A	anno1.g11051.t2	A
anno1.g4691.t2	A	anno1.g11047.t1	A
anno1.g4692.t1	A	anno1.g11046.t2	A
anno1.g4695.t1	A	anno1.g11043.t1	A
anno1.g4664.t1	A	anno1.g13667.t1	A
anno1.g4665.t2	A	anno1.g13666.t1	A
anno1.g4666.t1	A	anno1.g13665.t1	A
anno1.g4667.t2	A	anno1.g13217.t1	A
anno1.g4669.t2	A	anno1.g13215.t2	A
anno1.g4670.t1	A	anno1.g13213.t1	A
anno1.g4671.t1	A	anno1.g13212.t1	A
anno1.g4676.t1	A	anno1.g13211.t1	A
anno1.g4677.t2	A	anno1.g13206.t1	A
anno1.g4678.t2	A	anno1.g14630.t1	A
anno1.g4679.t1	A	anno1.g13271.t1	A
anno1.g4680.t1	A	anno1.g13270.t1	A
anno1.g4682.t1	A	anno1.g13269.t1	A
anno1.g10279.t1	A	anno1.g5835.t1	A
anno1.g4657.t1	A	anno1.g12613.t7	A
anno1.g4659.t1	A	anno1.g12612.t1	A
anno1.g4660.t1	A	anno1.g12611.t1	A
anno1.g4661.t1	A	anno1.g12610.t1	A
anno1.g4662.t1	A	anno1.g12608.t1	A
anno1.g10202.t1	A	anno1.g11588.t1	A
anno1.g10194.t1	A	anno1.g10891.t1	A
anno1.g10196.t2	A	anno1.g10889.t1	A
anno1.g4649.t1	A	anno1.g9276.t1	A
anno1.g4650.t1	A	anno1.g9274.t1	A
anno1.g4651.t1	A	anno1.g9273.t1	A
anno1.g4606.t1	A	anno1.g9807.t1	A
anno1.g4607.t1	A	anno1.g9808.t1	A
anno1.g4608.t2	A	anno1.g9809.t1	A
anno1.g4609.t1	A	anno1.g9810.t1	A
anno1.g4610.t1	A	anno1.g9811.t1	A
anno1.g4611.t1	A	anno1.g9812.t1	A
anno1.g4612.t1	A	anno1.g9813.t2	A
anno1.both_agree_g2172.t1	A	anno1.g9814.t1	A
anno1.g4615.t2	A	anno1.g9816.t1	A
anno1.g4616.t1	A	anno1.g9817.t1	A
anno1.g4617.t2	A	anno1.g9818.t4	A
anno1.g4618.t1	A	anno1.g9819.t2	A
anno1.g4619.t1	A	anno1.g9820.t1	A
anno1.g4620.t1	A	anno1.g9821.t1	A
anno1.g4621.t1	A	anno1.g9822.t1	A
anno1.g4622.t1	A	anno1.g9823.t1	A
anno1.g4623.t1	A	anno1.g9824.t1	A
anno1.g4625.t1	A	anno1.g9984.t1	A
anno1.g4628.t1	A	anno1.g9983.t1	A
anno1.g4629.t1	A	anno1.g9982.t1	A
anno1.g4632.t1	A	anno1.g9977.t1	A
anno1.g4633.t1	A	anno1.g9978.t1	A
anno1.g4634.t1	A	anno1.g9979.t1	A
anno1.g4635.t1	A	anno1.g9980.t1	A
anno1.both_agree_g2201.t3	A	anno1.g9981.t1	A
anno1.g4638.t1	A	anno1.g9974.t1	A
anno1.g4639.t2	A	anno1.g9975.t1	A
anno1.g4640.t1	A	anno1.g9976.t1	A
anno1.g4641.t1	A	anno1.g9962.t1	A
anno1.g4642.t1	A	anno1.g9961.t1	A
anno1.g4643.t2	A	anno1.g9970.t1	A
anno1.g4644.t1	A	anno1.g9971.t1	A
anno1.g10167.t1	A	anno1.g2824.t1	A
anno1.g4565.t1	A	anno1.g5753.t1	A
anno1.g4566.t1	A	anno1.g5752.t1	A
anno1.g4567.t1	A	anno1.g5751.t1	A
anno1.g4568.t2	A	anno1.g5750.t2	A
anno1.g4569.t1	A	anno1.g5749.t1	A
anno1.g4572.t1	A	anno1.g5826.t1	A
anno1.g4573.t1	A	anno1.g5825.t1	A
anno1.g4575.t2	A	anno1.g5761.t1	A
anno1.g4576.t1	A	anno1.g14003.t1	A
anno1.g4577.t1	A	anno1.g5760.t1	A
anno1.g4580.t3	A	anno1.g5759.t2	A
anno1.g4582.t1	A	anno1.g5758.t1	A
anno1.g4584.t1	A	anno1.g5757.t1	A
anno1.g4585.t1	A	anno1.g14389.t1	A
anno1.g4586.t1	A	anno1.g14390.t2	A
anno1.g4587.t1	A	anno1.g14391.t1	A
anno1.g4588.t1	A	anno1.g14392.t1	A
anno1.g4589.t1	A	anno1.g14393.t1	A
anno1.g4593.t2	A	anno1.g6163.t1	A
anno1.g4594.t1	A	anno1.g6164.t1	A
anno1.g4595.t2	A	anno1.g6165.t1	A
anno1.g4596.t1	A	anno1.g5961.t1	A
anno1.g4597.t1	A	anno1.g5962.t1	A
anno1.g4600.t1	A	anno1.g7617.t1	A
anno1.g4602.t1	A	anno1.g14790.t1	A
anno1.g4548.t2	A	anno1.g7487.t1	A
anno1.g4549.t1	A	anno1.g7488.t1	A
anno1.g4551.t1	A	anno1.g7490.t1	A
anno1.g4552.t2	A	anno1.both_agree_g17796.t1	A
anno1.g4554.t1	A	anno1.g7493.t1	A
anno1.g4555.t1	A	anno1.g7494.t2	A
anno1.g4557.t1	A	anno1.g7495.t1	A
anno1.g4558.t1	A	anno1.g7734.t1	A
anno1.g4559.t1	A	anno1.g7733.t1	A
anno1.g4560.t1	A	anno1.g7731.t1	A
anno1.g4561.t1	A	anno1.g7730.t1	A
anno1.g4546.t1	A	anno1.g3335.t1	A
anno1.g4532.t1	A	anno1.g8151.t1	A
anno1.g4533.t1	A	anno1.g8152.t1	A
anno1.g4534.t1	A	anno1.g8153.t1	A
anno1.g4535.t2	A	anno1.g8154.t1	A
anno1.g4536.t1	A	anno1.g8155.t1	A
anno1.g4538.t1	A	anno1.g8156.t1	A
anno1.g4539.t1	A	anno1.g8157.t1	A
anno1.g4528.t1	A	anno1.g12868.t1	A
anno1.g10139.t1	A	anno1.g1691.t1	X
anno1.g4525.t1	A	anno1.g2249.t1	A
anno1.g10130.t1	A	anno1.g9386.t1	A
anno1.g10128.t1	A	anno1.g5576.t1	A
anno1.g4517.t1	A	anno1.g8181.t1	A
anno1.g4523.t1	A	anno1.g8190.t1	A
anno1.g10124.t1	A	anno1.g102.t1	A
anno1.g4478.t1	A	anno1.g9929.t2	A
anno1.g4479.t1	A	anno1.g9933.t1	A
anno1.g4480.t1	A	anno1.g9934.t1	A
anno1.g4481.t1	A	anno1.g9935.t1	A
anno1.g4482.t1	A	anno1.g9936.t1	A
anno1.g4483.t2	A	anno1.g9937.t1	A
anno1.g4484.t1	A	anno1.g9938.t1	A
anno1.g4486.t1	A	anno1.g9939.t1	A
anno1.g4488.t1	A	anno1.g9941.t1	A
anno1.g4489.t2	A	anno1.g9942.t1	A
anno1.g4490.t1	A	anno1.g9944.t1	A
anno1.g4491.t1	A	anno1.g9945.t1	A
anno1.g4492.t1	A	anno1.g9946.t2	A
anno1.g4493.t1	A	anno1.g9947.t1	A
anno1.g4494.t1	A	anno1.g9948.t1	A
anno1.g4495.t1	A	anno1.g9949.t1	A
anno1.g4496.t4	A	anno1.g9950.t1	A
anno1.g4497.t1	A	anno1.g9951.t1	A
anno1.g4498.t1	A	anno1.g9952.t1	A
anno1.g4499.t1	A	anno1.g9953.t1	A
anno1.g4500.t1	A	anno1.g9957.t1	A
anno1.g4501.t1	A	anno1.g9958.t1	A
anno1.g4502.t1	A	anno1.g9969.t2	A
anno1.g4503.t1	A	anno1.g9968.t1	A
anno1.g4504.t1	A	anno1.g9967.t1	A
anno1.g4505.t1	A	anno1.g9966.t2	A
anno1.g4506.t1	A	anno1.g9965.t1	A
anno1.g4507.t1	A	anno1.g9963.t1	A
anno1.g4508.t1	A	anno1.both_agree_g20916.t1	A
anno1.g4509.t1	A	anno1.g9261.t1	A
anno1.g4511.t2	A	anno1.g9972.t1	A
anno1.g4461.t1	A	anno1.g6886.t1	A
anno1.g4462.t1	A	anno1.g6887.t1	A
anno1.g4463.t1	A	anno1.g6353.t1	A
anno1.g4464.t1	A	anno1.g6352.t1	A
anno1.g4465.t1	A	anno1.g6350.t2	A
anno1.g4466.t1	A	anno1.g6349.t1	A
anno1.g4468.t1	A	anno1.g6348.t1	A
anno1.g4469.t1	A	anno1.g6347.t1	A
anno1.g4470.t1	A	anno1.g6346.t1	A
anno1.g4471.t1	A	anno1.g6345.t1	A
anno1.g4472.t1	A	anno1.g6344.t1	A
anno1.g4473.t1	A	anno1.g6339.t1	A
anno1.g4474.t1	A	anno1.g6338.t1	A
anno1.g4475.t1	A	anno1.g6337.t1	A
anno1.g4476.t2	A	anno1.g6335.t2	A
anno1.g10081.t1	A	anno1.g12192.t1	A
anno1.g10083.t1	A	anno1.g12190.t1	A
anno1.g10084.t1	A	anno1.g12189.t1	A
anno1.g10074.t1	A	anno1.g654.t1	A
anno1.g4456.t2	A	anno1.g14479.t1	A
anno1.g10064.t2	A	anno1.g2534.t1	A
anno1.g10065.t1	A	anno1.g2533.t1	A
anno1.g10069.t3	A	anno1.g2529.t2	A
anno1.g10071.t1	A	anno1.g2591.t1	A
anno1.g4441.t1	A	anno1.g9173.t1	A
anno1.g4443.t1	A	anno1.g9172.t1	A
anno1.g4445.t1	A	anno1.g9174.t1	A
anno1.g4447.t1	A	anno1.g9176.t1	A
anno1.g4450.t1	A	anno1.g9178.t1	A
anno1.g4453.t1	A	anno1.g9177.t1	A
anno1.g10042.t1	A	anno1.g881.t1	A
anno1.g10043.t1	A	anno1.g882.t1	A
anno1.g10035.t1	A	anno1.g864.t1	A
anno1.g10036.t1	A	anno1.g869.t1	A
anno1.g4435.t1	A	anno1.g3281.t1	A
anno1.g4438.t1	A	anno1.g3282.t1	A
anno1.g4439.t1	A	anno1.g3279.t1	A
anno1.g10025.t2	A	anno1.g12693.t3	A
anno1.g10018.t1	A	anno1.g12714.t1	A
anno1.g10020.t1	A	anno1.g12716.t2	A
anno1.g4429.t1	A	anno1.g3319.t1	A
anno1.g4430.t1	A	anno1.g3318.t2	A
anno1.g4431.t2	A	anno1.g3317.t2	A
anno1.g4432.t1	A	anno1.g3316.t1	A
anno1.g4433.t1	A	anno1.g3209.t1	A
anno1.g10011.t1	A	anno1.g5620.t1	A
anno1.g4396.t1	A	anno1.g14755.t1	A
anno1.g4397.t1	A	anno1.g2739.t1	A
anno1.g4398.t1	A	anno1.g3710.t2	A
anno1.g4399.t1	A	anno1.g3711.t1	A
anno1.g4400.t1	A	anno1.g3712.t1	A
anno1.g4401.t1	A	anno1.g3713.t1	A
anno1.g4402.t1	A	anno1.g6431.t1	A
anno1.g4403.t3	A	anno1.g3722.t1	A
anno1.g4404.t1	A	anno1.g3723.t1	A
anno1.g4405.t1	A	anno1.g3724.t1	A
anno1.g4406.t1	A	anno1.g3725.t1	A
anno1.g4407.t2	A	anno1.g3726.t1	A
anno1.g4408.t1	A	anno1.g3727.t1	A
anno1.g4409.t1	A	anno1.g3728.t1	A
anno1.g4410.t1	A	anno1.g3729.t2	A
anno1.g4411.t1	A	anno1.g3730.t1	A
anno1.g4412.t1	A	anno1.g3733.t1	A
anno1.g4414.t1	A	anno1.g14828.t1	A
anno1.g4416.t1	A	anno1.g3744.t1	A
anno1.g4417.t3	A	anno1.g3747.t2	A
anno1.g4418.t1	A	anno1.g3748.t1	A
anno1.g4420.t1	A	anno1.g3749.t2	A
anno1.g4421.t1	A	anno1.g3750.t1	A
anno1.g4422.t3	A	anno1.g3783.t3	A
anno1.g4423.t2	A	anno1.g3752.t3	A
anno1.g4425.t1	A	anno1.g3753.t1	A
anno1.g4426.t1	A	anno1.g3779.t2	A
anno1.g4378.t1	A	anno1.g1316.t1	A
anno1.g4379.t1	A	anno1.g1484.t1	A
anno1.g4380.t2	A	anno1.g1477.t2	A
anno1.g4381.t1	A	anno1.g1487.t1	A
anno1.g4382.t1	A	anno1.g1475.t1	A
anno1.g4383.t1	A	anno1.g1474.t1	A
anno1.g4386.t1	A	anno1.g1492.t3	A
anno1.g4388.t1	A	anno1.g1495.t1	A
anno1.g9986.t1	A	anno1.g14741.t1	A
anno1.g9968.t1	A	anno1.g7141.t1	A
anno1.g9969.t1	A	anno1.g7140.t1	A
anno1.g4364.t2	A	anno1.g3910.t3	A
anno1.g4365.t1	A	anno1.g3913.t1	A
anno1.g4367.t1	A	anno1.g3914.t1	A
anno1.g4368.t1	A	anno1.g14793.t1	A
anno1.g4372.t1	A	anno1.g3919.t1	A
anno1.g9967.t1	A	anno1.g5565.t1	A
anno1.g9966.t1	A	anno1.g12238.t1	A
anno1.g9945.t1	A	anno1.g11609.t1	A
anno1.g9948.t1	A	anno1.g11611.t1	A
anno1.g9950.t1	A	anno1.g11613.t1	A
anno1.g9953.t1	A	anno1.g10849.t1	A
anno1.g9959.t1	A	anno1.g10844.t2	A
anno1.g9960.t2	A	anno1.g10840.t1	A
anno1.g9962.t1	A	anno1.g10837.t1	A
anno1.g4331.t1	A	anno1.g13923.t2	A
anno1.g4332.t1	A	anno1.g13922.t1	A
anno1.g4333.t1	A	anno1.g13921.t1	A
anno1.g4334.t1	A	anno1.g13920.t1	A
anno1.g4335.t1	A	anno1.g13919.t1	A
anno1.g4336.t1	A	anno1.g13871.t1	A
anno1.g4337.t1	A	anno1.g13870.t2	A
anno1.g4338.t1	A	anno1.g13869.t1	A
anno1.g4339.t2	A	anno1.g13868.t1	A
anno1.g4340.t1	A	anno1.g13867.t1	A
anno1.g4341.t1	A	anno1.g13866.t1	A
anno1.g4343.t1	A	anno1.g13865.t1	A
anno1.g4344.t1	A	anno1.g13864.t2	A
anno1.g4346.t1	A	anno1.g13861.t1	A
anno1.g4347.t1	A	anno1.g13860.t1	A
anno1.g4348.t1	A	anno1.g13859.t1	A
anno1.g4349.t1	A	anno1.g13857.t1	A
anno1.g4351.t2	A	anno1.g13856.t1	A
anno1.g4352.t19	A	anno1.g13855.t6	A
anno1.g4353.t1	A	anno1.g13854.t1	A
anno1.g4354.t1	A	anno1.g13853.t1	A
anno1.g4356.t1	A	anno1.g13849.t2	A
anno1.g4358.t5	A	anno1.g13848.t1	A
anno1.g4359.t1	A	anno1.g13847.t1	A
anno1.g9943.t1	A	anno1.g14589.t1	A
anno1.g9937.t1	A	anno1.g5387.t1	A
anno1.g4330.t1	A	anno1.g12840.t1	A
anno1.g9933.t1	A	anno1.g5396.t1	A
anno1.g9934.t1	A	anno1.g5395.t1	A
anno1.g9930.t1	A	anno1.g5390.t1	A
anno1.g9931.t1	A	anno1.g4266.t1	A
anno1.g9917.t1	A	anno1.g9375.t1	A
anno1.g4328.t1	A	anno1.g5413.t1	A
anno1.g4329.t1	A	anno1.g5415.t1	A
anno1.g9909.t1	A	anno1.g9372.t1	A
anno1.g9912.t1	A	anno1.g9370.t1	A
anno1.g9915.t1	A	anno1.g9369.t1	A
anno1.g9907.t1	A	anno1.g11790.t1	A
anno1.g4313.t1	A	anno1.g5643.t1	A
anno1.g4314.t1	A	anno1.g5645.t1	A
anno1.g4315.t1	A	anno1.g5646.t1	A
anno1.g4317.t1	A	anno1.g5647.t1	A
anno1.g4318.t1	A	anno1.g5648.t1	A
anno1.g4319.t1	A	anno1.g5649.t1	A
anno1.g4320.t1	A	anno1.g5650.t1	A
anno1.g4321.t1	A	anno1.g5651.t1	A
anno1.g4322.t1	A	anno1.g5652.t1	A
anno1.g4323.t1	A	anno1.g5653.t1	A
anno1.g4324.t1	A	anno1.g5654.t1	A
anno1.g4325.t1	A	anno1.g5657.t1	A
anno1.g4326.t1	A	anno1.g5658.t1	A
anno1.g9840.t1	A	anno1.g1021.t2	A
anno1.g9835.t2	A	anno1.g9353.t2	A
anno1.g9831.t1	A	anno1.g13177.t1	A
anno1.g4289.t1	A	anno1.g2392.t1	A
anno1.g4290.t1	A	anno1.g2391.t1	A
anno1.g4291.t1	A	anno1.g2390.t2	A
anno1.g4292.t2	A	anno1.g2387.t3	A
anno1.g4293.t1	A	anno1.g2388.t1	A
anno1.g4294.t1	A	anno1.g2385.t1	A
anno1.g4296.t1	A	anno1.g2384.t1	A
anno1.g4297.t1	A	anno1.g2383.t1	A
anno1.g4299.t1	A	anno1.g5573.t1	A
anno1.g4302.t1	A	anno1.g2381.t1	A
anno1.g4304.t1	A	anno1.g2494.t1	A
anno1.g4305.t1	A	anno1.g2493.t1	A
anno1.g4306.t1	A	anno1.g2492.t1	A
anno1.g4307.t1	A	anno1.g2491.t1	A
anno1.g4308.t1	A	anno1.g2490.t1	A
anno1.g4309.t1	A	anno1.g14095.t1	A
anno1.g9830.t1	A	anno1.g6355.t1	A
anno1.g9810.t1	A	anno1.g1773.t1	X
anno1.g4278.t1	A	anno1.g2730.t2	A
anno1.g4279.t1	A	anno1.g2731.t1	A
anno1.g4280.t1	A	anno1.g2732.t5	A
anno1.g4282.t1	A	anno1.g14636.t1	A
anno1.g4285.t3	A	anno1.g14638.t2	A
anno1.g9795.t1	A	anno1.g3900.t1	A
anno1.g4264.t1	A	anno1.g5071.t1	A
anno1.g4266.t1	A	anno1.g11784.t1	A
anno1.g4267.t1	A	anno1.g11783.t1	A
anno1.g4268.t1	A	anno1.g11782.t1	A
anno1.g4273.t1	A	anno1.g11759.t1	A
anno1.g4274.t1	A	anno1.g11025.t1	A
anno1.g9793.t1	A	anno1.g2714.t1	A
anno1.g4262.t1	A	anno1.g11489.t1	A
anno1.g4263.t1	A	anno1.g11485.t1	A
anno1.g4164.t1	A	anno1.g5100.t1	A
anno1.g4165.t1	A	anno1.g5099.t1	A
anno1.g4166.t1	A	anno1.g14791.t1	A
anno1.g4169.t1	A	anno1.g5095.t1	A
anno1.g4171.t1	A	anno1.g5089.t2	A
anno1.g4172.t1	A	anno1.g5085.t1	A
anno1.g4173.t1	A	anno1.g5086.t1	A
anno1.g4174.t1	A	anno1.g5087.t1	A
anno1.g4175.t1	A	anno1.g5088.t1	A
anno1.g4176.t1	A	anno1.g5084.t1	A
