D_carinulata	chromosome	C_chinensis	chromosome
rna-XM_057805006.1	X	anno1.g2124.t1	A
rna-XM_057804916.1	X	anno1.g2123.t1	A
rna-XM_057805088.1	X	anno1.g2119.t1	A
rna-XM_057805054.1	X	anno1.g2129.t1	A
rna-XM_057804983.1	X	anno1.g3649.t1	A
rna-XM_057814193.1	X	anno1.g504.t3	A
rna-XM_057814311.1	X	anno1.g503.t1	A
rna-XM_057814357.1	X	anno1.g508.t1	A
rna-XM_057800126.1	X	anno1.g506.t1	A
rna-XM_057800253.1	X	anno1.g507.t1	A
rna-XM_057815684.1	X	anno1.g3648.t1	A
rna-XM_057814718.1	X	anno1.g11235.t1	A
rna-XM_057814731.1	X	anno1.g11333.t1	A
rna-XM_057814706.1	X	anno1.g4060.t1	A
rna-XM_057800490.1	X	anno1.g11521.t1	A
rna-XM_057800739.1	X	anno1.g11041.t1	A
rna-XM_057800624.1	X	anno1.g1667.t1	A
rna-XM_057804028.1	X	anno1.g11156.t3	A
rna-XM_057807416.1	X	anno1.g11157.t1	A
rna-XM_057816830.1	X	anno1.g11122.t1	A
rna-XM_057806431.1	X	anno1.g6784.t2	A
rna-XM_057797445.1	X	anno1.g11574.t1	A
rna-XM_057797462.1	X	anno1.g220.t2	A
rna-XM_057798048.1	X	anno1.g7262.t2	A
rna-XM_057811424.1	X	anno1.g5835.t1	A
rna-XM_057811364.1	X	anno1.g5838.t1	A
rna-XM_057811450.1	X	anno1.g6129.t1	A
rna-XM_057811411.1	X	anno1.g5839.t1	A
rna-XM_057811437.1	X	anno1.g5841.t1	A
rna-XM_057806571.1	X	anno1.g5829.t1	A
rna-XM_057806632.1	X	anno1.g5842.t1	A
rna-XM_057797185.1	X	anno1.g5831.t1	A
rna-XM_057814095.1	X	anno1.g6945.t1	A
rna-XM_057799703.1	X	anno1.g6942.t1	A
rna-XM_057815537.1	X	anno1.g12882.t5	A
rna-XM_057816637.1	X	anno1.g4052.t2	A
rna-XM_057797972.1	X	anno1.g3653.t1	A
rna-XM_057796559.1	X	anno1.g5832.t1	A
rna-XM_057796585.1	X	anno1.g5834.t1	A
rna-XM_057796548.1	X	anno1.g12881.t1	A
rna-XM_057809026.1	X	anno1.g3432.t1	X
rna-XM_057812034.1	X	anno1.g3433.t1	X
rna-XM_057812022.1	X	anno1.g3450.t1	X
rna-XM_057807079.1	X	anno1.g8650.t1	X
rna-XM_057806722.1	X	anno1.g8483.t1	A
rna-XM_057797357.1	X	anno1.g13184.t1	A
rna-XM_057797332.1	X	anno1.g6088.t1	A
rna-XM_057797367.1	X	anno1.g6875.t1	X
rna-XM_057797354.1	X	anno1.g2734.t1	X
rna-XM_057797285.1	X	anno1.g2732.t5	X
rna-XM_057814015.1	X	anno1.g6267.t2	X
rna-XM_057814064.1	X	anno1.g6265.t5	X
rna-XM_057811218.1	X	anno1.g10685.t1	X
rna-XM_057804496.1	X	anno1.g6877.t1	X
rna-XM_057812283.1	X	anno1.g3435.t1	X
rna-XM_057812320.1	X	anno1.g5369.t2	X
rna-XM_057802704.1	X	anno1.g6223.t1	X
rna-XM_057807099.1	X	anno1.g6477.t1	X
rna-XM_057799650.1	X	anno1.g13235.t1	A
rna-XM_057809887.1	X	anno1.g6254.t1	X
rna-XM_057809916.1	X	anno1.g7217.t1	X
rna-XM_057803483.1	X	anno1.g6774.t1	X
rna-XM_057801564.1	X	anno1.g6775.t1	X
rna-XM_057807318.1	X	anno1.g6776.t1	X
rna-XM_057812445.1	X	anno1.g9251.t1	X
rna-XM_057812476.1	X	anno1.g9248.t1	X
rna-XM_057797205.1	X	anno1.g1290.t1	X
rna-XM_057810616.1	X	anno1.g1289.t1	X
rna-XM_057810629.1	X	anno1.g12846.t1	X
rna-XM_057796400.1	X	anno1.g8278.t1	A
rna-XM_057808334.1	X	anno1.g5323.t1	X
rna-XM_057803668.1	X	anno1.g5324.t1	X
rna-XM_057803644.1	X	anno1.g5325.t1	X
rna-XM_057803655.1	X	anno1.g5327.t1	X
rna-XM_057816659.1	X	anno1.g13257.t1	X
rna-XM_057804472.1	X	anno1.g9118.t1	X
rna-XM_057803382.1	X	anno1.g12976.t1	X
rna-XM_057802395.1	X	anno1.g3881.t1	A
rna-XM_057813693.1	X	anno1.g13260.t1	A
rna-XM_057813571.1	X	anno1.g3418.t1	X
rna-XM_057813603.1	X	anno1.g6459.t1	X
rna-XM_057813708.1	X	anno1.g3452.t2	X
rna-XM_057813835.1	X	anno1.g3451.t1	X
rna-XM_057813646.1	X	anno1.g12843.t1	X
rna-XM_057797700.1	X	anno1.g2372.t1	X
rna-XM_057806390.1	X	anno1.g5320.t1	X
rna-XM_057806464.1	X	anno1.g6017.t1	A
rna-XM_057801428.1	X	anno1.g1285.t2	X
rna-XM_057795445.1	X	anno1.g13256.t1	X
rna-XM_057802588.1	X	anno1.g6264.t1	X
rna-XM_057798323.1	X	anno1.g8651.t1	X
rna-XM_057802304.1	X	anno1.g1279.t1	X
rna-XM_057802283.1	X	anno1.g6866.t1	A
rna-XM_057802272.1	X	anno1.g13485.t1	X
rna-XM_057811614.1	X	anno1.g13469.t1	X
rna-XM_057811634.1	X	anno1.g5321.t1	X
rna-XM_057811646.1	X	anno1.g7954.t3	X
rna-XM_057816218.1	X	anno1.g4957.t1	X
rna-XM_057798313.1	X	anno1.g6488.t1	X
rna-XM_057811225.1	X	anno1.g1286.t1	X
rna-XM_057811276.1	X	anno1.g4331.t1	A
rna-XM_057811260.1	X	anno1.g6260.t1	X
rna-XM_057797711.1	X	anno1.g3419.t1	X
rna-XM_057800104.1	X	anno1.g3454.t1	X
rna-XM_057800117.1	X	anno1.g3453.t1	X
rna-XM_057800276.1	X	anno1.g6272.t1	X
rna-XM_057800287.1	X	anno1.g6479.t1	X
rna-XM_057800179.1	X	anno1.g5531.t1	A
rna-XM_057800267.1	X	anno1.g6276.t1	X
rna-XM_057800348.1	X	anno1.g7911.t1	X
rna-XM_057800361.1	X	anno1.g13474.t1	X
rna-XM_057800407.1	X	anno1.g7369.t1	A
rna-XM_057800373.1	X	anno1.g3442.t2	X
rna-XM_057800418.1	X	anno1.g3811.t1	A
rna-XM_057800438.1	X	anno1.g3812.t1	A
rna-XM_057800451.1	X	anno1.g6614.t1	A
rna-XM_057800793.1	X	anno1.g12356.t1	X
rna-XM_057800843.1	X	anno1.g3446.t3	X
rna-XM_057800598.1	X	anno1.g302.t1	X
rna-XM_057805879.1	X	anno1.g10934.t1	A
rna-XM_057800831.1	X	anno1.g6221.t1	X
rna-XM_057800697.1	X	anno1.g4716.t2	A
rna-XM_057800567.1	X	anno1.g9459.t1	X
rna-XM_057800774.1	X	anno1.g9458.t1	X
rna-XM_057800906.1	X	anno1.g13401.t1	A
rna-XM_057800717.1	X	anno1.g12982.t2	X
rna-XM_057800460.1	X	anno1.g7906.t1	X
rna-XM_057800759.1	X	anno1.g1287.t3	X
rna-XM_057796468.1	X	anno1.g586.t1	A
rna-XM_057810881.1	X	anno1.g12829.t1	X
rna-XM_057810893.1	X	anno1.g12848.t1	X
rna-XM_057796635.1	X	anno1.g3431.t1	X
rna-XM_057796658.1	X	anno1.g7953.t1	X
rna-XM_057808367.1	X	anno1.g6490.t1	X
rna-XM_057801556.1	X	anno1.g1277.t1	X
rna-XM_057808412.1	X	anno1.g7919.t1	X
rna-XM_057808391.1	X	anno1.g6976.t1	X
rna-XM_057808461.1	X	anno1.g6977.t1	X
rna-XM_057803100.1	X	anno1.g6974.t3	X
rna-XM_057803181.1	X	anno1.g11345.t2	X
rna-XM_057803300.1	X	anno1.g6975.t1	X
rna-XM_057803309.1	X	anno1.g9198.t1	X
rna-XM_057803348.1	X	anno1.g1013.t1	A
rna-XM_057801603.1	X	anno1.g12260.t1	X
rna-XM_057803371.1	X	anno1.g7155.t1	A
rna-XM_057803724.1	X	anno1.g11110.t1	A
rna-XM_057803749.1	X	anno1.g2303.t1	A
rna-XM_057803760.1	X	anno1.g1343.t1	A
rna-XM_057803782.1	X	anno1.g7922.t1	X
rna-XM_057803874.1	X	anno1.g2525.t1	A
rna-XM_057803905.1	X	anno1.g2367.t1	X
rna-XM_057803894.1	X	anno1.g6219.t1	X
rna-XM_057798479.1	X	anno1.g10616.t2	A
rna-XM_057815206.1	X	anno1.g6274.t1	X
rna-XM_057815494.1	X	anno1.g11280.t1	A
rna-XM_057815612.1	X	anno1.g8592.t1	A
rna-XM_057811657.1	X	anno1.g4356.t1	A
rna-XM_057811843.1	X	anno1.g5370.t2	X
rna-XM_057794892.1	X	anno1.g7912.t1	X
rna-XM_057802723.1	X	anno1.g11818.t1	X
rna-XM_057803013.1	X	anno1.g7884.t1	X
rna-XM_057810522.1	X	anno1.g11911.t1	X
rna-XM_057798393.1	X	anno1.g11912.t1	X
rna-XM_057798373.1	X	anno1.g6262.t2	X
rna-XM_057811004.1	X	anno1.g12826.t1	X
rna-XM_057811047.1	X	anno1.g8416.t1	A
rna-XM_057814100.1	X	anno1.g11346.t1	X
rna-XM_057814147.1	X	anno1.g12911.t1	X
rna-XM_057811152.1	X	anno1.g12900.t2	X
rna-XM_057812934.1	X	anno1.g9452.t1	X
rna-XM_057812955.1	X	anno1.g9453.t1	X
rna-XM_057800033.1	X	anno1.g2079.t2	A
rna-XM_057801677.1	X	anno1.g1284.t1	X
rna-XM_057814488.1	X	anno1.g6874.t2	X
rna-XM_057814476.1	X	anno1.g5711.t1	A
rna-XM_057804534.1	X	anno1.g2613.t1	A
rna-XM_057801690.1	X	anno1.g1283.t2	X
rna-XM_057796862.1	X	anno1.g65.t1	A
rna-XM_057796935.1	X	anno1.g9771.t1	A
rna-XM_057796848.1	X	anno1.g3422.t1	X
rna-XM_057796984.1	X	anno1.g8495.t2	X
rna-XM_057796910.1	X	anno1.g6478.t1	X
rna-XM_057796962.1	X	anno1.g5933.t1	A
rna-XM_057796894.1	X	anno1.g13605.t2	A
rna-XM_057797885.1	X	anno1.g9116.t1	X
rna-XM_057801614.1	X	anno1.g7889.t1	X
rna-XM_057815989.1	X	anno1.g7905.t1	X
rna-XM_057816480.1	X	anno1.g10260.t1	A
rna-XM_057806318.1	X	anno1.g990.t1	A
rna-XM_057797120.1	X	anno1.g2362.t1	X
rna-XM_057797385.1	X	anno1.g2361.t1	X
rna-XM_057797602.1	X	anno1.g2358.t1	X
rna-XM_057802737.1	X	anno1.g5312.t1	X
rna-XM_057810066.1	X	anno1.g7948.t1	X
rna-XM_057810281.1	X	anno1.g7947.t1	X
rna-XM_057810091.1	X	anno1.g716.t1	A
rna-XM_057810120.1	X	anno1.g717.t1	A
rna-XM_057794969.1	X	anno1.g718.t1	A
rna-XM_057794957.1	X	anno1.g8647.t1	X
rna-XM_057794980.1	X	anno1.g2364.t1	X
rna-XM_057802650.1	X	anno1.g2366.t1	X
rna-XM_057801745.1	X	anno1.g12681.t1	X
rna-XM_057816680.1	X	anno1.g11813.t2	X
rna-XM_057797603.1	X	anno1.g4951.t1	X
rna-XM_057799680.1	X	anno1.g992.t1	A
rna-XM_057796449.1	X	anno1.g7944.t1	X
rna-XM_057813866.1	X	anno1.g11910.t1	X
rna-XM_057813888.1	X	anno1.g11908.t1	X
rna-XM_057813877.1	X	anno1.g6863.t1	A
rna-XM_057813853.1	X	anno1.g12256.t2	X
rna-XM_057813104.1	X	anno1.g11909.t2	X
rna-XM_057815996.1	X	anno1.g8745.t1	A
rna-XM_057805469.1	X	anno1.g5361.t2	X
rna-XM_057805482.1	X	anno1.g5362.t2	X
rna-XM_057805555.1	X	anno1.g7902.t1	X
rna-XM_057805579.1	X	anno1.g12354.t2	X
rna-XM_057805606.1	X	anno1.g2304.t2	A
rna-XM_057805640.1	X	anno1.g6475.t1	X
rna-XM_057805654.1	X	anno1.g11145.t1	A
rna-XM_057805621.1	X	anno1.g6275.t1	X
rna-XM_057805696.1	X	anno1.g12845.t1	X
rna-XM_057801775.1	X	anno1.g1276.t1	X
rna-XM_057805763.1	X	anno1.g1274.t2	X
rna-XM_057805816.1	X	anno1.g2347.t1	X
rna-XM_057805897.1	X	anno1.g2348.t1	X
rna-XM_057805858.1	X	anno1.g6471.t1	X
rna-XM_057805909.1	X	anno1.g6472.t2	X
rna-XM_057805936.1	X	anno1.g6473.t1	X
rna-XM_057805948.1	X	anno1.g6317.t2	A
rna-XM_057805976.1	X	anno1.g12633.t1	A
rna-XM_057805995.1	X	anno1.g1263.t1	A
rna-XM_057806006.1	X	anno1.g2356.t1	X
rna-XM_057806024.1	X	anno1.g2357.t1	X
rna-XM_057806037.1	X	anno1.g5934.t1	A
rna-XM_057806056.1	X	anno1.g5314.t2	X
rna-XM_057806089.1	X	anno1.g6542.t1	A
rna-XM_057806177.1	X	anno1.g4354.t1	A
rna-XM_057816881.1	X	anno1.g12259.t1	X
rna-XM_057816917.1	X	anno1.g12257.t1	X
rna-XM_057795666.1	X	anno1.g4648.t1	A
rna-XM_057810807.1	X	anno1.g9586.t1	X
rna-XM_057807005.1	X	anno1.g5367.t1	X
rna-XM_057806113.1	X	anno1.g5368.t1	X
rna-XM_057796413.1	X	anno1.g5681.t1	A
rna-XM_057816809.1	X	anno1.g6949.t3	A
rna-XM_057810458.1	X	anno1.g2729.t1	X
rna-XM_057810437.1	X	anno1.g2730.t1	X
rna-XM_057806689.1	X	anno1.g4952.t1	X
rna-XM_057803631.1	X	anno1.g1288.t1	X
rna-XM_057806339.1	X	anno1.g6908.t2	X
rna-XM_057807185.1	X	anno1.g6909.t1	X
rna-XM_057807237.1	X	anno1.g7900.t1	X
rna-XM_057807263.1	X	anno1.g5360.t2	X
rna-XM_057804301.1	X	anno1.g2556.t1	A
rna-XM_057798800.1	X	anno1.g6907.t3	X
rna-XM_057798904.1	X	anno1.g12844.t1	X
rna-XM_057799056.1	X	anno1.g7888.t1	X
rna-XM_057799142.1	X	anno1.g12910.t1	X
rna-XM_057799201.1	X	anno1.g12679.t1	X
rna-XM_057799215.1	X	anno1.g12680.t1	X
rna-XM_057799252.1	X	anno1.g9609.t1	A
rna-XM_057799283.1	X	anno1.g8643.t1	X
rna-XM_057799294.1	X	anno1.g13106.t1	A
rna-XM_057801798.1	X	anno1.g6487.t1	X
rna-XM_057799353.1	X	anno1.g6484.t1	X
rna-XM_057799371.1	X	anno1.g11210.t2	X
rna-XM_057799412.1	X	anno1.g11212.t1	X
rna-XM_057799437.1	X	anno1.g5364.t1	X
rna-XM_057799451.1	X	anno1.g5365.t1	X
rna-XM_057799462.1	X	anno1.g7918.t1	X
rna-XM_057799477.1	X	anno1.g6469.t1	X
rna-XM_057799560.1	X	anno1.g3428.t1	X
rna-XM_057799574.1	X	anno1.g3427.t2	X
rna-XM_057799517.1	X	anno1.g3430.t1	X
rna-XM_057799503.1	X	anno1.g3828.t2	A
rna-XM_057799585.1	X	anno1.g7921.t1	X
rna-XM_057797906.1	X	anno1.g13255.t2	X
rna-XM_057797761.1	X	anno1.g11905.t1	X
rna-XM_057813371.1	X	anno1.g6259.t2	X
rna-XM_057811919.1	X	anno1.g11907.t1	X
rna-XM_057798190.1	X	anno1.g11904.t1	X
rna-XM_057799997.1	X	anno1.g7913.t1	X
rna-XM_057800008.1	X	anno1.g120.t1	A
rna-XM_057803918.1	X	anno1.g5311.t1	X
rna-XM_057796496.1	X	anno1.g12564.t1	X
rna-XM_057806519.1	X	anno1.g12567.t1	X
rna-XM_057816197.1	X	anno1.g12360.t2	X
rna-XM_057816165.1	X	anno1.g8642.t1	X
rna-XM_057816076.1	X	anno1.g13318.t2	A
rna-XM_057816155.1	X	anno1.g393.t3	A
rna-XM_057816110.1	X	anno1.g3424.t1	X
rna-XM_057816208.1	X	anno1.g7886.t1	X
rna-XM_057816140.1	X	anno1.g7901.t1	X
rna-XM_057795420.1	X	anno1.g1262.t1	A
rna-XM_057795432.1	X	anno1.g2173.t2	A
rna-XM_057805218.1	X	anno1.g2168.t1	A
rna-XM_057803588.1	X	anno1.g2171.t1	A
rna-XM_057808559.1	X	anno1.g12980.t1	X
rna-XM_057808852.1	X	anno1.g4958.t1	X
rna-XM_057815961.1	X	anno1.g4959.t1	X
rna-XM_057798461.1	X	anno1.g4960.t2	X
rna-XM_057799549.1	X	anno1.g7231.t1	X
rna-XM_057804134.1	X	anno1.g7232.t1	X
rna-XM_057804190.1	X	anno1.g12270.t1	X
rna-XM_057804178.1	X	anno1.g12269.t1	X
rna-XM_057804156.1	X	anno1.g4966.t1	X
rna-XM_057804201.1	X	anno1.g4965.t1	X
rna-XM_057804217.1	X	anno1.g4962.t1	X
rna-XM_057795479.1	X	anno1.g7230.t1	X
rna-XM_057802525.1	X	anno1.g7228.t1	X
rna-XM_057801880.1	X	anno1.g7949.t1	X
rna-XM_057816547.1	X	anno1.g3448.t1	X
rna-XM_057795349.1	X	anno1.g8703.t2	A
rna-XM_057795401.1	X	anno1.g714.t1	A
rna-XM_057816597.1	X	anno1.g3440.t1	X
rna-XM_057815893.1	X	anno1.g13468.t1	X
rna-XM_057798125.1	X	anno1.g13354.t1	A
rna-XM_057798137.1	X	anno1.g13482.t1	X
rna-XM_057804339.1	X	anno1.g13483.t1	X
rna-XM_057804327.1	X	anno1.g13484.t1	X
rna-XM_057802665.1	X	anno1.g2353.t2	X
rna-XM_057803462.1	X	anno1.g12262.t1	X
rna-XM_057807029.1	X	anno1.g11068.t2	A
rna-XM_057815808.1	X	anno1.g6463.t3	X
rna-XM_057802951.1	X	anno1.g3617.t1	A
rna-XM_057802969.1	X	anno1.g6464.t2	X
rna-XM_057805423.1	X	anno1.g6258.t1	X
rna-XM_057796697.1	X	anno1.g6256.t2	X
rna-XM_057803061.1	X	anno1.g9119.t4	X
rna-XM_057804422.1	X	anno1.g13242.t1	A
rna-XM_057816341.1	X	anno1.g11215.t1	A
rna-XM_057799806.1	X	anno1.g13475.t1	X
rna-XM_057799844.1	X	anno1.g7226.t1	X
rna-XM_057799831.1	X	anno1.g6356.t1	A
rna-XM_057799877.1	X	anno1.g5359.t2	X
rna-XM_057799863.1	X	anno1.g8641.t1	X
rna-XM_057801892.1	X	anno1.g989.t1	A
rna-XM_057806536.1	X	anno1.g9115.t2	X
rna-XM_057816370.1	X	anno1.g7885.t1	X
rna-XM_057807952.1	X	anno1.g9640.t2	A
rna-XM_057805148.1	X	anno1.g7225.t1	X
rna-XM_057804672.1	X	anno1.g2371.t1	X
rna-XM_057804781.1	X	anno1.g2346.t1	X
rna-XM_057809804.1	X	anno1.g8016.t1	A
rna-XM_057809833.1	X	anno1.g7882.t1	X
rna-XM_057809864.1	X	anno1.g9588.t2	X
rna-XM_057809851.1	X	anno1.g2599.t1	A
rna-XM_057802490.1	X	anno1.g6906.t1	X
rna-XM_057799914.1	X	anno1.g13254.t1	X
rna-XM_057799805.1	X	anno1.g13253.t1	X
rna-XM_057815904.1	X	anno1.g13251.t1	X
rna-XM_057807197.1	X	anno1.g13250.t2	X
rna-XM_057802439.1	X	anno1.g9291.t1	A
rna-XM_057814390.1	X	anno1.g5319.t1	X
rna-XM_057814403.1	X	anno1.g7078.t2	A
rna-XM_057811003.1	X	anno1.g6470.t1	X
rna-XM_057811583.1	X	anno1.g6482.t1	X
rna-XM_057811883.1	X	anno1.g5363.t1	X
rna-XM_057812014.1	X	anno1.g3.t1	X
rna-XM_057814055.1	X	anno1.g2354.t1	X
rna-XM_057814266.1	X	anno1.g12901.t1	X
rna-XM_057815146.1	X	anno1.g7903.t1	X
rna-XM_057815013.1	X	anno1.g4340.t1	A
rna-XM_057815259.1	X	anno1.g12847.t1	X
rna-XM_057815321.1	X	anno1.g9460.t2	X
rna-XM_057815440.1	X	anno1.g9461.t2	X
rna-XM_057801009.1	X	anno1.g12830.t1	X
rna-XM_057795183.1	X	anno1.g7219.t3	X
rna-XM_057815480.1	X	anno1.g7220.t1	X
rna-XM_057815495.1	X	anno1.g7223.t1	X
rna-XM_057815459.1	X	anno1.g7224.t1	X
rna-XM_057795471.1	X	anno1.g1264.t1	A
rna-XM_057802544.1	X	anno1.g712.t2	A
rna-XM_057794913.1	X	anno1.g6269.t2	X
rna-XM_057803514.1	X	anno1.g713.t2	A
rna-XM_057803539.1	X	anno1.g12828.t2	X
rna-XM_057803553.1	X	anno1.g12827.t1	X
rna-XM_057806291.1	X	anno1.g7908.t1	X
rna-XM_057795182.1	X	anno1.g13686.t2	X
rna-XM_057802121.1	X	anno1.g1282.t1	X
rna-XM_057795085.1	X	anno1.g12981.t4	X
rna-XM_057810935.1	X	anno1.g11323.t1	A
rna-XM_057810970.1	X	anno1.g6876.t1	X
rna-XM_057810917.1	X	anno1.g2355.t1	X
rna-XM_057812967.1	X	anno1.g11274.t1	A
rna-XM_057799772.1	X	anno1.g9587.t1	X
rna-XM_057797261.1	X	anno1.g8649.t1	X
rna-XM_057797274.1	X	anno1.g6492.t1	X
rna-XM_057803709.1	X	anno1.g4953.t1	X
rna-XM_057811115.1	X	anno1.g6623.t1	A
rna-XM_057811126.1	X	anno1.g7950.t1	X
rna-XM_057802638.1	X	anno1.g3426.t1	X
rna-XM_057806484.1	X	anno1.g5322.t1	X
rna-XM_057816048.1	X	anno1.g6467.t1	X
rna-XM_057816168.1	X	anno1.g6465.t3	X
rna-XM_057816454.1	X	anno1.g11059.t1	A
rna-XM_057812630.1	X	anno1.g13249.t2	X
rna-XM_057812596.1	X	anno1.g6508.t2	A
rna-XM_057804230.1	X	anno1.g8119.t1	A
rna-XM_057813395.1	X	anno1.g11816.t1	X
rna-XM_057813383.1	X	anno1.g7512.t1	A
rna-XM_057801984.1	X	anno1.g11817.t1	X
rna-XM_057794881.1	X	anno1.g2957.t1	A
rna-XM_057806191.1	X	anno1.both_agree_g15.t2	X
rna-XM_057806209.1	X	anno1.g2349.t3	X
rna-XM_057799733.1	X	anno1.g306.t1	A
rna-XM_057810662.1	X	anno1.g11213.t2	X
rna-XM_057810822.1	X	anno1.g12352.t1	X
rna-XM_057811322.1	X	anno1.g5366.t1	X
rna-XM_057816869.1	X	anno1.g12353.t1	X
rna-XM_057810880.1	X	anno1.g6225.t1	X
rna-XM_057794999.1	X	anno1.g6493.t1	X
rna-XM_057804374.1	X	anno1.g6489.t1	X
rna-XM_057803025.1	X	anno1.g2302.t1	A
rna-XM_057812493.1	X	anno1.g11815.t1	X
rna-XM_057812521.1	X	anno1.g6978.t1	X
rna-XM_057803493.1	X	anno1.g1547.t1	A
rna-XM_057802024.1	X	anno1.g4328.t1	A
rna-XM_057802757.1	X	anno1.g7951.t5	X
rna-XM_057802854.1	X	anno1.g6392.t1	A
rna-XM_057802866.1	X	anno1.g12264.t2	X
rna-XM_057796611.1	X	anno1.g3830.t1	A
rna-XM_057795159.1	X	anno1.g6844.t1	A
rna-XM_057805387.1	X	anno1.g6843.t1	A
rna-XM_057809584.1	X	anno1.g1077.t1	A
rna-XM_057809737.1	X	anno1.g11812.t1	X
rna-XM_057808490.1	X	anno1.g12258.t1	X
rna-XM_057808528.1	X	anno1.g6845.t1	A
rna-XM_057808564.1	X	anno1.g6846.t1	A
rna-XM_057808549.1	X	anno1.g6847.t1	A
rna-XM_057808577.1	X	anno1.g6848.t1	A
rna-XM_057808589.1	X	anno1.g13230.t1	A
rna-XM_057808602.1	X	anno1.g13228.t1	A
rna-XM_057808642.1	X	anno1.g2547.t1	A
rna-XM_057808654.1	X	anno1.g13362.t1	A
rna-XM_057808667.1	X	anno1.g9818.t3	A
rna-XM_057808680.1	X	anno1.g9820.t1	A
rna-XM_057808747.1	X	anno1.g6140.t1	A
rna-XM_057808763.1	X	anno1.g8339.t1	A
rna-XM_057802033.1	X	anno1.g8343.t1	A
rna-XM_057808853.1	X	anno1.both_agree_g4724.t2	A
rna-XM_057808886.1	X	anno1.g13626.t2	A
rna-XM_057808909.1	X	anno1.g6636.t1	A
rna-XM_057809337.1	X	anno1.g6610.t1	A
rna-XM_057809326.1	X	anno1.g6611.t1	A
rna-XM_057808922.1	X	anno1.g10114.t1	A
rna-XM_057809266.1	X	anno1.g12288.t1	A
rna-XM_057809371.1	X	anno1.g31.t1	A
rna-XM_057809349.1	X	anno1.g30.t1	A
rna-XM_057808945.1	X	anno1.g5557.t1	A
rna-XM_057809382.1	X	anno1.g12039.t1	A
rna-XM_057809360.1	X	anno1.g5525.t1	A
rna-XM_057809277.1	X	anno1.g11855.t1	A
rna-XM_057809314.1	X	anno1.g10791.t1	A
rna-XM_057802888.1	X	anno1.g555.t1	A
rna-XM_057809958.1	X	anno1.g7526.t1	A
rna-XM_057809959.1	X	anno1.g296.t1	A
rna-XM_057809960.1	X	anno1.g8370.t1	A
rna-XM_057809972.1	X	anno1.g293.t1	A
rna-XM_057809993.1	X	anno1.g294.t1	A
rna-XM_057810005.1	X	anno1.g295.t1	A
rna-XM_057810026.1	X	anno1.g10337.t1	A
rna-XM_057810039.1	X	anno1.g10336.t1	A
rna-XM_057810071.1	X	anno1.g10339.t1	A
rna-XM_057800048.1	X	anno1.g7529.t1	A
rna-XM_057804109.1	X	anno1.g10849.t1	A
rna-XM_057802330.1	X	anno1.g3847.t1	A
