C_maculatus	chromosome	B_siliquastri	chromosome
g83.t1	A	BRAKERILHT00000000075	A
g84.t1	A	BRAKERILHT00000001795	A
g85.t1	A	BRAKERILHT00000001312	A
g86.t1	A	BRAKERILHT00000000313	A
g89.t1	A	BRAKERILHT00000001071	A
g90.t1	A	BRAKERILHT00000001544	A
g91.t1	A	BRAKERILHT00000002055	A
g94.t1	A	BRAKERILHT00000000818	A
g95.t1	A	BRAKERILHT00000000239	A
g96.t1	A	BRAKERILHT00000001828	A
g99.t1	A	BRAKERILHT00000001178	A
g102.t1	A	BRAKERILHT00000000994	A
g103.t2	A	BRAKERILHT00000001496	A
g106.t1	A	BRAKERILHT00000000742	A
g107.t1	A	BRAKERILHT00000001321	A
g111.t1	A	BRAKERILHT00000001451	A
g112.t1	A	BRAKERILHT00000000964	A
g114.t1	A	BRAKERILHT00000000483	A
g115.t1	A	BRAKERILHT00000000659	A
g117.t1	A	BRAKERILHT00000000107	A
g119.t1	A	BRAKERILHT00000000746	A
g120.t1	A	BRAKERILHT00000001669	A
g122.t1	A	BRAKERILHT00000001125	A
g124.t1	A	BRAKERILHT00000000920	A
g125.t1	A	BRAKERILHT00000000057	A
g126.t1	A	BRAKERILHT00000002111	A
g127.t1	A	BRAKERILHT00000001495	A
g128.t1	A	BRAKERILHT00000001237	A
g131.t1	A	BRAKERILHT00000002070	A
g132.t1	A	BRAKERILHT00000001884	A
g133.t1	A	BRAKERILHT00000000880	A
g134.t1	A	BRAKERILHT00000000656	A
g135.t1	A	BRAKERILHT00000001272	A
g136.t2	A	BRAKERILHT00000002126	A
g138.t1	A	BRAKERILHT00000002149	A
g139.t1	A	BRAKERILHT00000011856	A
g142.t1	A	BRAKERILHT00000001211	A
g143.t1	A	BRAKERILHT00000000646	A
g144.t1	A	BRAKERILHT00000000017	A
g145.t2	A	BRAKERILHT00000000616	A
g146.t1	A	BRAKERILHT00000002132	A
g147.t2	A	BRAKERILHT00000001722	A
g148.t1	A	BRAKERILHT00000001062	A
g149.t2	A	BRAKERILHT00000002025	A
g150.t1	A	BRAKERILHT00000000031	A
g152.t1	A	BRAKERILHT00000002009	A
g153.t1	A	BRAKERILHT00000002158	A
g155.t1	A	BRAKERILHT00000001408	A
g157.t2	A	BRAKERILHT00000000466	A
g162.t1	A	BRAKERILHT00000012544	A
g164.t1	A	BRAKERILHT00000000899	A
g166.t1	A	BRAKERILHT00000001180	A
g169.t1	A	BRAKERILHT00000001053	A
g170.t1	A	BRAKERILHT00000001308	A
g171.t1	A	BRAKERILHT00000001776	A
g172.t1	A	BRAKERILHT00000000680	A
g173.t1	A	BRAKERILHT00000001080	A
g174.t1	A	BRAKERILHT00000001609	A
g176.t1	A	BRAKERILHT00000001411	A
g179.t1	A	BRAKERILHT00000008254	A
g181.t1	A	BRAKERILHT00000000621	A
g182.t2	A	BRAKERILHT00000001084	A
g183.t1	A	BRAKERILHT00000002073	A
g184.t1	A	BRAKERILHT00000000120	A
g185.t1	A	BRAKERILHT00000002121	A
g186.t1	A	BRAKERILHT00000001849	A
g187.t1	A	BRAKERILHT00000000100	A
g191.t1	A	BRAKERILHT00000000378	A
g193.t1	A	BRAKERILHT00000000461	A
g194.t1	A	BRAKERILHT00000010744	A
g195.t1	A	BRAKERILHT00000000527	A
g197.t1	A	BRAKERILHT00000000909	A
g199.t1	A	BRAKERILHT00000001590	A
g200.t1	A	BRAKERILHT00000001857	A
g201.t1	A	BRAKERILHT00000000151	A
g202.t1	A	BRAKERILHT00000014759	A
g203.t1	A	BRAKERILHT00000000635	A
g204.t1	A	BRAKERILHT00000001083	A
g205.t1	A	BRAKERILHT00000001131	A
g206.t2	A	BRAKERILHT00000000798	A
g207.t1	A	BRAKERILHT00000001463	A
g208.t1	A	BRAKERILHT00000000845	A
g211.t2	A	BRAKERILHT00000000365	A
g212.t3	A	BRAKERILHT00000001324	A
g213.t1	A	BRAKERILHT00000001674	A
g214.t1	A	BRAKERILHT00000000422	A
g215.t2	A	BRAKERILHT00000000889	A
g216.t1	A	BRAKERILHT00000001383	A
g218.t1	A	BRAKERILHT00000001661	A
g219.t1	A	BRAKERILHT00000000167	A
g220.t1	A	BRAKERILHT00000000660	A
g221.t1	A	BRAKERILHT00000001121	A
g222.t1	A	BRAKERILHT00000000558	A
g224.t1	A	BRAKERILHT00000000346	A
g225.t1	A	BRAKERILHT00000001971	A
g226.t1	A	BRAKERILHT00000001297	A
g227.t1	A	BRAKERILHT00000000071	A
g228.t1	A	BRAKERILHT00000001670	A
g229.t1	A	BRAKERILHT00000000623	A
g230.t1	A	BRAKERILHT00000000106	A
g231.t1	A	BRAKERILHT00000001058	A
g232.t1	A	BRAKERILHT00000001529	A
g233.t1	A	BRAKERILHT00000002017	A
g236.t1	A	BRAKERILHT00000001853	A
g237.t1	A	BRAKERILHT00000000731	A
g238.t1	A	BRAKERILHT00000002062	A
g239.t1	A	BRAKERILHT00000000516	A
g240.t1	A	BRAKERILHT00000000068	A
g241.t1	A	BRAKERILHT00000001950	A
g242.t1	A	BRAKERILHT00000001952	A
g243.t1	A	BRAKERILHT00000001443	A
g244.t1	A	BRAKERILHT00000000410	A
g245.t1	A	BRAKERILHT00000001775	A
g246.t1	A	BRAKERILHT00000007446	A
g248.t3	A	BRAKERILHT00000000014	A
g249.t1	A	BRAKERILHT00000001239	A
g250.t1	A	BRAKERILHT00000001388	A
g252.t1	A	BRAKERILHT00000002031	A
g253.t1	A	BRAKERILHT00000000464	A
g254.t1	A	BRAKERILHT00000000759	A
g255.t1	A	BRAKERILHT00000001402	A
g257.t1	A	BRAKERILHT00000000139	A
g258.t1	A	BRAKERILHT00000000648	A
g260.t1	A	BRAKERILHT00000001097	A
g261.t1	A	BRAKERILHT00000001713	A
g263.t1	A	BRAKERILHT00000000019	A
g264.t1	A	BRAKERILHT00000000322	A
g268.t1	A	BRAKERILHT00000001052	A
g269.t1	A	BRAKERILHT00000001268	A
g270.t1	A	BRAKERILHT00000001234	A
g273.t1	A	BRAKERILHT00000002170	A
g274.t1	A	BRAKERILHT00000001540	A
g275.t1	A	BRAKERILHT00000001844	A
g276.t1	A	BRAKERILHT00000001207	A
g277.t1	A	BRAKERILHT00000000898	A
g278.t2	A	BRAKERILHT00000000295	A
g279.t1	A	BRAKERILHT00000000328	A
g280.t1	A	BRAKERILHT00000001836	A
g281.t1	A	BRAKERILHT00000001372	A
g282.t1	A	BRAKERILHT00000000670	A
g283.t2	A	BRAKERILHT00000000141	A
g285.t2	A	BRAKERILHT00000000470	A
g286.t1	A	BRAKERILHT00000000914	A
g288.t1	A	BRAKERILHT00000000413	A
g289.t1	A	BRAKERILHT00000002124	A
g290.t1	A	BRAKERILHT00000001781	A
g291.t2	A	BRAKERILHT00000000350	A
g292.t1	A	BRAKERILHT00000006708	A
g296.t1	A	BRAKERILHT00000017189	X
g298.t1	A	BRAKERILHT00000001242	A
g299.t1	A	BRAKERILHT00000001801	A
g300.t1	A	BRAKERILHT00000001886	A
g301.t1	A	BRAKERILHT00000000273	A
g302.t1	A	BRAKERILHT00000001306	A
g303.t1	A	BRAKERILHT00000001467	A
g304.t1	A	BRAKERILHT00000001927	A
g305.t1	A	BRAKERILHT00000000032	A
g307.t1	A	BRAKERILHT00000001044	A
g309.t1	A	BRAKERILHT00000001701	A
g310.t3	A	BRAKERILHT00000000340	A
g311.t1	A	BRAKERILHT00000001217	A
g312.t1	A	BRAKERILHT00000002018	A
g313.t1	A	BRAKERILHT00000000457	A
g314.t1	A	BRAKERILHT00000000288	A
g315.t1	A	BRAKERILHT00000001035	A
g316.t1	A	BRAKERILHT00000001462	A
g317.t3	A	BRAKERILHT00000000993	A
g318.t1	A	BRAKERILHT00000000531	A
g319.t2	A	BRAKERILHT00000000634	A
g320.t1	A	BRAKERILHT00000001137	A
g321.t1	A	BRAKERILHT00000001863	A
g323.t1	A	BRAKERILHT00000001448	A
g324.t1	A	BRAKERILHT00000000292	A
g325.t1	A	BRAKERILHT00000001190	A
g326.t1	A	BRAKERILHT00000001027	A
g327.t2	A	BRAKERILHT00000001127	A
g328.t1	A	BRAKERILHT00000000822	A
g329.t1	A	BRAKERILHT00000000164	A
g330.t1	A	BRAKERILHT00000001575	A
g332.t1	A	BRAKERILHT00000000608	A
g334.t1	A	BRAKERILHT00000017730	X
g335.t1	A	BRAKERILHT00000002056	A
g337.t2	A	BRAKERILHT00000001588	A
g339.t1	A	BRAKERILHT00000001351	A
g341.t1	A	BRAKERILHT00000001041	A
g342.t1	A	BRAKERILHT00000000098	A
g343.t1	A	BRAKERILHT00000000361	A
g344.t3	A	BRAKERILHT00000001797	A
g345.t1	A	BRAKERILHT00000002042	A
g347.t1	A	BRAKERILHT00000000625	A
g349.t1	A	BRAKERILHT00000001098	A
g350.t1	A	BRAKERILHT00000001535	A
g352.t1	A	BRAKERILHT00000002010	A
g355.t1	A	BRAKERILHT00000001668	A
g356.t1	A	BRAKERILHT00000001169	A
g357.t1	A	BRAKERILHT00000001132	A
g358.t1	A	BRAKERILHT00000000966	A
g359.t1	A	BRAKERILHT00000001095	A
g360.t2	A	BRAKERILHT00000000601	A
g361.t1	A	BRAKERILHT00000000460	A
g362.t1	A	BRAKERILHT00000000387	A
g363.t1	A	BRAKERILHT00000001247	A
g364.t1	A	BRAKERILHT00000002045	A
g365.t2	A	BRAKERILHT00000001339	A
g367.t1	A	BRAKERILHT00000010548	A
g368.t1	A	BRAKERILHT00000000619	A
g369.t1	A	BRAKERILHT00000000854	A
g370.t1	A	BRAKERILHT00000000544	A
g371.t3	A	BRAKERILHT00000000446	A
g374.t1	A	BRAKERILHT00000000133	A
g375.t1	A	BRAKERILHT00000001413	A
g376.t1	A	BRAKERILHT00000001885	A
g377.t2	A	BRAKERILHT00000001012	A
g378.t1	A	BRAKERILHT00000001516	A
g379.t1	A	BRAKERILHT00000001359	A
g381.t1	A	BRAKERILHT00000000878	A
g382.t1	A	BRAKERILHT00000000874	A
g384.t1	A	BRAKERILHT00000000034	A
g387.t1	A	BRAKERILHT00000001659	A
g393.t1	A	BRAKERILHT00000000331	A
g394.t1	A	BRAKERILHT00000001020	A
g395.t1	A	BRAKERILHT00000000226	A
g399.t1	A	BRAKERILHT00000000256	A
g402.t1	A	BRAKERILHT00000001082	A
g403.t1	A	BRAKERILHT00000001856	A
g404.t1	A	BRAKERILHT00000000179	A
g405.t1	A	BRAKERILHT00000001461	A
g406.t1	A	BRAKERILHT00000001407	A
g407.t1	A	BRAKERILHT00000002165	A
g409.t2	A	BRAKERILHT00000000073	A
g410.t2	A	BRAKERILHT00000001517	A
g411.t1	A	BRAKERILHT00000000187	A
g413.t1	A	BRAKERILHT00000001107	A
g415.t1	A	BRAKERILHT00000001621	A
g417.t1	A	BRAKERILHT00000000047	A
g419.t1	A	BRAKERILHT00000000650	A
g420.t1	A	BRAKERILHT00000001287	A
g421.t1	A	BRAKERILHT00000001464	A
g422.t1	A	BRAKERILHT00000000851	A
g423.t1	A	BRAKERILHT00000000025	A
g425.t1	A	BRAKERILHT00000001152	A
g426.t1	A	BRAKERILHT00000000264	A
g427.t4	A	BRAKERILHT00000001762	A
g428.t1	A	BRAKERILHT00000001933	A
g429.t1	A	BRAKERILHT00000001393	A
g430.t1	A	BRAKERILHT00000001761	A
g431.t1	A	BRAKERILHT00000001784	A
g432.t1	A	BRAKERILHT00000000754	A
g433.t1	A	BRAKERILHT00000001210	A
g434.t1	A	BRAKERILHT00000000769	A
g435.t1	A	BRAKERILHT00000001088	A
g436.t1	A	BRAKERILHT00000001778	A
g437.t1	A	BRAKERILHT00000000232	A
g438.t1	A	BRAKERILHT00000001051	A
g439.t2	A	BRAKERILHT00000000803	A
g441.t1	A	BRAKERILHT00000000054	A
g442.t1	A	BRAKERILHT00000000958	A
g443.t1	A	BRAKERILHT00000000451	A
g444.t1	A	BRAKERILHT00000002151	A
g447.t1	A	BRAKERILHT00000000026	A
g448.t1	A	BRAKERILHT00000001689	A
g449.t1	A	BRAKERILHT00000001219	A
g450.t2	A	BRAKERILHT00000000738	A
g451.t3	A	BRAKERILHT00000001789	A
g452.t1	A	BRAKERILHT00000000561	A
g453.t1	A	BRAKERILHT00000001144	A
g454.t1	A	BRAKERILHT00000001967	A
g455.t1	A	BRAKERILHT00000001034	A
g456.t1	A	BRAKERILHT00000001506	A
g457.t1	A	BRAKERILHT00000001410	A
g458.t1	A	BRAKERILHT00000002013	A
g459.t1	A	BRAKERILHT00000000833	A
g460.t1	A	BRAKERILHT00000000251	A
g461.t6	A	BRAKERILHT00000000666	A
g463.t1	A	BRAKERILHT00000001526	A
g464.t1	A	BRAKERILHT00000001533	A
g466.t1	A	BRAKERILHT00000002143	A
g467.t1	A	BRAKERILHT00000000332	A
g468.t1	A	BRAKERILHT00000000938	A
g469.t1	A	BRAKERILHT00000000108	A
g470.t1	A	BRAKERILHT00000000683	A
g471.t1	A	BRAKERILHT00000001130	A
g472.t1	A	BRAKERILHT00000000338	A
g474.t1	A	BRAKERILHT00000001101	A
g475.t2	A	BRAKERILHT00000000844	A
g476.t1	A	BRAKERILHT00000000642	A
g477.t1	A	BRAKERILHT00000000004	A
g478.t1	A	BRAKERILHT00000000996	A
g480.t2	A	BRAKERILHT00000001640	A
g481.t1	A	BRAKERILHT00000001706	A
g482.t1	A	BRAKERILHT00000000522	A
g483.t1	A	BRAKERILHT00000000112	A
g484.t1	A	BRAKERILHT00000002136	A
g487.t1	A	BRAKERILHT00000001969	A
g489.t2	A	BRAKERILHT00000001633	A
g490.t1	A	BRAKERILHT00000000627	A
g492.t1	A	BRAKERILHT00000001577	A
g493.t1	A	BRAKERILHT00000000335	A
g494.t2	A	BRAKERILHT00000001831	A
g495.t1	A	BRAKERILHT00000001213	A
g496.t1	A	BRAKERILHT00000001259	A
g497.t2	A	BRAKERILHT00000000792	A
g498.t1	A	BRAKERILHT00000001941	A
g500.t1	A	BRAKERILHT00000000177	A
g501.t1	A	BRAKERILHT00000001486	A
g502.t1	A	BRAKERILHT00000000824	A
g503.t1	A	BRAKERILHT00000002030	A
g504.t1	A	BRAKERILHT00000001149	A
g505.t1	A	BRAKERILHT00000000679	A
g507.t1	A	BRAKERILHT00000000058	A
g508.t1	A	BRAKERILHT00000002063	A
g509.t1	A	BRAKERILHT00000001449	A
g510.t2	A	BRAKERILHT00000000234	A
g512.t1	A	BRAKERILHT00000000195	A
g513.t1	A	BRAKERILHT00000000575	A
g514.t1	A	BRAKERILHT00000001150	A
g515.t1	A	BRAKERILHT00000001808	A
g517.t1	A	BRAKERILHT00000001016	A
g518.t1	A	BRAKERILHT00000001712	A
g519.t1	A	BRAKERILHT00000001954	A
g520.t1	A	BRAKERILHT00000000710	A
g521.t1	A	BRAKERILHT00000001047	A
g525.t1	A	BRAKERILHT00000001340	A
g529.t1	A	BRAKERILHT00000000556	A
g530.t1	A	BRAKERILHT00000000407	A
g531.t1	A	BRAKERILHT00000001271	A
g532.t1	A	BRAKERILHT00000001522	A
g533.t1	A	BRAKERILHT00000000883	A
g534.t1	A	BRAKERILHT00000000012	A
g535.t1	A	BRAKERILHT00000000218	A
g536.t1	A	BRAKERILHT00000001611	A
g537.t1	A	BRAKERILHT00000000770	A
g539.t3	A	BRAKERILHT00000000320	A
g540.t1	A	BRAKERILHT00000000835	A
g542.t2	A	BRAKERILHT00000002043	A
g543.t1	A	BRAKERILHT00000001810	A
g544.t2	A	BRAKERILHT00000000402	A
g545.t1	A	BRAKERILHT00000001488	A
g547.t1	A	BRAKERILHT00000001603	A
g551.t1	A	BRAKERILHT00000012119	A
g552.t1	A	BRAKERILHT00000002154	A
g553.t2	A	BRAKERILHT00000000554	A
g554.t1	A	BRAKERILHT00000001148	A
g555.t1	A	BRAKERILHT00000001214	A
g556.t1	A	BRAKERILHT00000000353	A
g557.t1	A	BRAKERILHT00000000959	A
g559.t1	A	BRAKERILHT00000001586	A
g560.t1	A	BRAKERILHT00000000593	A
g562.t1	A	BRAKERILHT00000000772	A
g563.t1	A	BRAKERILHT00000001086	A
g571.t1	A	BRAKERILHT00000001378	A
g576.t1	A	BRAKERILHT00000002088	A
g578.t1	A	BRAKERILHT00000000538	A
g579.t1	A	BRAKERILHT00000017144	X
g580.t1	A	BRAKERILHT00000000152	A
g583.t1	A	BRAKERILHT00000011590	A
g587.t1	A	BRAKERILHT00000000986	A
g588.t1	A	BRAKERILHT00000000119	A
g590.t1	A	BRAKERILHT00000001541	A
g591.t1	A	BRAKERILHT00000000279	A
g592.t2	A	BRAKERILHT00000000430	A
g593.t1	A	BRAKERILHT00000001501	A
g594.t2	A	BRAKERILHT00000002140	A
g595.t1	A	BRAKERILHT00000000440	A
g596.t1	A	BRAKERILHT00000015372	A
g598.t1	A	BRAKERILHT00000000552	A
g601.t1	A	BRAKERILHT00000000417	A
g602.t2	A	BRAKERILHT00000000041	A
g607.t1	A	BRAKERILHT00000017385	X
g609.t1	A	BRAKERILHT00000001314	A
g611.t1	A	BRAKERILHT00000002029	A
g612.t1	A	BRAKERILHT00000000478	A
g614.t1	A	BRAKERILHT00000001228	A
g617.t1	A	BRAKERILHT00000001355	A
g618.t1	A	BRAKERILHT00000002092	A
g619.t1	A	BRAKERILHT00000001110	A
g620.t1	A	BRAKERILHT00000000091	A
g621.t1	A	BRAKERILHT00000002022	A
g622.t1	A	BRAKERILHT00000001406	A
g623.t1	A	BRAKERILHT00000001163	A
g625.t2	A	BRAKERILHT00000002048	A
g626.t2	A	BRAKERILHT00000002068	A
g628.t1	A	BRAKERILHT00000001466	A
g629.t1	A	BRAKERILHT00000001794	A
g630.t1	A	BRAKERILHT00000017595	X
g631.t1	A	BRAKERILHT00000001655	A
g632.t1	A	BRAKERILHT00000001634	A
g634.t1	A	BRAKERILHT00000000077	A
g635.t1	A	BRAKERILHT00000001624	A
g636.t1	A	BRAKERILHT00000000325	A
g637.t1	A	BRAKERILHT00000002172	A
g638.t1	A	BRAKERILHT00000002110	A
g640.t2	A	BRAKERILHT00000000894	A
g643.t2	A	BRAKERILHT00000000132	A
g644.t2	A	BRAKERILHT00000000562	A
g645.t1	A	BRAKERILHT00000000949	A
g646.t2	A	BRAKERILHT00000001565	A
g648.t1	A	BRAKERILHT00000001684	A
g649.t2	A	BRAKERILHT00000000367	A
g651.t2	A	BRAKERILHT00000000514	A
g652.t1	A	BRAKERILHT00000002106	A
g654.t1	A	BRAKERILHT00000000498	A
g655.t1	A	BRAKERILHT00000000550	A
g656.t1	A	BRAKERILHT00000001391	A
g657.t1	A	BRAKERILHT00000001785	A
g658.t1	A	BRAKERILHT00000000999	A
g659.t1	A	BRAKERILHT00000001657	A
g660.t1	A	BRAKERILHT00000000473	A
g661.t2	A	BRAKERILHT00000000382	A
g662.t1	A	BRAKERILHT00000001960	A
g663.t2	A	BRAKERILHT00000001628	A
g664.t1	A	BRAKERILHT00000000875	A
g665.t1	A	BRAKERILHT00000002050	A
g666.t1	A	BRAKERILHT00000001460	A
g667.t1	A	BRAKERILHT00000000590	A
g668.t1	A	BRAKERILHT00000001768	A
g669.t1	A	BRAKERILHT00000000252	A
g670.t1	A	BRAKERILHT00000000829	A
g671.t1	A	BRAKERILHT00000001416	A
g672.t1	A	BRAKERILHT00000002040	A
g673.t1	A	BRAKERILHT00000000487	A
g674.t1	A	BRAKERILHT00000001737	A
g675.t1	A	BRAKERILHT00000000551	A
g676.t1	A	BRAKERILHT00000002141	A
g677.t1	A	BRAKERILHT00000000885	A
g678.t2	A	BRAKERILHT00000001390	A
g679.t1	A	BRAKERILHT00000000172	A
g680.t1	A	BRAKERILHT00000000377	A
g681.t1	A	BRAKERILHT00000000905	A
g682.t1	A	BRAKERILHT00000001551	A
g684.t1	A	BRAKERILHT00000002159	A
g685.t1	A	BRAKERILHT00000001693	A
g686.t1	A	BRAKERILHT00000000135	A
g687.t1	A	BRAKERILHT00000000762	A
g688.t1	A	BRAKERILHT00000001914	A
g689.t1	A	BRAKERILHT00000002008	A
g691.t1	A	BRAKERILHT00000001145	A
g699.t1	A	BRAKERILHT00000001592	A
g700.t1	A	BRAKERILHT00000000985	A
g701.t1	A	BRAKERILHT00000000557	A
g702.t1	A	BRAKERILHT00000001936	A
g704.t2	A	BRAKERILHT00000012748	A
g705.t2	A	BRAKERILHT00000000397	A
g706.t2	A	BRAKERILHT00000001032	A
g707.t1	A	BRAKERILHT00000001639	A
g708.t1	A	BRAKERILHT00000001307	A
g709.t1	A	BRAKERILHT00000001923	A
g710.t1	A	BRAKERILHT00000002078	A
g711.t1	A	BRAKERILHT00000001479	A
g712.t1	A	BRAKERILHT00000001641	A
g713.t3	A	BRAKERILHT00000000083	A
g714.t1	A	BRAKERILHT00000000399	A
g715.t1	A	BRAKERILHT00000001004	A
g716.t1	A	BRAKERILHT00000001011	A
g717.t2	A	BRAKERILHT00000000505	A
g718.t1	A	BRAKERILHT00000001510	A
g719.t1	A	BRAKERILHT00000002131	A
g720.t1	A	BRAKERILHT00000000810	A
g721.t1	A	BRAKERILHT00000001813	A
g722.t1	A	BRAKERILHT00000000263	A
g723.t1	A	BRAKERILHT00000001685	A
g724.t1	A	BRAKERILHT00000000209	A
g725.t2	A	BRAKERILHT00000000576	A
g726.t1	A	BRAKERILHT00000001772	A
g727.t1	A	BRAKERILHT00000001587	A
g728.t1	A	BRAKERILHT00000000983	A
g729.t1	A	BRAKERILHT00000000636	A
g730.t1	A	BRAKERILHT00000000023	A
g732.t1	A	BRAKERILHT00000001829	A
g733.t1	A	BRAKERILHT00000000846	A
g734.t1	A	BRAKERILHT00000000246	A
g736.t1	A	BRAKERILHT00000001164	A
g737.t1	A	BRAKERILHT00000000717	A
g738.t1	A	BRAKERILHT00000001940	A
g740.t1	A	BRAKERILHT00000000228	A
g741.t1	A	BRAKERILHT00000000778	A
g743.t1	A	BRAKERILHT00000000236	A
g744.t1	A	BRAKERILHT00000000989	A
g745.t1	A	BRAKERILHT00000002064	A
g747.t1	A	BRAKERILHT00000000536	A
g749.t2	A	BRAKERILHT00000002081	A
g750.t1	A	BRAKERILHT00000000526	A
g752.t1	A	BRAKERILHT00000010674	A
g753.t1	A	BRAKERILHT00000001029	A
g755.t1	A	BRAKERILHT00000000688	A
g756.t1	A	BRAKERILHT00000001123	A
g757.t1	A	BRAKERILHT00000001879	A
g759.t1	A	BRAKERILHT00000000176	A
g760.t1	A	BRAKERILHT00000001366	A
g761.t1	A	BRAKERILHT00000000447	A
g762.t1	A	BRAKERILHT00000001040	A
g763.t2	A	BRAKERILHT00000001675	A
g764.t1	A	BRAKERILHT00000001331	A
g765.t1	A	BRAKERILHT00000000020	A
g766.t2	A	BRAKERILHT00000001717	A
g767.t2	A	BRAKERILHT00000002071	A
g770.t1	A	BRAKERILHT00000001623	A
g771.t1	A	BRAKERILHT00000000201	A
g772.t1	A	BRAKERILHT00000001872	A
g773.t1	A	BRAKERILHT00000000475	A
g780.t1	A	BRAKERILHT00000001972	A
g782.t2	A	BRAKERILHT00000000269	A
g788.t1	A	BRAKERILHT00000001048	A
g796.t1	A	BRAKERILHT00000000343	A
g797.t1	A	BRAKERILHT00000001227	A
g798.t1	A	BRAKERILHT00000001283	A
g799.t1	A	BRAKERILHT00000001502	A
g800.t1	A	BRAKERILHT00000002101	A
g801.t1	A	BRAKERILHT00000000533	A
g804.t1	A	BRAKERILHT00000000309	A
g805.t1	A	BRAKERILHT00000000767	A
g806.t1	A	BRAKERILHT00000000917	A
g807.t1	A	BRAKERILHT00000002177	A
g808.t2	A	BRAKERILHT00000001384	A
g810.t1	A	BRAKERILHT00000001050	A
g814.t1	A	BRAKERILHT00000001521	A
g817.t1	A	BRAKERILHT00000001851	A
g816.t1	A	BRAKERILHT00000001854	A
g818.t1	A	BRAKERILHT00000001735	A
g819.t1	A	BRAKERILHT00000001543	A
g820.t1	A	BRAKERILHT00000000733	A
g821.t1	A	BRAKERILHT00000000261	A
g828.t1	A	BRAKERILHT00000000612	A
g829.t1	A	BRAKERILHT00000001181	A
g830.t1	A	BRAKERILHT00000001787	A
g831.t2	A	BRAKERILHT00000000213	A
g834.t1	A	BRAKERILHT00000000664	A
g838.t1	A	BRAKERILHT00000000879	A
g842.t1	A	BRAKERILHT00000001253	A
g843.t1	A	BRAKERILHT00000000682	A
g845.t1	A	BRAKERILHT00000001261	A
g847.t1	A	BRAKERILHT00000000671	A
g848.t1	A	BRAKERILHT00000000788	A
g849.t1	A	BRAKERILHT00000000137	A
g850.t2	A	BRAKERILHT00000000605	A
g851.t1	A	BRAKERILHT00000000511	A
g857.t2	A	BRAKERILHT00000001867	A
g858.t1	A	BRAKERILHT00000002134	A
g859.t1	A	BRAKERILHT00000000631	A
g860.t1	A	BRAKERILHT00000000156	A
g861.t1	A	BRAKERILHT00000001412	A
g864.t2	A	BRAKERILHT00000000776	A
g865.t1	A	BRAKERILHT00000001309	A
g866.t1	A	BRAKERILHT00000000618	A
g867.t1	A	BRAKERILHT00000001352	A
g868.t1	A	BRAKERILHT00000001226	A
g869.t2	A	BRAKERILHT00000000370	A
g870.t1	A	BRAKERILHT00000002160	A
g872.t1	A	BRAKERILHT00000000459	A
g873.t1	A	BRAKERILHT00000001581	A
g875.t1	A	BRAKERILHT00000000801	A
g876.t2	A	BRAKERILHT00000001104	A
g877.t2	A	BRAKERILHT00000000432	A
g878.t1	A	BRAKERILHT00000015078	A
g879.t1	A	BRAKERILHT00000000188	A
g880.t1	A	BRAKERILHT00000000427	A
g881.t1	A	BRAKERILHT00000001373	A
g883.t1	A	BRAKERILHT00000001556	A
g884.t1	A	BRAKERILHT00000000372	A
g885.t1	A	BRAKERILHT00000001918	A
g886.t1	A	BRAKERILHT00000001185	A
