D_sublineata	chromosome	B_varius	chromosome
rna-XM_056779355.1	A	anno1.g6207.t1	A
rna-XM_056791846.1	A	anno1.g7451.t1	A
rna-XM_056780343.1	A	anno1.g6991.t1	A
rna-XM_056791559.1	A	anno1.g9449.t1	A
rna-XM_056788269.1	A	anno1.g6656.t1	A
rna-XM_056774553.1	A	anno1.g7541.t1	A
rna-XM_056774528.1	A	anno1.g7542.t1	A
rna-XM_056774540.1	A	anno1.g9170.t1	A
rna-XM_056774565.1	A	anno1.g5891.t2	A
rna-XM_056774580.1	A	anno1.g5624.t1	A
rna-XM_056782276.1	A	anno1.g6210.t1	A
rna-XM_056781728.1	A	anno1.g5893.t1	A
rna-XM_056777308.1	A	anno1.g1376.t1	A
rna-XM_056777294.1	A	anno1.g1375.t1	A
rna-XM_056777205.1	A	anno1.g1377.t1	A
rna-XM_056778260.1	A	anno1.g1379.t1	A
rna-XM_056780139.1	A	anno1.g1380.t1	A
rna-XM_056782991.1	A	anno1.g8467.t1	A
rna-XM_056782980.1	A	anno1.g7603.t1	A
rna-XM_056784790.1	A	anno1.g7456.t2	A
rna-XM_056787518.1	A	anno1.g7455.t1	A
rna-XM_056787531.1	A	anno1.g7136.t2	A
rna-XM_056787543.1	A	anno1.g7138.t1	A
rna-XM_056787510.1	A	anno1.g7137.t1	A
rna-XM_056787498.1	A	anno1.g7139.t1	A
rna-XM_056787476.1	A	anno1.g9374.t1	A
rna-XM_056778984.1	A	anno1.g5430.t1	A
rna-XM_056790869.1	A	anno1.g7473.t1	A
rna-XM_056790810.1	A	anno1.g6892.t1	A
rna-XM_056774258.1	A	anno1.g7141.t1	A
rna-XM_056774255.1	A	anno1.g6891.t1	A
rna-XM_056774250.1	A	anno1.g6890.t1	A
rna-XM_056780403.1	A	anno1.g7196.t1	A
rna-XM_056779395.1	A	anno1.g866.t1	A
rna-XM_056781292.1	A	anno1.g5364.t1	A
rna-XM_056781212.1	A	anno1.g6895.t1	A
rna-XM_056780579.1	A	anno1.g6893.t1	A
rna-XM_056790355.1	A	anno1.g6241.t1	A
rna-XM_056790377.1	A	anno1.g8519.t1	A
rna-XM_056782299.1	A	anno1.g9186.t1	A
rna-XM_056782363.1	A	anno1.g9185.t7	A
rna-XM_056791743.1	A	anno1.g9184.t1	A
rna-XM_056791747.1	A	anno1.g8783.t1	A
rna-XM_056791877.1	A	anno1.g883.t1	A
rna-XM_056791880.1	A	anno1.g4245.t1	A
rna-XM_056791879.1	A	anno1.g4246.t1	A
rna-XM_056782610.1	A	anno1.g4163.t1	A
rna-XM_056782623.1	A	anno1.g4167.t1	A
rna-XM_056776780.1	A	anno1.g7149.t1	A
rna-XM_056776882.1	A	anno1.g7150.t1	A
rna-XM_056776893.1	A	anno1.g12067.t1	X
rna-XM_056776768.1	A	anno1.g6596.t1	A
rna-XM_056776793.1	A	anno1.g6583.t2	A
rna-XM_056776841.1	A	anno1.g8938.t1	A
rna-XM_056776735.1	A	anno1.g8108.t1	A
rna-XM_056778028.1	A	anno1.g6499.t1	A
rna-XM_056791722.1	A	anno1.g6754.t1	A
rna-XM_056791724.1	A	anno1.g5655.t1	A
rna-XM_056791728.1	A	anno1.g11955.t1	X
rna-XM_056791732.1	A	anno1.g7568.t1	A
rna-XM_056791737.1	A	anno1.g7573.t1	A
rna-XM_056791739.1	A	anno1.g70.t1	A
rna-XM_056791742.1	A	anno1.g71.t1	A
rna-XM_056777550.1	A	anno1.g72.t1	A
rna-XM_056790615.1	A	anno1.g10321.t2	A
rna-XM_056780631.1	A	anno1.g1001.t1	A
rna-XM_056777465.1	A	anno1.g11899.t1	X
rna-XM_056773760.1	A	anno1.g2089.t1	A
rna-XM_056773773.1	A	anno1.g7043.t1	A
rna-XM_056793005.1	A	anno1.g7042.t1	A
rna-XM_056793017.1	A	anno1.g7040.t1	A
rna-XM_056792992.1	A	anno1.g7041.t1	A
rna-XM_056779280.1	A	anno1.g10215.t1	A
rna-XM_056780784.1	A	anno1.g6929.t1	A
rna-XM_056780827.1	A	anno1.g10832.t1	A
rna-XM_056780775.1	A	anno1.g1466.t2	A
rna-XM_056784617.1	A	anno1.g5040.t1	A
rna-XM_056783721.1	A	anno1.g9623.t1	A
rna-XM_056783705.1	A	anno1.g5201.t2	A
rna-XM_056780717.1	A	anno1.g10464.t1	A
rna-XM_056780703.1	A	anno1.g2710.t1	A
rna-XM_056782614.1	A	anno1.g31.t2	A
rna-XM_056782096.1	A	anno1.g8569.t1	A
rna-XM_056784969.1	A	anno1.g8570.t1	A
rna-XM_056791351.1	A	anno1.g9053.t1	A
rna-XM_056791327.1	A	anno1.g9054.t1	A
rna-XM_056791364.1	A	anno1.g9056.t1	A
rna-XM_056791359.1	A	anno1.g8990.t1	A
rna-XM_056785464.1	A	anno1.g8991.t1	A
rna-XM_056774202.1	A	anno1.g2207.t1	A
rna-XM_056784202.1	A	anno1.g2204.t2	A
rna-XM_056780869.1	A	anno1.g8062.t2	A
rna-XM_056774351.1	A	anno1.g8789.t1	A
rna-XM_056791378.1	A	anno1.g3704.t1	A
rna-XM_056777151.1	A	anno1.g3641.t1	A
rna-XM_056777161.1	A	anno1.g3631.t1	A
rna-XM_056775443.1	A	anno1.g3710.t1	A
rna-XM_056775489.1	A	anno1.g1347.t1	A
rna-XM_056775478.1	A	anno1.g9624.t1	A
rna-XM_056785167.1	A	anno1.g4008.t2	A
rna-XM_056785126.1	A	anno1.g9300.t2	A
rna-XM_056784776.1	A	anno1.g11273.t1	A
rna-XM_056791430.1	A	anno1.g2141.t1	A
rna-XM_056791424.1	A	anno1.g2140.t1	A
rna-XM_056791436.1	A	anno1.g5833.t1	A
rna-XM_056791471.1	A	anno1.g536.t1	A
rna-XM_056791454.1	A	anno1.g3460.t1	A
rna-XM_056779944.1	A	anno1.g2184.t1	A
rna-XM_056778312.1	A	anno1.g11178.t1	A
rna-XM_056784918.1	A	anno1.g11154.t2	A
rna-XM_056782840.1	A	anno1.g3718.t1	A
rna-XM_056784746.1	A	anno1.g3712.t1	A
rna-XM_056792970.1	A	anno1.g3645.t1	A
rna-XM_056792982.1	A	anno1.g10786.t1	A
rna-XM_056785940.1	A	anno1.g9297.t1	A
rna-XM_056792896.1	A	anno1.g2139.t1	A
rna-XM_056791708.1	A	anno1.g4074.t1	A
rna-XM_056791705.1	A	anno1.g4076.t2	A
rna-XM_056777583.1	A	anno1.g10312.t1	A
rna-XM_056777636.1	A	anno1.g3537.t1	A
rna-XM_056777595.1	A	anno1.g27.t1	A
rna-XM_056777669.1	A	anno1.g892.t1	A
rna-XM_056777719.1	A	anno1.g6611.t1	A
rna-XM_056777683.1	A	anno1.g7147.t2	A
rna-XM_056777737.1	A	anno1.g7148.t1	A
rna-XM_056792073.1	A	anno1.g7146.t2	A
rna-XM_056792101.1	A	anno1.g7144.t1	A
rna-XM_056791768.1	A	anno1.g7195.t1	A
rna-XM_056791776.1	A	anno1.g7214.t1	A
rna-XM_056791772.1	A	anno1.g387.t1	A
rna-XM_056791774.1	A	anno1.g7185.t1	A
rna-XM_056791771.1	A	anno1.g7215.t1	A
rna-XM_056791777.1	A	anno1.g6888.t1	A
rna-XM_056790772.1	A	anno1.g6887.t1	A
rna-XM_056791775.1	A	anno1.g7161.t1	A
rna-XM_056791633.1	A	anno1.g7157.t1	A
rna-XM_056791632.1	A	anno1.g9365.t1	A
rna-XM_056775028.1	A	anno1.g7155.t1	A
rna-XM_056785610.1	A	anno1.g7154.t1	A
rna-XM_056773784.1	A	anno1.g430.t2	A
rna-XM_056777559.1	A	anno1.g7402.t1	A
rna-XM_056777319.1	A	anno1.g518.t1	A
rna-XM_056777330.1	A	anno1.g517.t1	A
rna-XM_056775630.1	A	anno1.g7153.t1	A
rna-XM_056781748.1	A	anno1.g1110.t1	A
rna-XM_056781769.1	A	anno1.g6199.t1	A
rna-XM_056781759.1	A	anno1.g2426.t1	A
rna-XM_056774363.1	A	anno1.g8935.t1	A
rna-XM_056774377.1	A	anno1.g8936.t1	A
rna-XM_056778669.1	A	anno1.g2249.t1	A
rna-XM_056778639.1	A	anno1.g2250.t3	A
rna-XM_056779300.1	A	anno1.g9118.t1	A
rna-XM_056778935.1	A	anno1.g2519.t1	A
rna-XM_056789474.1	A	anno1.g2517.t1	A
rna-XM_056776490.1	A	anno1.g5758.t1	A
rna-XM_056776477.1	A	anno1.g5757.t1	A
rna-XM_056788855.1	A	anno1.g662.t1	A
rna-XM_056788994.1	A	anno1.g663.t1	A
rna-XM_056790798.1	A	anno1.g5132.t1	A
rna-XM_056789005.1	A	anno1.g9354.t1	A
rna-XM_056788907.1	A	anno1.g2256.t1	A
rna-XM_056788941.1	A	anno1.g2255.t1	A
rna-XM_056788981.1	A	anno1.g3364.t1	A
rna-XM_056788954.1	A	anno1.g661.t1	A
rna-XM_056788877.1	A	anno1.g659.t1	A
rna-XM_056789023.1	A	anno1.g4874.t1	A
rna-XM_056784426.1	A	anno1.g4073.t1	A
rna-XM_056784191.1	A	anno1.g7867.t1	A
rna-XM_056791999.1	A	anno1.g4857.t1	A
rna-XM_056791975.1	A	anno1.g10216.t1	A
rna-XM_056792019.1	A	anno1.g7866.t1	A
rna-XM_056786861.1	A	anno1.g5150.t1	A
rna-XM_056786811.1	A	anno1.g7865.t2	A
rna-XM_056786864.1	A	anno1.g2929.t1	A
rna-XM_056791611.1	A	anno1.g7860.t1	A
rna-XM_056791613.1	A	anno1.g7859.t1	A
rna-XM_056791612.1	A	anno1.g7857.t1	A
rna-XM_056788212.1	A	anno1.g7856.t1	A
rna-XM_056791609.1	A	anno1.g8942.t1	A
rna-XM_056779548.1	A	anno1.g8994.t1	A
rna-XM_056779515.1	A	anno1.g8997.t1	A
rna-XM_056779536.1	A	anno1.g5493.t1	A
rna-XM_056779528.1	A	anno1.g6013.t1	A
rna-XM_056785941.1	A	anno1.g1665.t2	A
rna-XM_056791811.1	A	anno1.g3867.t1	A
rna-XM_056791813.1	A	anno1.g8347.t1	A
rna-XM_056791814.1	A	anno1.g7193.t1	A
rna-XM_056790987.1	A	anno1.g2406.t1	A
rna-XM_056791749.1	A	anno1.g1489.t1	A
rna-XM_056783902.1	A	anno1.g3063.t1	A
rna-XM_056789395.1	A	anno1.g3064.t1	A
rna-XM_056789370.1	A	anno1.g3065.t1	A
rna-XM_056789351.1	A	anno1.g3066.t1	A
rna-XM_056789384.1	A	anno1.g3067.t1	A
rna-XM_056789449.1	A	anno1.g3027.t1	A
rna-XM_056789414.1	A	anno1.g3028.t3	A
rna-XM_056779449.1	A	anno1.g8119.t1	A
rna-XM_056784551.1	A	anno1.g8117.t3	A
rna-XM_056792842.1	A	anno1.g8118.t1	A
rna-XM_056792806.1	A	anno1.g5666.t1	A
rna-XM_056792853.1	A	anno1.g5667.t1	A
rna-XM_056790102.1	A	anno1.g3024.t2	A
rna-XM_056791873.1	A	anno1.g1264.t1	A
rna-XM_056791875.1	A	anno1.g5668.t1	A
rna-XM_056791874.1	A	anno1.g5135.t2	A
rna-XM_056775694.1	A	anno1.g8591.t1	A
rna-XM_056775663.1	A	anno1.g8600.t1	A
rna-XM_056775681.1	A	anno1.g8599.t1	A
rna-XM_056775942.1	A	anno1.g8597.t1	A
rna-XM_056775954.1	A	anno1.g9492.t1	A
rna-XM_056774190.1	A	anno1.g8595.t1	A
rna-XM_056774105.1	A	anno1.g8594.t5	A
rna-XM_056783774.1	A	anno1.g8593.t1	A
rna-XM_056779787.1	A	anno1.g8592.t1	A
rna-XM_056783840.1	A	anno1.g12077.t2	X
rna-XM_056774316.1	A	anno1.g8492.t1	A
rna-XM_056792451.1	A	anno1.g53.t1	A
rna-XM_056792429.1	A	anno1.g8493.t1	A
rna-XM_056792463.1	A	anno1.g8819.t1	A
rna-XM_056785564.1	A	anno1.g8788.t1	A
rna-XM_056785573.1	A	anno1.g6295.t1	A
rna-XM_056791047.1	A	anno1.g8820.t1	A
rna-XM_056790436.1	A	anno1.g5665.t1	A
rna-XM_056787057.1	A	anno1.g8775.t1	A
rna-XM_056788232.1	A	anno1.g8116.t1	A
rna-XM_056787007.1	A	anno1.g8115.t1	A
rna-XM_056786969.1	A	anno1.g8113.t1	A
rna-XM_056786982.1	A	anno1.g8112.t1	A
rna-XM_056786927.1	A	anno1.g8111.t1	A
rna-XM_056787105.1	A	anno1.g7869.t1	A
rna-XM_056787117.1	A	anno1.g7868.t1	A
rna-XM_056787150.1	A	anno1.g4873.t1	A
rna-XM_056787175.1	A	anno1.g7870.t1	A
rna-XM_056787207.1	A	anno1.g10217.t2	A
rna-XM_056787227.1	A	anno1.g10084.t1	A
rna-XM_056777376.1	A	anno1.g4385.t1	A
rna-XM_056791919.1	A	anno1.g5037.t2	A
rna-XM_056791917.1	A	anno1.g10219.t1	A
rna-XM_056783100.1	A	anno1.g10218.t1	A
rna-XM_056783111.1	A	anno1.g10123.t1	A
rna-XM_056792643.1	A	anno1.g10124.t1	A
rna-XM_056779112.1	A	anno1.g10088.t2	A
rna-XM_056779143.1	A	anno1.g9315.t1	A
rna-XM_056779154.1	A	anno1.g8380.t1	A
rna-XM_056777778.1	A	anno1.g9950.t2	A
rna-XM_056773903.1	A	anno1.g3913.t2	A
rna-XM_056773887.1	A	anno1.g6012.t1	A
rna-XM_056785093.1	A	anno1.g1403.t1	A
rna-XM_056776597.1	A	anno1.g1754.t1	A
rna-XM_056776978.1	A	anno1.g10039.t1	A
rna-XM_056792703.1	A	anno1.g10042.t1	A
rna-XM_056792941.1	A	anno1.g10043.t2	A
rna-XM_056791298.1	A	anno1.g2500.t1	A
rna-XM_056780844.1	A	anno1.g367.t1	A
rna-XM_056775320.1	A	anno1.g8264.t1	A
rna-XM_056783805.1	A	anno1.g5754.t2	A
rna-XM_056783791.1	A	anno1.g5753.t1	A
rna-XM_056791323.1	A	anno1.g880.t1	A
rna-XM_056777573.1	A	anno1.g523.t1	A
rna-XM_056792630.1	A	anno1.g10611.t1	A
rna-XM_056791584.1	A	anno1.g8903.t1	A
rna-XM_056785622.1	A	anno1.g8902.t1	A
rna-XM_056774288.1	A	anno1.g1948.t2	A
rna-XM_056774301.1	A	anno1.g4386.t1	A
rna-XM_056780060.1	A	anno1.g1205.t1	A
rna-XM_056780052.1	A	anno1.g8520.t3	A
rna-XM_056791859.1	A	anno1.g10047.t1	A
rna-XM_056791858.1	A	anno1.g6140.t1	A
rna-XM_056791857.1	A	anno1.g4613.t1	A
rna-XM_056791856.1	A	anno1.g9838.t1	A
rna-XM_056791843.1	A	anno1.g2389.t2	A
rna-XM_056791834.1	A	anno1.g5200.t2	A
rna-XM_056791844.1	A	anno1.g5735.t1	A
rna-XM_056791845.1	A	anno1.g2610.t1	A
rna-XM_056785894.1	A	anno1.g10958.t1	A
rna-XM_056775041.1	A	anno1.g773.t2	A
rna-XM_056792476.1	A	anno1.g10959.t3	A
rna-XM_056774722.1	A	anno1.g2611.t1	A
rna-XM_056791701.1	A	anno1.g2537.t1	A
rna-XM_056782649.1	A	anno1.g2538.t1	A
rna-XM_056776699.1	A	anno1.g894.t1	A
rna-XM_056785362.1	A	anno1.g7843.t1	A
rna-XM_056777272.1	A	anno1.g10086.t1	A
rna-XM_056780307.1	A	anno1.g7194.t1	A
rna-XM_056780280.1	A	anno1.g7152.t1	A
rna-XM_056778346.1	A	anno1.g8838.t1	A
rna-XM_056778359.1	A	anno1.g8839.t1	A
rna-XM_056778334.1	A	anno1.g8837.t1	A
rna-XM_056778422.1	A	anno1.g7682.t2	A
rna-XM_056778439.1	A	anno1.g5197.t1	A
rna-XM_056778453.1	A	anno1.g5198.t1	A
rna-XM_056791853.1	A	anno1.g10322.t1	A
rna-XM_056791855.1	A	anno1.g10320.t1	A
rna-XM_056780551.1	A	anno1.g5679.t3	A
rna-XM_056780539.1	A	anno1.g792.t1	A
rna-XM_056778220.1	A	anno1.g746.t1	A
rna-XM_056778233.1	A	anno1.g728.t1	A
rna-XM_056773868.1	A	anno1.g9059.t1	A
rna-XM_056773851.1	A	anno1.g4250.t1	A
rna-XM_056791781.1	A	anno1.g8146.t1	A
rna-XM_056783940.1	A	anno1.g5662.t1	A
rna-XM_056782791.1	A	anno1.g715.t1	A
rna-XM_056785310.1	A	anno1.g273.t1	A
rna-XM_056785432.1	A	anno1.g5653.t1	A
rna-XM_056777942.1	A	anno1.g7162.t1	A
rna-XM_056777953.1	A	anno1.g8168.t1	A
rna-XM_056775334.1	A	anno1.g2317.t1	A
rna-XM_056780088.1	A	anno1.g8175.t1	A
rna-XM_056784009.1	A	anno1.g8123.t1	A
rna-XM_056784020.1	A	anno1.g8120.t2	A
rna-XM_056784033.1	A	anno1.g8121.t1	A
rna-XM_056784046.1	A	anno1.g8122.t1	A
rna-XM_056784059.1	A	anno1.g3025.t1	A
rna-XM_056784090.1	A	anno1.g3026.t1	A
rna-XM_056784984.1	A	anno1.g9133.t2	A
rna-XM_056791558.1	A	anno1.g9132.t1	A
rna-XM_056777527.1	A	anno1.g781.t1	A
rna-XM_056777515.1	A	anno1.g787.t1	A
rna-XM_056777044.1	A	anno1.g3022.t1	A
rna-XM_056777085.1	A	anno1.g3023.t1	A
rna-XM_056777073.1	A	anno1.g10016.t1	A
rna-XM_056777013.1	A	anno1.g10017.t1	A
rna-XM_056780764.1	A	anno1.g9947.t1	A
rna-XM_056783001.1	A	anno1.g789.t1	A
rna-XM_056791752.1	A	anno1.g790.t1	A
rna-XM_056791754.1	A	anno1.g788.t2	A
rna-XM_056777900.1	A	anno1.g3945.t1	A
rna-XM_056774603.1	A	anno1.g3494.t1	A
rna-XM_056774592.1	A	anno1.g725.t2	A
rna-XM_056774615.1	A	anno1.g726.t1	A
rna-XM_056774628.1	A	anno1.g727.t1	A
rna-XM_056784436.1	A	anno1.g9228.t3	A
rna-XM_056775066.1	A	anno1.g9910.t1	A
rna-XM_056791561.1	A	anno1.g9913.t1	A
rna-XM_056781842.1	A	anno1.g9914.t1	A
rna-XM_056773805.1	A	anno1.g9909.t1	A
rna-XM_056773839.1	A	anno1.g5661.t1	A
rna-XM_056779763.1	A	anno1.g8092.t2	A
rna-XM_056780194.1	A	anno1.g1733.t1	A
rna-XM_056778476.1	A	anno1.g10501.t1	A
rna-XM_056778514.1	A	anno1.g10500.t1	A
rna-XM_056774227.1	A	anno1.g1503.t1	A
rna-XM_056775966.1	A	anno1.g5658.t1	A
rna-XM_056781133.1	A	anno1.g5660.t2	A
rna-XM_056790940.1	A	anno1.g747.t1	A
rna-XM_056790952.1	A	anno1.g796.t1	A
rna-XM_056779801.1	A	anno1.g5659.t1	A
rna-XM_056779875.1	A	anno1.g10010.t1	A
rna-XM_056787453.1	A	anno1.g10013.t1	A
rna-XM_056780938.1	A	anno1.g10015.t1	A
rna-XM_056779908.1	A	anno1.g793.t1	A
rna-XM_056792114.1	A	anno1.g5484.t2	A
rna-XM_056792126.1	A	anno1.g10149.t2	A
