D_sublineata	chromosome	A_obtectus	chromosome
rna-XM_056786245.1	A	anno1.g13473.t1	A
rna-XM_056786351.1	A	anno1.g10660.t1	A
rna-XM_056786337.1	A	anno1.g12171.t1	A
rna-XM_056786289.1	A	anno1.g12482.t1	A
rna-XM_056786277.1	A	anno1.g12172.t1	A
rna-XM_056786317.1	A	anno1.g11893.t1	A
rna-XM_056786371.1	A	anno1.g5830.t1	A
rna-XM_056786383.1	A	anno1.g5327.t2	A
rna-XM_056786393.1	A	anno1.g5324.t2	A
rna-XM_056786423.1	A	anno1.g969.t1	A
rna-XM_056786473.1	A	anno1.g6933.t1	A
rna-XM_056786405.1	A	anno1.g11892.t1	A
rna-XM_056786438.1	A	anno1.g6994.t1	A
rna-XM_056786462.1	A	anno1.g445.t1	A
rna-XM_056786450.1	A	anno1.g7419.t1	A
rna-XM_056788412.1	A	anno1.g11840.t1	A
rna-XM_056786540.1	A	anno1.g4052.t1	A
rna-XM_056786529.1	A	anno1.g4043.t1	A
rna-XM_056786585.1	A	anno1.g5088.t1	A
rna-XM_056786572.1	A	anno1.g14499.t1	A
rna-XM_056786598.1	A	anno1.g14500.t2	A
rna-XM_056786626.1	A	anno1.g7084.t1	A
rna-XM_056786647.1	A	anno1.g14503.t1	A
rna-XM_056786618.1	A	anno1.g2547.t1	A
rna-XM_056786635.1	A	anno1.g10240.t1	A
rna-XM_056788549.1	A	anno1.g2380.t1	A
rna-XM_056786638.1	A	anno1.g5239.t1	A
rna-XM_056786652.1	A	anno1.g1238.t3	A
rna-XM_056786666.1	A	anno1.g4288.t1	A
rna-XM_056786680.1	A	anno1.g7452.t1	A
rna-XM_056786708.1	A	anno1.g5370.t1	A
rna-XM_056786721.1	A	anno1.g13213.t1	A
rna-XM_056786730.1	A	anno1.g230.t1	A
rna-XM_056786755.1	A	anno1.g233.t1	A
rna-XM_056786768.1	A	anno1.g9751.t2	A
rna-XM_056786742.1	A	anno1.g6932.t1	A
rna-XM_056779247.1	A	anno1.g10590.t1	A
rna-XM_056788779.1	A	anno1.g10591.t1	A
rna-XM_056774270.1	A	anno1.g12780.t1	A
rna-XM_056785931.1	A	anno1.g10735.t1	A
rna-XM_056785673.1	A	anno1.g10369.t2	A
rna-XM_056785686.1	A	anno1.g842.t1	A
rna-XM_056791494.1	A	anno1.g1845.t2	X
rna-XM_056791488.1	A	anno1.g1422.t1	A
rna-XM_056791503.1	A	anno1.g11978.t1	A
rna-XM_056791512.1	A	anno1.g8572.t2	A
rna-XM_056791533.1	A	anno1.g11693.t1	A
rna-XM_056791540.1	A	anno1.g13209.t1	A
rna-XM_056791554.1	A	anno1.g13911.t1	A
rna-XM_056791546.1	A	anno1.g5237.t1	A
rna-XM_056791550.1	A	anno1.g729.t1	A
rna-XM_056775190.1	A	anno1.g7522.t1	A
rna-XM_056775202.1	A	anno1.g2731.t1	A
rna-XM_056775235.1	A	anno1.g3410.t1	A
rna-XM_056775214.1	A	anno1.g2819.t1	A
rna-XM_056781587.1	A	anno1.g2895.t1	A
rna-XM_056784741.1	A	anno1.g2896.t2	A
rna-XM_056784730.1	A	anno1.g6651.t1	A
rna-XM_056785645.1	A	anno1.g12455.t1	A
rna-XM_056791937.1	A	anno1.g12715.t1	A
rna-XM_056791951.1	A	anno1.g3455.t1	A
rna-XM_056779975.1	A	anno1.g3404.t1	A
rna-XM_056777002.1	A	anno1.g3411.t1	A
rna-XM_056788462.1	A	anno1.g3416.t2	A
rna-XM_056788747.1	A	anno1.g2905.t1	A
rna-XM_056788976.1	A	anno1.g2594.t3	A
rna-XM_056789743.1	A	anno1.g2593.t1	A
rna-XM_056789846.1	A	anno1.g228.t2	A
rna-XM_056790021.1	A	anno1.g229.t1	A
rna-XM_056790387.1	A	anno1.g10528.t1	A
rna-XM_056790148.1	A	anno1.g10526.t1	A
rna-XM_056790274.1	A	anno1.g10563.t1	A
rna-XM_056790629.1	A	anno1.g227.t1	A
rna-XM_056791072.1	A	anno1.g235.t1	A
rna-XM_056791391.1	A	anno1.g236.t1	A
rna-XM_056791276.1	A	anno1.g234.t1	A
rna-XM_056791336.1	A	anno1.g232.t1	A
rna-XM_056791207.1	A	anno1.g9750.t1	A
rna-XM_056790951.1	A	anno1.g226.t1	A
rna-XM_056790828.1	A	anno1.g206.t1	A
rna-XM_056785330.1	A	anno1.g212.t2	A
rna-XM_056785350.1	A	anno1.g11439.t1	A
rna-XM_056779406.1	A	anno1.g9744.t1	A
rna-XM_056776346.1	A	anno1.g5499.t1	A
rna-XM_056774666.1	A	anno1.g220.t1	A
rna-XM_056774679.1	A	anno1.g11674.t1	A
rna-XM_056774690.1	A	anno1.g5764.t1	A
rna-XM_056784710.1	A	anno1.g5953.t1	A
rna-XM_056779312.1	A	anno1.g5955.t1	A
rna-XM_056776045.1	A	anno1.g5961.t1	A
rna-XM_056792863.1	A	anno1.g9746.t1	A
rna-XM_056779823.1	A	anno1.g9748.t1	A
rna-XM_056779834.1	A	anno1.g9749.t1	A
rna-XM_056776583.1	A	anno1.g9358.t1	A
rna-XM_056779419.1	A	anno1.g4703.t1	A
rna-XM_056779437.1	A	anno1.g4702.t1	A
rna-XM_056791564.1	A	anno1.g7225.t1	A
rna-XM_056791567.1	A	anno1.g12133.t2	A
rna-XM_056787238.1	A	anno1.g5841.t2	A
rna-XM_056790290.1	A	anno1.g1504.t1	A
rna-XM_056790303.1	A	anno1.g1624.t1	A
rna-XM_056790246.1	A	anno1.g1625.t2	A
rna-XM_056790234.1	A	anno1.g11981.t1	A
rna-XM_056790199.1	A	anno1.g11986.t1	A
rna-XM_056780376.1	A	anno1.g10783.t1	A
rna-XM_056780388.1	A	anno1.g10782.t1	A
rna-XM_056784180.1	A	anno1.g6960.t1	A
rna-XM_056784151.1	A	anno1.g12472.t1	A
rna-XM_056778539.1	A	anno1.g10764.t2	A
rna-XM_056778554.1	A	anno1.g10763.t2	A
rna-XM_056778566.1	A	anno1.g10765.t2	A
rna-XM_056787130.1	A	anno1.g5788.t1	A
rna-XM_056787452.1	A	anno1.g3260.t1	A
rna-XM_056787252.1	A	anno1.g2906.t1	A
rna-XM_056791389.1	A	anno1.g9628.t3	A
rna-XM_056789293.1	A	anno1.g9627.t1	A
rna-XM_056784244.1	A	anno1.g3311.t1	A
rna-XM_056776949.1	A	anno1.g14497.t2	A
rna-XM_056789304.1	A	anno1.g11503.t1	A
rna-XM_056789325.1	A	anno1.g5501.t1	A
rna-XM_056776329.1	A	anno1.g8824.t1	A
rna-XM_056793039.1	A	anno1.g8260.t1	A
rna-XM_056793173.1	A	anno1.g5402.t3	A
rna-XM_056773552.1	A	anno1.g4432.t1	A
rna-XM_056793065.1	A	anno1.g3604.t1	A
rna-XM_056773567.1	A	anno1.g3710.t2	A
rna-XM_056773597.1	A	anno1.g3712.t1	A
rna-XM_056789496.1	A	anno1.g2363.t1	A
rna-XM_056789509.1	A	anno1.g1597.t1	A
rna-XM_056784261.1	A	anno1.g2355.t1	A
rna-XM_056780981.1	A	anno1.g4760.t1	A
rna-XM_056781008.1	A	anno1.g4761.t1	A
rna-XM_056785541.1	A	anno1.g4756.t1	A
rna-XM_056784346.1	A	anno1.g4755.t2	A
rna-XM_056784224.1	A	anno1.g4753.t1	A
rna-XM_056779355.1	A	anno1.g5398.t1	A
rna-XM_056779345.1	A	anno1.g4046.t1	A
rna-XM_056791846.1	A	anno1.g4055.t1	A
rna-XM_056780343.1	A	anno1.g2340.t3	A
rna-XM_056791559.1	A	anno1.g7313.t1	A
rna-XM_056788269.1	A	anno1.g3532.t1	A
rna-XM_056774553.1	A	anno1.g3300.t1	A
rna-XM_056774528.1	A	anno1.g3299.t1	A
rna-XM_056774540.1	A	anno1.g7453.t1	A
rna-XM_056774565.1	A	anno1.g5326.t1	A
rna-XM_056774580.1	A	anno1.g4672.t1	A
rna-XM_056782276.1	A	anno1.g5403.t1	A
rna-XM_056781728.1	A	anno1.g5320.t1	A
rna-XM_056777308.1	A	anno1.g13165.t1	A
rna-XM_056777294.1	A	anno1.g13166.t1	A
rna-XM_056777205.1	A	anno1.g13157.t3	A
rna-XM_056778260.1	A	anno1.g13156.t1	A
rna-XM_056780139.1	A	anno1.g13155.t1	A
rna-XM_056782991.1	A	anno1.g9286.t1	A
rna-XM_056782980.1	A	anno1.g2713.t1	A
rna-XM_056784790.1	A	anno1.g4049.t1	A
rna-XM_056787518.1	A	anno1.g4042.t1	A
rna-XM_056787531.1	A	anno1.g3182.t1	A
rna-XM_056787510.1	A	anno1.g3181.t1	A
rna-XM_056787498.1	A	anno1.g3180.t1	A
rna-XM_056787476.1	A	anno1.g7788.t1	A
rna-XM_056778984.1	A	anno1.g14441.t1	A
rna-XM_056790126.1	A	anno1.g12140.t1	A
rna-XM_056790869.1	A	anno1.g3955.t1	A
rna-XM_056790810.1	A	anno1.g2400.t3	A
rna-XM_056774258.1	A	anno1.g3178.t2	A
rna-XM_056774255.1	A	anno1.g2401.t1	A
rna-XM_056774250.1	A	anno1.g2402.t1	A
rna-XM_056780403.1	A	anno1.g2425.t1	A
rna-XM_056779395.1	A	anno1.g12464.t1	A
rna-XM_056792618.1	A	anno1.g4764.t1	A
rna-XM_056781292.1	A	anno1.g5100.t1	A
rna-XM_056781212.1	A	anno1.g2397.t2	A
rna-XM_056780579.1	A	anno1.g2399.t1	A
rna-XM_056790355.1	A	anno1.g5436.t1	A
rna-XM_056790377.1	A	anno1.g9339.t1	A
rna-XM_056790388.1	A	anno1.g7458.t1	A
rna-XM_056782299.1	A	anno1.g7467.t1	A
rna-XM_056782363.1	A	anno1.g7466.t7	A
rna-XM_056791743.1	A	anno1.g7465.t2	A
rna-XM_056791747.1	A	anno1.g9462.t1	A
rna-XM_056791877.1	A	anno1.g12479.t1	A
rna-XM_056791880.1	A	anno1.g11541.t2	A
rna-XM_056791879.1	A	anno1.g11542.t1	A
rna-XM_056782610.1	A	anno1.g11073.t1	A
rna-XM_056782623.1	A	anno1.g14711.t1	A
rna-XM_056774390.1	A	anno1.g11071.t1	A
rna-XM_056776780.1	A	anno1.g3166.t1	A
rna-XM_056776882.1	A	anno1.g3165.t1	A
rna-XM_056776893.1	A	anno1.g2034.t1	X
rna-XM_056776768.1	A	anno1.g2768.t2	A
rna-XM_056776841.1	A	anno1.g9969.t2	A
rna-XM_056776735.1	A	anno1.g8840.t4	A
rna-XM_056778028.1	A	anno1.g3997.t1	A
rna-XM_056791722.1	A	anno1.g3612.t2	A
rna-XM_056791724.1	A	anno1.g4637.t1	A
rna-XM_056791728.1	A	anno1.g2060.t2	X
rna-XM_056791737.1	A	anno1.g12948.t1	A
rna-XM_056791739.1	A	anno1.g13119.t2	A
rna-XM_056791742.1	A	anno1.g13120.t1	A
rna-XM_056777550.1	A	anno1.g13121.t1	A
rna-XM_056790615.1	A	anno1.g760.t1	A
rna-XM_056780631.1	A	anno1.g12561.t1	A
rna-XM_056791306.1	A	anno1.g6692.t1	A
rna-XM_056777465.1	A	anno1.g1917.t1	X
rna-XM_056773760.1	A	anno1.g5880.t1	A
rna-XM_056773773.1	A	anno1.g2857.t1	A
rna-XM_056793005.1	A	anno1.g2855.t2	A
rna-XM_056793017.1	A	anno1.g2853.t1	A
rna-XM_056792992.1	A	anno1.g2854.t1	A
rna-XM_056779280.1	A	anno1.g8117.t1	A
rna-XM_056780784.1	A	anno1.g2469.t1	A
rna-XM_056780827.1	A	anno1.g1318.t1	A
rna-XM_056780775.1	A	anno1.g13314.t1	A
rna-XM_056784617.1	A	anno1.g10615.t1	A
rna-XM_056783721.1	A	anno1.g13076.t1	A
rna-XM_056783705.1	A	anno1.g4316.t1	A
rna-XM_056780717.1	A	anno1.g416.t1	A
rna-XM_056780703.1	A	anno1.g10337.t1	A
rna-XM_056782614.1	A	anno1.g13077.t1	A
rna-XM_056782096.1	A	anno1.g9399.t1	A
rna-XM_056784969.1	A	anno1.g14337.t1	A
rna-XM_056791351.1	A	anno1.g10078.t1	A
rna-XM_056791327.1	A	anno1.g10079.t3	A
rna-XM_056791359.1	A	anno1.g9881.t1	A
rna-XM_056785464.1	A	anno1.g10123.t1	A
rna-XM_056784202.1	A	anno1.g5360.t1	A
rna-XM_056780869.1	A	anno1.g9225.t2	A
rna-XM_056776368.1	A	anno1.g9226.t1	A
rna-XM_056791731.1	A	anno1.g6205.t1	A
rna-XM_056774351.1	A	anno1.g9469.t1	A
rna-XM_056791378.1	A	anno1.g10895.t1	A
rna-XM_056780476.1	A	anno1.g10894.t1	A
rna-XM_056777151.1	A	anno1.g10833.t1	A
rna-XM_056777161.1	A	anno1.g10826.t2	A
rna-XM_056775443.1	A	anno1.g10889.t1	A
rna-XM_056775489.1	A	anno1.g13738.t1	A
rna-XM_056775478.1	A	anno1.g7387.t1	A
rna-XM_056785167.1	A	anno1.g11187.t1	A
rna-XM_056785126.1	A	anno1.g7664.t3	A
rna-XM_056784776.1	A	anno1.g1392.t1	A
rna-XM_056791430.1	A	anno1.g5930.t1	A
rna-XM_056791424.1	A	anno1.g5931.t1	A
rna-XM_056791436.1	A	anno1.g4564.t1	A
rna-XM_056791471.1	A	anno1.g12328.t1	A
rna-XM_056791454.1	A	anno1.g11799.t1	A
rna-XM_056779944.1	A	anno1.g5982.t1	A
rna-XM_056778312.1	A	anno1.g14697.t1	A
rna-XM_056784918.1	A	anno1.g375.t2	A
rna-XM_056782840.1	A	anno1.g10882.t1	A
rna-XM_056784633.1	A	anno1.g10883.t1	A
rna-XM_056784746.1	A	anno1.g10888.t1	A
rna-XM_056792970.1	A	anno1.g10836.t1	A
rna-XM_056792982.1	A	anno1.g1018.t2	A
rna-XM_056785940.1	A	anno1.g7666.t1	A
rna-XM_056774653.1	A	anno1.g14440.t1	A
rna-XM_056792896.1	A	anno1.g5932.t1	A
rna-XM_056791706.1	A	anno1.g11330.t2	A
rna-XM_056791708.1	A	anno1.g11329.t1	A
rna-XM_056791705.1	A	anno1.g11332.t2	A
rna-XM_056785658.1	A	anno1.g771.t1	A
rna-XM_056777636.1	A	anno1.g10975.t1	A
rna-XM_056777595.1	A	anno1.g13072.t1	A
rna-XM_056777669.1	A	anno1.g12442.t2	A
rna-XM_056777719.1	A	anno1.g2747.t1	A
rna-XM_056777683.1	A	anno1.g3167.t4	A
rna-XM_056777737.1	A	anno1.g3168.t2	A
rna-XM_056792073.1	A	anno1.g3170.t1	A
rna-XM_056792101.1	A	anno1.g3172.t1	A
rna-XM_056791768.1	A	anno1.g2422.t2	A
rna-XM_056791776.1	A	anno1.g2473.t1	A
rna-XM_056791772.1	A	anno1.g12718.t1	A
rna-XM_056791774.1	A	anno1.g3456.t1	A
rna-XM_056791777.1	A	anno1.g2403.t1	A
rna-XM_056790772.1	A	anno1.g2404.t2	A
rna-XM_056791775.1	A	anno1.g3144.t1	A
rna-XM_056791637.1	A	anno1.g3145.t1	A
rna-XM_056791633.1	A	anno1.g3148.t2	A
rna-XM_056791632.1	A	anno1.g7801.t2	A
rna-XM_056775028.1	A	anno1.g3157.t1	A
rna-XM_056785610.1	A	anno1.g3158.t1	A
rna-XM_056773784.1	A	anno1.g12763.t1	A
rna-XM_056777559.1	A	anno1.g4014.t1	A
rna-XM_056777319.1	A	anno1.g12347.t1	A
rna-XM_056777330.1	A	anno1.g12348.t1	A
rna-XM_056775630.1	A	anno1.g3160.t1	A
rna-XM_056781748.1	A	anno1.g11881.t1	A
rna-XM_056781769.1	A	anno1.g5390.t1	A
rna-XM_056781759.1	A	anno1.g14310.t1	A
rna-XM_056774363.1	A	anno1.g9966.t2	A
rna-XM_056774377.1	A	anno1.g9967.t1	A
rna-XM_056790785.1	A	anno1.g6926.t1	A
rna-XM_056778639.1	A	anno1.g6924.t2	A
rna-XM_056779300.1	A	anno1.g9877.t2	A
rna-XM_056778935.1	A	anno1.g6391.t1	A
rna-XM_056789474.1	A	anno1.g6393.t1	A
rna-XM_056776490.1	A	anno1.g4422.t1	A
rna-XM_056776477.1	A	anno1.g4423.t1	A
rna-XM_056788855.1	A	anno1.g12058.t1	A
rna-XM_056788994.1	A	anno1.g12059.t1	A
rna-XM_056790798.1	A	anno1.g4403.t1	A
rna-XM_056789005.1	A	anno1.g7813.t1	A
rna-XM_056788941.1	A	anno1.g6919.t1	A
rna-XM_056788981.1	A	anno1.g5952.t1	A
rna-XM_056788954.1	A	anno1.g12057.t1	A
rna-XM_056789023.1	A	anno1.g10391.t1	A
rna-XM_056784426.1	A	anno1.g11328.t1	A
rna-XM_056784191.1	A	anno1.g3305.t2	A
rna-XM_056791999.1	A	anno1.g10579.t1	A
rna-XM_056791975.1	A	anno1.g8119.t1	A
rna-XM_056791987.1	A	anno1.g8118.t1	A
rna-XM_056792019.1	A	anno1.g3325.t2	A
rna-XM_056786861.1	A	anno1.g5183.t1	A
rna-XM_056786811.1	A	anno1.g3309.t2	A
rna-XM_056786864.1	A	anno1.g6820.t1	A
rna-XM_056791611.1	A	anno1.both_agree_g10486.t1	A
rna-XM_056791613.1	A	anno1.g14492.t1	A
rna-XM_056791612.1	A	anno1.g14489.t1	A
rna-XM_056791616.1	A	anno1.g14488.t2	A
rna-XM_056788212.1	A	anno1.g14486.t1	A
rna-XM_056791609.1	A	anno1.g9952.t1	A
rna-XM_056779548.1	A	anno1.g10127.t1	A
rna-XM_056779515.1	A	anno1.g10130.t1	A
rna-XM_056779536.1	A	anno1.g4812.t1	A
rna-XM_056779528.1	A	anno1.g4111.t1	A
rna-XM_056791811.1	A	anno1.g11404.t1	A
rna-XM_056791813.1	A	anno1.g8730.t2	A
rna-XM_056791814.1	A	anno1.g2419.t1	A
rna-XM_056790987.1	A	anno1.g13370.t1	A
rna-XM_056790999.1	A	anno1.g13371.t1	A
rna-XM_056791749.1	A	anno1.g13374.t1	A
rna-XM_056783902.1	A	anno1.g6659.t1	A
rna-XM_056789395.1	A	anno1.g6050.t1	A
rna-XM_056789370.1	A	anno1.g6048.t1	A
rna-XM_056789351.1	A	anno1.g6047.t1	A
rna-XM_056789384.1	A	anno1.g6046.t1	A
rna-XM_056789449.1	A	anno1.g6698.t1	A
rna-XM_056789414.1	A	anno1.g6602.t1	A
rna-XM_056779449.1	A	anno1.g8859.t1	A
rna-XM_056784551.1	A	anno1.g8857.t2	A
rna-XM_056792842.1	A	anno1.g8858.t1	A
rna-XM_056792806.1	A	anno1.g4623.t2	A
rna-XM_056791013.1	A	anno1.g4622.t1	A
rna-XM_056792853.1	A	anno1.g4621.t2	A
rna-XM_056790089.1	A	anno1.g7028.t1	A
rna-XM_056790102.1	A	anno1.g6701.t2	A
rna-XM_056791873.1	A	anno1.g1020.t1	A
rna-XM_056791875.1	A	anno1.g4620.t1	A
rna-XM_056791874.1	A	anno1.g4406.t2	A
rna-XM_056775694.1	A	anno1.g9430.t1	A
rna-XM_056775663.1	A	anno1.g9597.t1	A
rna-XM_056775681.1	A	anno1.g9599.t1	A
rna-XM_056775712.1	A	anno1.g9600.t1	A
rna-XM_056775942.1	A	anno1.g9442.t1	A
rna-XM_056775914.1	A	anno1.g9441.t1	A
rna-XM_056775954.1	A	anno1.g7595.t1	A
rna-XM_056774190.1	A	anno1.g9439.t1	A
rna-XM_056774105.1	A	anno1.g9438.t8	A
rna-XM_056780670.1	A	anno1.g9437.t1	A
rna-XM_056783774.1	A	anno1.g9434.t2	A
rna-XM_056779787.1	A	anno1.g9431.t1	A
rna-XM_056783840.1	A	anno1.g2883.t1	A
rna-XM_056791037.1	A	anno1.g9428.t1	A
rna-XM_056774316.1	A	anno1.g9308.t1	A
rna-XM_056792451.1	A	anno1.g2542.t1	A
rna-XM_056792429.1	A	anno1.g9309.t1	A
rna-XM_056792463.1	A	anno1.g9497.t1	A
rna-XM_056785564.1	A	anno1.g9468.t1	A
rna-XM_056785573.1	A	anno1.g5512.t1	A
rna-XM_056791047.1	A	anno1.g9647.t2	A
rna-XM_056790436.1	A	anno1.g4624.t1	A
rna-XM_056787057.1	A	anno1.g9453.t1	A
rna-XM_056788232.1	A	anno1.g8851.t1	A
rna-XM_056787007.1	A	anno1.g8850.t1	A
rna-XM_056786969.1	A	anno1.g8848.t1	A
rna-XM_056786927.1	A	anno1.g8846.t1	A
rna-XM_056787105.1	A	anno1.g8788.t1	A
rna-XM_056787117.1	A	anno1.g8790.t1	A
rna-XM_056787150.1	A	anno1.g10392.t1	A
rna-XM_056787207.1	A	anno1.g8120.t1	A
rna-XM_056777376.1	A	anno1.g10797.t1	A
rna-XM_056791919.1	A	anno1.g10618.t1	A
rna-XM_056791917.1	A	anno1.g8122.t1	A
rna-XM_056783100.1	A	anno1.g8121.t1	A
rna-XM_056783111.1	A	anno1.g8157.t1	A
rna-XM_056792643.1	A	anno1.g8156.t1	A
rna-XM_056779143.1	A	anno1.g7869.t1	A
rna-XM_056779154.1	A	anno1.g6129.t1	A
rna-XM_056777778.1	A	anno1.g8440.t2	A
rna-XM_056773903.1	A	anno1.g11340.t3	A
rna-XM_056773887.1	A	anno1.g4112.t1	A
rna-XM_056785093.1	A	anno1.g13136.t1	A
rna-XM_056776597.1	A	anno1.g13730.t1	A
rna-XM_056776978.1	A	anno1.g8057.t1	A
rna-XM_056792703.1	A	anno1.g8056.t1	A
rna-XM_056792941.1	A	anno1.g8069.t2	A
rna-XM_056791298.1	A	anno1.g6355.t1	A
rna-XM_056775094.1	A	anno1.g5102.t1	A
rna-XM_056780844.1	A	anno1.g12700.t1	A
rna-XM_056775320.1	A	anno1.g9066.t1	A
rna-XM_056783791.1	A	anno1.g4427.t1	A
rna-XM_056791323.1	A	anno1.g12476.t2	A
rna-XM_056777573.1	A	anno1.g12342.t1	A
rna-XM_056792630.1	A	anno1.g14664.t1	A
rna-XM_056791584.1	A	anno1.g9819.t2	A
rna-XM_056785622.1	A	anno1.g9818.t4	A
rna-XM_056774288.1	A	anno1.g13217.t1	A
rna-XM_056774301.1	A	anno1.g10796.t1	A
rna-XM_056780060.1	A	anno1.g13916.t1	A
rna-XM_056780052.1	A	anno1.g9340.t2	A
rna-XM_056791858.1	A	anno1.g4128.t1	A
rna-XM_056791857.1	A	anno1.g10705.t1	A
rna-XM_056791856.1	A	anno1.g8551.t2	A
rna-XM_056791843.1	A	anno1.g6250.t1	A
rna-XM_056791834.1	A	anno1.g4317.t3	A
rna-XM_056791844.1	A	anno1.g4440.t1	A
rna-XM_056791832.1	A	anno1.g1076.t1	A
rna-XM_056791845.1	A	anno1.g6456.t1	A
rna-XM_056785894.1	A	anno1.g1027.t1	A
rna-XM_056775041.1	A	anno1.g14124.t2	A
rna-XM_056792476.1	A	anno1.g1028.t1	A
rna-XM_056774722.1	A	anno1.g6455.t1	A
rna-XM_056791701.1	A	anno1.g6374.t1	A
rna-XM_056782649.1	A	anno1.g6373.t1	A
rna-XM_056776699.1	A	anno1.g12444.t1	A
rna-XM_056785362.1	A	anno1.g3659.t1	A
rna-XM_056777272.1	A	anno1.g8112.t2	A
rna-XM_056780293.1	A	anno1.g14540.t1	A
rna-XM_056780307.1	A	anno1.g2421.t1	A
rna-XM_056780280.1	A	anno1.g3162.t1	A
rna-XM_056778346.1	A	anno1.g9625.t1	A
rna-XM_056778359.1	A	anno1.g9624.t1	A
rna-XM_056778334.1	A	anno1.g9626.t1	A
rna-XM_056778383.1	A	anno1.g12354.t1	A
rna-XM_056778422.1	A	anno1.g2532.t1	A
rna-XM_056778427.1	A	anno1.g4534.t1	A
rna-XM_056778439.1	A	anno1.g4321.t2	A
rna-XM_056778453.1	A	anno1.g4320.t1	A
rna-XM_056791853.1	A	anno1.g761.t1	A
rna-XM_056791855.1	A	anno1.g759.t1	A
rna-XM_056780527.1	A	anno1.g2193.t1	X
rna-XM_056780551.1	A	anno1.g4606.t2	A
rna-XM_056780539.1	A	anno1.g14262.t1	A
rna-XM_056778220.1	A	anno1.g11924.t1	A
rna-XM_056778233.1	A	anno1.g11944.t1	A
rna-XM_056773868.1	A	anno1.g9830.t1	A
rna-XM_056773878.1	A	anno1.g6485.t1	A
rna-XM_056773851.1	A	anno1.g11547.t1	A
rna-XM_056791781.1	A	anno1.g8885.t3	A
rna-XM_056783940.1	A	anno1.g4628.t1	A
rna-XM_056782791.1	A	anno1.g12158.t1	A
rna-XM_056785310.1	A	anno1.g12824.t1	A
rna-XM_056785432.1	A	anno1.g4856.t1	A
rna-XM_056777942.1	A	anno1.g3143.t1	A
rna-XM_056777953.1	A	anno1.g10724.t1	A
rna-XM_056775334.1	A	anno1.g6298.t2	A
rna-XM_056780088.1	A	anno1.g8909.t2	A
rna-XM_056784009.1	A	anno1.g8860.t1	A
rna-XM_056784033.1	A	anno1.g8854.t1	A
rna-XM_056784046.1	A	anno1.g8855.t2	A
rna-XM_056784059.1	A	anno1.g6699.t2	A
rna-XM_056784090.1	A	anno1.g6700.t1	A
rna-XM_056784103.1	A	anno1.g8686.t1	A
rna-XM_056784984.1	A	anno1.g9842.t1	A
rna-XM_056791558.1	A	anno1.g9843.t3	A
rna-XM_056777527.1	A	anno1.g14268.t1	A
rna-XM_056777044.1	A	anno1.g6703.t1	A
rna-XM_056777085.1	A	anno1.g6702.t1	A
rna-XM_056777073.1	A	anno1.g8359.t1	A
rna-XM_056777013.1	A	anno1.g8358.t1	A
rna-XM_056780764.1	A	anno1.g8443.t1	A
rna-XM_056783001.1	A	anno1.g14265.t1	A
rna-XM_056791752.1	A	anno1.g14264.t1	A
