B_siliquastri	chromosome	D_carinulata	chromosome
BRAKERILHT00000001060	A	rna-XM_057796444.1	A
BRAKERILHT00000001204	A	rna-XM_057796576.1	A
BRAKERILHT00000000751	A	rna-XM_057796575.1	A
BRAKERILHT00000001935	A	rna-XM_057796445.1	A
BRAKERILHT00000001584	A	rna-XM_057796447.1	A
BRAKERILHT00000000981	A	rna-XM_057795742.1	A
BRAKERILHT00000000546	A	rna-XM_057800224.1	A
BRAKERILHT00000001477	A	rna-XM_057796451.1	A
BRAKERILHT00000000858	A	rna-XM_057795743.1	A
BRAKERILHT00000000530	A	rna-XM_057799940.1	A
BRAKERILHT00000000723	A	rna-XM_057796696.1	A
BRAKERILHT00000002012	A	rna-XM_057796699.1	A
BRAKERILHT00000001676	A	rna-XM_057816831.1	A
BRAKERILHT00000000476	A	rna-XM_057796692.1	A
BRAKERILHT00000002047	A	rna-XM_057795665.1	A
BRAKERILHT00000000834	A	rna-XM_057816878.1	A
BRAKERILHT00000001173	A	rna-XM_057803728.1	A
BRAKERILHT00000002138	A	rna-XM_057807146.1	A
BRAKERILHT00000001898	A	rna-XM_057807034.1	A
BRAKERILHT00000000494	A	rna-XM_057807032.1	A
BRAKERILHT00000001438	A	rna-XM_057815956.1	A
BRAKERILHT00000000739	A	rna-XM_057816507.1	A
BRAKERILHT00000000248	A	rna-XM_057800697.1	X
BRAKERILHT00000001441	A	rna-XM_057795075.1	A
BRAKERILHT00000000066	A	rna-XM_057815411.1	A
BRAKERILHT00000002119	A	rna-XM_057815400.1	A
BRAKERILHT00000001965	A	rna-XM_057816118.1	A
BRAKERILHT00000000603	A	rna-XM_057816250.1	A
BRAKERILHT00000001553	A	rna-XM_057816892.1	A
BRAKERILHT00000001138	A	rna-XM_057816891.1	A
BRAKERILHT00000000667	A	rna-XM_057816884.1	A
BRAKERILHT00000000415	A	rna-XM_057816882.1	A
BRAKERILHT00000001774	A	rna-XM_057816883.1	A
BRAKERILHT00000000236	A	rna-XM_057802641.1	A
BRAKERILHT00000000989	A	rna-XM_057810780.1	A
BRAKERILHT00000002064	A	rna-XM_057798035.1	A
BRAKERILHT00000000536	A	rna-XM_057806119.1	A
BRAKERILHT00000000223	A	rna-XM_057799662.1	A
BRAKERILHT00000001764	A	rna-XM_057796240.1	A
BRAKERILHT00000000526	A	rna-XM_057795853.1	A
BRAKERILHT00000000841	A	rna-XM_057795852.1	A
BRAKERILHT00000001772	A	rna-XM_057796163.1	A
BRAKERILHT00000001164	A	rna-XM_057806121.1	A
BRAKERILHT00000000246	A	rna-XM_057805677.1	A
BRAKERILHT00000001829	A	rna-XM_057806208.1	A
BRAKERILHT00000001587	A	rna-XM_057805425.1	A
BRAKERILHT00000000999	A	rna-XM_057801013.1	A
BRAKERILHT00000001785	A	rna-XM_057812207.1	A
BRAKERILHT00000001391	A	rna-XM_057810951.1	A
BRAKERILHT00000000372	A	rna-XM_057804727.1	A
BRAKERILHT00000001556	A	rna-XM_057803176.1	A
BRAKERILHT00000001373	A	rna-XM_057813567.1	A
BRAKERILHT00000001997	A	rna-XM_057802724.1	A
BRAKERILHT00000000427	A	rna-XM_057802181.1	A
BRAKERILHT00000002134	A	rna-XM_057800816.1	A
BRAKERILHT00000000272	A	rna-XM_057800527.1	A
BRAKERILHT00000001867	A	rna-XM_057800320.1	A
BRAKERILHT00000000511	A	rna-XM_057815620.1	A
BRAKERILHT00000000605	A	rna-XM_057815625.1	A
BRAKERILHT00000001283	A	rna-XM_057798230.1	A
BRAKERILHT00000001502	A	rna-XM_057798229.1	A
BRAKERILHT00000002101	A	rna-XM_057799627.1	A
BRAKERILHT00000000533	A	rna-XM_057798043.1	A
BRAKERILHT00000000612	A	rna-XM_057797846.1	A
BRAKERILHT00000001181	A	rna-XM_057812021.1	A
BRAKERILHT00000001787	A	rna-XM_057812019.1	A
BRAKERILHT00000000213	A	rna-XM_057813353.1	A
BRAKERILHT00000001253	A	rna-XM_057808090.1	A
BRAKERILHT00000001261	A	rna-XM_057804420.1	A
BRAKERILHT00000000671	A	rna-XM_057804850.1	A
BRAKERILHT00000000788	A	rna-XM_057800564.1	A
BRAKERILHT00000000137	A	rna-XM_057805426.1	A
BRAKERILHT00000000801	A	rna-XM_057804371.1	A
BRAKERILHT00000001104	A	rna-XM_057804382.1	A
BRAKERILHT00000000432	A	rna-XM_057804376.1	A
BRAKERILHT00000001412	A	rna-XM_057796071.1	A
BRAKERILHT00000000776	A	rna-XM_057796075.1	A
BRAKERILHT00000001309	A	rna-XM_057806660.1	A
BRAKERILHT00000001226	A	rna-XM_057815981.1	A
BRAKERILHT00000000370	A	rna-XM_057815973.1	A
BRAKERILHT00000002160	A	rna-XM_057811308.1	A
BRAKERILHT00000000459	A	rna-XM_057796389.1	A
BRAKERILHT00000001581	A	rna-XM_057810109.1	A
BRAKERILHT00000000156	A	rna-XM_057800850.1	A
BRAKERILHT00000000631	A	rna-XM_057799045.1	A
BRAKERILHT00000001227	A	rna-XM_057798212.1	A
BRAKERILHT00000000343	A	rna-XM_057798214.1	A
BRAKERILHT00000000261	A	rna-XM_057811850.1	A
BRAKERILHT00000000733	A	rna-XM_057799655.1	A
BRAKERILHT00000001543	A	rna-XM_057808610.1	A
BRAKERILHT00000001735	A	rna-XM_057810452.1	A
BRAKERILHT00000001854	A	rna-XM_057815775.1	A
BRAKERILHT00000001851	A	rna-XM_057815751.1	A
BRAKERILHT00000000269	A	rna-XM_057816719.1	A
BRAKERILHT00000001972	A	rna-XM_057816704.1	A
BRAKERILHT00000002177	A	rna-XM_057815768.1	A
BRAKERILHT00000000628	A	rna-XM_057810102.1	A
BRAKERILHT00000000917	A	rna-XM_057816687.1	A
BRAKERILHT00000000467	A	rna-XM_057816785.1	A
BRAKERILHT00000000767	A	rna-XM_057803767.1	A
BRAKERILHT00000000309	A	rna-XM_057802072.1	A
BRAKERILHT00000000475	A	rna-XM_057806488.1	A
BRAKERILHT00000001872	A	rna-XM_057806491.1	A
BRAKERILHT00000000685	A	rna-XM_057802683.1	X
BRAKERILHT00000000201	A	rna-XM_057811732.1	A
BRAKERILHT00000001623	A	rna-XM_057811262.1	A
BRAKERILHT00000002071	A	rna-XM_057795942.1	A
BRAKERILHT00000001717	A	rna-XM_057796942.1	A
BRAKERILHT00000000020	A	rna-XM_057796941.1	A
BRAKERILHT00000001331	A	rna-XM_057797531.1	A
BRAKERILHT00000001675	A	rna-XM_057797526.1	A
BRAKERILHT00000000447	A	rna-XM_057797504.1	A
BRAKERILHT00000001366	A	rna-XM_057797790.1	A
BRAKERILHT00000001879	A	rna-XM_057802573.1	A
BRAKERILHT00000001123	A	rna-XM_057802572.1	A
BRAKERILHT00000000688	A	rna-XM_057803763.1	A
BRAKERILHT00000001029	A	rna-XM_057812681.1	A
BRAKERILHT00000000778	A	rna-XM_057802363.1	A
BRAKERILHT00000001143	A	rna-XM_057811478.1	A
BRAKERILHT00000000163	A	rna-XM_057811472.1	A
BRAKERILHT00000001726	A	rna-XM_057815009.1	A
BRAKERILHT00000000866	A	rna-XM_057811460.1	A
BRAKERILHT00000000438	A	rna-XM_057799941.1	A
BRAKERILHT00000001723	A	rna-XM_057800901.1	A
BRAKERILHT00000000973	A	rna-XM_057807082.1	A
BRAKERILHT00000000038	A	rna-XM_057803829.1	A
BRAKERILHT00000001355	A	rna-XM_057802332.1	A
BRAKERILHT00000000500	A	rna-XM_057802333.1	A
BRAKERILHT00000002092	A	rna-XM_057805879.1	X
BRAKERILHT00000001110	A	rna-XM_057815558.1	A
BRAKERILHT00000000091	A	rna-XM_057804661.1	A
BRAKERILHT00000002022	A	rna-XM_057809781.1	A
BRAKERILHT00000001406	A	rna-XM_057809779.1	A
BRAKERILHT00000001893	A	rna-XM_057809774.1	A
BRAKERILHT00000000094	A	rna-XM_057809433.1	A
BRAKERILHT00000001582	A	rna-XM_057811301.1	A
BRAKERILHT00000000036	A	rna-XM_057815668.1	A
BRAKERILHT00000000394	A	rna-XM_057796871.1	A
BRAKERILHT00000001118	A	rna-XM_057796035.1	A
BRAKERILHT00000001635	A	rna-XM_057797093.1	A
BRAKERILHT00000000961	A	rna-XM_057812637.1	A
BRAKERILHT00000000509	A	rna-XM_057798515.1	A
BRAKERILHT00000000766	A	rna-XM_057815750.1	A
BRAKERILHT00000001228	A	rna-XM_057808226.1	A
BRAKERILHT00000001691	A	rna-XM_057808228.1	A
BRAKERILHT00000000825	A	rna-XM_057797384.1	A
BRAKERILHT00000000848	A	rna-XM_057797388.1	A
BRAKERILHT00000001360	A	rna-XM_057798721.1	A
BRAKERILHT00000000142	A	rna-XM_057795530.1	A
BRAKERILHT00000001418	A	rna-XM_057797992.1	A
BRAKERILHT00000001740	A	rna-XM_057815014.1	A
BRAKERILHT00000000642	A	rna-XM_057813651.1	A
BRAKERILHT00000001101	A	rna-XM_057795798.1	A
BRAKERILHT00000002021	A	rna-XM_057805638.1	A
BRAKERILHT00000000338	A	rna-XM_057796581.1	A
BRAKERILHT00000000754	A	rna-XM_057795794.1	A
BRAKERILHT00000001210	A	rna-XM_057795792.1	A
BRAKERILHT00000000769	A	rna-XM_057795698.1	A
BRAKERILHT00000001088	A	rna-XM_057808574.1	A
BRAKERILHT00000001778	A	rna-XM_057808573.1	A
BRAKERILHT00000000232	A	rna-XM_057808560.1	A
BRAKERILHT00000001051	A	rna-XM_057808857.1	A
BRAKERILHT00000000803	A	rna-XM_057808711.1	A
BRAKERILHT00000000054	A	rna-XM_057797310.1	A
BRAKERILHT00000001103	A	rna-XM_057810020.1	A
BRAKERILHT00000001031	A	rna-XM_057810410.1	A
BRAKERILHT00000002002	A	rna-XM_057810040.1	A
BRAKERILHT00000001595	A	rna-XM_057811202.1	A
BRAKERILHT00000000396	A	rna-XM_057811356.1	A
BRAKERILHT00000001454	A	rna-XM_057813391.1	A
BRAKERILHT00000000617	A	rna-XM_057811272.1	A
BRAKERILHT00000000900	A	rna-XM_057803035.1	A
BRAKERILHT00000001319	A	rna-XM_057812095.1	A
BRAKERILHT00000000469	A	rna-XM_057795312.1	A
BRAKERILHT00000000663	A	rna-XM_057813031.1	A
BRAKERILHT00000000800	A	rna-XM_057800033.1	X
BRAKERILHT00000001257	A	rna-XM_057799622.1	A
BRAKERILHT00000001492	A	rna-XM_057813251.1	A
BRAKERILHT00000000417	A	rna-XM_057798448.1	A
BRAKERILHT00000001096	A	rna-XM_057799290.1	A
BRAKERILHT00000002154	A	rna-XM_057799289.1	A
BRAKERILHT00000001662	A	rna-XM_057797658.1	A
BRAKERILHT00000001488	A	rna-XM_057799293.1	A
BRAKERILHT00000002106	A	rna-XM_057810688.1	A
BRAKERILHT00000000514	A	rna-XM_057799006.1	A
BRAKERILHT00000000997	A	rna-XM_057815598.1	A
BRAKERILHT00000001660	A	rna-XM_057801714.1	A
BRAKERILHT00000000245	A	rna-XM_057801594.1	A
BRAKERILHT00000001439	A	rna-XM_057809431.1	A
BRAKERILHT00000000970	A	rna-XM_057797409.1	A
BRAKERILHT00000000479	A	rna-XM_057797410.1	A
BRAKERILHT00000001392	A	rna-XM_057811717.1	A
BRAKERILHT00000000947	A	rna-XM_057797292.1	A
BRAKERILHT00000000482	A	rna-XM_057797298.1	A
BRAKERILHT00000000445	A	rna-XM_057796266.1	A
BRAKERILHT00000000543	A	rna-XM_057810564.1	A
BRAKERILHT00000001743	A	rna-XM_057806089.1	X
BRAKERILHT00000002102	A	rna-XM_057807555.1	A
BRAKERILHT00000001559	A	rna-XM_057798480.1	A
BRAKERILHT00000000588	A	rna-XM_057797039.1	A
BRAKERILHT00000001602	A	rna-XM_057796218.1	A
BRAKERILHT00000002083	A	rna-XM_057807464.1	A
BRAKERILHT00000001606	A	rna-XM_057807477.1	A
BRAKERILHT00000002120	A	rna-XM_057807467.1	A
BRAKERILHT00000000404	A	rna-XM_057807346.1	A
BRAKERILHT00000000860	A	rna-XM_057810637.1	A
BRAKERILHT00000001281	A	rna-XM_057810035.1	A
BRAKERILHT00000000087	A	rna-XM_057810636.1	A
BRAKERILHT00000000579	A	rna-XM_057798052.1	A
BRAKERILHT00000001286	A	rna-XM_057800439.1	A
BRAKERILHT00000001757	A	rna-XM_057796659.1	A
BRAKERILHT00000001334	A	rna-XM_057796661.1	A
BRAKERILHT00000000638	A	rna-XM_057796642.1	A
BRAKERILHT00000000548	A	rna-XM_057802423.1	A
BRAKERILHT00000001133	A	rna-XM_057808916.1	A
BRAKERILHT00000000758	A	rna-XM_057798944.1	A
BRAKERILHT00000000096	A	rna-XM_057798966.1	A
BRAKERILHT00000001336	A	rna-XM_057808096.1	A
BRAKERILHT00000002093	A	rna-XM_057799339.1	A
BRAKERILHT00000001617	A	rna-XM_057798999.1	A
BRAKERILHT00000000847	A	rna-XM_057808106.1	A
BRAKERILHT00000000379	A	rna-XM_057799357.1	A
BRAKERILHT00000002000	A	rna-XM_057816127.1	X
BRAKERILHT00000000691	A	rna-XM_057816076.1	X
BRAKERILHT00000001256	A	rna-XM_057808900.1	A
BRAKERILHT00000001905	A	rna-XM_057808588.1	A
BRAKERILHT00000000720	A	rna-XM_057808590.1	A
BRAKERILHT00000000449	A	rna-XM_057797507.1	A
BRAKERILHT00000001258	A	rna-XM_057797519.1	A
BRAKERILHT00000000314	A	rna-XM_057802976.1	A
BRAKERILHT00000000836	A	rna-XM_057802973.1	A
BRAKERILHT00000000414	A	rna-XM_057802971.1	A
BRAKERILHT00000000069	A	rna-XM_057802970.1	A
BRAKERILHT00000001583	A	rna-XM_057802600.1	A
BRAKERILHT00000000891	A	rna-XM_057803414.1	A
BRAKERILHT00000001273	A	rna-XM_057802634.1	A
BRAKERILHT00000001736	A	rna-XM_057802266.1	A
BRAKERILHT00000000007	A	rna-XM_057802267.1	A
BRAKERILHT00000001077	A	rna-XM_057802831.1	A
BRAKERILHT00000001028	A	rna-XM_057796105.1	A
BRAKERILHT00000001505	A	rna-XM_057795831.1	A
BRAKERILHT00000001988	A	rna-XM_057795816.1	A
BRAKERILHT00000000682	A	rna-XM_057796569.1	A
BRAKERILHT00000000021	A	rna-XM_057796707.1	A
BRAKERILHT00000001278	A	rna-XM_057795807.1	A
BRAKERILHT00000001453	A	rna-XM_057801559.1	A
BRAKERILHT00000001937	A	rna-XM_057801560.1	A
BRAKERILHT00000001518	A	rna-XM_057797543.1	A
BRAKERILHT00000001550	A	rna-XM_057798811.1	A
BRAKERILHT00000000011	A	rna-XM_057799021.1	A
BRAKERILHT00000000434	A	rna-XM_057812274.1	A
BRAKERILHT00000001643	A	rna-XM_057811269.1	A
BRAKERILHT00000001694	A	rna-XM_057811767.1	A
BRAKERILHT00000001089	A	rna-XM_057803157.1	A
BRAKERILHT00000000760	A	rna-XM_057803405.1	A
BRAKERILHT00000000160	A	rna-XM_057803406.1	A
BRAKERILHT00000001386	A	rna-XM_057803398.1	A
BRAKERILHT00000001593	A	rna-XM_057805121.1	A
BRAKERILHT00000000582	A	rna-XM_057796454.1	A
BRAKERILHT00000000088	A	rna-XM_057796929.1	A
BRAKERILHT00000000357	A	rna-XM_057796924.1	A
BRAKERILHT00000000936	A	rna-XM_057795739.1	A
BRAKERILHT00000001274	A	rna-XM_057795607.1	A
BRAKERILHT00000001570	A	rna-XM_057795828.1	A
BRAKERILHT00000000814	A	rna-XM_057795775.1	A
BRAKERILHT00000000589	A	rna-XM_057795542.1	A
BRAKERILHT00000000439	A	rna-XM_057795779.1	A
BRAKERILHT00000001129	A	rna-XM_057802440.1	A
BRAKERILHT00000000955	A	rna-XM_057795917.1	A
BRAKERILHT00000001469	A	rna-XM_057801091.1	A
BRAKERILHT00000000214	A	rna-XM_057800281.1	A
BRAKERILHT00000001161	A	rna-XM_057801040.1	A
BRAKERILHT00000000015	A	rna-XM_057801069.1	A
BRAKERILHT00000001598	A	rna-XM_057801038.1	A
BRAKERILHT00000000210	A	rna-XM_057801117.1	A
BRAKERILHT00000001766	A	rna-XM_057795476.1	A
BRAKERILHT00000000643	A	rna-XM_057796276.1	A
BRAKERILHT00000000289	A	rna-XM_057795934.1	A
BRAKERILHT00000001195	A	rna-XM_057796137.1	A
BRAKERILHT00000002156	A	rna-XM_057796278.1	A
BRAKERILHT00000000602	A	rna-XM_057795949.1	A
BRAKERILHT00000000101	A	rna-XM_057796279.1	A
BRAKERILHT00000001827	A	rna-XM_057796281.1	A
BRAKERILHT00000001749	A	rna-XM_057796283.1	A
BRAKERILHT00000000661	A	rna-XM_057795936.1	A
BRAKERILHT00000002114	A	rna-XM_057796293.1	A
BRAKERILHT00000000790	A	rna-XM_057796296.1	A
BRAKERILHT00000001546	A	rna-XM_057796307.1	A
BRAKERILHT00000000489	A	rna-XM_057796304.1	A
BRAKERILHT00000001686	A	rna-XM_057796302.1	A
BRAKERILHT00000001982	A	rna-XM_057796299.1	A
BRAKERILHT00000000693	A	rna-XM_057796298.1	A
BRAKERILHT00000000840	A	rna-XM_057796297.1	A
BRAKERILHT00000000299	A	rna-XM_057795744.1	A
BRAKERILHT00000000604	A	rna-XM_057801505.1	A
BRAKERILHT00000001333	A	rna-XM_057811764.1	A
BRAKERILHT00000000190	A	rna-XM_057813378.1	A
BRAKERILHT00000000827	A	rna-XM_057797657.1	A
BRAKERILHT00000001563	A	rna-XM_057796628.1	A
BRAKERILHT00000002127	A	rna-XM_057804089.1	A
BRAKERILHT00000000435	A	rna-XM_057796166.1	A
BRAKERILHT00000001664	A	rna-XM_057796164.1	A
BRAKERILHT00000000224	A	rna-XM_057797396.1	A
BRAKERILHT00000000713	A	rna-XM_057803648.1	A
BRAKERILHT00000001135	A	rna-XM_057801628.1	A
BRAKERILHT00000001642	A	rna-XM_057801627.1	A
BRAKERILHT00000000280	A	rna-XM_057802060.1	A
BRAKERILHT00000001005	A	rna-XM_057802397.1	A
BRAKERILHT00000001931	A	rna-XM_057814073.1	A
BRAKERILHT00000000198	A	rna-XM_057803131.1	A
BRAKERILHT00000000696	A	rna-XM_057814403.1	X
BRAKERILHT00000001973	A	rna-XM_057804482.1	A
BRAKERILHT00000000180	A	rna-XM_057804278.1	A
BRAKERILHT00000000765	A	rna-XM_057815243.1	Y
BRAKERILHT00000000249	A	rna-XM_057805724.1	A
BRAKERILHT00000000976	A	rna-XM_057805735.1	A
BRAKERILHT00000001578	A	rna-XM_057815642.1	A
BRAKERILHT00000000924	A	rna-XM_057805721.1	A
BRAKERILHT00000001054	A	rna-XM_057805710.1	A
BRAKERILHT00000000761	A	rna-XM_057805830.1	A
BRAKERILHT00000000028	A	rna-XM_057798838.1	A
BRAKERILHT00000001574	A	rna-XM_057798824.1	A
BRAKERILHT00000000307	A	rna-XM_057798871.1	A
BRAKERILHT00000000486	A	rna-XM_057798853.1	A
BRAKERILHT00000002033	A	rna-XM_057797953.1	A
BRAKERILHT00000001179	A	rna-XM_057799288.1	A
BRAKERILHT00000000241	A	rna-XM_057799285.1	A
BRAKERILHT00000001812	A	rna-XM_057813346.1	A
BRAKERILHT00000000613	A	rna-XM_057811681.1	A
BRAKERILHT00000000123	A	rna-XM_057799946.1	A
BRAKERILHT00000001684	A	rna-XM_057813498.1	A
BRAKERILHT00000001565	A	rna-XM_057811683.1	A
BRAKERILHT00000000949	A	rna-XM_057797473.1	A
BRAKERILHT00000000367	A	rna-XM_057799040.1	A
BRAKERILHT00000000933	A	rna-XM_057812951.1	A
BRAKERILHT00000001902	A	rna-XM_057801939.1	A
BRAKERILHT00000001158	A	rna-XM_057809622.1	A
BRAKERILHT00000001275	A	rna-XM_057809539.1	A
BRAKERILHT00000000692	A	rna-XM_057809342.1	A
BRAKERILHT00000000592	A	rna-XM_057814765.1	A
BRAKERILHT00000000816	A	rna-XM_057809230.1	A
BRAKERILHT00000001823	A	rna-XM_057809236.1	A
BRAKERILHT00000000600	A	rna-XM_057807583.1	A
BRAKERILHT00000001580	A	rna-XM_057807024.1	A
BRAKERILHT00000000041	A	rna-XM_057807309.1	A
BRAKERILHT00000002118	A	rna-XM_057806945.1	A
BRAKERILHT00000000552	A	rna-XM_057803896.1	A
BRAKERILHT00000001148	A	rna-XM_057795997.1	A
BRAKERILHT00000001214	A	rna-XM_057801433.1	A
BRAKERILHT00000000353	A	rna-XM_057801434.1	A
BRAKERILHT00000000959	A	rna-XM_057815706.1	A
BRAKERILHT00000001586	A	rna-XM_057815719.1	A
BRAKERILHT00000000772	A	rna-XM_057798287.1	A
BRAKERILHT00000001086	A	rna-XM_057801023.1	A
BRAKERILHT00000001036	A	rna-XM_057803389.1	A
BRAKERILHT00000001378	A	rna-XM_057803880.1	A
BRAKERILHT00000002088	A	rna-XM_057804271.1	A
BRAKERILHT00000000538	A	rna-XM_057814881.1	A
BRAKERILHT00000001497	A	rna-XM_057816457.1	A
BRAKERILHT00000000152	A	rna-XM_057816940.1	A
BRAKERILHT00000000764	A	rna-XM_057815737.1	A
BRAKERILHT00000000986	A	rna-XM_057797615.1	A
BRAKERILHT00000000729	A	rna-XM_057799961.1	A
BRAKERILHT00000000119	A	rna-XM_057814664.1	A
BRAKERILHT00000001541	A	rna-XM_057815533.1	A
BRAKERILHT00000000029	A	rna-XM_057815532.1	A
BRAKERILHT00000000279	A	rna-XM_057815682.1	A
BRAKERILHT00000000554	A	rna-XM_057813476.1	A
BRAKERILHT00000000980	A	rna-XM_057815933.1	A
BRAKERILHT00000001501	A	rna-XM_057797307.1	A
BRAKERILHT00000002140	A	rna-XM_057797411.1	A
BRAKERILHT00000000430	A	rna-XM_057806984.1	A
BRAKERILHT00000000918	A	rna-XM_057797417.1	A
BRAKERILHT00000000440	A	rna-XM_057798845.1	A
BRAKERILHT00000000498	A	rna-XM_057800030.1	A
BRAKERILHT00000000550	A	rna-XM_057800029.1	A
BRAKERILHT00000001185	A	rna-XM_057799911.1	A
BRAKERILHT00000000216	A	rna-XM_057816931.1	A
BRAKERILHT00000000855	A	rna-XM_057815258.1	Y
BRAKERILHT00000001114	A	rna-XM_057796386.1	A
BRAKERILHT00000001064	A	rna-XM_057808203.1	A
BRAKERILHT00000000954	A	rna-XM_057797965.1	A
BRAKERILHT00000000586	A	rna-XM_057806260.1	A
BRAKERILHT00000002004	A	rna-XM_057815358.1	Y
BRAKERILHT00000001180	A	rna-XM_057805907.1	A
BRAKERILHT00000001233	A	rna-XM_057814381.1	A
BRAKERILHT00000000899	A	rna-XM_057806540.1	A
BRAKERILHT00000001440	A	rna-XM_057816163.1	A
BRAKERILHT00000001758	A	rna-XM_057811016.1	A
BRAKERILHT00000000298	A	rna-XM_057814395.1	A
BRAKERILHT00000000402	A	rna-XM_057800521.1	A
BRAKERILHT00000000835	A	rna-XM_057796648.1	A
BRAKERILHT00000000320	A	rna-XM_057796646.1	A
BRAKERILHT00000002043	A	rna-XM_057796529.1	A
BRAKERILHT00000001047	A	rna-XM_057796580.1	A
BRAKERILHT00000001340	A	rna-XM_057795623.1	A
BRAKERILHT00000000556	A	rna-XM_057797524.1	X
BRAKERILHT00000000407	A	rna-XM_057799878.1	A
BRAKERILHT00000001271	A	rna-XM_057800432.1	A
BRAKERILHT00000001522	A	rna-XM_057799900.1	A
BRAKERILHT00000000883	A	rna-XM_057799902.1	A
BRAKERILHT00000000012	A	rna-XM_057800206.1	A
BRAKERILHT00000002126	A	rna-XM_057797306.1	A
BRAKERILHT00000001272	A	rna-XM_057797309.1	A
BRAKERILHT00000000656	A	rna-XM_057797300.1	A
BRAKERILHT00000000880	A	rna-XM_057797321.1	A
BRAKERILHT00000001884	A	rna-XM_057796625.1	A
BRAKERILHT00000001873	A	rna-XM_057813137.1	A
BRAKERILHT00000002111	A	rna-XM_057801530.1	A
BRAKERILHT00000000057	A	rna-XM_057804819.1	A
BRAKERILHT00000000920	A	rna-XM_057805248.1	A
BRAKERILHT00000001125	A	rna-XM_057804596.1	A
BRAKERILHT00000000075	A	rna-XM_057804843.1	A
BRAKERILHT00000001795	A	rna-XM_057804247.1	A
BRAKERILHT00000001312	A	rna-XM_057804253.1	A
BRAKERILHT00000001544	A	rna-XM_057809443.1	X
BRAKERILHT00000001071	A	rna-XM_057796521.1	A
BRAKERILHT00000002055	A	rna-XM_057808364.1	A
BRAKERILHT00000000818	A	rna-XM_057808365.1	A
BRAKERILHT00000000239	A	rna-XM_057811667.1	A
