B_varius	chromosome	B_siliquastri	chromosome
anno1.g153.t3	A	BRAKERILHT00000015579	A
anno1.g159.t2	A	BRAKERILHT00000015138	A
anno1.g160.t1	A	BRAKERILHT00000014890	A
anno1.g162.t1	A	BRAKERILHT00000014436	A
anno1.g163.t1	A	BRAKERILHT00000014144	A
anno1.g164.t2	A	BRAKERILHT00000014126	A
anno1.g166.t1	A	BRAKERILHT00000015356	A
anno1.g167.t1	A	BRAKERILHT00000014640	A
anno1.g168.t1	A	BRAKERILHT00000014297	A
anno1.g169.t1	A	BRAKERILHT00000015529	A
anno1.g170.t1	A	BRAKERILHT00000015203	A
anno1.g171.t1	A	BRAKERILHT00000014461	A
anno1.g172.t1	A	BRAKERILHT00000014112	A
anno1.g173.t1	A	BRAKERILHT00000015380	A
anno1.g174.t1	A	BRAKERILHT00000015222	A
anno1.g175.t1	A	BRAKERILHT00000014173	A
anno1.g176.t1	A	BRAKERILHT00000015338	A
anno1.g177.t1	A	BRAKERILHT00000014056	A
anno1.g178.t1	A	BRAKERILHT00000015583	A
anno1.g179.t1	A	BRAKERILHT00000014245	A
anno1.g180.t1	A	BRAKERILHT00000015464	A
anno1.g181.t1	A	BRAKERILHT00000014446	A
anno1.g182.t1	A	BRAKERILHT00000014098	A
anno1.g183.t1	A	BRAKERILHT00000014272	A
anno1.g184.t1	A	BRAKERILHT00000015266	A
anno1.g186.t2	A	BRAKERILHT00000014733	A
anno1.g189.t1	A	BRAKERILHT00000015177	A
anno1.g190.t1	A	BRAKERILHT00000012953	A
anno1.g192.t1	A	BRAKERILHT00000014071	A
anno1.g193.t1	A	BRAKERILHT00000014620	A
anno1.g194.t1	A	BRAKERILHT00000014509	A
anno1.g195.t1	A	BRAKERILHT00000015116	A
anno1.g196.t1	A	BRAKERILHT00000014942	A
anno1.g197.t1	A	BRAKERILHT00000014593	A
anno1.g198.t1	A	BRAKERILHT00000014484	A
anno1.g199.t1	A	BRAKERILHT00000014237	A
anno1.g200.t1	A	BRAKERILHT00000015256	A
anno1.g202.t1	A	BRAKERILHT00000014487	A
anno1.g203.t1	A	BRAKERILHT00000014903	A
anno1.g204.t1	A	BRAKERILHT00000014304	A
anno1.g205.t1	A	BRAKERILHT00000015393	A
anno1.g206.t1	A	BRAKERILHT00000015245	A
anno1.g207.t1	A	BRAKERILHT00000014180	A
anno1.g208.t1	A	BRAKERILHT00000010385	A
anno1.g210.t1	A	BRAKERILHT00000014851	A
anno1.g211.t2	A	BRAKERILHT00000014543	A
anno1.g212.t2	A	BRAKERILHT00000014343	A
anno1.g216.t2	A	BRAKERILHT00000015032	A
anno1.g217.t1	A	BRAKERILHT00000015103	A
anno1.g219.t1	A	BRAKERILHT00000015197	A
anno1.g220.t1	A	BRAKERILHT00000015125	A
anno1.g221.t1	A	BRAKERILHT00000014540	A
anno1.g222.t1	A	BRAKERILHT00000015000	A
anno1.g224.t1	A	BRAKERILHT00000014467	A
anno1.g225.t2	A	BRAKERILHT00000014154	A
anno1.g226.t1	A	BRAKERILHT00000014477	A
anno1.g227.t1	A	BRAKERILHT00000014825	A
anno1.g228.t1	A	BRAKERILHT00000015056	A
anno1.g229.t1	A	BRAKERILHT00000014377	A
anno1.g230.t1	A	BRAKERILHT00000014811	A
anno1.g231.t1	A	BRAKERILHT00000014827	A
anno1.g232.t2	A	BRAKERILHT00000014125	A
anno1.g234.t1	A	BRAKERILHT00000017616	X
anno1.g235.t1	A	BRAKERILHT00000014555	A
anno1.g237.t1	A	BRAKERILHT00000014630	A
anno1.g238.t1	A	BRAKERILHT00000015090	A
anno1.g240.t1	A	BRAKERILHT00000015178	A
anno1.g241.t1	A	BRAKERILHT00000014030	A
anno1.g242.t4	A	BRAKERILHT00000015587	A
anno1.g243.t1	A	BRAKERILHT00000014164	A
anno1.g244.t1	A	BRAKERILHT00000015487	A
anno1.g245.t1	A	BRAKERILHT00000014303	A
anno1.g246.t2	A	BRAKERILHT00000014614	A
anno1.g247.t1	A	BRAKERILHT00000015272	A
anno1.g248.t1	A	BRAKERILHT00000014253	A
anno1.g251.t1	A	BRAKERILHT00000015575	A
anno1.g254.t2	A	BRAKERILHT00000014530	A
anno1.g255.t1	A	BRAKERILHT00000014692	A
anno1.g257.t2	A	BRAKERILHT00000015033	A
anno1.g258.t1	A	BRAKERILHT00000015413	A
anno1.g259.t1	A	BRAKERILHT00000014160	A
anno1.g260.t2	A	BRAKERILHT00000014531	A
anno1.g261.t1	A	BRAKERILHT00000014445	A
anno1.g262.t1	A	BRAKERILHT00000015524	A
anno1.g263.t1	A	BRAKERILHT00000014889	A
anno1.g265.t1	A	BRAKERILHT00000015219	A
anno1.g267.t1	A	BRAKERILHT00000014969	A
anno1.g268.t1	A	BRAKERILHT00000014317	A
anno1.g269.t1	A	BRAKERILHT00000014108	A
anno1.g270.t1	A	BRAKERILHT00000015262	A
anno1.g271.t1	A	BRAKERILHT00000015190	A
anno1.g272.t1	A	BRAKERILHT00000015347	A
anno1.g274.t1	A	BRAKERILHT00000014770	A
anno1.g275.t1	A	BRAKERILHT00000014305	A
anno1.g276.t1	A	BRAKERILHT00000014746	A
anno1.g283.t2	A	BRAKERILHT00000000996	A
anno1.g284.t3	A	BRAKERILHT00000015445	A
anno1.g285.t1	A	BRAKERILHT00000015423	A
anno1.g291.t1	A	BRAKERILHT00000015432	A
anno1.g292.t1	A	BRAKERILHT00000014257	A
anno1.g293.t1	A	BRAKERILHT00000014689	A
anno1.g294.t1	A	BRAKERILHT00000015135	A
anno1.g295.t2	A	BRAKERILHT00000015573	A
anno1.g296.t1	A	BRAKERILHT00000014873	A
anno1.g297.t1	A	BRAKERILHT00000015306	A
anno1.g307.t1	A	BRAKERILHT00000014584	A
anno1.g308.t1	A	BRAKERILHT00000015075	A
anno1.g309.t2	A	BRAKERILHT00000014373	A
anno1.g310.t2	A	BRAKERILHT00000015121	A
anno1.g312.t2	A	BRAKERILHT00000014556	A
anno1.g314.t1	A	BRAKERILHT00000014215	A
anno1.g315.t2	A	BRAKERILHT00000014036	A
anno1.g317.t1	A	BRAKERILHT00000015318	A
anno1.g320.t1	A	BRAKERILHT00000014856	A
anno1.g321.t1	A	BRAKERILHT00000014972	A
anno1.g322.t2	A	BRAKERILHT00000014313	A
anno1.g323.t2	A	BRAKERILHT00000015572	A
anno1.g329.t1	A	BRAKERILHT00000015315	A
anno1.g330.t1	A	BRAKERILHT00000014789	A
anno1.g331.t1	A	BRAKERILHT00000014966	A
anno1.g332.t1	A	BRAKERILHT00000014029	A
anno1.g335.t1	A	BRAKERILHT00000014526	A
anno1.g336.t1	A	BRAKERILHT00000015358	A
anno1.g337.t1	A	BRAKERILHT00000014318	A
anno1.g338.t1	A	BRAKERILHT00000014913	A
anno1.g339.t1	A	BRAKERILHT00000014073	A
anno1.g340.t1	A	BRAKERILHT00000015268	A
anno1.g341.t1	A	BRAKERILHT00000014826	A
anno1.g342.t1	A	BRAKERILHT00000014378	A
anno1.g343.t1	A	BRAKERILHT00000014808	A
anno1.g344.t1	A	BRAKERILHT00000014602	A
anno1.g345.t1	A	BRAKERILHT00000014141	A
anno1.g346.t1	A	BRAKERILHT00000015495	A
anno1.g347.t1	A	BRAKERILHT00000014161	A
anno1.g348.t1	A	BRAKERILHT00000014597	A
anno1.g350.t1	A	BRAKERILHT00000014554	A
anno1.g352.t1	A	BRAKERILHT00000015071	A
anno1.g353.t1	A	BRAKERILHT00000015336	A
anno1.g354.t1	A	BRAKERILHT00000014867	A
anno1.g355.t1	A	BRAKERILHT00000014511	A
anno1.g356.t1	A	BRAKERILHT00000014797	A
anno1.g357.t1	A	BRAKERILHT00000014615	A
anno1.g359.t2	A	BRAKERILHT00000015502	A
anno1.g360.t1	A	BRAKERILHT00000014917	A
anno1.g361.t1	A	BRAKERILHT00000014456	A
anno1.g362.t2	A	BRAKERILHT00000015037	A
anno1.g363.t1	A	BRAKERILHT00000015385	A
anno1.g364.t1	A	BRAKERILHT00000014367	A
anno1.g365.t1	A	BRAKERILHT00000014704	A
anno1.g366.t1	A	BRAKERILHT00000014588	A
anno1.g368.t1	A	BRAKERILHT00000014433	A
anno1.g369.t1	A	BRAKERILHT00000015067	A
anno1.g370.t1	A	BRAKERILHT00000015515	A
anno1.g371.t1	A	BRAKERILHT00000014545	A
anno1.g374.t1	A	BRAKERILHT00000014455	A
anno1.g375.t1	A	BRAKERILHT00000014338	A
anno1.g376.t1	A	BRAKERILHT00000015129	A
anno1.g377.t1	A	BRAKERILHT00000014992	A
anno1.g378.t1	A	BRAKERILHT00000014421	A
anno1.g379.t1	A	BRAKERILHT00000014110	A
anno1.g381.t1	A	BRAKERILHT00000014535	A
anno1.g382.t1	A	BRAKERILHT00000014329	A
anno1.g383.t1	A	BRAKERILHT00000015472	A
anno1.g384.t1	A	BRAKERILHT00000015386	A
anno1.g385.t2	A	BRAKERILHT00000014628	A
anno1.g386.t1	A	BRAKERILHT00000015243	A
anno1.g387.t1	A	BRAKERILHT00000014054	A
anno1.g388.t1	A	BRAKERILHT00000014697	A
anno1.g389.t1	A	BRAKERILHT00000015155	A
anno1.g391.t1	A	BRAKERILHT00000015467	A
anno1.g392.t1	A	BRAKERILHT00000014320	A
anno1.g393.t1	A	BRAKERILHT00000003896	A
anno1.g395.t2	A	BRAKERILHT00000014586	A
anno1.g396.t1	A	BRAKERILHT00000015204	A
anno1.g397.t1	A	BRAKERILHT00000015549	A
anno1.g398.t1	A	BRAKERILHT00000014273	A
anno1.g399.t1	A	BRAKERILHT00000014537	A
anno1.g400.t1	A	BRAKERILHT00000014557	A
anno1.g401.t3	A	BRAKERILHT00000014503	A
anno1.g402.t1	A	BRAKERILHT00000015518	A
anno1.g403.t1	A	BRAKERILHT00000014559	A
anno1.g404.t2	A	BRAKERILHT00000015265	A
anno1.g405.t1	A	BRAKERILHT00000014932	A
anno1.g406.t2	A	BRAKERILHT00000014850	A
anno1.g407.t1	A	BRAKERILHT00000014516	A
anno1.g408.t1	A	BRAKERILHT00000014738	A
anno1.g409.t1	A	BRAKERILHT00000014404	A
anno1.g410.t1	A	BRAKERILHT00000015027	A
anno1.g411.t1	A	BRAKERILHT00000015513	A
anno1.g412.t1	A	BRAKERILHT00000014407	A
anno1.g413.t1	A	BRAKERILHT00000014812	A
anno1.g415.t1	A	BRAKERILHT00000015049	A
anno1.g416.t2	A	BRAKERILHT00000015275	A
anno1.g417.t1	A	BRAKERILHT00000014381	A
anno1.g418.t1	A	BRAKERILHT00000014832	A
anno1.g419.t1	A	BRAKERILHT00000015274	A
anno1.g420.t1	A	BRAKERILHT00000014158	A
anno1.g421.t1	A	BRAKERILHT00000015252	A
anno1.g422.t1	A	BRAKERILHT00000014409	A
anno1.g423.t3	A	BRAKERILHT00000015227	A
anno1.g425.t2	A	BRAKERILHT00000015308	A
anno1.g426.t2	A	BRAKERILHT00000014766	A
anno1.g427.t1	A	BRAKERILHT00000014425	A
anno1.g429.t1	A	BRAKERILHT00000015555	A
anno1.g430.t2	A	BRAKERILHT00000014281	A
anno1.g432.t1	A	BRAKERILHT00000015007	A
anno1.g433.t1	A	BRAKERILHT00000014463	A
anno1.g434.t2	A	BRAKERILHT00000014360	A
anno1.g435.t1	A	BRAKERILHT00000014926	A
anno1.g436.t1	A	BRAKERILHT00000014211	A
anno1.g438.t1	A	BRAKERILHT00000014271	A
anno1.g441.t1	A	BRAKERILHT00000015258	A
anno1.g442.t1	A	BRAKERILHT00000014784	A
anno1.g443.t2	A	BRAKERILHT00000015548	A
anno1.g445.t1	A	BRAKERILHT00000015021	A
anno1.g446.t1	A	BRAKERILHT00000014441	A
anno1.g447.t1	A	BRAKERILHT00000015327	A
anno1.g448.t1	A	BRAKERILHT00000014788	A
anno1.g449.t1	A	BRAKERILHT00000014466	A
anno1.g450.t1	A	BRAKERILHT00000014332	A
anno1.g451.t1	A	BRAKERILHT00000015570	A
anno1.g452.t1	A	BRAKERILHT00000015038	A
anno1.g453.t1	A	BRAKERILHT00000015398	A
anno1.g455.t1	A	BRAKERILHT00000015080	A
anno1.g456.t1	A	BRAKERILHT00000015415	A
anno1.g457.t1	A	BRAKERILHT00000014910	A
anno1.g459.t1	A	BRAKERILHT00000014361	A
anno1.g460.t1	A	BRAKERILHT00000015107	A
anno1.g462.t1	A	BRAKERILHT00000015185	A
anno1.g463.t1	A	BRAKERILHT00000015459	A
anno1.g464.t2	A	BRAKERILHT00000015003	A
anno1.g465.t1	A	BRAKERILHT00000014572	A
anno1.g466.t1	A	BRAKERILHT00000014908	A
anno1.g467.t1	A	BRAKERILHT00000011014	A
anno1.g469.t2	A	BRAKERILHT00000018097	Y
anno1.g470.t1	A	BRAKERILHT00000002988	A
anno1.g472.t1	A	BRAKERILHT00000014968	A
anno1.g473.t1	A	BRAKERILHT00000015400	A
anno1.g474.t3	A	BRAKERILHT00000015442	A
anno1.g475.t4	A	BRAKERILHT00000014292	A
anno1.g476.t1	A	BRAKERILHT00000014057	A
anno1.g477.t3	A	BRAKERILHT00000014176	A
anno1.g478.t2	A	BRAKERILHT00000015041	A
anno1.g479.t1	A	BRAKERILHT00000014896	A
anno1.g480.t1	A	BRAKERILHT00000014507	A
anno1.g481.t1	A	BRAKERILHT00000014189	A
anno1.g482.t1	A	BRAKERILHT00000015419	A
anno1.g483.t2	A	BRAKERILHT00000015247	A
anno1.g484.t1	A	BRAKERILHT00000014780	A
anno1.g485.t1	A	BRAKERILHT00000014423	A
anno1.g486.t1	A	BRAKERILHT00000014726	A
anno1.g487.t1	A	BRAKERILHT00000015114	A
anno1.g488.t1	A	BRAKERILHT00000015448	A
anno1.g489.t1	A	BRAKERILHT00000001999	A
anno1.g490.t1	A	BRAKERILHT00000014978	A
anno1.g492.t1	A	BRAKERILHT00000014515	A
anno1.g493.t1	A	BRAKERILHT00000014053	A
anno1.g494.t2	A	BRAKERILHT00000014059	A
anno1.g495.t1	A	BRAKERILHT00000015568	A
anno1.g496.t1	A	BRAKERILHT00000015144	A
anno1.g497.t1	A	BRAKERILHT00000014499	A
anno1.g498.t1	A	BRAKERILHT00000015004	A
anno1.g499.t1	A	BRAKERILHT00000014123	A
anno1.g500.t2	A	BRAKERILHT00000014316	A
anno1.g501.t1	A	BRAKERILHT00000014629	A
anno1.g502.t1	A	BRAKERILHT00000014990	A
anno1.g503.t1	A	BRAKERILHT00000015389	A
anno1.g504.t1	A	BRAKERILHT00000015422	A
anno1.g505.t1	A	BRAKERILHT00000014957	A
anno1.g506.t2	A	BRAKERILHT00000014438	A
anno1.g507.t1	A	BRAKERILHT00000015588	A
anno1.g509.t1	A	BRAKERILHT00000015133	A
anno1.g510.t1	A	BRAKERILHT00000011452	A
anno1.g511.t1	A	BRAKERILHT00000014663	A
anno1.g513.t1	A	BRAKERILHT00000015193	A
anno1.g514.t1	A	BRAKERILHT00000015160	A
anno1.g515.t1	A	BRAKERILHT00000014322	A
anno1.g516.t1	A	BRAKERILHT00000014672	A
anno1.g519.t1	A	BRAKERILHT00000015220	A
anno1.g520.t1	A	BRAKERILHT00000015546	A
anno1.g522.t1	A	BRAKERILHT00000014468	A
anno1.g523.t1	A	BRAKERILHT00000015045	A
anno1.g525.t1	A	BRAKERILHT00000015501	A
anno1.g526.t1	A	BRAKERILHT00000014416	A
anno1.g527.t1	A	BRAKERILHT00000014891	A
anno1.g528.t1	A	BRAKERILHT00000015226	A
anno1.g530.t1	A	BRAKERILHT00000014079	A
anno1.g531.t1	A	BRAKERILHT00000014324	A
anno1.g532.t2	A	BRAKERILHT00000014753	A
anno1.g533.t1	A	BRAKERILHT00000015321	A
anno1.g534.t1	A	BRAKERILHT00000014577	A
anno1.g535.t1	A	BRAKERILHT00000014159	A
anno1.g536.t1	A	BRAKERILHT00000014527	A
anno1.g537.t1	A	BRAKERILHT00000014870	A
anno1.g538.t1	A	BRAKERILHT00000015571	A
anno1.g539.t1	A	BRAKERILHT00000014319	A
anno1.g540.t1	A	BRAKERILHT00000014075	A
anno1.g541.t1	A	BRAKERILHT00000015031	A
anno1.g542.t1	A	BRAKERILHT00000014959	A
anno1.g544.t1	A	BRAKERILHT00000014646	A
anno1.g545.t1	A	BRAKERILHT00000015054	A
anno1.g546.t1	A	BRAKERILHT00000014222	A
anno1.g547.t1	A	BRAKERILHT00000005469	A
anno1.g549.t1	A	BRAKERILHT00000014174	A
anno1.g550.t1	A	BRAKERILHT00000014528	A
anno1.g552.t1	A	BRAKERILHT00000014043	A
anno1.g553.t1	A	BRAKERILHT00000014841	A
anno1.g554.t1	A	BRAKERILHT00000015569	A
anno1.g555.t1	A	BRAKERILHT00000014293	A
anno1.g557.t1	A	BRAKERILHT00000014933	A
anno1.g563.t2	A	BRAKERILHT00000014216	A
anno1.g564.t3	A	BRAKERILHT00000015397	A
anno1.g565.t1	A	BRAKERILHT00000015345	A
anno1.g566.t1	A	BRAKERILHT00000015469	A
anno1.g567.t1	A	BRAKERILHT00000014935	A
anno1.g568.t1	A	BRAKERILHT00000014587	A
anno1.g569.t1	A	BRAKERILHT00000014044	A
anno1.g570.t1	A	BRAKERILHT00000014258	A
anno1.g571.t1	A	BRAKERILHT00000014980	A
anno1.g572.t1	A	BRAKERILHT00000014622	A
anno1.g573.t1	A	BRAKERILHT00000014069	A
anno1.g574.t1	A	BRAKERILHT00000014824	A
anno1.g575.t1	A	BRAKERILHT00000014398	A
anno1.g576.t1	A	BRAKERILHT00000014595	A
anno1.g577.t1	A	BRAKERILHT00000014152	A
anno1.g581.t1	A	BRAKERILHT00000014093	A
anno1.g587.t1	A	BRAKERILHT00000015060	A
anno1.g591.t1	A	BRAKERILHT00000015117	A
anno1.g592.t1	A	BRAKERILHT00000014862	A
anno1.g593.t1	A	BRAKERILHT00000014390	A
anno1.g594.t1	A	BRAKERILHT00000014083	A
anno1.g595.t4	A	BRAKERILHT00000015325	A
anno1.g596.t1	A	BRAKERILHT00000015558	A
anno1.g597.t2	A	BRAKERILHT00000015206	A
anno1.g598.t1	A	BRAKERILHT00000015465	A
anno1.g599.t1	A	BRAKERILHT00000014127	A
anno1.g600.t2	A	BRAKERILHT00000014486	A
anno1.g601.t1	A	BRAKERILHT00000015342	A
anno1.g606.t1	A	BRAKERILHT00000015454	A
anno1.g607.t1	A	BRAKERILHT00000015044	A
anno1.g609.t1	A	BRAKERILHT00000014476	A
anno1.g610.t3	A	BRAKERILHT00000014121	A
anno1.g611.t1	A	BRAKERILHT00000015527	A
anno1.g612.t1	A	BRAKERILHT00000015175	A
anno1.g616.t2	A	BRAKERILHT00000014138	A
anno1.g617.t1	A	BRAKERILHT00000014148	A
anno1.g618.t1	A	BRAKERILHT00000014815	A
anno1.g619.t1	A	BRAKERILHT00000015006	A
anno1.g620.t1	A	BRAKERILHT00000015355	A
anno1.g621.t1	A	BRAKERILHT00000014645	A
anno1.g622.t1	A	BRAKERILHT00000014731	A
anno1.g624.t1	A	BRAKERILHT00000014776	A
anno1.g627.t1	A	BRAKERILHT00000017068	X
anno1.g629.t1	A	BRAKERILHT00000014907	A
anno1.g630.t1	A	BRAKERILHT00000014741	A
anno1.g632.t2	A	BRAKERILHT00000014397	A
anno1.g633.t1	A	BRAKERILHT00000015436	A
anno1.g634.t1	A	BRAKERILHT00000014892	A
anno1.g635.t1	A	BRAKERILHT00000015299	A
anno1.g640.t1	A	BRAKERILHT00000015070	A
anno1.g642.t1	A	BRAKERILHT00000002735	A
anno1.g643.t1	A	BRAKERILHT00000014684	A
anno1.g645.t1	A	BRAKERILHT00000014349	A
anno1.g646.t1	A	BRAKERILHT00000015450	A
anno1.g647.t1	A	BRAKERILHT00000014707	A
anno1.g648.t1	A	BRAKERILHT00000015073	A
anno1.g649.t1	A	BRAKERILHT00000015539	A
anno1.g650.t1	A	BRAKERILHT00000014975	A
anno1.g651.t1	A	BRAKERILHT00000014289	A
anno1.g652.t1	A	BRAKERILHT00000014636	A
anno1.g654.t1	A	BRAKERILHT00000015051	A
anno1.g655.t1	A	BRAKERILHT00000015537	A
anno1.g656.t1	A	BRAKERILHT00000014634	A
anno1.g657.t1	A	BRAKERILHT00000015140	A
anno1.g658.t1	A	BRAKERILHT00000014626	A
anno1.g659.t1	A	BRAKERILHT00000014987	A
anno1.g660.t1	A	BRAKERILHT00000015378	A
anno1.g661.t1	A	BRAKERILHT00000014451	A
anno1.g662.t1	A	BRAKERILHT00000014874	A
anno1.g663.t1	A	BRAKERILHT00000014720	A
anno1.g664.t1	A	BRAKERILHT00000014353	A
anno1.g665.t1	A	BRAKERILHT00000014816	A
anno1.g669.t1	A	BRAKERILHT00000014848	A
anno1.g675.t1	A	BRAKERILHT00000015310	A
anno1.g676.t1	A	BRAKERILHT00000015127	A
anno1.g677.t1	A	BRAKERILHT00000015520	A
anno1.g678.t1	A	BRAKERILHT00000015235	A
anno1.g680.t1	A	BRAKERILHT00000015395	A
anno1.g681.t2	A	BRAKERILHT00000014082	A
anno1.g682.t1	A	BRAKERILHT00000014918	A
anno1.g683.t1	A	BRAKERILHT00000015367	A
anno1.g684.t1	A	BRAKERILHT00000015492	A
anno1.g685.t2	A	BRAKERILHT00000014066	A
anno1.g686.t1	A	BRAKERILHT00000015134	A
anno1.g688.t2	A	BRAKERILHT00000015535	A
anno1.g689.t1	A	BRAKERILHT00000014325	A
anno1.g690.t2	A	BRAKERILHT00000015095	A
anno1.g692.t1	A	BRAKERILHT00000014914	A
anno1.g693.t1	A	BRAKERILHT00000015216	A
anno1.g694.t1	A	BRAKERILHT00000014055	A
anno1.g695.t1	A	BRAKERILHT00000014902	A
anno1.g696.t1	A	BRAKERILHT00000015482	A
anno1.g697.t1	A	BRAKERILHT00000015169	A
anno1.g699.t2	A	BRAKERILHT00000014749	A
anno1.g700.t1	A	BRAKERILHT00000014847	A
anno1.g701.t1	A	BRAKERILHT00000015101	A
anno1.g702.t1	A	BRAKERILHT00000014651	A
anno1.g703.t1	A	BRAKERILHT00000015172	A
anno1.g704.t1	A	BRAKERILHT00000014798	A
anno1.g705.t1	A	BRAKERILHT00000015240	A
anno1.g706.t1	A	BRAKERILHT00000014103	A
anno1.g707.t1	A	BRAKERILHT00000014311	A
anno1.g708.t1	A	BRAKERILHT00000014035	A
anno1.g709.t2	A	BRAKERILHT00000015192	A
anno1.g710.t1	A	BRAKERILHT00000015511	A
anno1.g711.t1	A	BRAKERILHT00000014982	A
anno1.g712.t1	A	BRAKERILHT00000014136	A
anno1.g713.t1	A	BRAKERILHT00000002133	A
anno1.g714.t1	A	BRAKERILHT00000015293	A
anno1.g715.t1	A	BRAKERILHT00000014846	A
anno1.g717.t1	A	BRAKERILHT00000012196	A
anno1.g722.t1	A	BRAKERILHT00000014658	A
anno1.g723.t1	A	BRAKERILHT00000015335	A
anno1.g724.t1	A	BRAKERILHT00000015022	A
anno1.g725.t2	A	BRAKERILHT00000014444	A
anno1.g726.t1	A	BRAKERILHT00000014104	A
anno1.g727.t1	A	BRAKERILHT00000015304	A
anno1.g728.t1	A	BRAKERILHT00000015198	A
anno1.g729.t1	A	BRAKERILHT00000015381	A
anno1.g730.t1	A	BRAKERILHT00000014822	A
anno1.g732.t2	A	BRAKERILHT00000014809	A
anno1.g733.t1	A	BRAKERILHT00000014868	A
anno1.g734.t1	A	BRAKERILHT00000015324	A
anno1.g735.t1	A	BRAKERILHT00000014331	A
anno1.g736.t1	A	BRAKERILHT00000014778	A
anno1.g737.t1	A	BRAKERILHT00000014719	A
anno1.g738.t2	A	BRAKERILHT00000014074	A
anno1.g741.t1	A	BRAKERILHT00000015412	A
anno1.g742.t4	A	BRAKERILHT00000014930	A
anno1.g743.t1	A	BRAKERILHT00000015096	A
anno1.g744.t1	A	BRAKERILHT00000014641	A
anno1.g745.t1	A	BRAKERILHT00000014744	A
anno1.g746.t1	A	BRAKERILHT00000015285	A
anno1.g747.t1	A	BRAKERILHT00000014709	A
