D_sublineata	chromosome	C_maculatus	chromosome
rna-XM_056784741.1	A	g11230.t1	A
rna-XM_056784730.1	A	g546.t1	A
rna-XM_056785645.1	A	g14289.t1	A
rna-XM_056791937.1	A	g2290.t1	A
rna-XM_056791951.1	A	g11922.t1	A
rna-XM_056779975.1	A	g11002.t1	A
rna-XM_056789057.1	A	g11000.t1	A
rna-XM_056777002.1	A	g10999.t1	A
rna-XM_056788462.1	A	g11919.t2	A
rna-XM_056788747.1	A	g11238.t1	A
rna-XM_056788976.1	A	g5635.t4	A
rna-XM_056789743.1	A	g5636.t1	A
rna-XM_056789846.1	A	g10038.t1	A
rna-XM_056790021.1	A	g10037.t1	A
rna-XM_056790387.1	A	g9077.t1	A
rna-XM_056790148.1	A	g9079.t1	A
rna-XM_056790274.1	A	g9044.t1	A
rna-XM_056790505.1	A	g9045.t1	A
rna-XM_056790629.1	A	g10039.t1	A
rna-XM_056791072.1	A	g10030.t1	A
rna-XM_056791391.1	A	g10031.t1	A
rna-XM_056791276.1	A	g10032.t1	A
rna-XM_056791336.1	A	g10033.t1	A
rna-XM_056791207.1	A	g6859.t2	A
rna-XM_056790951.1	A	g10040.t1	A
rna-XM_056790828.1	A	g10250.t1	A
rna-XM_056785330.1	A	g10256.t1	A
rna-XM_056785350.1	A	g8232.t1	A
rna-XM_056779406.1	A	g6866.t1	A
rna-XM_056776346.1	A	g2597.t1	A
rna-XM_056774666.1	A	g10044.t1	A
rna-XM_056774679.1	A	g8243.t1	A
rna-XM_056774690.1	A	g519.t1	A
rna-XM_056774710.1	A	g10917.t1	A
rna-XM_056784710.1	A	g481.t1	A
rna-XM_056779312.1	A	g480.t2	A
rna-XM_056776045.1	A	g477.t1	A
rna-XM_056792863.1	A	g6864.t1	A
rna-XM_056779834.1	A	g6862.t1	A
rna-XM_056789251.1	A	g6861.t1	A
rna-XM_056776583.1	A	g6475.t1	A
rna-XM_056779419.1	A	g13237.t1	A
rna-XM_056779437.1	A	g13236.t1	A
rna-XM_056791564.1	A	g628.t1	A
rna-XM_056791567.1	A	g13920.t1	A
rna-XM_056787238.1	A	g69.t2	A
rna-XM_056790290.1	A	g14813.t1	A
rna-XM_056790303.1	A	g10162.t3	A
rna-XM_056790246.1	A	g10161.t1	A
rna-XM_056790234.1	A	g13905.t1	A
rna-XM_056790221.1	A	g13910.t1	A
rna-XM_056780376.1	A	g8692.t1	A
rna-XM_056780388.1	A	g8628.t1	A
rna-XM_056784180.1	A	g701.t1	A
rna-XM_056784151.1	A	g2365.t1	A
rna-XM_056778539.1	A	g8795.t1	A
rna-XM_056778554.1	A	g8796.t1	A
rna-XM_056778566.1	A	g8794.t1	A
rna-XM_056787130.1	A	g1261.t1	A
rna-XM_056787452.1	A	g8793.t1	A
rna-XM_056787252.1	A	g11239.t1	A
rna-XM_056791389.1	A	g7049.t1	A
rna-XM_056789293.1	A	g7050.t1	A
rna-XM_056784244.1	A	g5547.t1	A
rna-XM_056776949.1	A	g11364.t2	A
rna-XM_056789304.1	A	g8607.t1	A
rna-XM_056789325.1	A	g2662.t1	A
rna-XM_056776329.1	A	g6118.t1	A
rna-XM_056793039.1	A	g4731.t1	A
rna-XM_056793173.1	A	g12619.t3	A
rna-XM_056773552.1	A	g13078.t1	A
rna-XM_056793065.1	A	g11190.t1	A
rna-XM_056773567.1	A	g12239.t1	A
rna-XM_056773597.1	A	g12241.t1	A
rna-XM_056777237.1	A	g11697.t1	A
rna-XM_056789496.1	A	g11698.t1	A
rna-XM_056789509.1	A	g4650.t1	A
rna-XM_056784261.1	A	g11702.t2	A
rna-XM_056780981.1	A	g13292.t1	A
rna-XM_056781008.1	A	g13293.t1	A
rna-XM_056785541.1	A	g13286.t1	A
rna-XM_056784346.1	A	g13285.t1	A
rna-XM_056784224.1	A	g13284.t1	A
rna-XM_056779355.1	A	g12623.t1	A
rna-XM_056779345.1	A	g12182.t1	A
rna-XM_056791846.1	A	g12179.t1	A
rna-XM_056780343.1	A	g11720.t2	A
rna-XM_056791559.1	A	g3877.t1	A
rna-XM_056778947.1	A	g11718.t2	A
rna-XM_056788269.1	A	g11353.t1	A
rna-XM_056774553.1	A	g12280.t1	A
rna-XM_056774528.1	A	g12281.t3	A
rna-XM_056774540.1	A	g4070.t1	A
rna-XM_056774565.1	A	g3039.t2	A
rna-XM_056774580.1	A	g13211.t1	A
rna-XM_056782276.1	A	g12620.t1	A
rna-XM_056781728.1	A	g3051.t1	A
rna-XM_056777283.1	A	g3050.t2	A
rna-XM_056777308.1	A	g7585.t1	A
rna-XM_056777294.1	A	g7584.t1	A
rna-XM_056777205.1	A	g7579.t2	A
rna-XM_056778260.1	A	g7578.t1	A
rna-XM_056780139.1	A	g7575.t1	A
rna-XM_056782991.1	A	g6550.t1	A
rna-XM_056782980.1	A	g12345.t2	A
rna-XM_056784790.1	A	g12236.t1	A
rna-XM_056787518.1	A	g12237.t1	A
rna-XM_056787531.1	A	g11883.t1	A
rna-XM_056787510.1	A	g11884.t1	A
rna-XM_056787498.1	A	g11885.t1	A
rna-XM_056787476.1	A	g3807.t1	A
rna-XM_056778984.1	A	g4989.t1	A
rna-XM_056790126.1	A	g13914.t1	A
rna-XM_056790869.1	A	g12219.t1	A
rna-XM_056790810.1	A	g11603.t1	A
rna-XM_056774258.1	A	g11888.t1	A
rna-XM_056774255.1	A	g11602.t2	A
rna-XM_056774250.1	A	g11600.t1	A
rna-XM_056780416.1	A	g11599.t1	A
rna-XM_056780403.1	A	g11938.t1	A
rna-XM_056779395.1	A	g14303.t1	A
rna-XM_056792618.1	A	g13296.t1	A
rna-XM_056781292.1	A	g13573.t1	A
rna-XM_056781212.1	A	g11606.t4	A
rna-XM_056780579.1	A	g11604.t1	A
rna-XM_056780693.1	A	g11613.t1	A
rna-XM_056790355.1	A	g2548.t1	A
rna-XM_056790377.1	A	g6489.t1	A
rna-XM_056790388.1	A	g4065.t1	A
rna-XM_056782299.1	A	g4053.t1	A
rna-XM_056782363.1	A	g4054.t1	A
rna-XM_056791743.1	A	g4056.t1	A
rna-XM_056791747.1	A	g6842.t1	A
rna-XM_056791877.1	A	g2356.t1	A
rna-XM_056791880.1	A	g8517.t1	A
rna-XM_056791879.1	A	g8518.t1	A
rna-XM_056782610.1	A	g8450.t1	A
rna-XM_056782623.1	A	g8464.t2	A
rna-XM_056776712.1	A	g11901.t1	A
rna-XM_056776882.1	A	g11902.t1	A
rna-XM_056776893.1	A	g1636.t1	X
rna-XM_056776768.1	A	g11426.t1	A
rna-XM_056776793.1	A	g11444.t1	A
rna-XM_056776841.1	A	g6784.t1	A
rna-XM_056776735.1	A	g5853.t4	A
rna-XM_056778028.1	A	g10954.t1	A
rna-XM_056791722.1	A	g11180.t1	A
rna-XM_056791724.1	A	g13175.t1	A
rna-XM_056791728.1	A	g7254.t1	X
rna-XM_056791732.1	A	g12304.t1	A
rna-XM_056791739.1	A	g3499.t3	A
rna-XM_056791742.1	A	g3498.t1	A
rna-XM_056777550.1	A	g3497.t1	A
rna-XM_056790615.1	A	g10870.t1	A
rna-XM_056780631.1	A	g14343.t1	A
rna-XM_056787383.1	A	g6726.t1	A
rna-XM_056791306.1	A	g367.t1	A
rna-XM_056777465.1	A	g2874.t1	X
rna-XM_056773760.1	A	g922.t1	A
rna-XM_056773773.1	A	g11787.t1	A
rna-XM_056793005.1	A	g11786.t1	A
rna-XM_056793017.1	A	g11783.t1	A
rna-XM_056792992.1	A	g11785.t1	A
rna-XM_056779280.1	A	g4744.t1	A
rna-XM_056780784.1	A	g11650.t1	A
rna-XM_056780827.1	A	g10117.t1	A
rna-XM_056780775.1	A	g3395.t1	A
rna-XM_056784617.1	A	g8996.t1	A
rna-XM_056783721.1	A	g4171.t1	A
rna-XM_056783705.1	A	g13449.t2	A
rna-XM_056780717.1	A	g10607.t1	A
rna-XM_056780703.1	A	g596.t1	A
rna-XM_056782614.1	A	g7326.t2	A
rna-XM_056782096.1	A	g6427.t1	A
rna-XM_056784969.1	A	g6426.t1	A
rna-XM_056791351.1	A	g6914.t1	A
rna-XM_056791327.1	A	g6913.t1	A
rna-XM_056791364.1	A	g6911.t1	A
rna-XM_056791359.1	A	g6978.t1	A
rna-XM_056785464.1	A	g6977.t1	A
rna-XM_056774202.1	A	g656.t1	A
rna-XM_056784202.1	A	g657.t1	A
rna-XM_056780869.1	A	g5703.t1	A
rna-XM_056776368.1	A	g5702.t1	A
rna-XM_056791731.1	A	g119.t1	A
rna-XM_056774351.1	A	g6836.t1	A
rna-XM_056791378.1	A	g8325.t1	A
rna-XM_056780476.1	A	g8324.t1	A
rna-XM_056777151.1	A	g7847.t1	A
rna-XM_056777161.1	A	g7837.t1	A
rna-XM_056775443.1	A	g8319.t1	A
rna-XM_056775489.1	A	g5229.t1	A
rna-XM_056775478.1	A	g4173.t1	A
rna-XM_056785167.1	A	g8087.t1	A
rna-XM_056784776.1	A	g9729.t1	A
rna-XM_056791430.1	A	g829.t1	A
rna-XM_056791424.1	A	g830.t1	A
rna-XM_056791436.1	A	g12996.t1	A
rna-XM_056791471.1	A	g14023.t1	A
rna-XM_056791454.1	A	g7718.t1	A
rna-XM_056779944.1	A	g753.t1	A
rna-XM_056778312.1	A	g9824.t1	A
rna-XM_056784918.1	A	g9845.t1	A
rna-XM_056782840.1	A	g8308.t1	A
rna-XM_056784633.1	A	g8315.t2	A
rna-XM_056784746.1	A	g8318.t1	A
rna-XM_056792970.1	A	g7850.t1	A
rna-XM_056792982.1	A	g10431.t2	A
rna-XM_056785940.1	A	g3913.t1	A
rna-XM_056792896.1	A	g831.t2	A
rna-XM_056791706.1	A	g8149.t1	A
rna-XM_056791708.1	A	g8148.t1	A
rna-XM_056791705.1	A	g8150.t2	A
rna-XM_056785658.1	A	g10857.t1	A
rna-XM_056777636.1	A	g8356.t1	A
rna-XM_056777595.1	A	g7321.t1	A
rna-XM_056777669.1	A	g2341.t1	A
rna-XM_056777719.1	A	g11407.t1	A
rna-XM_056777683.1	A	g11897.t4	A
rna-XM_056777737.1	A	g11898.t2	A
rna-XM_056792073.1	A	g11896.t2	A
rna-XM_056792101.1	A	g11892.t1	A
rna-XM_056791768.1	A	g11934.t3	A
rna-XM_056791776.1	A	g13716.t1	A
rna-XM_056791772.1	A	g2293.t1	A
rna-XM_056791774.1	A	g11923.t2	A
rna-XM_056791771.1	A	g13715.t1	A
rna-XM_056791777.1	A	g11598.t1	A
rna-XM_056790772.1	A	g11597.t1	A
rna-XM_056791775.1	A	g11915.t1	A
rna-XM_056791633.1	A	g11909.t1	A
rna-XM_056791632.1	A	g3777.t1	A
rna-XM_056775028.1	A	g11908.t1	A
rna-XM_056785610.1	A	g11907.t1	A
rna-XM_056773784.1	A	g14144.t2	A
rna-XM_056777559.1	A	g12134.t1	A
rna-XM_056777319.1	A	g14040.t1	A
rna-XM_056777330.1	A	g14041.t1	A
rna-XM_056775630.1	A	g11906.t2	A
rna-XM_056781748.1	A	g5094.t1	A
rna-XM_056781769.1	A	g12631.t1	A
rna-XM_056781759.1	A	g1171.t1	A
rna-XM_056774363.1	A	g6781.t1	A
rna-XM_056774377.1	A	g6782.t1	A
rna-XM_056790785.1	A	g671.t1	A
rna-XM_056778669.1	A	g672.t1	A
rna-XM_056778639.1	A	g673.t1	A
rna-XM_056779300.1	A	g7142.t1	A
rna-XM_056778935.1	A	g1186.t1	A
rna-XM_056789474.1	A	g1183.t1	A
rna-XM_056776490.1	A	g13066.t1	A
rna-XM_056776477.1	A	g13067.t1	A
rna-XM_056788855.1	A	g13880.t2	A
rna-XM_056788994.1	A	g13879.t1	A
rna-XM_056790798.1	A	g13371.t1	A
rna-XM_056789005.1	A	g3768.t2	A
rna-XM_056788907.1	A	g674.t1	A
rna-XM_056788941.1	A	g675.t1	A
rna-XM_056788981.1	A	g482.t1	A
rna-XM_056788954.1	A	g13882.t1	A
rna-XM_056789023.1	A	g9232.t1	A
rna-XM_056784426.1	A	g8147.t1	A
rna-XM_056784191.1	A	g5539.t1	A
rna-XM_056791999.1	A	g9250.t1	A
rna-XM_056791975.1	A	g4746.t1	A
rna-XM_056791987.1	A	g4745.t1	A
rna-XM_056792019.1	A	g5544.t1	A
rna-XM_056786861.1	A	g2751.t1	A
rna-XM_056786811.1	A	g5549.t1	A
rna-XM_056786864.1	A	g407.t1	A
rna-XM_056791611.1	A	g5563.t1	A
rna-XM_056791613.1	A	g5564.t1	A
rna-XM_056791616.1	A	g5567.t1	A
rna-XM_056788212.1	A	g5568.t1	A
rna-XM_056791609.1	A	g6788.t1	A
rna-XM_056779548.1	A	g6974.t1	A
rna-XM_056779536.1	A	g13342.t1	A
rna-XM_056779528.1	A	g4930.t1	A
rna-XM_056791811.1	A	g7918.t1	A
rna-XM_056791813.1	A	g9436.t1	A
rna-XM_056791814.1	A	g11931.t1	A
rna-XM_056790987.1	A	g6022.t1	A
rna-XM_056790999.1	A	g3359.t1	A
rna-XM_056791749.1	A	g3356.t1	A
rna-XM_056783902.1	A	g286.t1	A
rna-XM_056789395.1	A	g285.t2	A
rna-XM_056789370.1	A	g283.t2	A
rna-XM_056789351.1	A	g282.t1	A
rna-XM_056789384.1	A	g281.t1	A
rna-XM_056789449.1	A	g373.t1	A
rna-XM_056789414.1	A	g371.t3	A
rna-XM_056779449.1	A	g5842.t1	A
rna-XM_056784551.1	A	g5844.t2	A
rna-XM_056792842.1	A	g5843.t1	A
rna-XM_056792806.1	A	g13161.t1	A
rna-XM_056791013.1	A	g13160.t1	A
rna-XM_056792853.1	A	g13159.t2	A
rna-XM_056790089.1	A	g265.t1	A
rna-XM_056790102.1	A	g377.t2	A
rna-XM_056791873.1	A	g4502.t1	A
rna-XM_056791875.1	A	g13158.t1	A
rna-XM_056791874.1	A	g13367.t1	A
rna-XM_056775694.1	A	g6396.t1	A
rna-XM_056775663.1	A	g6382.t1	A
rna-XM_056775681.1	A	g6383.t1	A
rna-XM_056775712.1	A	g6384.t8	A
rna-XM_056775942.1	A	g6386.t1	A
rna-XM_056775914.1	A	g6387.t1	A
rna-XM_056775954.1	A	g3656.t1	A
rna-XM_056774190.1	A	g6389.t1	A
rna-XM_056774105.1	A	g6390.t5	A
rna-XM_056780670.1	A	g6392.t1	A
rna-XM_056783774.1	A	g6394.t2	A
rna-XM_056779787.1	A	g6395.t1	A
rna-XM_056783840.1	A	g11241.t2	A
rna-XM_056774316.1	A	g6525.t1	A
rna-XM_056792451.1	A	g7549.t1	A
rna-XM_056792429.1	A	g6628.t1	A
rna-XM_056792463.1	A	g7029.t1	A
rna-XM_056785564.1	A	g6837.t1	A
rna-XM_056791047.1	A	g7031.t3	A
rna-XM_056790436.1	A	g13162.t1	A
rna-XM_056787057.1	A	g5451.t2	A
rna-XM_056788232.1	A	g5845.t1	A
rna-XM_056787007.1	A	g5846.t1	A
rna-XM_056786982.1	A	g5849.t1	A
rna-XM_056786927.1	A	g5850.t1	A
rna-XM_056787105.1	A	g5746.t1	A
rna-XM_056787117.1	A	g5747.t1	A
rna-XM_056787150.1	A	g9233.t1	A
rna-XM_056787175.1	A	g5745.t2	A
rna-XM_056787207.1	A	g4747.t1	A
rna-XM_056787227.1	A	g4800.t1	A
rna-XM_056777376.1	A	g8615.t1	A
rna-XM_056791919.1	A	g7186.t1	A
rna-XM_056791917.1	A	g4749.t1	A
rna-XM_056783100.1	A	g4748.t1	A
rna-XM_056783111.1	A	g4544.t1	A
rna-XM_056792643.1	A	g4543.t1	A
rna-XM_056779112.1	A	g4798.t2	A
rna-XM_056779143.1	A	g3721.t1	A
rna-XM_056779154.1	A	g3244.t1	A
rna-XM_056777778.1	A	g4500.t2	A
rna-XM_056773903.1	A	g7993.t2	A
rna-XM_056785093.1	A	g1846.t1	A
rna-XM_056776597.1	A	g2172.t1	A
rna-XM_056776978.1	A	g4593.t1	A
rna-XM_056792703.1	A	g4592.t1	A
rna-XM_056792941.1	A	g4590.t1	A
rna-XM_056791298.1	A	g1074.t1	A
rna-XM_056775094.1	A	g9468.t1	A
rna-XM_056780844.1	A	g2276.t1	A
rna-XM_056783805.1	A	g13070.t3	A
rna-XM_056783791.1	A	g13071.t1	A
rna-XM_056791323.1	A	g2359.t2	A
rna-XM_056777573.1	A	g14035.t1	A
rna-XM_056792630.1	A	g10927.t1	A
rna-XM_056791584.1	A	g6748.t1	A
rna-XM_056785622.1	A	g6747.t2	A
rna-XM_056774288.1	A	g14745.t2	A
rna-XM_056774301.1	A	g8678.t1	A
rna-XM_056780060.1	A	g14635.t1	A
rna-XM_056780052.1	A	g6488.t1	A
rna-XM_056791859.1	A	g1031.t2	A
rna-XM_056791858.1	A	g12695.t1	A
rna-XM_056791857.1	A	g8842.t1	A
rna-XM_056791856.1	A	g4377.t1	A
rna-XM_056791843.1	A	g947.t1	A
rna-XM_056791834.1	A	g13448.t4	A
rna-XM_056791844.1	A	g2236.t1	A
rna-XM_056791845.1	A	g1272.t1	A
rna-XM_056785894.1	A	g10325.t1	A
rna-XM_056775041.1	A	g5463.t2	A
rna-XM_056792476.1	A	g10326.t1	A
rna-XM_056774722.1	A	g1276.t1	A
rna-XM_056791701.1	A	g1207.t1	A
rna-XM_056782649.1	A	g1208.t1	A
rna-XM_056776699.1	A	g2343.t1	A
rna-XM_056785362.1	A	g5558.t1	A
rna-XM_056777272.1	A	g4799.t1	A
rna-XM_056780307.1	A	g11933.t1	A
rna-XM_056780280.1	A	g11905.t1	A
rna-XM_056778346.1	A	g6898.t1	A
rna-XM_056778359.1	A	g6897.t1	A
rna-XM_056778334.1	A	g6900.t1	A
rna-XM_056778383.1	A	g14046.t1	A
rna-XM_056778422.1	A	g5645.t1	A
rna-XM_056778427.1	A	g13024.t1	A
rna-XM_056778439.1	A	g13446.t1	A
rna-XM_056778453.1	A	g13447.t1	A
rna-XM_056791853.1	A	g10868.t1	A
rna-XM_056791855.1	A	g10871.t1	A
rna-XM_056780527.1	A	g1574.t1	X
rna-XM_056780551.1	A	g13146.t1	A
rna-XM_056780539.1	A	g14208.t1	A
rna-XM_056778220.1	A	g2375.t1	A
rna-XM_056778233.1	A	g2394.t1	A
rna-XM_056773868.1	A	g6908.t1	A
rna-XM_056773878.1	A	g1299.t1	A
rna-XM_056773851.1	A	g8522.t3	A
rna-XM_056791781.1	A	g5999.t2	A
rna-XM_056783940.1	A	g13165.t1	A
rna-XM_056782791.1	A	g2416.t1	A
rna-XM_056785310.1	A	g3545.t1	A
rna-XM_056785432.1	A	g13177.t1	A
rna-XM_056777942.1	A	g11916.t1	A
rna-XM_056777953.1	A	g5976.t1	A
rna-XM_056775334.1	A	g1020.t2	A
rna-XM_056780088.1	A	g5968.t1	A
rna-XM_056784009.1	A	g5839.t1	A
rna-XM_056784033.1	A	g5841.t2	A
rna-XM_056784046.1	A	g5840.t1	A
rna-XM_056784059.1	A	g374.t1	A
rna-XM_056784090.1	A	g376.t1	A
rna-XM_056784103.1	A	g3220.t1	A
rna-XM_056784984.1	A	g2519.t1	A
rna-XM_056791558.1	A	g2528.t1	A
rna-XM_056777527.1	A	g13748.t1	A
rna-XM_056777515.1	A	g13747.t1	A
rna-XM_056777044.1	A	g379.t1	A
rna-XM_056777085.1	A	g378.t1	A
rna-XM_056777073.1	A	g4618.t1	A
rna-XM_056777013.1	A	g4617.t2	A
rna-XM_056780764.1	A	g4497.t1	A
rna-XM_056783001.1	A	g13743.t1	A
rna-XM_056791752.1	A	g13742.t1	A
rna-XM_056791754.1	A	g13744.t1	A
rna-XM_056777900.1	A	g8026.t1	A
rna-XM_056791560.1	A	g2374.t1	A
rna-XM_056774603.1	A	g8194.t1	A
rna-XM_056774592.1	A	g2397.t1	A
rna-XM_056774615.1	A	g2396.t2	A
rna-XM_056774628.1	A	g2395.t1	A
rna-XM_056784436.1	A	g4005.t1	A
rna-XM_056775066.1	A	g4464.t1	A
rna-XM_056781842.1	A	g4465.t1	A
rna-XM_056773805.1	A	g4463.t1	A
rna-XM_056773839.1	A	g13166.t1	A
rna-XM_056778476.1	A	g10648.t1	A
rna-XM_056778514.1	A	g10646.t1	A
rna-XM_056774227.1	A	g3343.t1	A
rna-XM_056775966.1	A	g13169.t1	A
rna-XM_056781133.1	A	g13167.t1	A
rna-XM_056790940.1	A	g2330.t1	A
rna-XM_056790952.1	A	g13735.t1	A
rna-XM_056779801.1	A	g13168.t1	A
rna-XM_056779875.1	A	g4622.t1	A
rna-XM_056787453.1	A	g4621.t1	A
rna-XM_056780938.1	A	g4619.t1	A
rna-XM_056779908.1	A	g13738.t1	A
rna-XM_056792114.1	A	g13455.t1	A
rna-XM_056792126.1	A	g4668.t2	A
rna-XM_056792136.1	A	g2376.t1	A
rna-XM_056781714.1	A	g14210.t2	A
rna-XM_056775347.1	A	g4487.t1	A
rna-XM_056775439.1	A	g7108.t2	A
rna-XM_056775367.1	A	g6907.t2	A
rna-XM_056775429.1	A	g6905.t1	A
rna-XM_056791878.1	A	g8476.t2	A
rna-XM_056791486.1	A	g6910.t1	A
rna-XM_056783883.1	A	g5796.t1	A
rna-XM_056785063.1	A	g5738.t1	A
rna-XM_056774940.1	A	g14234.t1	A
rna-XM_056774952.1	A	g7107.t2	A
rna-XM_056774798.1	A	g2527.t1	A
rna-XM_056782005.1	A	g6909.t1	A
rna-XM_056782028.1	A	g5804.t1	A
rna-XM_056791620.1	A	g5803.t1	A
rna-XM_056778175.1	A	g3421.t2	A
rna-XM_056786024.1	A	g13679.t1	A
rna-XM_056785927.1	A	g10893.t1	A
rna-XM_056786149.1	A	g10892.t1	A
rna-XM_056791809.1	A	g10896.t1	A
rna-XM_056775286.1	A	g8815.t1	A
rna-XM_056775263.1	A	g10102.t1	A
rna-XM_056791645.1	A	g10094.t1	A
rna-XM_056791651.1	A	g8273.t1	A
rna-XM_056791650.1	A	g6206.t1	A
rna-XM_056791652.1	A	g1162.t3	A
rna-XM_056791621.1	A	g844.t1	A
rna-XM_056791628.1	A	g1159.t1	A
rna-XM_056791653.1	A	g1158.t1	A
rna-XM_056791654.1	A	g1019.t2	A
rna-XM_056791658.1	A	g9844.t1	A
rna-XM_056791660.1	A	g9846.t1	A
rna-XM_056791681.1	A	g9830.t1	A
rna-XM_056791672.1	A	g10405.t1	A
rna-XM_056791662.1	A	g10404.t2	A
rna-XM_056791667.1	A	g9829.t1	A
rna-XM_056791680.1	A	g9827.t3	A
rna-XM_056784628.1	A	g9998.t1	A
rna-XM_056782668.1	A	g8223.t1	A
rna-XM_056785702.1	A	g7999.t1	A
rna-XM_056779384.1	A	g3823.t1	A
rna-XM_056784232.1	A	g3835.t3	A
rna-XM_056774094.1	A	g11754.t1	A
rna-XM_056783915.1	A	g8019.t1	A
rna-XM_056778162.1	A	g8016.t1	A
rna-XM_056791916.1	A	g3409.t1	A
rna-XM_056791912.1	A	g12492.t1	A
rna-XM_056791644.1	A	g12494.t1	A
rna-XM_056791795.1	A	g12299.t1	A
rna-XM_056791784.1	A	g11817.t1	A
rna-XM_056792691.1	A	g6865.t1	A
rna-XM_056791682.1	A	g914.t1	A
rna-XM_056791869.1	A	g12737.t3	A
rna-XM_056791872.1	A	g10567.t1	A
rna-XM_056789153.1	A	g6951.t1	A
rna-XM_056789239.1	A	g6981.t1	A
rna-XM_056789176.1	A	g6786.t1	A
rna-XM_056789189.1	A	g6787.t1	A
rna-XM_056789224.1	A	g3945.t1	A
rna-XM_056789163.1	A	g3946.t1	A
