HOG	OG	Gene Tree Parent Clade	A_obtectus	B_siliquastri	B_varius	C_chinensis	C_maculatus	C_maculatusC	D_carinulata	D_sublineata
N0.HOG0000010	OG0000004	n73			anno1.g11295.t1		g12346.t1_1, g1987.t1_1, g9375.t1_1	anno1.g7555.t1, anno1.g10987.t1, anno1.g6503.t1, anno1.g5179.t1	rna-XM_057815237.1_1, rna-XM_057815244.1_1, rna-XM_057802458.1_1, rna-XM_057800785.1_1, rna-XM_057805612.1_1	rna-XM_056789829.1_1, rna-XM_056781694.1_1, rna-XM_056789826.1_1, rna-XM_056792888.1_1, rna-XM_056774980.1_1, rna-XM_056777477.1_1, rna-XM_056781702.1_1
N0.HOG0000011	OG0000004	n92							rna-XM_057811236.1_1, rna-XM_057807119.1_1, rna-XM_057806262.1_1	rna-XM_056789866.1_1, rna-XM_056789824.1_1
N0.HOG0000012	OG0000005	n1	anno1.g14029.t1, anno1.g3732.t1, anno1.g14103.t1, anno1.g3731.t1, anno1.g5524.t1, anno1.g6161.t1	BRAKERILHT00000015122_1, BRAKERILHT00000017858_1, BRAKERILHT00000010580_1	anno1.g2358.t1, anno1.g5193.t1, anno1.g7831.t1	anno1.g8206.t1	g12887.t1_1, g1886.t1_1, g192.t1_1, g7421.t1_1	anno1.g1870.t1, anno1.g9318.t1, anno1.g1233.t1, anno1.g8183.t1, anno1.g684.t1, anno1.g6537.t1, anno1.g1433.t1, anno1.g12989.t1, anno1.g13214.t1, anno1.g6335.t1	rna-XM_057798187.1_1, rna-XM_057799431.1_1, rna-XM_057804485.1_1, rna-XM_057797161.1_1, rna-XM_057796425.1_1, rna-XM_057808257.1_1, rna-XM_057804570.1_1, rna-XM_057806349.1_1, rna-XM_057801308.1_1, rna-XM_057806055.1_1, rna-XM_057815544.1_1, rna-XM_057808605.1_1, rna-XM_057813300.1_1, rna-XM_057804455.1_1, rna-XM_057816685.1_1, rna-XM_057804417.1_1, rna-XM_057808983.1_1, rna-XM_057812341.1_1, rna-XM_057813071.1_1, rna-XM_057814761.1_1, rna-XM_057798891.1_1, rna-XM_057804575.1_1, rna-XM_057806410.1_1, rna-XM_057801985.1_1, rna-XM_057803663.1_1, rna-XM_057805037.1_1, rna-XM_057797347.1_1, rna-XM_057815310.1_1, rna-XM_057800314.1_1	
N0.HOG0000013	OG0000005	n56	anno1.g14102.t1, anno1.g1678.t1, anno1.g4625.t1, anno1.g5793.t1	BRAKERILHT00000007142_1, BRAKERILHT00000017977_1, BRAKERILHT00000017328_1	anno1.g2957.t1, anno1.g2425.t1, anno1.g3003.t1, anno1.g4497.t1	anno1.g4908.t1, anno1.g9910.t1, anno1.g11195.t1, anno1.g6231.t1, anno1.g13685.t1, anno1.g9836.t1, anno1.g2717.t1, anno1.g7139.t1, anno1.g8929.t1, anno1.g1738.t1, anno1.g11525.t1	g3929.t1_1, g1172.t1_1, g2411.t1_1, g8111.t1_1, g34.t1_1	anno1.g13623.t1, anno1.g8701.t1, anno1.g11601.t1, anno1.g6470.t1, anno1.g12750.t1		rna-XM_056785571.1_1
N0.HOG0000014	OG0000006	n0	anno1.g9902.t1	BRAKERILHT00000017768_1, BRAKERILHT00000000045_1, BRAKERILHT00000014187_1, BRAKERILHT00000009742_1, BRAKERILHT00000017741_1, BRAKERILHT00000004586_1, BRAKERILHT00000016183_1, BRAKERILHT00000015727_1, BRAKERILHT00000015803_1, BRAKERILHT00000016195_1, BRAKERILHT00000016096_1, BRAKERILHT00000016945_1, BRAKERILHT00000016397_1, BRAKERILHT00000015802_1, BRAKERILHT00000016402_1, BRAKERILHT00000015767_1, BRAKERILHT00000015678_1, BRAKERILHT00000015863_1, BRAKERILHT00000016639_1, BRAKERILHT00000016321_1, BRAKERILHT00000016531_1, BRAKERILHT00000016648_1, BRAKERILHT00000015909_1, BRAKERILHT00000001370_1, BRAKERILHT00000001018_1, BRAKERILHT00000000640_1, BRAKERILHT00000001109_1, BRAKERILHT00000001382_1, BRAKERILHT00000002113_1, BRAKERILHT00000000823_1, BRAKERILHT00000000730_1, BRAKERILHT00000001160_1, BRAKERILHT00000001728_1, BRAKERILHT00000000852_1, BRAKERILHT00000000752_1, BRAKERILHT00000000419_1, BRAKERILHT00000001994_1, BRAKERILHT00000001750_1, BRAKERILHT00000003570_1, BRAKERILHT00000002517_1, BRAKERILHT00000003953_1, BRAKERILHT00000013226_1, BRAKERILHT00000002372_1, BRAKERILHT00000016773_1, BRAKERILHT00000004030_1, BRAKERILHT00000003402_1, BRAKERILHT00000002537_1, BRAKERILHT00000016234_1, BRAKERILHT00000016007_1, BRAKERILHT00000004326_1, BRAKERILHT00000004351_1, BRAKERILHT00000004242_1, BRAKERILHT00000002367_1, BRAKERILHT00000003073_1, BRAKERILHT00000004352_1, BRAKERILHT00000002791_1, BRAKERILHT00000003259_1, BRAKERILHT00000002245_1, BRAKERILHT00000002789_1, BRAKERILHT00000016034_1, BRAKERILHT00000016970_1, BRAKERILHT00000016196_1, BRAKERILHT00000016492_1, BRAKERILHT00000016802_1, BRAKERILHT00000000329_1, BRAKERILHT00000002039_1, BRAKERILHT00000016969_1, BRAKERILHT00000015873_1, BRAKERILHT00000016093_1, BRAKERILHT00000016035_1, BRAKERILHT00000016282_1, BRAKERILHT00000002453_1, BRAKERILHT00000003554_1, BRAKERILHT00000002572_1, BRAKERILHT00000000406_1, BRAKERILHT00000000051_1, BRAKERILHT00000001019_1, BRAKERILHT00000002123_1, BRAKERILHT00000000092_1, BRAKERILHT00000000418_1				anno1.g13367.t1		
N0.HOG0000015	OG0000007	n0		BRAKERILHT00000004583_1, BRAKERILHT00000011106_1, BRAKERILHT00000001507_1, BRAKERILHT00000002539_1, BRAKERILHT00000016197_1, BRAKERILHT00000001709_1, BRAKERILHT00000006619_1, BRAKERILHT00000016875_1, BRAKERILHT00000000705_1, BRAKERILHT00000012153_1, BRAKERILHT00000007251_1, BRAKERILHT00000009536_1, BRAKERILHT00000005044_1, BRAKERILHT00000016190_1, BRAKERILHT00000016095_1, BRAKERILHT00000002308_1, BRAKERILHT00000006639_1, BRAKERILHT00000010231_1, BRAKERILHT00000014264_1, BRAKERILHT00000010836_1, BRAKERILHT00000016578_1, BRAKERILHT00000002716_1, BRAKERILHT00000013768_1, BRAKERILHT00000010852_1, BRAKERILHT00000017363_1, BRAKERILHT00000000302_1, BRAKERILHT00000000811_1, BRAKERILHT00000009498_1, BRAKERILHT00000012567_1, BRAKERILHT00000016631_1, BRAKERILHT00000015599_1, BRAKERILHT00000012234_1, BRAKERILHT00000003730_1, BRAKERILHT00000015941_1, BRAKERILHT00000008667_1, BRAKERILHT00000012096_1, BRAKERILHT00000017225_1, BRAKERILHT00000001305_1, BRAKERILHT00000008975_1, BRAKERILHT00000016839_1, BRAKERILHT00000016625_1, BRAKERILHT00000004873_1, BRAKERILHT00000015020_1, BRAKERILHT00000007717_1, BRAKERILHT00000013757_1, BRAKERILHT00000006344_1, BRAKERILHT00000003060_1, BRAKERILHT00000009237_1, BRAKERILHT00000016523_1, BRAKERILHT00000014147_1, BRAKERILHT00000014567_1, BRAKERILHT00000015084_1, BRAKERILHT00000015920_1, BRAKERILHT00000017669_1, BRAKERILHT00000003732_1, BRAKERILHT00000015434_1, BRAKERILHT00000015188_1, BRAKERILHT00000016274_1, BRAKERILHT00000012901_1, BRAKERILHT00000012081_1, BRAKERILHT00000002994_1, BRAKERILHT00000010192_1, BRAKERILHT00000005693_1, BRAKERILHT00000006764_1, BRAKERILHT00000000076_1, BRAKERILHT00000017140_1, BRAKERILHT00000008438_1, BRAKERILHT00000015711_1, BRAKERILHT00000006789_1, BRAKERILHT00000013608_1, BRAKERILHT00000016437_1, BRAKERILHT00000009586_1, BRAKERILHT00000013648_1, BRAKERILHT00000000392_1, BRAKERILHT00000004213_1, BRAKERILHT00000005751_1, BRAKERILHT00000015371_1, BRAKERILHT00000015851_1	anno1.g7350.t1, anno1.g1272.t1, anno1.g10799.t1, anno1.g223.t1					
N0.HOG0000016	OG0000008	n0	anno1.g2443.t1, anno1.g1921.t1, anno1.g376.t1, anno1.g14055.t1, anno1.g6034.t1, anno1.g934.t1, anno1.g10710.t1, anno1.g8716.t1, anno1.g304.t1, anno1.g5296.t1, anno1.g7127.t1, anno1.g517.t1, anno1.g2528.t1, anno1.g14170.t1, anno1.g13998.t1, anno1.g932.t1, anno1.g2916.t1, anno1.g7950.t1, anno1.g9718.t1, anno1.g14025.t1, anno1.g14480.t1, anno1.g7905.t1, anno1.g14341.t1	BRAKERILHT00000005205_1	anno1.g4463.t1, anno1.g2943.t1, anno1.g4461.t1, anno1.g11814.t1, anno1.g6065.t1, anno1.g5824.t1, anno1.g5823.t1, anno1.g1627.t1, anno1.g6310.t1, anno1.g11830.t1, anno1.g9802.t1, anno1.g4335.t1	anno1.g8547.t1, anno1.g526.t1	g5906.t1_1, g6068.t1_1, g2848.t1_1, g13973.t1_1, g9507.t1_1, g12789.t1_1, g1822.t1_1, g12941.t1_1, g11995.t1_1, g2971.t1_1, g12922.t1_1, g8629.t1_1, g11506.t1_1, g7956.t1_1, g12080.t1_1, g1939.t1_1, g731.t1_1, g11438.t1_1, g5202.t1_1, g5555.t1_1, g8398.t1_1, g1929.t1_1	anno1.g706.t1, anno1.g2286.t1, anno1.g10611.t1, anno1.g8313.t1, anno1.g2907.t1, anno1.g10479.t1, anno1.g9013.t1, anno1.g8826.t1, anno1.g7438.t1, anno1.g943.t1, anno1.g13909.t1, anno1.g7162.t1, anno1.g13348.t1, anno1.g6566.t1	rna-XM_057815278.1_1, rna-XM_057816002.1_1, rna-XM_057809355.1_1, rna-XM_057799638.1_1, rna-XM_057815390.1_1, rna-XM_057798890.1_1	rna-XM_056781693.1_1
N0.HOG0000017	OG0000009	n1	anno1.g7123.t1, anno1.g7116.t1, anno1.g7021.t1, anno1.g10613.t1, anno1.g5915.t1, anno1.g10873.t1, anno1.g7720.t1, anno1.g11416.t1, anno1.g440.t1	BRAKERILHT00000017960_1, BRAKERILHT00000000708_1, BRAKERILHT00000000037_1, BRAKERILHT00000013445_1, BRAKERILHT00000004477_1	anno1.g1244.t1, anno1.g4432.t1, anno1.g2234.t1, anno1.g666.t1	anno1.g9896.t1		anno1.g3731.t1, anno1.g6564.t1	rna-XM_057815327.1_1, rna-XM_057815329.1_1, rna-XM_057797893.1_1, rna-XM_057815325.1_1, rna-XM_057810792.1_1, rna-XM_057797873.1_1, rna-XM_057815330.1_1, rna-XM_057815173.1_1, rna-XM_057815176.1_1, rna-XM_057815355.1_1, rna-XM_057815342.1_1, rna-XM_057815333.1_1, rna-XM_057815332.1_1, rna-XM_057815345.1_1, rna-XM_057815352.1_1, rna-XM_057815354.1_1, rna-XM_057815344.1_1, rna-XM_057815343.1_1, rna-XM_057815349.1_1, rna-XM_057815340.1_1, rna-XM_057815336.1_1, rna-XM_057815346.1_1	rna-XM_056791248.1_1, rna-XM_056792669.1_1, rna-XM_056779955.1_1, rna-XM_056785583.1_1
N0.HOG0000018	OG0000009	n47	anno1.g3130.t1, anno1.g7091.t1, anno1.g12006.t1, anno1.g9930.t1	BRAKERILHT00000017250_1, BRAKERILHT00000015292_1, BRAKERILHT00000013319_1, BRAKERILHT00000017990_1, BRAKERILHT00000018078_1	anno1.g6238.t1, anno1.g667.t1, anno1.g11635.t1	anno1.g12922.t1, anno1.g4281.t1, anno1.g1732.t1, anno1.g12743.t1, anno1.g5225.t1, anno1.g12921.t1, anno1.g7256.t1, anno1.g7255.t1, anno1.g3152.t1	g4450.t1_1	anno1.g7916.t1	rna-XM_057798773.1_1, rna-XM_057807207.1_1	rna-XM_056789024.1_1
N0.HOG0000019	OG0000010	n1	anno1.g4447.t1, anno1.g732.t1		anno1.g5850.t1, anno1.g1246.t1, anno1.g1063.t1, anno1.g4065.t1	anno1.g9201.t1, anno1.g5840.t1, anno1.g6326.t1, anno1.g6180.t1, anno1.g1744.t1, anno1.g13805.t1, anno1.g5249.t1, anno1.g8089.t1, anno1.g392.t2	g6358.t1_1		rna-XM_057801411.1_1, rna-XM_057796748.1_1	rna-XM_056779460.1_1
N0.HOG0000020	OG0000010	n21	anno1.g9332.t1, anno1.g12588.t1, anno1.g4682.t1		anno1.g10059.t1, anno1.g4506.t1	anno1.g4599.t1	g4277.t1_1			rna-XM_056783393.1_1
N0.HOG0000021	OG0000010	n29			anno1.g11722.t1, anno1.g11796.t1	anno1.g12780.t1			rna-XM_057810812.1_1	
N0.HOG0000022	OG0000010	n33	anno1.g3439.t1, anno1.g672.t1, anno1.g1070.t1, anno1.g8168.t1, anno1.g1361.t1, anno1.g13453.t1, anno1.g1067.t1, anno1.g7617.t1, anno1.g11974.t1, anno1.g12589.t1	BRAKERILHT00000017292_1	anno1.g99.t1, anno1.g46.t1, anno1.g6385.t1, anno1.g7380.t1	anno1.g4600.t1	g2970.t1_1	anno1.g6845.t1, anno1.g13886.t1	rna-XM_057811219.1_1	
